group,period,period_start,scenario,hs,wave_period_s,wave_asymmetry,wave_angle_high_fraction,source_sink_preset,groin,offset_mode,island_offset_version,barrier3d_route_overwash_fix,status,mean_bias_interior_m_yr,rmse_interior_m_yr,variance_explained,pattern_variance_explained,r_alongshore,model_sd_m_yr,sd_ratio,roads_drowned,run_name,run_dir,log
full_management_high_angle,1996-2010,1996,full_management,1.0,8.0,0.8,0.55,zeroBE,False,metres,duneline/v1,False,scored,0.0440765543417056,1.1295630974069921,0.07466412445796389,0.07607306829552474,0.2885246309808724,0.23934601982615458,0.20382873741380558,0,HAT_1996_2010_zeroBE_offsetmetres_road_bdm_nogroin_waveHs1asym0p8ahf0p55,full_management_high_angle/1996_2010/zeroBE/HAT_1996_2010_zeroBE_offsetmetres_road_bdm_nogroin_waveHs1asym0p8ahf0p55,logs/full_management_high_angle/1996_2010/Hs1.0_period8.0_asymmetry0.8_highangle0.55.log
full_management_wave_height,1996-2010,1996,full_management,0.65,8.0,0.8,0.45,zeroBE,False,metres,duneline/v1,False,scored,-1.945892710908757,3.2032719514134578,-6.4415950090407845,-3.6954959997222296,-0.04813961162753875,2.201520671800456,1.8748303366373533,1,HAT_1996_2010_zeroBE_offsetmetres_road_bdm_nogroin_waveHs0p65asym0p8ahf0p45,full_management_wave_height/1996_2010/zeroBE/HAT_1996_2010_zeroBE_offsetmetres_road_bdm_nogroin_waveHs0p65asym0p8ahf0p45,logs/full_management_wave_height/1996_2010/Hs0.65_period8.0_asymmetry0.8_highangle0.45.log
full_management_wave_height,1996-2010,1996,full_management,0.75,8.0,0.8,0.45,zeroBE,False,metres,duneline/v1,False,scored,0.01738549157217278,1.0989388969956833,0.1241585393222766,0.12437774528255219,0.35650087486860554,0.3574348174898877,0.3043939799358909,0,HAT_1996_2010_zeroBE_offsetmetres_road_bdm_nogroin_waveHs0p75asym0p8ahf0p45,full_management_wave_height/1996_2010/zeroBE/HAT_1996_2010_zeroBE_offsetmetres_road_bdm_nogroin_waveHs0p75asym0p8ahf0p45,logs/full_management_wave_height/1996_2010/Hs0.75_period8.0_asymmetry0.8_highangle0.45.log
full_management_wave_height,1996-2010,1996,full_management,1.25,8.0,0.8,0.45,zeroBE,False,metres,duneline/v1,False,scored,-0.12361221361011333,1.0823078401061608,0.1504674612849226,0.1615490282798553,0.4081159675541138,0.5623422765642455,0.47889459916546295,0,HAT_1996_2010_zeroBE_offsetmetres_road_bdm_nogroin_waveHs1p25asym0p8ahf0p45,full_management_wave_height/1996_2010/zeroBE/HAT_1996_2010_zeroBE_offsetmetres_road_bdm_nogroin_waveHs1p25asym0p8ahf0p45,logs/full_management_wave_height/1996_2010/Hs1.25_period8.0_asymmetry0.8_highangle0.45.log
full_management_wave_height,1996-2010,1996,full_management,1.5,8.0,0.8,0.45,zeroBE,False,metres,duneline/v1,False,scored,-0.206751626547773,1.1023526906976813,0.1187085800633807,0.1497096211551321,0.436301245437029,0.7490751362107917,0.6379176029449714,0,HAT_1996_2010_zeroBE_offsetmetres_road_bdm_nogroin_waveHs1p5asym0p8ahf0p45,full_management_wave_height/1996_2010/zeroBE/HAT_1996_2010_zeroBE_offsetmetres_road_bdm_nogroin_waveHs1p5asym0p8ahf0p45,logs/full_management_wave_height/1996_2010/Hs1.5_period8.0_asymmetry0.8_highangle0.45.log
full_management_wave_height,1996-2010,1996,full_management,2.0,8.0,0.8,0.45,zeroBE,False,metres,duneline/v1,False,scored,-0.42311898615764226,1.314959133577499,-0.2540155473768997,-0.1241770634549344,0.48148856530998474,1.2660216776879893,1.0781528779508542,0,HAT_1996_2010_zeroBE_offsetmetres_road_bdm_nogroin_waveHs2asym0p8ahf0p45,full_management_wave_height/1996_2010/zeroBE/HAT_1996_2010_zeroBE_offsetmetres_road_bdm_nogroin_waveHs2asym0p8ahf0p45,logs/full_management_wave_height/1996_2010/Hs2.0_period8.0_asymmetry0.8_highangle0.45.log
full_management_wave_height,1996-2010,1996,full_management,2.5,8.0,0.8,0.45,zeroBE,False,metres,duneline/v1,False,scored,-0.7033437075665667,1.8216525161141572,-1.4066308800767438,-1.047862944337615,0.5050728796063944,1.9334579960027816,1.6465462950005114,0,HAT_1996_2010_zeroBE_offsetmetres_road_bdm_nogroin_waveasym0p8ahf0p45,full_management_wave_height/1996_2010/zeroBE/HAT_1996_2010_zeroBE_offsetmetres_road_bdm_nogroin_waveasym0p8ahf0p45,logs/full_management_wave_height/1996_2010/Hs2.5_period8.0_asymmetry0.8_highangle0.45.log
full_management_wave_height,1996-2010,1996,full_management,3.0,8.0,0.8,0.45,zeroBE,False,metres,duneline/v1,False,scored,-1.0435501149593491,2.5703732169399713,-3.7914921776247947,-3.0017141820256246,0.5194379012859391,2.7338609280730255,2.328175006372791,0,HAT_1996_2010_zeroBE_offsetmetres_road_bdm_nogroin_waveHs3asym0p8ahf0p45,full_management_wave_height/1996_2010/zeroBE/HAT_1996_2010_zeroBE_offsetmetres_road_bdm_nogroin_waveHs3asym0p8ahf0p45,logs/full_management_wave_height/1996_2010/Hs3.0_period8.0_asymmetry0.8_highangle0.45.log
full_management_wave_period,1996-2010,1996,full_management,1.0,6.0,0.8,0.45,zeroBE,False,metres,duneline/v1,False,scored,-0.10118196517402955,1.0826139810143711,0.1499867968456985,0.1574115946145438,0.397380781507271,0.4928788032684861,0.4197390215271292,0,HAT_1996_2010_zeroBE_offsetmetres_road_bdm_nogroin_waveHs1Tp6asym0p8ahf0p45,full_management_wave_period/1996_2010/zeroBE/HAT_1996_2010_zeroBE_offsetmetres_road_bdm_nogroin_waveHs1Tp6asym0p8ahf0p45,logs/full_management_wave_period/1996_2010/Hs1.0_period6.0_asymmetry0.8_highangle0.45.log
full_management_wave_period,1996-2010,1996,full_management,1.0,7.0,0.8,0.45,zeroBE,False,metres,duneline/v1,False,scored,-0.0809014336636846,1.0900302501079377,0.1383011567834621,0.14304784651280977,0.3782170478407155,0.4434905953323644,0.3776796796836258,0,HAT_1996_2010_zeroBE_offsetmetres_road_bdm_nogroin_waveHs1Tp7asym0p8ahf0p45,full_management_wave_period/1996_2010/zeroBE/HAT_1996_2010_zeroBE_offsetmetres_road_bdm_nogroin_waveHs1Tp7asym0p8ahf0p45,logs/full_management_wave_period/1996_2010/Hs1.0_period7.0_asymmetry0.8_highangle0.45.log
full_management_wave_period,1996-2010,1996,full_management,1.0,10.0,0.8,0.45,zeroBE,False,metres,duneline/v1,False,scored,-0.821390418819819,1.72129862753187,-1.1487745614473877,-0.65947179148705,0.191655899768554,1.2048329883368543,1.026044163949651,0,HAT_1996_2010_zeroBE_offsetmetres_road_bdm_nogroin_waveHs1Tp10asym0p8ahf0p45,full_management_wave_period/1996_2010/zeroBE/HAT_1996_2010_zeroBE_offsetmetres_road_bdm_nogroin_waveHs1Tp10asym0p8ahf0p45,logs/full_management_wave_period/1996_2010/Hs1.0_period10.0_asymmetry0.8_highangle0.45.log
full_management_wave_period,1996-2010,1996,full_management,1.0,12.0,0.8,0.45,zeroBE,False,metres,,,barrier drowned (height/width) in year 4,,,,,,,,,,,logs/full_management_wave_period/1996_2010/Hs1.0_period12.0_asymmetry0.8_highangle0.45.log
grid_wave_height_x_high_angle,1996-2010,1996,natural,0.75,8.0,0.8,0.3,zeroBE,False,metres,duneline/v1,False,scored,-0.6778747646745863,1.408937214091263,-0.4396658052077784,-0.10641029244061406,0.44271048091940507,1.1655871877954047,0.9926221668804373,0,HAT_1996_2010_zeroBE_offsetmetres_noroad_nobdm_nogroin_waveHs0p75asym0p8ahf0p3,grid_wave_height_x_high_angle/1996_2010/zeroBE/HAT_1996_2010_zeroBE_offsetmetres_noroad_nobdm_nogroin_waveHs0p75asym0p8ahf0p3,logs/grid_wave_height_x_high_angle/1996_2010/Hs0.75_period8.0_asymmetry0.8_highangle0.3.log
grid_wave_height_x_high_angle,1996-2010,1996,natural,0.75,8.0,0.8,0.4,zeroBE,False,metres,duneline/v1,False,scored,-0.49045602331434085,1.1734256661064377,0.0014045672483541383,0.17585761212108553,0.43922600358735714,0.6691433031657087,0.5698470972370255,0,HAT_1996_2010_zeroBE_offsetmetres_noroad_nobdm_nogroin_waveHs0p75asym0p8ahf0p4,grid_wave_height_x_high_angle/1996_2010/zeroBE/HAT_1996_2010_zeroBE_offsetmetres_noroad_nobdm_nogroin_waveHs0p75asym0p8ahf0p4,logs/grid_wave_height_x_high_angle/1996_2010/Hs0.75_period8.0_asymmetry0.8_highangle0.4.log
grid_wave_height_x_high_angle,1996-2010,1996,natural,0.75,8.0,0.8,0.5,zeroBE,False,metres,duneline/v1,False,scored,-0.3621586509785171,1.1553444330229208,0.03194203841062049,0.12706297908876307,0.35891621218487535,0.4706903168693724,0.4008431519775136,0,HAT_1996_2010_zeroBE_offsetmetres_noroad_nobdm_nogroin_waveHs0p75asym0p8ahf0p5,grid_wave_height_x_high_angle/1996_2010/zeroBE/HAT_1996_2010_zeroBE_offsetmetres_noroad_nobdm_nogroin_waveHs0p75asym0p8ahf0p5,logs/grid_wave_height_x_high_angle/1996_2010/Hs0.75_period8.0_asymmetry0.8_highangle0.5.log
grid_wave_height_x_high_angle,1996-2010,1996,natural,0.75,8.0,0.8,0.55,zeroBE,False,metres,duneline/v1,False,scored,-0.34606726965723467,1.1629489007716036,0.01915660019978993,0.10601252764732239,0.3290498646352669,0.44222611941654466,0.37660284318724746,0,HAT_1996_2010_zeroBE_offsetmetres_noroad_nobdm_nogroin_waveHs0p75asym0p8ahf0p55,grid_wave_height_x_high_angle/1996_2010/zeroBE/HAT_1996_2010_zeroBE_offsetmetres_noroad_nobdm_nogroin_waveHs0p75asym0p8ahf0p55,logs/grid_wave_height_x_high_angle/1996_2010/Hs0.75_period8.0_asymmetry0.8_highangle0.55.log
grid_wave_height_x_high_angle,1996-2010,1996,natural,1.25,8.0,0.8,0.3,zeroBE,False,metres,duneline/v1,False,scored,-1.0498495629856415,1.8874675401480607,-1.5836720797954116,-0.784330227521209,0.5621570003225402,1.8918739532990343,1.6111330346211534,0,HAT_1996_2010_zeroBE_offsetmetres_noroad_nobdm_nogroin_waveHs1p25asym0p8ahf0p3,grid_wave_height_x_high_angle/1996_2010/zeroBE/HAT_1996_2010_zeroBE_offsetmetres_noroad_nobdm_nogroin_waveHs1p25asym0p8ahf0p3,logs/grid_wave_height_x_high_angle/1996_2010/Hs1.25_period8.0_asymmetry0.8_highangle0.3.log
