domain_number,n_transects,mean_lrr_m_yr,mean_total_change_m,std_total_change_m,pct_total_landward,n_observed,mean_observed_change_m,std_observed_change_m,pct_observed_landward,mean_observed_minus_total_m
27,10,-0.587,-8.224,3.803,90.0,10,-21.431,4.034,100.0,-13.207
28,10,2.23,31.227,16.594,0.0,10,2.686,12.224,50.0,-28.541
29,10,4.642,64.994,7.135,0.0,10,42.33,9.444,0.0,-22.663
30,10,4.601,64.418,9.52,0.0,10,59.835,4.982,0.0,-4.583
31,11,2.518,35.25,4.106,0.0,11,45.363,2.924,0.0,10.113
32,10,2.255,31.567,4.567,0.0,10,24.843,16.499,0.0,-6.724
33,11,2.536,35.511,10.601,0.0,11,11.245,10.845,18.182,-24.266
34,10,3.805,53.276,1.263,0.0,10,30.618,2.7,0.0,-22.659
35,11,3.464,48.5,2.361,0.0,11,39.303,2.792,0.0,-9.197
36,10,2.489,34.848,9.833,0.0,10,30.925,7.867,0.0,-3.924
37,11,1.02,14.283,2.173,0.0,11,12.275,4.522,0.0,-2.008
38,10,0.962,13.463,1.918,0.0,10,-0.86,1.934,70.0,-14.323
39,10,1.401,19.61,1.505,0.0,10,3.559,1.04,0.0,-16.051
40,10,0.835,11.692,3.315,0.0,10,2.553,2.807,20.0,-9.138
41,10,0.774,10.831,4.429,0.0,10,-1.563,2.177,70.0,-12.394
42,10,0.133,1.863,1.409,0.0,10,-0.703,4.097,80.0,-2.566
43,10,0.302,4.23,2.905,10.0,10,11.768,2.956,0.0,7.539
44,10,0.07,0.977,2.844,40.0,10,6.778,2.834,0.0,5.801
45,10,-0.109,-1.529,5.586,50.0,10,-1.812,10.989,50.0,-0.283
46,10,-0.994,-13.922,4.773,100.0,10,-20.936,8.899,100.0,-7.014
47,10,-0.037,-0.513,2.946,70.0,10,-6.517,4.182,90.0,-6.005
48,10,0.09,1.265,1.957,20.0,10,0.626,2.254,50.0,-0.639
49,10,-0.75,-10.507,5.765,100.0,10,-8.702,2.815,100.0,1.804
50,10,-1.355,-18.973,4.679,100.0,10,-15.222,1.487,100.0,3.752
51,10,-1.31,-18.345,3.591,100.0,10,-20.728,7.866,100.0,-2.383
52,10,-1.808,-25.31,3.168,100.0,10,-40.04,2.055,100.0,-14.73
53,10,-1.242,-17.387,2.166,100.0,10,-19.615,6.113,100.0,-2.228
54,10,-1.314,-18.397,1.064,100.0,10,-14.32,1.935,100.0,4.077
55,10,-1.037,-14.523,2.439,100.0,10,-12.313,2.275,100.0,2.21
56,11,-0.507,-7.098,3.498,100.0,11,-9.375,5.046,90.909,-2.277
57,10,0.289,4.052,2.673,0.0,10,3.888,2.771,0.0,-0.164
58,10,0.617,8.635,1.673,0.0,10,4.452,4.446,20.0,-4.183
59,10,0.435,6.091,1.337,0.0,10,-1.402,1.48,80.0,-7.493
60,10,-0.251,-3.518,2.961,90.0,10,-1.941,1.797,80.0,1.578
61,10,-1.116,-15.626,4.315,100.0,10,-7.06,6.898,100.0,8.566
62,10,-1.247,-17.464,8.834,100.0,10,-24.804,13.195,100.0,-7.339
63,10,1.441,20.173,9.15,0.0,10,20.871,9.429,0.0,0.698
64,10,2.272,31.806,1.982,0.0,10,30.488,1.875,0.0,-1.319
65,10,2.905,40.667,6.932,0.0,10,39.804,7.974,0.0,-0.863
66,11,4.799,67.192,5.416,0.0,11,66.931,4.89,0.0,-0.26
67,10,3.927,54.971,12.214,0.0,10,58.739,13.88,0.0,3.767
68,10,1.656,23.188,6.443,0.0,10,19.216,5.894,0.0,-3.971
69,10,1.51,21.135,3.639,0.0,10,13.777,4.062,0.0,-7.358
70,10,1.923,26.924,1.276,0.0,10,23.989,1.935,0.0,-2.935
71,10,1.429,20.005,3.126,0.0,10,5.364,4.83,0.0,-14.64
72,10,1.752,24.532,1.093,0.0,10,16.785,8.052,0.0,-7.747
73,10,0.403,5.641,11.767,40.0,10,18.068,8.958,0.0,12.428
74,10,-0.882,-12.345,1.665,100.0,10,-16.789,7.829,100.0,-4.444
75,10,0.062,0.865,9.69,40.0,10,-9.112,12.919,60.0,-9.977
76,10,-0.619,-8.66,7.499,80.0,10,-15.807,11.181,90.0,-7.147
77,10,-2.126,-29.765,7.732,100.0,10,-16.896,4.662,100.0,12.869
78,10,-3.527,-49.381,8.039,100.0,10,-33.19,8.506,100.0,16.191
79,10,-0.86,-12.035,8.741,90.0,10,-14.049,11.901,100.0,-2.014
80,10,-0.14,-1.967,2.516,80.0,10,-8.184,4.44,90.0,-6.217
81,10,-0.16,-2.238,8.979,50.0,10,-13.697,10.875,100.0,-11.459
82,10,-1.723,-24.116,4.217,100.0,10,-36.702,6.26,100.0,-12.586
83,10,-1.257,-17.592,3.623,100.0,10,-18.038,6.839,100.0,-0.446
84,11,-0.415,-5.811,3.487,100.0,11,1.199,3.914,18.182,7.01
85,12,-0.12,-1.682,0.975,91.667,12,2.551,2.728,16.667,4.232
86,12,0.145,2.033,3.298,33.333,12,7.181,6.233,8.333,5.148
87,11,0.793,11.109,4.798,0.0,11,15.911,1.365,0.0,4.802
88,10,2.023,28.329,6.056,0.0,10,17.897,7.521,0.0,-10.432
89,9,1.766,24.724,3.83,0.0,9,25.283,4.346,0.0,0.559
90,10,1.912,26.769,3.208,0.0,10,29.17,4.385,0.0,2.4
