t,v,s,f,q
2024-04-08 00:00:00+00:00,0.225,0.057,"0,0,0,0",v
2024-04-09 00:00:00+00:00,0.236,0.052,"0,0,0,0",v
2024-04-10 00:00:00+00:00,0.201,0.044,"0,0,0,0",v
2024-04-11 00:00:00+00:00,0.187,0.049,"0,0,0,0",v
2024-04-12 00:00:00+00:00,0.332,0.04,"0,0,0,0",v
2024-04-13 00:00:00+00:00,0.413,0.048,"0,0,0,0",v
2024-04-14 00:00:00+00:00,0.173,0.053,"0,0,0,0",v
2024-04-15 00:00:00+00:00,0.115,0.057,"0,0,0,0",v
2024-04-16 00:00:00+00:00,0.151,0.058,"0,0,0,0",v
2024-04-17 00:00:00+00:00,0.12,0.062,"0,0,0,0",v
2024-04-18 00:00:00+00:00,0.078,0.057,"0,0,0,0",v
2024-04-19 00:00:00+00:00,0.115,0.058,"0,0,0,0",v
2024-04-20 00:00:00+00:00,0.222,0.06,"0,0,0,0",v
2024-04-21 00:00:00+00:00,0.367,0.067,"0,0,0,0",v
2024-04-22 00:00:00+00:00,0.336,0.058,"0,0,0,0",v
2024-04-23 00:00:00+00:00,0.35,0.053,"0,0,0,0",v
2024-04-24 00:00:00+00:00,0.15,0.045,"0,0,0,0",v
2024-04-25 00:00:00+00:00,0.181,0.062,"0,0,0,0",v
2024-04-26 00:00:00+00:00,0.216,0.069,"0,1,0,0",v
2024-04-27 00:00:00+00:00,0.167,0.058,"0,0,0,0",v
2024-04-28 00:00:00+00:00,0.096,0.05,"0,0,0,0",v
2024-04-29 00:00:00+00:00,0.099,0.063,"0,1,0,0",v
2024-04-30 00:00:00+00:00,0.067,0.052,"0,1,0,0",v
2024-05-01 00:00:00+00:00,0.03,0.05,"0,0,0,0",v
2024-05-02 00:00:00+00:00,0.095,0.038,"0,0,0,0",v
2024-05-03 00:00:00+00:00,0.116,0.047,"0,0,0,0",v
2024-05-04 00:00:00+00:00,0.169,0.053,"0,0,0,0",v
2024-05-05 00:00:00+00:00,0.114,0.057,"0,0,0,0",v
2024-05-06 00:00:00+00:00,0.129,0.056,"0,0,0,0",v
2024-05-07 00:00:00+00:00,0.165,0.046,"0,0,0,0",v
2024-05-08 00:00:00+00:00,0.196,0.063,"0,0,0,0",v
2024-05-09 00:00:00+00:00,0.256,0.055,"0,0,0,0",v
2024-05-10 00:00:00+00:00,0.429,0.06,"0,0,0,0",v
2024-05-11 00:00:00+00:00,0.481,0.045,"0,0,0,0",v
2024-05-12 00:00:00+00:00,0.335,0.047,"0,0,0,0",v
2024-05-13 00:00:00+00:00,0.186,0.043,"0,0,0,0",v
2024-05-14 00:00:00+00:00,0.16,0.057,"0,1,0,0",v
2024-05-15 00:00:00+00:00,0.219,0.054,"0,0,0,0",v
2024-05-16 00:00:00+00:00,0.283,0.06,"0,0,0,0",v
2024-05-17 00:00:00+00:00,0.3,0.068,"0,0,0,0",v
2024-05-18 00:00:00+00:00,0.341,0.062,"0,0,1,0",v
2024-05-19 00:00:00+00:00,0.392,0.058,"0,0,0,0",v
2024-05-20 00:00:00+00:00,0.358,0.066,"0,0,0,0",v
2024-05-21 00:00:00+00:00,0.356,0.059,"0,0,0,0",v
2024-05-22 00:00:00+00:00,0.267,0.055,"0,0,0,0",v
2024-05-23 00:00:00+00:00,0.218,0.061,"0,0,0,0",v
2024-05-24 00:00:00+00:00,0.197,0.054,"0,0,0,0",v
2024-05-25 00:00:00+00:00,0.211,0.054,"0,0,0,0",v
2024-05-26 00:00:00+00:00,0.233,0.05,"0,0,0,0",v
2024-05-27 00:00:00+00:00,0.199,0.058,"0,0,0,0",v
2024-05-28 00:00:00+00:00,0.209,0.054,"0,0,0,0",v
2024-05-29 00:00:00+00:00,0.27,0.068,"0,0,0,0",v
2024-05-30 00:00:00+00:00,0.439,0.062,"0,0,0,0",v
2024-05-31 00:00:00+00:00,0.346,0.059,"0,0,0,0",v
2024-06-01 00:00:00+00:00,0.175,0.063,"0,0,0,0",v
2024-06-02 00:00:00+00:00,0.105,0.06,"0,1,0,0",v
2024-06-03 00:00:00+00:00,0.084,0.06,"0,0,0,0",v
2024-06-04 00:00:00+00:00,0.132,0.049,"0,0,0,0",v
2024-06-05 00:00:00+00:00,0.145,0.059,"0,0,0,0",v
2024-06-06 00:00:00+00:00,0.133,0.052,"0,0,0,0",v
2024-06-07 00:00:00+00:00,0.191,0.054,"1,0,0,0",v
2024-06-08 00:00:00+00:00,0.249,0.052,"0,0,0,0",v
2024-06-09 00:00:00+00:00,0.165,0.063,"0,0,0,0",v
2024-06-10 00:00:00+00:00,0.247,0.046,"0,0,0,0",v
2024-06-11 00:00:00+00:00,0.204,0.054,"0,0,0,0",v
2024-06-12 00:00:00+00:00,0.129,0.055,"0,0,0,0",v
2024-06-13 00:00:00+00:00,0.099,0.052,"0,0,0,0",v
2024-06-14 00:00:00+00:00,0.086,0.059,"0,0,0,0",v
2024-06-15 00:00:00+00:00,0.16,0.053,"0,0,0,0",v
2024-06-16 00:00:00+00:00,0.106,0.05,"0,0,0,0",v
2024-06-17 00:00:00+00:00,0.06,0.051,"0,1,0,0",v
2024-06-18 00:00:00+00:00,0.014,0.048,"0,0,0,0",v
2024-06-19 00:00:00+00:00,0.014,0.05,"0,0,0,0",v
2024-06-20 00:00:00+00:00,0.018,0.055,"0,1,0,0",v
2024-06-21 00:00:00+00:00,0.02,0.052,"0,0,0,0",v
2024-06-22 00:00:00+00:00,0.026,0.048,"0,1,0,0",v
2024-06-23 00:00:00+00:00,0.028,0.051,"0,0,0,0",v
2024-06-24 00:00:00+00:00,0.144,0.066,"0,0,0,0",v
2024-06-25 00:00:00+00:00,0.003,0.065,"0,0,0,0",v
2024-06-26 00:00:00+00:00,0.033,0.059,"0,0,0,0",v
2024-06-27 00:00:00+00:00,0.217,0.056,"0,0,0,0",v
2024-06-28 00:00:00+00:00,0.052,0.059,"0,0,0,0",v
2024-06-29 00:00:00+00:00,0.079,0.057,"0,0,0,0",v
2024-06-30 00:00:00+00:00,0.036,0.057,"0,0,0,0",v
2024-07-01 00:00:00+00:00,0.333,0.053,"0,0,0,0",v
2024-07-02 00:00:00+00:00,0.097,0.051,"0,0,0,0",v
2024-07-03 00:00:00+00:00,0.081,0.046,"0,1,0,0",v
2024-07-04 00:00:00+00:00,0.059,0.045,"0,0,0,0",v
2024-07-05 00:00:00+00:00,0.058,0.052,"0,0,0,0",v
2024-07-06 00:00:00+00:00,0.03,0.052,"0,0,0,0",v
2024-07-07 00:00:00+00:00,0.055,0.048,"0,0,0,0",v
2024-07-08 00:00:00+00:00,0.1,0.044,"0,1,0,0",v
2024-07-09 00:00:00+00:00,0.08,0.063,"0,0,0,0",v
2024-07-10 00:00:00+00:00,0.002,0.05,"0,0,0,0",v
2024-07-11 00:00:00+00:00,-0.048,0.056,"1,0,0,0",v
2024-07-12 00:00:00+00:00,-0.096,0.058,"0,0,0,0",v
2024-07-13 00:00:00+00:00,0.07,0.064,"0,0,0,0",v
2024-07-14 00:00:00+00:00,0.095,0.067,"0,0,0,0",v
2024-07-15 00:00:00+00:00,0.198,0.058,"0,0,0,0",v
2024-07-16 00:00:00+00:00,0.012,0.054,"0,0,0,0",v
2024-07-17 00:00:00+00:00,-0.016,0.055,"0,0,0,0",v
2024-07-18 00:00:00+00:00,0.077,0.058,"0,0,0,0",v
2024-07-19 00:00:00+00:00,0.156,0.048,"0,0,0,0",v
2024-07-20 00:00:00+00:00,0.142,0.059,"0,0,0,0",v
2024-07-21 00:00:00+00:00,0.19,0.058,"0,0,0,0",v
2024-07-22 00:00:00+00:00,0.133,0.053,"0,0,0,0",v
2024-07-23 00:00:00+00:00,0.107,0.045,"0,0,0,0",v
2024-07-24 00:00:00+00:00,0.154,0.057,"0,0,0,0",v
2024-07-25 00:00:00+00:00,0.184,0.055,"0,0,0,0",v
2024-07-26 00:00:00+00:00,0.395,0.061,"0,0,0,0",v
2024-07-27 00:00:00+00:00,0.278,0.056,"0,0,0,0",v
2024-07-28 00:00:00+00:00,0.248,0.06,"0,0,0,0",v
2024-07-29 00:00:00+00:00,0.197,0.058,"0,0,0,0",v
2024-07-30 00:00:00+00:00,0.112,0.056,"0,0,0,0",v
2024-07-31 00:00:00+00:00,0.114,0.049,"0,0,0,0",v
2024-08-01 00:00:00+00:00,0.175,0.054,"0,0,0,0",v
2024-08-02 00:00:00+00:00,0.142,0.049,"0,0,0,0",v
2024-08-03 00:00:00+00:00,0.112,0.056,"0,0,0,0",v
2024-08-04 00:00:00+00:00,0.066,0.052,"0,0,0,0",v
2024-08-05 00:00:00+00:00,0.032,0.047,"0,0,0,0",v
2024-08-06 00:00:00+00:00,0.016,0.053,"0,1,0,0",v
2024-08-07 00:00:00+00:00,0.071,0.051,"0,0,0,0",v
2024-08-08 00:00:00+00:00,0.014,0.062,"0,0,0,0",v
2024-08-09 00:00:00+00:00,0.155,0.052,"0,0,0,0",v
2024-08-10 00:00:00+00:00,0.273,0.054,"0,0,0,0",v
2024-08-11 00:00:00+00:00,0.434,0.055,"0,0,0,0",v
2024-08-12 00:00:00+00:00,0.29,0.058,"0,0,0,0",v
2024-08-13 00:00:00+00:00,0.249,0.052,"0,0,0,0",v
2024-08-14 00:00:00+00:00,0.158,0.049,"0,0,0,0",v
2024-08-15 00:00:00+00:00,0.164,0.051,"0,1,0,0",v
2024-08-16 00:00:00+00:00,0.146,0.056,"0,0,0,0",v
2024-08-17 00:00:00+00:00,0.143,0.053,"0,0,0,0",v
2024-08-18 00:00:00+00:00,0.12,0.054,"0,0,0,0",v
2024-08-19 00:00:00+00:00,0.201,0.055,"0,0,0,0",v
2024-08-20 00:00:00+00:00,0.418,0.057,"0,0,0,0",v
2024-08-21 00:00:00+00:00,0.282,0.067,"0,0,0,0",v
2024-08-22 00:00:00+00:00,0.266,0.065,"0,0,0,0",v
2024-08-23 00:00:00+00:00,0.222,0.057,"0,0,0,0",v
2024-08-24 00:00:00+00:00,0.195,0.058,"0,0,0,0",v
2024-08-25 00:00:00+00:00,0.173,0.067,"0,0,0,0",v
2024-08-26 00:00:00+00:00,0.145,0.056,"0,0,0,0",v
2024-08-27 00:00:00+00:00,0.093,0.061,"0,0,0,0",v
2024-08-28 00:00:00+00:00,0.084,0.053,"0,0,0,0",v
2024-08-29 00:00:00+00:00,0.116,0.047,"0,0,0,0",v
2024-08-30 00:00:00+00:00,0.134,0.049,"0,0,0,0",v
2024-08-31 00:00:00+00:00,0.274,0.058,"0,0,0,0",v
2024-09-01 00:00:00+00:00,0.184,0.053,"0,0,0,0",v
2024-09-02 00:00:00+00:00,0.228,0.062,"0,0,0,0",v
2024-09-03 00:00:00+00:00,0.293,0.06,"0,0,0,0",v
2024-09-04 00:00:00+00:00,0.289,0.051,"0,0,0,0",v
2024-09-05 00:00:00+00:00,0.296,0.05,"0,0,0,0",v
2024-09-06 00:00:00+00:00,0.322,0.054,"0,0,0,0",v
2024-09-07 00:00:00+00:00,0.231,0.051,"0,0,0,0",v
2024-09-08 00:00:00+00:00,0.415,0.054,"0,0,0,0",v
2024-09-09 00:00:00+00:00,0.261,0.054,"0,0,0,0",v
2024-09-10 00:00:00+00:00,0.191,0.057,"0,0,0,0",v
2024-09-11 00:00:00+00:00,0.169,0.05,"0,0,0,0",v
2024-09-12 00:00:00+00:00,0.193,0.05,"0,0,0,0",v
2024-09-13 00:00:00+00:00,0.275,0.054,"0,0,0,0",v
2024-09-14 00:00:00+00:00,0.301,0.057,"0,0,0,0",v
2024-09-15 00:00:00+00:00,0.309,0.055,"0,0,0,0",v
2024-09-16 00:00:00+00:00,0.321,0.045,"0,0,0,0",v
2024-09-17 00:00:00+00:00,0.439,0.04,"0,0,0,0",v
2024-09-18 00:00:00+00:00,0.463,0.04,"0,0,0,0",v
2024-09-19 00:00:00+00:00,0.47,0.046,"0,0,0,0",v
2024-09-20 00:00:00+00:00,0.552,0.055,"0,0,0,0",v
2024-09-21 00:00:00+00:00,0.507,0.043,"0,0,0,0",v
2024-09-22 00:00:00+00:00,0.479,0.047,"0,0,0,0",v
2024-09-23 00:00:00+00:00,0.524,0.046,"0,1,0,0",v
2024-09-24 00:00:00+00:00,0.49,0.055,"0,0,0,0",v
2024-09-25 00:00:00+00:00,0.456,0.049,"0,0,0,0",v
2024-09-26 00:00:00+00:00,0.452,0.06,"0,0,0,0",v
2024-09-27 00:00:00+00:00,0.385,0.053,"0,0,0,0",v
2024-09-28 00:00:00+00:00,0.448,0.065,"0,0,0,0",v
2024-09-29 00:00:00+00:00,0.478,0.06,"0,0,0,0",v
2024-09-30 00:00:00+00:00,0.479,0.048,"0,0,0,0",v
2024-10-01 00:00:00+00:00,0.518,0.043,"0,0,1,0",v
2024-10-02 00:00:00+00:00,0.569,0.045,"0,0,0,0",v
2024-10-03 00:00:00+00:00,0.561,0.037,"0,0,0,0",v
2024-10-04 00:00:00+00:00,0.491,0.038,"0,0,0,0",v
2024-10-05 00:00:00+00:00,0.448,0.051,"0,0,0,0",v
2024-10-06 00:00:00+00:00,0.427,0.043,"0,0,0,0",v
2024-10-07 00:00:00+00:00,0.373,0.045,"0,0,0,0",v
2024-10-08 00:00:00+00:00,0.388,0.06,"0,0,0,0",v
2024-10-09 00:00:00+00:00,0.399,0.051,"0,0,0,0",v
2024-10-10 00:00:00+00:00,0.36,0.057,"0,0,0,0",v
2024-10-11 00:00:00+00:00,0.392,0.059,"0,0,0,0",v
2024-10-12 00:00:00+00:00,0.334,0.047,"0,0,0,0",v
2024-10-13 00:00:00+00:00,0.249,0.053,"0,0,0,0",v
2024-10-14 00:00:00+00:00,0.207,0.053,"0,0,0,0",v
2024-10-15 00:00:00+00:00,0.253,0.049,"0,0,0,0",v
2024-10-16 00:00:00+00:00,0.316,0.054,"0,0,0,0",v
2024-10-17 00:00:00+00:00,0.456,0.048,"0,0,0,0",v
2024-10-18 00:00:00+00:00,0.317,0.057,"0,0,0,0",v
2024-10-19 00:00:00+00:00,0.288,0.057,"0,0,0,0",v
2024-10-20 00:00:00+00:00,0.278,0.061,"0,0,0,0",v
2024-10-21 00:00:00+00:00,0.222,0.055,"0,0,0,0",v
2024-10-22 00:00:00+00:00,0.181,0.042,"0,0,0,0",v
2024-10-23 00:00:00+00:00,0.139,0.045,"0,0,0,0",v
2024-10-24 00:00:00+00:00,0.228,0.059,"0,0,0,0",v
2024-10-25 00:00:00+00:00,0.219,0.043,"0,1,0,0",v
2024-10-26 00:00:00+00:00,0.158,0.055,"0,0,0,0",v
2024-10-27 00:00:00+00:00,0.158,0.05,"0,0,0,0",v
2024-10-28 00:00:00+00:00,0.177,0.058,"1,0,0,0",v
2024-10-29 00:00:00+00:00,0.176,0.054,"1,0,0,0",v
2024-10-30 00:00:00+00:00,0.154,0.041,"0,0,0,0",v
2024-10-31 00:00:00+00:00,0.131,0.05,"0,0,0,0",v
2024-11-01 00:00:00+00:00,0.084,0.046,"0,0,0,0",v
2024-11-02 00:00:00+00:00,0.175,0.046,"0,0,0,0",v
2024-11-03 00:00:00+00:00,0.144,0.047,"0,0,0,0",v
2024-11-04 00:00:00+00:00,0.151,0.043,"0,0,0,0",v
2024-11-05 00:00:00+00:00,0.14,0.057,"0,1,0,0",v
2024-11-06 00:00:00+00:00,0.125,0.047,"0,0,0,0",v
2024-11-07 00:00:00+00:00,0.08,0.048,"0,0,0,0",v
2024-11-08 00:00:00+00:00,0.113,0.049,"0,0,0,0",v
2024-11-09 00:00:00+00:00,0.209,0.044,"0,0,0,0",v
2024-11-10 00:00:00+00:00,0.085,0.048,"0,1,0,0",v
2024-11-11 00:00:00+00:00,0.126,0.06,"0,0,0,0",v
2024-11-12 00:00:00+00:00,0.248,0.047,"0,0,0,0",v
2024-11-13 00:00:00+00:00,0.272,0.045,"0,1,0,0",v
2024-11-14 00:00:00+00:00,0.219,0.036,"0,0,0,0",v
2024-11-15 00:00:00+00:00,0.598,0.053,"0,0,0,0",v
2024-11-16 00:00:00+00:00,0.581,0.036,"0,0,0,0",v
2024-11-17 00:00:00+00:00,0.42,0.041,"0,0,0,0",v
2024-11-18 00:00:00+00:00,0.387,0.045,"0,0,0,0",v
2024-11-19 00:00:00+00:00,0.314,0.043,"0,0,0,0",v
2024-11-20 00:00:00+00:00,0.286,0.053,"0,0,0,0",v
2024-11-21 00:00:00+00:00,0.575,0.047,"0,0,0,0",v
2024-11-22 00:00:00+00:00,0.5,0.049,"0,0,0,0",v
2024-11-23 00:00:00+00:00,0.535,0.046,"0,0,0,0",v
2024-11-24 00:00:00+00:00,0.21,0.05,"0,0,0,0",v
2024-11-25 00:00:00+00:00,0.112,0.045,"0,0,0,0",v
2024-11-26 00:00:00+00:00,0.03,0.04,"0,0,0,0",v
2024-11-27 00:00:00+00:00,0.041,0.043,"0,0,0,0",v
2024-11-28 00:00:00+00:00,0.164,0.046,"0,0,0,0",v
2024-11-29 00:00:00+00:00,0.154,0.044,"0,0,0,0",v
2024-11-30 00:00:00+00:00,0.282,0.042,"0,0,0,0",v
2024-12-01 00:00:00+00:00,0.135,0.055,"0,0,0,0",v
2024-12-02 00:00:00+00:00,0.112,0.047,"0,0,0,0",v
2024-12-03 00:00:00+00:00,0.139,0.042,"0,1,0,0",v
2024-12-04 00:00:00+00:00,0.077,0.051,"0,0,0,0",v
2024-12-05 00:00:00+00:00,0.066,0.058,"0,0,0,0",v
2024-12-06 00:00:00+00:00,0.092,0.054,"1,0,0,0",v
2024-12-07 00:00:00+00:00,-0.024,0.056,"0,0,0,0",v
2024-12-08 00:00:00+00:00,-0.069,0.057,"0,0,0,0",v
2024-12-09 00:00:00+00:00,-0.134,0.062,"0,0,0,0",v
2024-12-10 00:00:00+00:00,-0.128,0.068,"0,0,0,0",v
2024-12-11 00:00:00+00:00,-0.061,0.049,"0,0,0,0",v
2024-12-12 00:00:00+00:00,0.259,0.044,"0,0,0,0",v
2024-12-13 00:00:00+00:00,-0.007,0.056,"0,0,0,0",v
2024-12-14 00:00:00+00:00,-0.026,0.057,"0,1,0,0",v
2024-12-15 00:00:00+00:00,0.031,0.052,"0,0,0,0",v
2024-12-16 00:00:00+00:00,0.02,0.041,"0,0,0,0",v
2024-12-17 00:00:00+00:00,-0.016,0.043,"0,0,0,0",v
2024-12-18 00:00:00+00:00,-0.028,0.052,"0,0,0,0",v
2024-12-19 00:00:00+00:00,0.061,0.051,"0,0,0,0",v
2024-12-20 00:00:00+00:00,0.119,0.052,"0,0,0,0",v
2024-12-21 00:00:00+00:00,0.19,0.056,"0,0,0,0",v
2024-12-22 00:00:00+00:00,0.139,0.056,"0,0,0,0",v
2024-12-23 00:00:00+00:00,0.1,0.062,"0,0,0,0",v
2024-12-24 00:00:00+00:00,0.072,0.04,"0,0,0,0",v
2024-12-25 00:00:00+00:00,0.107,0.038,"0,0,0,0",v
2024-12-26 00:00:00+00:00,0.109,0.044,"0,0,0,0",v
2024-12-27 00:00:00+00:00,0.077,0.049,"0,0,0,0",v
2024-12-28 00:00:00+00:00,0.012,0.041,"0,0,0,0",v
2024-12-29 00:00:00+00:00,0.035,0.042,"0,0,0,0",v
2024-12-30 00:00:00+00:00,0.12,0.041,"0,0,0,0",v
2024-12-31 00:00:00+00:00,0.059,0.001,"0,0,0,0",v
