domain_number,window_domains,window_km,total_change_m,observed_m,observed_minus_total_m
64,5,2.5,-2.923,-5.922,-3.0
65,5,2.5,22.364,10.382,-11.983
66,5,2.5,47.345,33.233,-14.112
67,5,2.5,61.602,51.85,-9.752
68,5,2.5,58.786,56.055,-2.73
69,5,2.5,43.636,46.376,2.74
70,5,2.5,30.452,32.339,1.887
71,5,2.5,25.102,22.719,-2.382
72,5,2.5,24.971,19.751,-5.22
73,5,2.5,19.318,15.128,-4.19
74,5,2.5,2.069,-1.179,-3.247
75,5,2.5,-20.746,-27.896,-7.151
76,5,2.5,-39.117,-55.899,-16.782
77,5,2.5,-48.689,-76.616,-27.926
78,5,2.5,-50.564,-81.18,-30.616
79,5,2.5,-52.396,-78.39,-25.994
80,5,2.5,-52.227,-74.343,-22.116
81,5,2.5,-51.331,-70.056,-18.726
82,5,2.5,-50.027,-63.163,-13.136
83,5,2.5,-48.276,-55.987,-7.712
84,5,2.5,-42.61,-47.965,-5.355
85,5,2.5,-29.249,-37.501,-8.252
86,5,2.5,-14.372,-26.39,-12.018
87,5,2.5,2.734,-12.896,-15.63
88,5,2.5,17.782,4.588,-13.195
89,5,2.5,27.887,20.69,-7.197
90,5,2.5,36.423,36.102,-0.321
1,10,5.0,79.613,136.271,56.658
2,10,5.0,70.758,65.32,-5.438
3,10,5.0,68.983,54.37,-14.613
4,10,5.0,53.742,53.081,-0.661
5,10,5.0,22.977,31.265,8.288
6,10,5.0,-38.868,-35.966,2.902
7,10,5.0,-36.787,-44.79,-8.003
8,10,5.0,-9.06,-26.873,-17.814
9,10,5.0,3.84,-17.243,-21.082
10,10,5.0,20.0,-6.483,-26.483
11,10,5.0,15.874,-2.792,-18.666
12,10,5.0,20.002,5.706,-14.297
13,10,5.0,23.44,15.247,-8.193
14,10,5.0,26.336,25.529,-0.807
15,10,5.0,30.002,35.942,5.939
16,10,5.0,34.093,44.711,10.617
17,10,5.0,35.491,48.19,12.699
18,10,5.0,31.766,44.952,13.186
19,10,5.0,23.979,36.12,12.142
20,10,5.0,12.964,23.166,10.203
21,10,5.0,-2.399,7.821,10.219
22,10,5.0,-20.028,-7.695,12.333
23,10,5.0,-29.264,-18.069,11.195
24,10,5.0,-28.532,-19.616,8.915
25,10,5.0,-23.754,-13.798,9.956
26,10,5.0,-13.937,-0.831,13.106
27,10,5.0,2.801,15.398,12.597
28,10,5.0,20.315,29.568,9.253
29,10,5.0,33.113,40.277,7.164
30,10,5.0,43.377,45.774,2.397
31,10,5.0,51.881,44.858,-7.023
32,10,5.0,51.496,34.589,-16.907
33,10,5.0,41.798,19.61,-22.188
34,10,5.0,30.465,7.213,-23.252
35,10,5.0,21.129,-0.682,-21.811
36,10,5.0,14.176,-3.702,-17.878
37,10,5.0,9.067,-3.26,-12.327
38,10,5.0,6.596,-0.937,-7.533
39,10,5.0,6.796,2.651,-4.145
40,10,5.0,7.837,6.67,-1.167
41,10,5.0,7.966,9.534,1.568
42,10,5.0,5.864,9.551,3.687
43,10,5.0,1.271,6.351,5.08
44,10,5.0,-4.615,1.405,6.02
45,10,5.0,-9.765,-3.231,6.534
46,10,5.0,-13.375,-7.751,5.624
47,10,5.0,-15.935,-13.097,2.838
48,10,5.0,-17.531,-18.226,-0.696
49,10,5.0,-18.013,-21.666,-3.653
50,10,5.0,-18.253,-23.692,-5.439
51,10,5.0,-19.066,-25.569,-6.504
52,10,5.0,-19.88,-27.208,-7.327
53,10,5.0,-19.305,-26.663,-7.358
54,10,5.0,-16.844,-23.098,-6.254
55,10,5.0,-12.609,-16.779,-4.17
56,10,5.0,-7.803,-9.216,-1.413
57,10,5.0,-4.887,-3.254,1.633
58,10,5.0,-5.59,-0.618,4.972
59,10,5.0,-9.259,-0.559,8.7
60,10,5.0,-13.22,-1.949,11.271
61,10,5.0,-15.316,-4.591,10.725
62,10,5.0,-15.092,-6.757,8.334
63,10,5.0,-10.393,-4.479,5.915
64,10,5.0,0.989,3.688,2.7
65,10,5.0,15.38,15.596,0.216
66,10,5.0,25.626,26.855,1.229
67,10,5.0,32.462,35.109,2.647
68,10,5.0,37.294,39.454,2.16
69,10,5.0,39.297,39.469,0.172
70,10,5.0,35.049,35.072,0.024
71,10,5.0,27.813,27.163,-0.651
72,10,5.0,18.544,16.781,-1.764
73,10,5.0,7.368,4.052,-3.316
74,10,5.0,-4.641,-11.662,-7.021
75,10,5.0,-16.841,-27.899,-11.058
76,10,5.0,-29.466,-42.673,-13.207
77,10,5.0,-40.997,-56.429,-15.432
78,10,5.0,-48.47,-67.18,-18.71
79,10,5.0,-51.574,-72.358,-20.784
80,10,5.0,-52.123,-71.041,-18.917
81,10,5.0,-51.404,-66.591,-15.188
82,10,5.0,-48.919,-61.389,-12.47
83,10,5.0,-43.67,-54.691,-11.021
84,10,5.0,-35.817,-45.797,-9.98
85,10,5.0,-25.517,-35.32,-9.804
86,10,5.0,-12.561,-22.692,-10.132
87,10,5.0,1.008,-8.494,-9.502
88,10,5.0,14.451,5.686,-8.764
89,10,5.0,27.987,20.069,-7.918
90,10,5.0,41.464,34.673,-6.791
