domain_number,n_transects,mean_change_m,std_change_m,min_change_m,max_change_m,mean_rate_m_yr,std_rate_m_yr,pct_landward
76,5,-21.164,6.539,-29.094,-12.396,-1.502,0.464,100.0
77,5,-22.295,3.023,-25.398,-17.358,-1.583,0.215,100.0
78,5,-31.684,7.016,-39.377,-21.266,-2.249,0.498,100.0
79,5,-15.731,4.49,-21.206,-9.619,-1.117,0.319,100.0
80,5,-16.581,7.603,-23.079,-5.225,-1.177,0.54,100.0
81,5,2.138,12.76,-15.665,17.396,0.152,0.906,40.0
82,5,-1.134,7.728,-13.541,7.873,-0.08,0.549,20.0
83,5,-35.456,10.458,-50.504,-23.712,-2.517,0.742,100.0
84,5,-22.138,17.75,-45.198,-0.123,-1.572,1.26,100.0
85,5,4.355,4.361,-1.011,9.063,0.309,0.31,20.0
86,5,9.193,7.149,-0.931,14.751,0.653,0.508,20.0
87,5,4.241,3.037,0.909,7.879,0.301,0.216,0.0
88,5,15.005,6.254,7.614,23.054,1.065,0.444,0.0
89,5,18.938,4.343,12.307,22.923,1.344,0.308,0.0
90,5,15.932,7.301,3.007,20.748,1.131,0.518,0.0
