year,domain,section,setback_dunestart_m,setback_dunestart_floored_m,setback_model_m,drowns_at_init,relocated_seaward_m,n_road_profiles,setback_p10_m,setback_p90_m,setback_min_m,setback_max_m,setback_center_m,measured_road_width_m,road_elev_mhw_median,road_elev_mhw_mean,road_elev_std_m,road_elev_navd_median,n_road_cells,water_frac,obliquity_deg,shear_max_cells,lead_trim_rows,window,flags,setback_legacy_m,delta_vs_legacy_m
2004,35,Avon-Tri-Village / Wimble Shoals,320.0,320.0,320.0,no,0.0,50,309.0,340.0,290.0,350.0,330.0,20.0,0.331,0.304,0.133,0.691,123,0.0,9.56,8,0,"[9,19]",,406.0,86.0
2004,36,Avon-Tri-Village / Wimble Shoals,330.0,330.0,330.0,no,0.0,50,320.0,340.0,310.0,340.0,340.0,20.0,0.339,0.332,0.117,0.699,123,0.0,11.62,10,0,"[8,14]",,392.0,62.0
2004,37,Avon-Tri-Village / Wimble Shoals,320.0,320.0,320.0,no,0.0,50,300.0,331.0,290.0,340.0,330.0,20.0,0.481,0.526,0.167,0.841,124,0.0,11.67,10,0,"[7,13]",,346.0,26.0
2004,38,Avon-Tri-Village / Wimble Shoals,280.0,280.0,280.0,no,0.0,50,260.0,300.0,250.0,310.0,287.5,20.0,0.589,0.619,0.167,0.949,124,0.0,10.84,9,0,"[8,14]",,269.0,-11.0
2004,39,Avon-Tri-Village / Wimble Shoals,230.0,230.0,230.0,no,0.0,50,220.0,250.0,220.0,260.0,235.0,20.0,0.716,0.74,0.144,1.076,118,0.0,3.14,3,0,"[5,11]",,224.0,-6.0
2004,40,Avon-Tri-Village / Wimble Shoals,210.0,210.0,210.0,no,0.0,50,200.0,220.0,200.0,230.0,215.0,20.0,0.849,0.862,0.141,1.209,114,0.0,3.19,3,0,"[5,12]",,211.0,1.0
2004,41,Avon-Tri-Village / Wimble Shoals,190.0,190.0,190.0,no,0.0,50,190.0,200.0,190.0,200.0,200.0,20.0,0.785,0.809,0.173,1.145,115,0.0,2.7,2,0,"[7,13]",,196.0,6.0
2004,42,Avon-Tri-Village / Wimble Shoals,180.0,180.0,180.0,no,0.0,50,169.0,190.0,160.0,190.0,187.5,20.0,0.708,0.721,0.221,1.068,115,0.0,0.81,1,0,"[6,12]",,180.0,0.0
2004,43,Avon-Tri-Village / Wimble Shoals,170.0,170.0,170.0,no,0.0,50,160.0,170.0,160.0,170.0,175.0,20.0,0.55,0.608,0.247,0.91,112,0.0,1.65,1,0,"[8,12]",,168.0,-2.0
2004,44,Avon-Tri-Village / Wimble Shoals,160.0,160.0,160.0,no,0.0,50,150.0,160.0,150.0,170.0,165.0,20.0,0.535,0.564,0.189,0.895,114,0.0,5.01,4,0,"[4,11]",,159.0,-1.0
