domain_number,n_transects,mean_change_m,std_change_m,min_change_m,max_change_m,mean_rate_m_yr,std_rate_m_yr,pct_landward,median_n_start,median_n_end,n_transects_empty_window
57,10,-14.634,2.905,-20.162,-10.561,-0.569,0.113,100.0,4.0,39.0,0
58,10,-16.211,4.36,-22.875,-10.04,-0.63,0.17,100.0,5.0,39.5,0
59,10,1.89,5.894,-10.602,7.526,0.073,0.229,30.0,5.0,39.0,0
60,10,-14.218,6.205,-22.863,-4.302,-0.553,0.241,100.0,5.0,39.0,0
61,10,-28.527,3.317,-32.934,-22.344,-1.109,0.129,100.0,5.0,39.0,0
62,10,-35.279,5.089,-41.253,-27.581,-1.372,0.198,100.0,5.0,39.0,0
63,10,-12.75,7.894,-26.461,-4.758,-0.496,0.307,100.0,4.0,38.0,0
64,10,-4.37,1.849,-6.416,-1.139,-0.17,0.072,100.0,4.0,38.5,0
65,10,11.508,8.926,-3.882,24.067,0.448,0.347,10.0,4.0,38.0,0
66,11,42.533,11.587,26.909,58.828,1.654,0.451,0.0,4.0,37.0,0
67,10,67.525,3.405,61.313,71.752,2.626,0.132,0.0,4.0,37.0,0
68,10,63.371,7.003,51.422,72.257,2.464,0.272,0.0,4.0,37.0,0
69,10,34.333,6.692,23.655,44.536,1.335,0.26,0.0,5.0,38.5,0
70,10,9.804,2.807,7.356,16.816,0.381,0.109,0.0,5.0,39.0,0
71,10,21.305,9.336,9.732,34.542,0.828,0.363,0.0,7.0,44.0,0
72,10,39.247,2.822,34.733,42.373,1.526,0.11,0.0,5.0,45.0,0
73,10,31.928,3.204,27.643,36.067,1.242,0.125,0.0,6.0,46.0,0
74,10,22.398,11.008,4.501,35.53,0.871,0.428,0.0,7.0,46.0,0
75,10,-1.208,4.407,-11.42,3.8,-0.047,0.171,50.0,7.0,46.0,0
76,10,-53.764,19.344,-72.521,-21.023,-2.091,0.752,100.0,7.0,46.5,0
77,10,-65.253,5.193,-72.924,-57.772,-2.537,0.202,100.0,7.0,45.0,0
78,10,-69.413,9.782,-78.516,-49.966,-2.699,0.38,100.0,7.0,44.0,0
79,10,-47.171,3.422,-53.129,-43.872,-1.834,0.133,100.0,7.0,43.5,0
80,10,-70.301,13.276,-84.041,-54.454,-2.734,0.516,100.0,5.0,41.0,0
81,10,-64.227,8.902,-79.789,-52.44,-2.497,0.346,100.0,5.0,42.5,0
82,10,-40.795,6.88,-50.955,-30.121,-1.586,0.268,100.0,6.0,44.0,0
83,10,-56.854,7.465,-67.756,-42.716,-2.211,0.29,100.0,6.0,45.0,0
84,11,-58.311,7.6,-72.736,-48.76,-2.267,0.296,100.0,6.0,44.0,0
85,12,-37.341,5.147,-47.373,-27.99,-1.452,0.2,100.0,6.0,43.0,0
86,12,-29.121,3.644,-34.924,-23.993,-1.132,0.142,100.0,6.0,41.0,0
87,11,-8.035,10.402,-22.211,7.462,-0.312,0.404,72.727,6.0,42.0,0
88,10,24.064,10.883,4.512,34.117,0.936,0.423,0.0,6.0,42.0,0
89,9,34.661,3.884,27.466,39.331,1.348,0.151,0.0,6.0,42.0,0
90,10,51.108,9.602,37.18,63.276,1.987,0.373,0.0,6.0,39.0,0
