domain_number,n_valid,mean_lrr,median_lrr,std_lrr,min_lrr,max_lrr,pct_eroding,n_transects
61.0,5,-0.635,-0.626,0.481,-1.215,-0.094,100.0,5
62.0,5,0.403,0.323,0.451,-0.244,0.932,20.0,5
63.0,5,2.986,3.654,1.208,0.956,3.811,0.0,5
64.0,5,3.587,3.717,0.498,2.722,3.99,0.0,5
65.0,5,2.602,2.46,0.858,1.546,3.909,0.0,5
66.0,5,4.686,4.343,0.822,4.159,6.111,0.0,5
67.0,5,2.9,3.682,3.308,-0.825,6.733,40.0,5
68.0,5,-0.908,-0.84,0.353,-1.269,-0.417,100.0,5
69.0,5,-0.521,-0.532,0.179,-0.723,-0.237,100.0,5
70.0,5,-0.478,-0.538,0.156,-0.62,-0.226,100.0,5
71.0,5,-0.582,-0.592,0.057,-0.641,-0.508,100.0,5
72.0,5,-0.309,-0.23,0.247,-0.633,-0.009,100.0,5
73.0,5,0.027,-0.008,0.155,-0.157,0.188,60.0,5
74.0,5,-0.235,-0.278,0.217,-0.51,0.088,80.0,5
75.0,5,0.114,0.157,0.533,-0.455,0.798,40.0,5
76.0,5,0.016,-0.027,0.728,-0.941,1.108,60.0,5
77.0,5,-3.242,-3.158,1.572,-4.892,-1.281,100.0,5
78.0,5,-5.054,-5.17,0.524,-5.599,-4.196,100.0,5
79.0,5,1.18,4.216,4.891,-5.22,5.539,40.0,5
80.0,5,1.117,1.836,3.057,-2.72,3.974,40.0,5
81.0,5,-4.495,-5.914,2.403,-6.276,-0.769,100.0,5
82.0,5,-3.932,-3.765,0.899,-5.415,-3.109,100.0,5
83.0,5,-2.946,-2.802,0.609,-3.988,-2.428,100.0,5
84.0,5,-4.864,-4.879,0.366,-5.33,-4.383,100.0,5
85.0,5,-6.521,-6.299,0.856,-7.492,-5.533,100.0,5
86.0,5,-4.592,-4.539,1.396,-6.616,-2.834,100.0,5
87.0,5,-4.149,-4.319,0.991,-5.296,-2.893,100.0,5
88.0,5,-3.014,-3.103,0.533,-3.71,-2.32,100.0,5
89.0,5,-2.084,-2.262,0.497,-2.588,-1.472,100.0,5
90.0,5,-1.149,-1.271,0.578,-1.684,-0.353,100.0,5
