dune_vintage,gis,beach_width_m,min_m,max_m,n_transects
2023,23,59.99,53.88,64.45,10
2023,24,61.60,57.77,64.71,10
2023,25,52.43,47.73,57.59,10
2023,26,47.28,40.90,50.73,10
2023,27,42.20,33.92,47.05,10
2023,28,75.10,48.23,100.43,10
2023,29,97.69,88.43,104.94,10
2023,30,92.74,78.05,103.93,10
2023,31,81.00,73.11,87.18,11
2023,32,76.76,73.30,83.87,10
2023,33,76.58,70.38,91.89,11
2023,34,78.71,71.88,84.85,10
2023,35,65.75,55.85,72.71,11
2023,36,57.79,50.43,61.64,10
2023,37,50.64,47.46,55.10,11
2023,38,41.76,37.76,49.45,10
2023,39,43.39,41.27,46.07,10
2023,40,64.25,50.51,76.91,10
2023,41,63.66,51.94,79.59,10
2023,42,53.31,51.76,55.26,10
2023,43,46.50,36.64,53.55,10
2023,44,34.75,27.33,39.85,10
2023,45,29.01,25.77,30.62,10
2023,46,31.33,29.84,34.79,10
2023,47,32.83,27.68,38.70,10
2023,48,32.38,24.88,42.17,10
2023,49,35.00,29.93,41.71,10
2023,50,42.82,39.34,46.40,10
2023,51,41.65,36.14,48.07,10
2023,52,47.05,39.83,49.76,10
2023,53,38.64,34.69,45.03,10
2023,54,33.78,30.09,37.17,10
2023,55,42.73,34.43,55.66,10
2023,56,33.96,29.73,37.44,11
2023,57,41.17,35.86,49.13,10
2023,58,45.45,37.29,52.47,10
2023,59,40.90,37.32,47.04,10
2023,60,32.86,27.89,38.47,10
2023,61,30.61,28.09,36.23,10
2023,62,38.54,33.99,43.28,10
2023,63,48.43,44.11,53.32,10
2023,64,48.70,46.78,51.39,10
2023,65,60.23,47.81,73.17,10
2023,66,89.66,77.10,101.09,11
2023,67,81.37,67.92,92.10,10
2023,68,65.93,63.72,68.91,10
2023,69,59.41,53.74,66.19,10
2023,70,46.08,42.46,51.35,10
2023,71,48.95,45.76,53.24,10
2023,72,47.15,40.30,52.33,10
2023,73,40.00,33.71,47.47,10
2023,74,45.69,39.95,50.57,10
2023,75,47.36,37.93,58.08,10
2023,76,29.25,16.21,49.22,10
2023,77,22.20,16.97,27.61,10
2023,78,34.47,25.75,48.06,10
2023,79,42.19,34.21,55.27,10
2023,80,38.61,30.10,43.11,10
2023,81,28.96,23.03,35.64,10
2023,82,29.83,23.00,36.70,10
2023,83,30.65,22.72,51.58,10
2023,84,39.53,28.92,53.88,11
2023,85,38.37,34.32,41.51,12
2023,86,43.55,35.49,54.09,12
2023,87,60.62,55.11,66.92,11
2023,88,68.18,60.90,73.16,10
2023,89,56.90,50.46,64.96,9
2023,90,71.58,57.80,89.10,10
