year,domain,section,setback_dunestart_m,setback_dunestart_floored_m,setback_model_m,drowns_at_init,relocated_seaward_m,n_road_profiles,setback_p10_m,setback_p90_m,setback_min_m,setback_max_m,setback_center_m,measured_road_width_m,road_elev_mhw_median,road_elev_mhw_mean,road_elev_std_m,road_elev_navd_median,n_road_cells,water_frac,obliquity_deg,shear_max_cells,lead_trim_rows,window,flags
1984,18,Buxton-Avon,160.0,160.0,nan,,0.0,50,130.0,190.0,120.0,190.0,165.0,20.0,1.155,1.161,0.193,1.515,116,0.0,0.0,0,0,"[6,19]",SCATTER_SETBACK(60m)
1984,19,Buxton-Avon,180.0,180.0,nan,,0.0,19,168.0,202.0,160.0,260.0,190.0,30.0,1.148,1.135,0.152,1.508,50,0.0,0.0,0,0,"[5,17]",PARTIAL(19/50)
1984,20,Buxton-Avon,80.0,80.0,nan,,0.0,50,60.0,130.0,50.0,150.0,90.0,20.0,1.24,1.248,0.183,1.6,121,0.0,0.0,0,0,"[6,19]",SCATTER_SETBACK(70m)
1984,21,Avon,150.0,150.0,nan,,0.0,45,140.0,160.0,120.0,170.0,155.0,20.0,1.135,1.116,0.175,1.495,106,0.0,0.0,0,0,"[6,26]",
1984,22,Avon,200.0,200.0,nan,,0.0,50,189.0,230.0,170.0,260.0,205.0,20.0,0.901,0.91,0.119,1.261,116,0.0,0.0,0,0,"[3,23]",SCATTER_SETBACK(41m)
1984,23,Avon,230.0,230.0,nan,,0.0,33,220.0,260.0,220.0,270.0,235.0,20.0,0.943,0.957,0.167,1.303,81,0.0,0.0,0,0,"[2,19]",
1984,24,Avon,230.0,230.0,nan,,0.0,13,222.0,248.0,220.0,250.0,240.0,20.0,0.934,0.976,0.198,1.294,32,0.0,0.0,0,0,"[5,17]",PARTIAL(13/50)
1984,25,Avon,200.0,200.0,nan,,0.0,50,190.0,230.0,160.0,240.0,210.0,20.0,1.002,1.011,0.155,1.362,121,0.0,0.0,0,0,"[3,18]",
1984,26,Avon,240.0,240.0,nan,,0.0,49,230.0,250.0,230.0,340.0,245.0,20.0,0.866,0.889,0.113,1.226,114,0.0,0.0,0,0,"[6,20]",
1984,27,Avon,300.0,300.0,nan,,0.0,48,280.0,320.0,270.0,330.0,305.0,20.0,0.91,0.907,0.139,1.27,109,0.0,0.0,0,0,"[7,24]",
1984,28,Avon,230.0,230.0,nan,,0.0,50,180.0,271.0,130.0,320.0,240.0,25.0,0.526,0.559,0.193,0.886,125,0.0,0.0,0,0,"[9,28]",SCATTER_SETBACK(91m)
1984,29,Avon,290.0,290.0,nan,,0.0,50,260.0,331.0,250.0,360.0,297.5,20.0,0.361,0.378,0.144,0.721,124,0.0,0.0,0,0,"[7,30]",SCATTER_SETBACK(71m)
1984,30,Avon,330.0,330.0,nan,,0.0,50,260.0,360.0,250.0,360.0,340.0,20.0,0.368,0.359,0.121,0.728,122,0.0,0.0,0,0,"[6,27]",SCATTER_SETBACK(100m)
1984,31,Avon,295.0,295.0,nan,,0.0,50,220.0,340.0,200.0,350.0,302.5,30.0,0.41,0.385,0.16,0.77,126,0.0,0.0,0,0,"[8,28]",SCATTER_SETBACK(120m)
1984,32,Avon-Tri-Village / Wimble Shoals,300.0,300.0,nan,,0.0,50,220.0,320.0,200.0,320.0,310.0,20.0,0.396,0.357,0.124,0.756,124,0.0,0.0,0,0,"[13,29]",SCATTER_SETBACK(100m)
1984,33,Avon-Tri-Village / Wimble Shoals,240.0,240.0,nan,,0.0,50,180.0,330.0,180.0,340.0,245.0,20.0,0.383,0.378,0.124,0.743,119,0.0,0.0,0,0,"[5,36]",SCATTER_SETBACK(150m)
1984,34,Avon-Tri-Village / Wimble Shoals,410.0,410.0,nan,,0.0,38,360.0,420.0,350.0,430.0,417.5,20.0,0.325,0.297,0.119,0.685,92,0.0,0.0,0,0,"[6,21]",SCATTER_SETBACK(60m)
1984,35,Avon-Tri-Village / Wimble Shoals,430.0,430.0,nan,,0.0,9,428.0,440.0,420.0,440.0,440.0,20.0,0.347,0.261,0.165,0.707,22,0.0,0.0,0,0,"[4,21]",PARTIAL(9/50)
1984,36,Avon-Tri-Village / Wimble Shoals,410.0,410.0,nan,,0.0,36,370.0,430.0,360.0,440.0,420.0,20.0,0.355,0.344,0.112,0.715,88,0.0,0.0,0,0,"[3,18]",SCATTER_SETBACK(60m)
1984,37,Avon-Tri-Village / Wimble Shoals,380.0,380.0,nan,,0.0,14,363.0,390.0,360.0,390.0,385.0,25.0,0.6,0.614,0.172,0.96,35,0.0,0.0,0,0,"[4,17]",PARTIAL(14/50)
