gis,dune_start_m,dune_end_m,dune_change_m,dune_rate_m_yr,cs_lrr_m_yr,cs_endpoint_m_yr,cs_endpoint_change_m,n_obs_start,n_obs_end,n_transects,dune_minus_lrr_m_yr,dune_minus_endpoint_m_yr
33.000,4950.583,4955.263,-4.680,-0.402,1.659,0.555,6.459,8.000,9.000,11,-2.062,-0.958
34.000,4811.147,4804.112,7.035,0.605,-0.241,-0.696,-8.093,7.000,9.500,10,0.846,1.301
35.000,4686.835,4683.204,3.631,0.312,-2.595,-2.306,-26.819,7.000,8.000,11,2.908,2.618
36.000,4559.720,4561.078,-1.357,-0.117,-3.566,-3.307,-38.466,6.500,10.000,10,3.449,3.191
37.000,4445.975,4463.836,-17.861,-1.536,-2.390,-1.967,-22.878,7.000,8.000,11,0.854,0.431
38.000,4367.683,4392.498,-24.815,-2.134,0.537,0.702,8.162,7.000,10.000,10,-2.670,-2.835
39.000,4322.793,4336.054,-13.261,-1.140,0.528,1.634,19.009,6.000,8.000,10,-1.669,-2.775
40.000,4292.026,4308.973,-16.948,-1.457,0.732,0.487,5.668,7.000,9.000,10,-2.189,-1.945
41.000,4274.076,4287.588,-13.512,-1.162,1.557,-0.450,-5.229,6.000,8.000,10,-2.719,-0.712
42.000,4249.551,4262.314,-12.763,-1.097,1.269,2.250,26.171,7.000,10.000,10,-2.367,-3.348
43.000,4229.867,4237.568,-7.700,-0.662,0.825,0.815,9.475,8.000,8.000,10,-1.487,-1.477
44.000,4205.802,4207.395,-1.593,-0.137,1.165,1.953,22.714,8.000,9.500,10,-1.302,-2.090
45.000,4180.966,4184.093,-3.127,-0.269,0.503,1.389,16.150,8.000,8.000,10,-0.772,-1.657
46.000,4197.558,4158.931,38.627,3.321,-1.016,0.442,5.136,5.000,10.500,10,4.337,2.880
47.000,4121.442,4124.491,-3.049,-0.262,-1.437,-0.572,-6.653,4.000,11.000,10,1.175,0.310
48.000,4094.181,4113.705,-19.524,-1.679,-0.110,0.073,0.844,4.500,11.000,10,-1.569,-1.751
49.000,4083.451,4082.805,0.646,0.056,1.485,1.705,19.833,5.000,10.500,10,-1.429,-1.650
50.000,4062.351,4048.694,13.657,1.174,-0.014,0.729,8.473,5.000,11.000,10,1.189,0.446
51.000,3989.837,4013.937,-24.100,-2.072,-0.581,-1.683,-19.576,5.000,11.000,10,-1.491,-0.389
52.000,3931.898,3989.510,-57.612,-4.954,0.370,-1.316,-15.305,5.000,11.000,10,-5.324,-3.638
53.000,3889.038,3953.788,-64.749,-5.567,-0.543,-0.934,-10.858,5.000,11.000,10,-5.025,-4.634
54.000,3842.118,3857.630,-15.512,-1.334,0.193,0.636,7.395,5.000,11.000,10,-1.527,-1.970
55.000,3766.559,3780.795,-14.236,-1.224,0.393,1.026,11.938,5.000,11.000,10,-1.617,-2.250
56.000,3704.628,3710.254,-5.626,-0.484,0.357,1.681,19.549,5.000,10.000,11,-0.841,-2.165
57.000,3633.894,3640.083,-6.189,-0.532,-0.191,-0.880,-10.240,4.000,11.000,10,-0.341,0.348
58.000,3539.332,3549.779,-10.446,-0.898,0.209,-1.331,-15.477,5.000,10.000,10,-1.107,0.433
59.000,3450.220,3460.110,-9.890,-0.850,0.310,0.096,1.113,5.000,12.000,10,-1.160,-0.946
60.000,3359.332,3362.996,-3.664,-0.315,-0.311,0.454,5.283,5.000,10.000,10,-0.004,-0.769
61.000,3263.926,3269.578,-5.652,-0.486,-0.736,-0.183,-2.132,5.000,11.500,10,0.250,-0.303
62.000,3169.246,3163.444,5.802,0.499,-0.368,-1.108,-12.889,5.000,10.500,10,0.867,1.607
63.000,3081.305,3043.998,37.307,3.208,-2.022,-1.397,-16.246,4.000,11.500,10,5.230,4.605
64.000,2998.112,2954.104,44.008,3.784,-2.074,-1.218,-14.171,4.000,11.000,10,5.858,5.002
65.000,2900.823,2868.240,32.583,2.802,-2.299,-1.832,-21.311,4.000,11.000,10,5.100,4.634
66.000,2822.753,2766.860,55.893,4.806,-1.072,-1.583,-18.416,4.000,11.000,11,5.877,6.389
67.000,2685.424,2650.314,35.110,3.019,2.210,1.928,22.422,4.000,10.500,10,0.809,1.091
68.000,2533.668,2542.838,-9.170,-0.788,5.065,4.601,53.508,4.000,10.000,10,-5.853,-5.389
69.000,2432.027,2437.621,-5.594,-0.481,3.786,2.032,23.639,5.000,10.500,10,-4.267,-2.513
70.000,2334.212,2339.346,-5.135,-0.441,0.681,-0.227,-2.643,5.000,11.000,10,-1.123,-0.214
71.000,2243.963,2250.292,-6.330,-0.544,-0.440,0.482,5.605,7.000,10.000,10,-0.105,-1.026
72.000,2176.084,2179.284,-3.200,-0.275,-0.895,1.511,17.577,5.000,10.000,10,0.620,-1.786
73.000,2131.579,2130.236,1.343,0.115,-0.418,1.841,21.412,6.000,9.000,10,0.533,-1.726
74.000,2080.657,2082.102,-1.445,-0.124,1.735,1.921,22.342,7.000,11.000,10,-1.859,-2.045
75.000,2037.659,2035.391,2.268,0.195,0.004,1.436,16.702,7.000,10.000,10,0.191,-1.241
76.000,2004.748,2004.070,0.678,0.058,-3.045,-2.635,-30.651,7.000,10.000,10,3.104,2.694
77.000,1973.052,2010.515,-37.463,-3.221,-3.238,-2.792,-32.467,7.000,9.000,10,0.017,-0.430
78.000,1957.124,2015.870,-58.746,-5.051,-2.659,-2.693,-31.320,7.000,11.000,10,-2.393,-2.358
79.000,2052.866,2041.808,11.059,0.951,-1.735,-2.778,-32.312,7.000,9.000,10,2.685,3.729
80.000,2110.847,2101.908,8.939,0.769,-5.449,-5.175,-60.190,5.000,9.000,10,6.217,5.944
81.000,2116.624,2169.865,-53.241,-4.578,-4.546,-3.623,-42.138,5.000,9.000,10,-0.032,-0.955
82.000,2197.441,2244.899,-47.457,-4.080,-0.620,-0.556,-6.469,6.000,9.000,10,-3.460,-3.524
83.000,2264.148,2298.994,-34.846,-2.996,-2.234,-2.382,-27.702,6.000,9.500,10,-0.762,-0.614
84.000,2336.937,2394.815,-57.877,-4.976,-3.328,-3.606,-41.945,6.000,10.000,11,-1.649,-1.370
85.000,2428.149,2505.949,-77.800,-6.689,-2.715,-2.864,-33.310,6.000,10.000,12,-3.974,-3.825
86.000,2515.220,2569.159,-53.939,-4.638,-2.475,-2.503,-29.114,6.000,10.000,12,-2.163,-2.135
87.000,2573.998,2621.651,-47.653,-4.097,-2.071,-1.466,-17.051,6.000,10.000,11,-2.026,-2.631
88.000,2644.099,2678.640,-34.541,-2.970,-0.912,-1.055,-12.268,6.000,10.000,10,-2.058,-1.915
89.000,2714.449,2737.964,-23.515,-2.022,-0.202,-0.437,-5.078,6.000,9.000,9,-1.820,-1.585
90.000,2797.485,2810.560,-13.075,-1.124,-0.304,0.187,2.180,6.000,10.000,10,-0.820,-1.312
