domain_number,n_valid,mean_lrr,median_lrr,std_lrr,min_lrr,max_lrr,pct_eroding,n_transects,manual_n_valid,manual_mean_lrr,manual_std_lrr,manual_min_lrr,manual_max_lrr,actual_total_transects,mean_diff,count_ok,mean_ok,all_ok
16.0,10,1.459,1.459,0.117,1.297,1.683,0.0,10,10,1.45897,0.11740422148382156,1.297,1.6826,10,0.0,True,True,True
17.0,10,1.943,1.974,0.113,1.696,2.066,0.0,10,10,1.94344,0.11338430422436979,1.6957,2.0658,10,0.0004,True,True,True
18.0,10,2.086,2.093,0.077,1.949,2.208,0.0,10,10,2.08616,0.07731359230792177,1.9492,2.2082,10,0.0002,True,True,True
19.0,10,2.122,2.141,0.096,1.976,2.238,0.0,10,10,2.1223,0.09626738226880842,1.9761,2.2385,10,0.0003,True,True,True
20.0,10,1.971,1.92,0.234,1.648,2.333,0.0,10,10,1.97056,0.23441499383216374,1.6476,2.3329,10,0.0004,True,True,True
21.0,11,0.687,0.654,0.649,-0.374,1.529,18.182,11,11,0.6871909090909092,0.6486455942262238,-0.3737,1.5294,11,0.0002,True,True,True
22.0,10,-0.68,-0.616,0.176,-1.015,-0.442,100.0,10,10,-0.68015,0.17581614923929292,-1.0152,-0.4416,10,0.0001,True,True,True
23.0,10,-1.63,-1.753,0.342,-1.969,-1.118,100.0,10,10,-1.62986,0.34238685787343603,-1.9686,-1.1175,10,0.0001,True,True,True
24.0,10,-1.633,-1.576,0.181,-1.96,-1.41,100.0,10,10,-1.6328,0.18146148045491328,-1.96,-1.4098,10,0.0002,True,True,True
25.0,10,-1.769,-1.848,0.154,-1.918,-1.477,100.0,10,10,-1.7691199999999998,0.1537291904616686,-1.9178,-1.4774,10,0.0001,True,True,True
26.0,10,-1.088,-0.91,0.377,-1.792,-0.772,100.0,10,10,-1.08829,0.37711735117275574,-1.7925,-0.7723,10,0.0003,True,True,True
27.0,10,-0.584,-0.716,0.3,-0.778,0.146,90.0,10,10,-0.58403,0.3002036643865479,-0.778,0.1462,10,0.0,True,True,True
28.0,10,1.739,1.814,0.71,0.531,2.638,0.0,10,10,1.7394200000000002,0.710097792639233,0.5312,2.6382,10,0.0004,True,True,True
29.0,10,3.17,3.191,0.438,2.577,3.689,0.0,10,10,3.16986,0.43775418825333173,2.5769,3.6887,10,0.0001,True,True,True
30.0,10,3.858,3.884,0.182,3.548,4.067,0.0,10,10,3.85757,0.18157179204564425,3.5481,4.0672,10,0.0004,True,True,True
31.0,11,2.711,2.666,0.423,2.211,3.377,0.0,11,11,2.711218181818182,0.4234371046995804,2.2112,3.3768,11,0.0002,True,True,True
32.0,10,1.618,1.657,0.329,1.19,2.066,0.0,10,10,1.61846,0.3287311437769304,1.1904,2.0665,10,0.0005,True,True,True
33.0,11,1.457,1.238,0.407,1.078,2.212,0.0,11,11,1.4566454545454546,0.4070064652155696,1.0783,2.2118,11,0.0004,True,True,True
34.0,10,2.575,2.624,0.128,2.342,2.721,0.0,10,10,2.57474,0.1283306943451607,2.342,2.7213,10,0.0003,True,True,True
35.0,11,1.811,1.758,0.245,1.542,2.325,0.0,11,11,1.8113090909090908,0.24486740270826374,1.5415,2.3246,11,0.0003,True,True,True
36.0,10,1.506,1.611,0.311,0.964,1.833,0.0,10,10,1.50615,0.31091922584491294,0.9645,1.8334,10,0.0002,True,True,True
37.0,11,0.932,0.898,0.141,0.76,1.165,0.0,11,11,0.932390909090909,0.1410539361701435,0.7602,1.1651,11,0.0004,True,True,True
38.0,10,0.319,0.218,0.234,0.089,0.705,0.0,10,10,0.31854,0.23397925454098606,0.0892,0.7046,10,0.0005,True,True,True
39.0,10,0.366,0.373,0.057,0.279,0.44,0.0,10,10,0.36612999999999996,0.057112171304469855,0.2788,0.4404,10,0.0001,True,True,True
40.0,10,0.459,0.485,0.073,0.36,0.577,0.0,10,10,0.45921,0.07290236164441678,0.3604,0.5768,10,0.0002,True,True,True
41.0,10,0.367,0.451,0.215,0.038,0.594,0.0,10,10,0.36675,0.21497099675175824,0.0377,0.5938,10,0.0002,True,True,True
42.0,10,0.187,0.194,0.037,0.116,0.243,0.0,10,10,0.1871,0.03743471353941122,0.116,0.2432,10,0.0001,True,True,True
43.0,10,0.087,0.086,0.201,-0.22,0.35,30.0,10,10,0.08673,0.2007389130742274,-0.2199,0.3502,10,0.0003,True,True,True
44.0,10,-0.256,-0.227,0.101,-0.395,-0.116,100.0,10,10,-0.25562,0.10117675183119446,-0.3949,-0.1156,10,0.0004,True,True,True
45.0,10,-0.748,-0.75,0.195,-0.994,-0.42,100.0,10,10,-0.74789,0.19542308774098893,-0.994,-0.4202,10,0.0001,True,True,True
46.0,10,-0.967,-0.985,0.127,-1.142,-0.79,100.0,10,10,-0.96667,0.1274883005525518,-1.1418,-0.7895,10,0.0003,True,True,True
47.0,10,-0.783,-0.848,0.152,-0.914,-0.468,100.0,10,10,-0.78348,0.1519847857882858,-0.9136,-0.4679,10,0.0005,True,True,True
48.0,10,-0.451,-0.457,0.05,-0.503,-0.347,100.0,10,10,-0.45100999999999997,0.049699104619701145,-0.5027,-0.3469,10,0.0,True,True,True
49.0,10,-0.94,-0.998,0.22,-1.18,-0.581,100.0,10,10,-0.9398500000000001,0.21992075971939426,-1.1801,-0.5814,10,0.0001,True,True,True
50.0,10,-0.981,-0.951,0.197,-1.247,-0.704,100.0,10,10,-0.98065,0.1967349104760007,-1.2468,-0.7042,10,0.0003,True,True,True
51.0,10,-0.865,-0.816,0.179,-1.186,-0.672,100.0,10,10,-0.86467,0.17870525733732626,-1.1859,-0.672,10,0.0003,True,True,True
52.0,10,-1.41,-1.419,0.084,-1.506,-1.254,100.0,10,10,-1.41047,0.08405379296088374,-1.5059,-1.254,10,0.0005,True,True,True
53.0,10,-1.146,-1.15,0.058,-1.235,-1.057,100.0,10,10,-1.14636,0.05803968374215073,-1.2346,-1.0571,10,0.0004,True,True,True
54.0,10,-1.276,-1.283,0.061,-1.377,-1.156,100.0,10,10,-1.27604,0.061122085479254885,-1.377,-1.156,10,0.0,True,True,True
55.0,10,-0.834,-0.8,0.096,-0.994,-0.735,100.0,10,10,-0.83423,0.09607723802580231,-0.9942,-0.7348,10,0.0002,True,True,True
56.0,11,-0.503,-0.516,0.199,-0.806,-0.18,100.0,11,11,-0.5031272727272728,0.19925512335149173,-0.8062,-0.1803,11,0.0001,True,True,True
57.0,10,0.066,0.079,0.046,-0.028,0.125,20.0,10,10,0.06634999999999999,0.04589522487870243,-0.0275,0.1251,10,0.0003,True,True,True
58.0,10,0.392,0.378,0.133,0.167,0.58,0.0,10,10,0.39154,0.13292006118967395,0.1667,0.5801,10,0.0005,True,True,True
59.0,10,0.412,0.482,0.178,0.002,0.539,0.0,10,10,0.41228,0.1783178423178367,0.0016,0.5394,10,0.0003,True,True,True
60.0,10,-0.579,-0.596,0.256,-0.913,-0.108,100.0,10,10,-0.57921,0.2555844563609715,-0.9126,-0.1077,10,0.0002,True,True,True
61.0,10,-1.413,-1.449,0.311,-1.812,-0.932,100.0,10,10,-1.4129,0.3112861241865931,-1.812,-0.9321,10,0.0001,True,True,True
62.0,10,-1.721,-1.804,0.335,-2.089,-1.121,100.0,10,10,-1.72059,0.3349701958549613,-2.0891,-1.1206,10,0.0004,True,True,True
63.0,10,-0.066,-0.064,0.5,-0.879,0.733,60.0,10,10,-0.06577,0.5003881250256311,-0.8787,0.7328,10,0.0002,True,True,True
64.0,10,0.734,0.739,0.098,0.604,0.893,0.0,10,10,0.73414,0.09780126334107915,0.6043,0.8932,10,0.0001,True,True,True
65.0,10,1.641,1.574,0.543,0.926,2.543,0.0,10,10,1.64061,0.5431971781345458,0.9255,2.5431,10,0.0004,True,True,True
66.0,11,3.462,3.467,0.379,2.812,3.879,0.0,11,11,3.461581818181818,0.37875080149930196,2.8121,3.8794,11,0.0004,True,True,True
67.0,10,3.085,3.194,0.614,2.082,3.841,0.0,10,10,3.08487,0.6135783279708916,2.082,3.8413,10,0.0001,True,True,True
68.0,10,1.31,1.396,0.385,0.722,1.946,0.0,10,10,1.30966,0.3854858988630092,0.722,1.9463,10,0.0003,True,True,True
69.0,10,0.764,0.754,0.072,0.663,0.884,0.0,10,10,0.76445,0.07227254358022522,0.6633,0.8836,10,0.0004,True,True,True
70.0,10,0.932,0.968,0.108,0.772,1.051,0.0,10,10,0.9318099999999999,0.10794082174969756,0.7721,1.0509,10,0.0002,True,True,True
71.0,10,1.221,1.132,0.252,0.974,1.662,0.0,10,10,1.22103,0.25243495553860557,0.9742,1.6621,10,0.0,True,True,True
72.0,10,1.763,1.716,0.154,1.603,2.011,0.0,10,10,1.7625499999999998,0.15443907284823424,1.6029,2.011,10,0.0005,True,True,True
73.0,10,1.376,1.438,0.46,0.646,1.903,0.0,10,10,1.37621,0.4603609778085985,0.6465,1.9028,10,0.0002,True,True,True
74.0,10,-0.276,-0.197,0.515,-1.174,0.398,70.0,10,10,-0.27555,0.5146978061607284,-1.1736,0.3977,10,0.0005,True,True,True
75.0,10,-1.356,-1.359,0.053,-1.435,-1.279,100.0,10,10,-1.35618,0.05323630340284721,-1.4347,-1.2794,10,0.0002,True,True,True
76.0,10,-1.589,-1.605,0.083,-1.725,-1.473,100.0,10,10,-1.58896,0.08281947167719003,-1.7252,-1.4732,10,0.0,True,True,True
77.0,10,-1.425,-1.389,0.226,-1.802,-1.137,100.0,10,10,-1.4253,0.22593995760919414,-1.8015,-1.137,10,0.0003,True,True,True
78.0,10,-2.091,-2.154,0.308,-2.45,-1.542,100.0,10,10,-2.09052,0.30775245030164516,-2.4499,-1.5415,10,0.0005,True,True,True
79.0,10,-1.43,-1.425,0.088,-1.562,-1.261,100.0,10,10,-1.42955,0.08821188191570965,-1.562,-1.2612,10,0.0004,True,True,True
80.0,10,-1.426,-1.424,0.319,-1.878,-0.977,100.0,10,10,-1.42587,0.31852623492160476,-1.8779,-0.9767,10,0.0001,True,True,True
81.0,10,-0.724,-0.704,0.111,-0.885,-0.591,100.0,10,10,-0.72404,0.11074709125851666,-0.8853,-0.5914,10,0.0,True,True,True
82.0,10,-1.656,-1.752,0.408,-2.131,-0.986,100.0,10,10,-1.65553,0.4080029848747026,-2.1314,-0.9862,10,0.0005,True,True,True
83.0,10,-2.079,-2.16,0.229,-2.322,-1.697,100.0,10,10,-2.07897,0.22892415556249185,-2.3217,-1.6974,10,0.0,True,True,True
84.0,11,-1.047,-1.008,0.418,-1.644,-0.46,100.0,11,11,-1.0469636363636363,0.41836669865735565,-1.6445,-0.4599,11,0.0,True,True,True
85.0,12,-0.29,-0.365,0.148,-0.432,0.0,91.667,12,12,-0.28963333333333335,0.14769954965976356,-0.4325,0.0003,12,0.0004,True,True,True
86.0,12,0.243,0.201,0.25,-0.017,0.721,25.0,12,12,0.24263333333333334,0.2504996255970105,-0.0169,0.7212,12,0.0004,True,True,True
87.0,11,0.971,0.883,0.252,0.725,1.383,0.0,11,11,0.9709,0.25202427660842514,0.7252,1.3826,11,0.0001,True,True,True
88.0,10,1.989,2.094,0.259,1.507,2.232,0.0,10,10,1.98871,0.25948954785201733,1.5069,2.2325,10,0.0003,True,True,True
89.0,9,1.718,1.698,0.194,1.389,2.071,0.0,9,9,1.7179111111111112,0.19418963955657145,1.3886,2.0711,9,0.0001,True,True,True
90.0,10,1.683,1.72,0.142,1.384,1.848,0.0,10,10,1.68277,0.14226722157030167,1.3841,1.8477,10,0.0002,True,True,True
