domain_number,model_years,dune_interval_yr,coastsat_lrr_m_yr,coastsat_target_m,coastsat_target_loess_m,dune_rate_m_yr,dune_measured_change_m,dune_target_m,dune_target_loess_m,target_difference_m,model_ends_solved_on_coastsat_m,model_ends_solved_on_duneline_m,model_ends_unsolved_m
27,14,14.086,0.007,0.098,2.127,0.14,1.972,1.96,0.589,-1.862,-2.782,-2.789,-2.797
28,14,14.086,1.902,26.628,10.852,2.361,33.258,33.054,10.747,-6.426,-7.68,-7.684,-7.689
29,14,14.086,2.921,40.894,16.896,2.671,37.624,37.394,19.181,3.5,-5.14,-5.142,-5.145
30,14,14.086,3.173,44.422,21.79,1.522,21.439,21.308,24.807,23.114,-11.781,-11.782,-11.784
31,14,14.086,2.595,36.33,26.333,1.799,25.341,25.186,26.568,11.144,-12.644,-12.645,-12.646
32,14,14.086,1.48,20.72,26.323,2.64,37.188,36.96,24.642,-16.24,-13.815,-13.816,-13.816
33,14,14.086,1.353,18.942,21.107,2.159,30.412,30.226,21.121,-11.284,-16.923,-16.924,-16.924
34,14,14.086,1.816,25.424,15.268,0.945,13.311,13.23,17.385,12.194,-22.229,-22.229,-22.23
35,14,14.086,0.6,8.4,10.574,0.579,8.156,8.106,13.231,0.294,-24.104,-24.104,-24.105
36,14,14.086,0.006,0.084,7.115,0.55,7.747,7.7,8.745,-7.616,-26.303,-26.303,-26.303
37,14,14.086,-0.121,-1.694,4.478,0.153,2.155,2.142,4.823,-3.836,-28.154,-28.154,-28.154
38,14,14.086,0.129,1.806,3.166,0.482,6.79,6.748,2.382,-4.942,-27.567,-27.567,-27.567
39,14,14.086,0.205,2.87,3.325,-0.055,-0.775,-0.77,1.074,3.64,-25.769,-25.769,-25.769
40,14,14.086,0.334,4.676,3.957,-0.71,-10.001,-9.94,0.018,14.616,-22.227,-22.227,-22.227
41,14,14.086,0.611,8.554,4.085,0.123,1.733,1.722,-0.956,6.832,-18.161,-18.161,-18.161
42,14,14.086,0.393,5.502,3.047,0.36,5.071,5.04,-1.923,0.462,-15.232,-15.232,-15.232
43,14,14.086,0.19,2.66,0.692,-0.539,-7.592,-7.546,-3.017,10.206,-13.638,-13.638,-13.638
44,14,14.086,0.061,0.854,-2.361,-0.114,-1.606,-1.596,-4.497,2.45,-11.373,-11.373,-11.373
45,14,14.086,-0.504,-7.056,-4.996,-0.214,-3.014,-2.996,-5.673,-4.06,-8.331,-8.331,-8.331
46,14,14.086,-1.094,-15.316,-6.777,-0.939,-13.227,-13.146,-5.651,-2.17,-6.796,-6.796,-6.796
47,14,14.086,-1.028,-14.392,-8.048,-1.229,-17.312,-17.206,-4.7,2.814,-5.798,-5.798,-5.798
48,14,14.086,-0.401,-5.614,-8.868,0.088,1.24,1.232,-3.781,-6.846,-2.944,-2.944,-2.944
49,14,14.086,-0.293,-4.102,-9.079,0.299,4.212,4.186,-3.296,-8.288,-0.715,-0.715,-0.715
50,14,14.086,-0.591,-8.274,-9.128,0.176,2.479,2.464,-3.631,-10.738,1.089,1.089,1.089
51,14,14.086,-0.663,-9.282,-9.549,0.229,3.226,3.206,-5.626,-12.488,2.992,2.992,2.992
52,14,14.086,-0.896,-12.544,-10.014,-0.944,-13.297,-13.216,-8.794,0.672,2.899,2.899,2.899
53,14,14.086,-0.987,-13.818,-9.747,-1.193,-16.805,-16.702,-11.033,2.884,4.159,4.159,4.159
54,14,14.086,-0.853,-11.942,-8.505,-1.491,-21.003,-20.874,-11.261,8.932,3.223,3.223,3.223
55,14,14.086,-0.449,-6.286,-6.353,-1.604,-22.594,-22.456,-9.782,16.17,3.889,3.889,3.889
56,14,14.086,-0.205,-2.87,-3.863,-0.24,-3.381,-3.36,-7.135,0.49,3.617,3.617,3.617
57,14,14.086,-0.004,-0.056,-2.361,0.549,7.733,7.686,-4.298,-7.742,3.529,3.529,3.528
58,14,14.086,0.314,4.396,-2.728,0.052,0.732,0.728,-2.772,3.668,2.732,2.732,2.731
59,14,14.086,0.247,3.458,-4.73,0.314,4.423,4.396,-3.687,-0.938,1.459,1.459,1.458
60,14,14.086,-0.562,-7.868,-6.807,-0.254,-3.578,-3.556,-6.284,-4.312,-0.912,-0.913,-0.914
61,14,14.086,-1.299,-18.186,-7.858,-1.111,-15.65,-15.554,-8.356,-2.632,-3.199,-3.2,-3.202
62,14,14.086,-1.546,-21.644,-7.801,-1.545,-21.763,-21.63,-8.567,-0.014,-7.267,-7.269,-7.272
63,14,14.086,-0.816,-11.424,-5.575,-1.162,-16.368,-16.268,-6.311,4.844,-8.672,-8.674,-8.68
64,14,14.086,-0.161,-2.254,0.108,-0.371,-5.226,-5.194,-1.18,2.94,-9.232,-9.235,-9.245
65,14,14.086,0.478,6.692,7.448,0.474,6.677,6.636,5.369,0.056,-10.167,-10.172,-10.188
66,14,14.086,2.142,29.988,12.499,1.518,21.383,21.252,11.226,8.736,-13.155,-13.163,-13.188
67,14,14.086,2.771,38.794,15.876,2.157,30.384,30.198,15.282,8.596,-18.374,-18.386,-18.426
68,14,14.086,2.263,31.682,18.333,1.732,24.397,24.248,17.354,7.434,-23.808,-23.827,-23.888
69,14,14.086,1.529,21.406,19.522,0.968,13.635,13.552,17.803,7.854,-29.762,-29.791,-29.885
70,14,14.086,0.842,11.788,17.499,1.165,16.41,16.31,16.997,-4.522,-32.059,-32.103,-32.244
71,14,14.086,0.687,9.618,13.966,0.453,6.381,6.342,14.952,3.276,-35.715,-35.78,-35.989
72,14,14.086,1.018,14.252,9.31,1.49,20.988,20.86,11.041,-6.608,-36.703,-36.797,-37.104
73,14,14.086,1.056,14.784,3.7,2.098,29.553,29.372,5.861,-14.588,-38.064,-38.202,-38.646
74,14,14.086,0.39,5.46,-2.285,0.718,10.114,10.052,0.042,-4.592,-39.96,-40.155,-40.794
75,14,14.086,-0.937,-13.118,-8.363,-1.186,-16.706,-16.604,-6.245,3.486,-41.658,-41.933,-42.845
76,14,14.086,-1.954,-27.356,-14.668,-1.502,-21.157,-21.028,-12.798,-6.328,-42.052,-42.434,-43.731
77,14,14.086,-1.734,-24.276,-20.535,-1.583,-22.298,-22.162,-17.466,-2.114,-39.646,-40.172,-42.023
78,14,14.086,-1.936,-27.104,-24.347,-2.249,-31.68,-31.486,-18.384,4.382,-39.246,-39.961,-42.657
79,14,14.086,-1.62,-22.68,-25.862,-1.117,-15.734,-15.638,-16.596,-7.042,-36.964,-37.927,-41.281
80,14,14.086,-2.516,-35.224,-26.087,-1.177,-16.579,-16.478,-14.008,-18.746,-31.33,-32.61,-37.145
81,14,14.086,-1.883,-26.362,-25.819,0.152,2.141,2.128,-11.537,-28.49,-24.989,-26.674,-32.231
82,14,14.086,-1.489,-20.846,-24.656,-0.08,-1.127,-1.12,-8.332,-19.726,-17.918,-20.111,-27.149
83,14,14.086,-2.126,-29.764,-22.043,-2.517,-35.455,-35.238,-4.825,5.474,-11.833,-14.658,-23.628
84,14,14.086,-1.587,-22.218,-18.069,-1.572,-22.144,-22.008,-1.947,-0.21,-2.598,-6.2,-17.591
85,14,14.086,-1.038,-14.532,-12.865,0.309,4.353,4.326,0.483,-18.858,6.03,1.479,-12.846
86,14,14.086,-0.544,-7.616,-6.211,0.653,9.198,9.142,4.137,-16.758,12.023,6.322,-11.534
87,14,14.086,0.032,0.448,0.774,0.301,4.24,4.214,8.351,-3.766,17.947,10.87,-11.173
88,14,14.086,1.004,14.056,7.655,1.065,15.002,14.91,12.32,-0.854,21.644,12.941,-14.046
89,14,14.086,1.182,16.548,14.587,1.344,18.932,18.816,16.156,-2.268,24.985,14.39,-18.498
90,14,14.086,1.194,16.716,21.485,1.131,15.931,15.834,19.897,0.882,29.323,16.608,-23.545
