domain,topo_version,n_profiles,shift_m_median,shift_cells_median,shift_m_p10,shift_m_p90,shift_m_min,shift_m_max,row0_cell_median,duneline_cell_median
46,v3,50,15.9,1.59,8.4,21.7,-27.1,39.0,23.0,21.29
47,v3,50,11.7,1.17,8.4,16.5,2.1,22.4,19.0,17.34
48,v3,50,8.7,0.87,7.7,17.4,-0.5,22.1,20.0,18.53
49,v3,50,58.6,5.86,29.9,63.5,20.0,66.3,25.0,18.96
50,v3,50,55.4,5.54,26.9,79.6,-3.1,82.6,17.0,10.69
51,v3,50,17.0,1.7,-5.9,39.4,-12.6,46.6,20.0,18.05
52,v3,50,12.4,1.24,7.6,16.7,5.0,20.0,17.0,15.49
53,v3,50,9.1,0.91,3.0,14.4,-13.7,18.8,12.0,11.43
54,v3,50,8.9,0.89,-9.5,16.0,-13.9,20.2,13.0,12.16
55,v3,50,17.2,1.72,11.9,21.4,6.0,25.4,13.0,10.94
56,v3,50,16.3,1.63,9.0,21.8,-38.8,27.1,16.0,14.12
57,v3,50,14.1,1.41,8.1,21.2,-32.2,26.1,23.0,21.88
58,v3,50,17.2,1.72,11.7,25.3,8.0,37.9,21.0,19.15
59,v3,50,18.3,1.83,13.8,30.9,10.2,35.1,11.0,8.84
60,v3,50,17.8,1.78,9.3,25.5,2.8,29.9,21.0,19.57
61,v3,50,22.9,2.29,14.3,28.1,7.2,51.2,20.0,17.92
62,v3,50,44.2,4.42,31.8,64.7,23.8,71.5,22.0,17.15
63,v3,50,91.2,9.12,55.6,98.0,50.2,101.8,25.0,15.64
64,v3,50,96.3,9.63,80.8,102.1,68.4,105.8,29.0,18.82
65,v3,50,97.4,9.74,87.2,113.2,61.2,122.2,35.0,24.87
66,v3,50,113.6,11.36,98.0,129.7,94.2,133.7,37.0,25.64
67,v3,50,131.2,13.12,118.5,145.4,114.8,150.7,35.0,21.46
68,v3,50,20.8,2.08,13.4,28.5,-12.7,42.6,26.0,24.19
69,v3,50,18.5,1.85,12.8,53.4,-17.5,58.9,23.0,20.21
70,v3,50,46.3,4.63,12.9,50.6,6.9,51.7,14.0,9.57
71,v3,50,51.9,5.19,47.8,56.5,43.2,59.0,15.0,9.62
72,v3,50,43.9,4.39,37.6,50.7,32.6,57.7,15.0,10.43
73,v3,50,24.4,2.44,15.4,40.5,10.0,43.6,16.0,13.14
74,v3,50,16.2,1.62,12.3,20.0,9.7,29.4,25.0,23.48
75,v3,50,16.3,1.63,11.7,23.4,8.5,24.7,23.0,20.96
76,v3,50,20.5,2.05,16.4,23.2,13.8,32.6,19.0,17.24
77,v3,50,16.3,1.63,5.0,22.7,3.6,24.8,17.0,15.49
78,v3,50,5.5,0.55,-3.2,15.2,-6.9,18.8,14.0,13.18
79,v3,50,-7.0,-0.7,-15.4,27.2,-19.4,35.5,9.0,9.28
80,v3,50,9.0,0.9,-6.0,17.9,-10.9,35.8,15.0,13.61
81,v3,50,14.5,1.45,4.2,35.1,-29.7,52.4,13.0,10.61
82,v3,50,26.2,2.62,8.2,62.6,1.3,68.7,10.0,7.89
83,v3,50,11.0,1.1,6.2,16.7,1.8,25.7,19.0,17.78
84,v3,50,14.4,1.44,8.1,21.9,5.3,27.6,23.0,21.88
85,v3,50,17.3,1.73,11.5,23.3,8.2,25.8,15.0,13.12
86,v3,50,15.4,1.54,10.4,20.8,7.2,24.7,11.0,9.67
87,v3,50,16.6,1.66,10.8,34.9,8.0,42.8,15.0,13.28
88,v3,50,17.0,1.7,13.1,20.8,10.8,23.3,21.0,19.42
89,v3,50,28.1,2.81,22.2,36.6,18.1,41.0,20.0,17.58
90,v3,50,24.2,2.42,20.0,29.0,16.0,30.4,19.0,16.6
