year,topo_version,domain,profile,duneline_cell,interior_row0_cell,shift_m
1984,v3,4,36,35.31,37,16.9
1984,v3,4,37,35.09,37,19.1
1984,v3,4,38,35.87,37,11.3
1984,v3,4,39,35.64,37,13.6
1984,v3,4,40,35.42,37,15.8
1984,v3,4,41,35.11,37,18.9
1984,v3,4,42,34.71,39,42.9
1984,v3,4,43,35.31,40,46.9
1984,v3,4,44,34.91,42,70.9
1984,v3,4,45,34.51,39,44.9
1984,v3,4,46,34.11,37,28.9
1984,v3,4,47,34.71,40,52.9
1984,v3,4,48,34.31,42,76.9
1984,v3,4,49,33.91,37,30.9
1984,v3,5,0,29.79,34,42.1
1984,v3,5,1,29.39,38,86.1
1984,v3,5,2,28.99,36,70.1
1984,v3,5,3,29.59,38,84.1
1984,v3,5,4,29.19,36,68.1
1984,v3,5,5,29.81,37,71.9
1984,v3,5,6,29.46,34,45.4
1984,v3,5,7,29.11,34,48.9
1984,v3,5,8,29.75,38,82.5
1984,v3,5,9,29.4,34,46.0
1984,v3,5,10,29.04,34,49.6
1984,v3,5,11,29.69,37,73.1
1984,v3,5,12,29.34,35,56.6
1984,v3,5,13,29.98,36,60.2
1984,v3,5,14,29.63,38,83.7
1984,v3,5,15,29.27,37,77.3
1984,v3,5,16,29.92,37,70.8
1984,v3,5,17,29.56,37,74.4
1984,v3,5,18,29.21,36,67.9
1984,v3,5,19,29.86,37,71.4
1984,v3,5,20,29.47,36,65.3
1984,v3,5,21,30.0,37,70.0
1984,v3,5,22,29.54,38,84.6
1984,v3,5,23,29.07,36,69.3
1984,v3,5,24,29.6,37,74.0
1984,v3,5,25,29.13,36,68.7
1984,v3,5,26,28.66,36,73.4
1984,v3,5,27,29.19,37,78.1
1984,v3,5,28,28.72,37,82.8
1984,v3,5,29,29.25,38,87.5
1984,v3,5,30,28.78,37,82.2
1984,v3,5,31,28.31,36,76.9
1984,v3,5,32,28.84,37,81.6
1984,v3,5,33,28.4,36,76.0
1984,v3,5,34,27.99,36,80.1
1984,v3,5,35,28.58,37,84.2
1984,v3,5,36,28.16,36,78.4
1984,v3,5,37,28.75,37,82.5
1984,v3,5,38,28.34,37,86.6
1984,v3,5,39,27.93,37,90.7
1984,v3,5,40,28.52,38,94.8
1984,v3,5,41,28.11,36,78.9
1984,v3,5,42,27.7,36,83.0
1984,v3,5,43,28.29,36,77.1
1984,v3,5,44,27.88,36,81.2
1984,v3,5,45,28.46,37,85.4
1984,v3,5,46,28.05,36,79.5
1984,v3,5,47,27.63,39,113.7
1984,v3,5,48,28.04,37,89.6
1984,v3,5,49,27.46,37,95.4
1984,v3,6,0,18.56,22,34.4
1984,v3,6,1,17.98,22,40.2
1984,v3,6,2,18.4,22,36.0
1984,v3,6,3,17.82,22,41.8
1984,v3,6,4,18.24,22,37.6
1984,v3,6,5,17.66,22,43.4
1984,v3,6,6,17.08,22,49.2
1984,v3,6,7,17.5,22,45.0
1984,v3,6,8,16.91,22,50.9
1984,v3,6,9,17.33,22,46.7
1984,v3,6,10,16.75,22,52.5
1984,v3,6,11,16.17,17,8.3
1984,v3,6,12,16.59,17,4.1
