domain_number,coastsat_loess_m_yr,endpoint_raw_m_yr,endpoint_loess_m_yr,cs_endpoint_raw_m_yr,cs_endpoint_loess_m_yr,model_endpoint_coastsat_m_yr,model_lrr_coastsat_m_yr,resid_lrr_coastsat_vs_coastsat_loess_m_yr,resid_endpoint_coastsat_vs_endpoint_raw_m_yr,resid_endpoint_coastsat_vs_endpoint_loess_m_yr,resid_endpoint_coastsat_vs_cs_endpoint_raw_m_yr,resid_endpoint_coastsat_vs_cs_endpoint_loess_m_yr,model_endpoint_dunemean3_m_yr,model_lrr_dunemean3_m_yr,resid_lrr_dunemean3_vs_coastsat_loess_m_yr,resid_endpoint_dunemean3_vs_endpoint_raw_m_yr,resid_endpoint_dunemean3_vs_endpoint_loess_m_yr,resid_endpoint_dunemean3_vs_cs_endpoint_raw_m_yr,resid_endpoint_dunemean3_vs_cs_endpoint_loess_m_yr,model_endpoint_duneraw_m_yr,model_lrr_duneraw_m_yr,resid_lrr_duneraw_vs_coastsat_loess_m_yr,resid_endpoint_duneraw_vs_endpoint_raw_m_yr,resid_endpoint_duneraw_vs_endpoint_loess_m_yr,resid_endpoint_duneraw_vs_cs_endpoint_raw_m_yr,resid_endpoint_duneraw_vs_cs_endpoint_loess_m_yr
12,-1.838612894963628,-1.743,-0.9301078456059294,-2.077,-1.5938163254474578,-1.0903886021974358,-1.128647124042903,0.709965770920725,0.6526113978025643,-0.16028075659150642,0.9866113978025641,0.5034277232500219,-0.4716747741845211,-0.4714095161872754,1.3672033787763527,1.271325225815479,0.4584330714214083,1.6053252258154789,1.1221415512629367,-0.0886299725140816,-0.0573527034567442,1.7812601915068837,1.6543700274859185,0.8414778730918478,1.9883700274859184,1.5051863529333762
13,-1.4259058145864776,-1.679,-0.8688258962755441,-1.244,-1.1071477974558472,-0.8823193863715459,-0.8872392726862274,0.5386665419002502,0.7966806136284541,-0.01349349009600187,0.36168061362845405,0.2248284110843013,-0.3985046412128213,-0.3832342371120229,1.0426715774744546,1.2804953587871788,0.47032125506272277,0.8454953587871787,0.708643156243026,-0.0980147967191442,-0.0616966160658554,1.3642091985206222,1.5809852032808558,0.7708110995563999,1.1459852032808557,1.009133000736703
14,-0.9014269333273761,-0.588,-0.6969082212275038,0.408,-0.5732949350551723,-0.6508613649179097,-0.6686957676514398,0.23273116567593632,-0.06286136491790972,0.04604685630959415,-1.0588613649179097,-0.07756642986273743,-0.2754747655087158,-0.2856130113932908,0.6158139219340852,0.31252523449128417,0.42143345571878804,-0.6834747655087158,0.29782016954645646,-0.0410415864221249,-0.038269835670578,0.8631570976567982,0.5469584135778751,0.655866634805379,-0.4490415864221249,0.5322533486330474
15,-0.4420058431570572,0.464,-0.4563269748668276,0.562,-0.17305077968063828,-0.3611086750960567,-0.4706022665973418,-0.02859642344028457,-0.8251086750960568,0.0952182997707709,-0.9231086750960568,-0.18805789541541842,-0.0721177811732559,-0.1819094509025531,0.2600963922545041,-0.5361177811732559,0.3842091936935717,-0.6341177811732559,0.10093299850738238,0.1098035466320652,0.0070581421706493,0.4490639853277065,-0.3541964533679348,0.5661305214988928,-0.45219645336793485,0.28285432631270346
16,-0.11132013632365531,0.976,-0.2279130774382291,0.847,0.03243817946775527,-0.1580442761538506,-0.3249789165504999,-0.21365878022684456,-1.1340442761538505,0.0698688012843785,-1.0050442761538505,-0.19048245562160587,0.0606106801930764,-0.1100639445670537,0.0012561917566016045,-0.9153893198069236,0.2885237576313055,-0.7863893198069236,0.028172500725321133,0.2006473043923506,0.0327270076586277,0.14404714398228302,-0.7753526956076494,0.4285603818305797,-0.6463526956076494,0.16820912492459533
17,0.12529704481718068,-0.298,-0.06520877961316793,0.002,0.09959257666413465,-0.3146053026468507,-0.2804540280845903,-0.405751072901771,-0.016605302646850728,-0.2493965230336828,-0.3166053026468507,-0.4141978793109854,-0.1493964032206349,-0.1218028189830266,-0.24709986380020726,0.14860359677936508,-0.08418762360746698,-0.1513964032206349,-0.24898897988476956,-0.0424400502691241,-0.0149843719454331,-0.14028141676261377,0.25555994973087587,0.02276872934404383,-0.0444400502691241,-0.14203262693325874
18,0.248049488804461,-0.275,-0.002516009660127514,-0.219,0.06727083830038658,-0.2906696177104095,-0.2338463414588479,-0.4818958302633089,-0.015669617710409478,-0.288153608050282,-0.0716696177104095,-0.35794045601079605,-0.1671005156855244,-0.1178219135942694,-0.3658714023987304,0.10789948431447563,-0.16458450602539687,0.05189948431447561,-0.23437135398591097,-0.0860416328727296,-0.0386891443650526,-0.2867386331695136,0.18895836712727043,-0.0835256232126021,0.13295836712727038,-0.1533124711731162
19,0.21887528187396454,-0.1,-0.010279022540858856,-0.599,0.0006711287875232619,-0.1290622370130222,-0.1833670502937387,-0.4022423321677032,-0.029062237013022185,-0.11878321447216333,0.46993776298697776,-0.12973336580054545,-0.0375477360986224,-0.0992468430918722,-0.31812212496583675,0.062452263901377605,-0.027268713557763544,0.5614522639013776,-0.03821886488614566,0.023424972169596,-0.0411565917634626,-0.26003187363742714,0.123424972169596,0.033703994710454856,0.622424972169596,0.022753843382072737
20,0.08640279004419678,0.096,-0.015915161301061975,0.058,-0.07793686437643123,-0.0647013264324414,-0.1723404710216332,-0.25874326106582995,-0.1607013264324414,-0.04878616513137943,-0.12270132643244142,0.013235537943989822,0.0036507233811789,-0.1116742031620784,-0.1980769932062752,-0.0923492766188211,0.019565884682240874,-0.0543492766188211,0.08158758775761013,0.0491523544532356,-0.0694213063177866,-0.15582409636198338,-0.046847645546764405,0.06506751575429758,-0.008847645546764406,0.12708921882966684
21,-0.04043272704292155,0.072,-0.006453698857870368,0.367,-0.15099639599362571,-0.1279058014721158,-0.2061647458966601,-0.16573201885373853,-0.19990580147211578,-0.12145210261424544,-0.4949058014721158,0.02309059452150991,-0.0794586252883164,-0.163151215062108,-0.12271848801918644,-0.15145862528831638,-0.07300492643044604,-0.44645862528831637,0.07153777070530931,-0.0457853793423964,-0.1327034893434695,-0.09227076230054795,-0.11778537934239638,-0.03933168048452603,-0.4127853793423964,0.10521101665122931
22,-0.11500251039644258,0.306,-0.024904832325963872,0.111,-0.1933683864685806,-0.2365357429489449,-0.2657513776432985,-0.1507488672468559,-0.5425357429489449,-0.211630910622981,-0.3475357429489449,-0.043167356480364294,-0.2005324586229107,-0.2351597307854557,-0.12015722038901314,-0.5065324586229107,-0.1756276262969468,-0.3115324586229107,-0.007164072154330098,-0.1758284704805191,-0.2134235618458923,-0.09842105144944974,-0.48182847048051913,-0.15092363815455523,-0.2868284704805191,0.017539915988061483
23,-0.1939904468226254,-0.184,-0.0779382181436906,-0.595,-0.23071669077902873,-0.3439392175989269,-0.332338081013164,-0.13834763419053858,-0.15993921759892693,-0.2660009994552363,0.25106078240107305,-0.1132225268198982,-0.3180349504000332,-0.3108314220315528,-0.11684097520892739,-0.13403495040003321,-0.2400967322563426,0.27696504959996676,-0.08731825962100448,-0.3000686245304678,-0.2954557849158605,-0.1014653380932351,-0.11606862453046779,-0.22213040638677717,0.2949313754695322,-0.06935193375143905
24,-0.2797895317391996,-0.112,-0.09259042874818799,-0.89,-0.2578658326617011,-0.4922122390152254,-0.4009019836681015,-0.12111245192890185,-0.3802122390152254,-0.39962181026703736,0.39778776098477464,-0.23434640635352427,-0.4744418962000054,-0.38600147210265,-0.10621194036345039,-0.3624418962000054,-0.3818514674518174,0.41555810379999464,-0.21657606353830428,-0.4614975510416116,-0.3752289266130292,-0.09543939487382957,-0.3494975510416116,-0.3689071222934236,0.4285024489583884,-0.2036317183799105
25,-0.239608705796383,-0.361,0.030119233231235,-0.156,-0.19379100899549134,-0.4905462469185295,-0.4284650472588605,-0.18885634146247748,-0.1295462469185295,-0.5206654801497645,-0.3345462469185295,-0.29675523792303815,-0.4761287113330582,-0.4178101608527825,-0.1782014550563995,-0.11512871133305819,-0.5062479445642931,-0.3201287113330582,-0.28233770233756683,-0.4668873123605408,-0.4103315316408393,-0.1707228258444563,-0.10588731236054083,-0.4970065455917758,-0.3108873123605408,-0.2730963033650495
26,0.030822555211011328,-0.664,0.3409084205331766,-0.397,0.057627268181875836,-0.4518854267924325,-0.4358734977898092,-0.46669605300082057,0.21211457320756755,-0.7927938473256091,-0.05488542679243247,-0.5095126949743083,-0.4425838437807215,-0.4287115443475823,-0.45953409955859364,0.22141615621927851,-0.7834922643138982,-0.0455838437807215,-0.5002111119625974,-0.4360463168472052,-0.4235663985744889,-0.45438895378550026,0.22795368315279485,-0.7769547373803818,-0.039046316847205165,-0.49367358502908104
27,0.4642191401483692,0.24,0.8338190121402158,0.052,0.4980934361493583,-0.3280019080137208,-0.4212988492360589,-0.885517989384428,-0.5680019080137209,-1.1618209201539367,-0.3800019080137208,-0.8260953441630792,-0.3209239390691437,-0.4164234116895269,-0.8806425518378961,-0.5609239390691436,-1.1547429512093594,-0.3729239390691437,-0.8190173752185019,-0.3163417324586589,-0.4129153421205224,-0.8771344822688916,-0.5563417324586588,-1.1501607445988746,-0.36834173245865887,-0.8144351686080171
28,0.9387210917042272,1.054,1.43791867848986,1.005,1.013805215765957,-0.3431896210671766,-0.4300740764317298,-1.3687951681359571,-1.3971896210671766,-1.7811082995570366,-1.3481896210671764,-1.3569948368331335,-0.3391233931242823,-0.4271088072524886,-1.365829898956716,-1.3931233931242823,-1.7770420716141424,-1.3441233931242822,-1.3529286088902392,-0.335941489812194,-0.4247382906756364,-1.3634593823798635,-1.389941489812194,-1.773860168302054,-1.3409414898121939,-1.349746705578151
29,1.3541199606944958,2.629,2.0594999779046175,1.721,1.418787032723535,-0.3443502368132612,-0.448879973026051,-1.802999933720547,-2.9733502368132614,-2.403850214717879,-2.0653502368132615,-1.7631372695367962,-0.3426006022090405,-0.4473034831388568,-1.8014234438333525,-2.9716006022090404,-2.402100580113658,-2.0636006022090405,-1.7613876349325754,-0.340411168132141,-0.4457155300253443,-1.7998354907198402,-2.969411168132141,-2.3999111460367586,-2.061411168132141,-1.7591982008556761
30,1.6013730361987488,3.699,2.60613735452221,3.134,1.6318295008459114,-0.3087470246146949,-0.4699494795065538,-2.071322515705303,-4.0077470246146945,-2.9148843791369052,-3.442747024614695,-1.9405765254606062,-0.307889665264338,-0.4691616779868003,-2.0705347141855492,-4.006889665264338,-2.9140270197865483,-3.441889665264338,-1.9397191661102493,-0.306396760291318,-0.4681070540329967,-2.0694800902317456,-4.005396760291318,-2.9125341148135284,-3.4403967602913177,-1.9382262611372294
31,1.5931467340428236,3.491,3.0007560373968443,2.535,1.6319366048057034,-0.3855651899360964,-0.5398486152624099,-2.1329953493052334,-3.8765651899360964,-3.3863212273329406,-2.9205651899360965,-2.0175017947417997,-0.3847707922464906,-0.5394365991622619,-2.1325833332050856,-3.875770792246491,-3.385526829643335,-2.919770792246491,-2.016707397052194,-0.3837617768876953,-0.5387419558303982,-2.1318886898732217,-3.8747617768876954,-3.3845178142845396,-2.9187617768876954,-2.0156983816933987
