domain,dom_lrr_p1,dom_lrr_p2,dom_lrr_full,dom_r2_p1,dom_r2_p2,dom_r2_full,dom_n_p1,dom_n_p2,dom_n_full,dom_sc_p1,dom_sc_p2,dom_var_p1,dom_var_p2,dom_var_full,txn_lrr_p1,txn_lrr_p2,txn_class,trajectory,high_var
11,-2.93724025974026,1.9018506493506495,-1.0612369337979093,0.8839978127241339,0.4181140044979357,0.31492189422026057,21,21,41,0.4,0.1,6.442919147026968,13.585753164476138,18.52017092844077,-2.924285714285715,1.8022402597402596,Switching: Ero→Acc,Switching: Ero→Acc,True
12,-2.238376623376624,1.58814935064935,-0.986136759581882,0.8713773976750716,0.3315951450154102,0.33636485659574294,21,21,41,0.4,0.0,5.2074412321951495,13.653461587052274,16.38930535728178,-2.2223701298701295,1.606753246753247,Switching: Ero→Acc,Switching: Ero→Acc,True
13,-1.6153246753246753,1.556883116883117,-0.7707317073170734,0.8396471268454202,0.3918197476469639,0.29095155087172325,21,21,41,0.4,0.0,4.274501879309801,11.745316421610081,14.236225587451182,-1.586298701298701,1.5274675324675326,Switching: Ero→Acc,Switching: Ero→Acc,False
14,-0.4866883116883119,2.1924025974025976,-0.0525000000000001,0.081633578117299,0.5528883197318039,0.001657942975757622,21,21,41,0.1,0.1,9.884625353950504,11.938377934530665,15.243272384540406,-0.5761363636363637,2.1423051948051945,Accelerating Accretion,Accelerating Accretion,True
15,0.046785714285714146,1.7460064935064934,0.5140592334494775,0.0011742996395524001,0.4514820835298712,0.21119173120780915,21,21,41,0.1,0.1,8.262364875001854,11.653509064363108,11.75504928314588,0.02519480519480517,1.8444480519480522,Accelerating Accretion,Accelerating Accretion,False
16,0.6160064935064935,0.8702922077922078,0.6940243902439023,0.3360070838626025,0.1721471753309629,0.44761000696738906,21,21,41,0.1,0.2,5.243587406284275,11.556529367368976,9.122455607549949,0.6115909090909091,0.9250974025974026,Persistently Stable,Persistently Stable,False
17,0.1381168831168831,1.5487662337662336,0.7393118466898956,0.012662403735425742,0.3368205908717351,0.36028810320614485,21,21,41,0.0,0.3,7.3851146726437005,13.159451470620912,11.656252214040224,0.25892857142857156,1.4751623376623377,Accelerating Accretion,Accelerating Accretion,False
18,-0.32961038961038946,1.5488311688311687,0.794738675958188,0.08472492029635888,0.4447347808763409,0.44492849636325954,21,21,41,0.0,0.0,6.560045359173178,10.47947396153123,10.503105343146846,-0.2684415584415585,1.5579220779220782,Accelerating Accretion,Accelerating Accretion,False
19,-0.27168831168831165,1.8080194805194807,1.0423301393728228,0.03837141653591503,0.5569870145830013,0.5434757377971048,21,21,41,0.0,0.4,8.235812222753772,9.763926773614571,11.303453832191233,-0.27490259740259726,1.7387662337662337,Accelerating Accretion,Accelerating Accretion,False
20,-0.05194805194805182,1.7656168831168828,0.5969991289198607,0.0011458519018285834,0.6565314954395158,0.31391909863492357,21,21,41,0.1,0.1,9.287349201171347,7.732997419192676,10.442789189190027,0.04233766233766244,1.693051948051948,Accelerating Accretion,Accelerating Accretion,False
21,0.7251298701298703,0.38967532467532473,0.03865853658536581,0.2692644781878133,0.06930348892212923,0.002656341888194012,21,21,41,0.0,0.1,7.233393441123451,8.646993145937106,8.863185880372235,0.768896103896104,0.4,Persistently Stable,Persistently Stable,False
22,-0.33094155844155837,-1.0207467532467533,-0.8762717770034841,0.062180116424368825,0.356966172137526,0.5971238365437886,21,21,41,0.1,0.2,7.782533086040323,8.295777616667579,8.516407314693083,-0.3748051948051949,-1.0095454545454545,Accelerating Erosion,Accelerating Erosion,False
23,-1.135551948051948,-1.9000974025974022,-1.7539111498257836,0.3809892570708403,0.5032572746625464,0.7951243954901184,21,21,41,0.1,0.4,8.764667599326016,11.430949514147551,10.534142564395513,-0.9136363636363638,-2.179772727272727,Accelerating Erosion,Persistent Erosion,False
24,-0.5834090909090911,-2.2183766233766233,-2.1111716027874565,0.1884125192546841,0.42809403957954545,0.7656101379569137,21,21,41,0.2,0.3,7.331987210072733,15.52614780347468,13.821434734715819,-0.6201298701298702,-2.089285714285714,Accelerating Erosion,Accelerating Erosion,False
25,-0.11451298701298689,-2.531428571428571,-2.056859756097561,0.014971351021762778,0.5612191299301617,0.7655670317379675,21,21,41,0.1,0.2,5.624506108783119,13.55373537554814,13.467482833163029,-0.10941558441558452,-2.5023701298701297,Accelerating Erosion,Accelerating Erosion,False
26,-0.34285714285714247,-1.5741233766233764,-1.4301959930313588,0.09507411972471605,0.4347565614465817,0.7410624860464071,21,21,41,0.2,0.2,6.405075669425443,10.868489144768018,10.002985684856016,-0.3375,-1.463441558441558,Accelerating Erosion,Accelerating Erosion,False
27,-0.5513636363636365,-1.0869155844155842,-0.13444686411149823,0.170711288105202,0.2470887148506577,0.020321656077245072,21,21,41,0.1,0.2,7.358606717029662,11.488861105956314,11.045284336093887,-0.5488636363636366,-1.0875974025974027,Accelerating Erosion,Accelerating Erosion,False
28,0.3199350649350649,1.5903246753246756,1.3346515679442508,0.03416930070908513,0.38034619457773505,0.6182358374968885,21,21,41,0.3,0.0,10.299828987398564,12.291546700252095,12.409446450217525,0.4115259740259741,1.5473701298701297,Accelerating Accretion,Accelerating Accretion,False
29,1.6229545454545453,2.8119805194805196,2.3165331010452967,0.40381331155663847,0.6400321454072375,0.8156077919571298,21,21,41,0.1,0.4,11.941060361401224,12.769649864052049,13.032661861553319,1.5525649350649349,2.7080194805194804,Persistent Accretion,Persistent Accretion,False
30,2.4889935064935065,3.8649350649350653,2.7506576655052264,0.8015986979653026,0.8894243045177637,0.9223115799358144,21,21,41,0.2,0.3,7.498134668915541,8.251886774121468,9.44582456439149,2.507987012987013,3.8810389610389615,Persistent Accretion,Persistent Accretion,False
31,2.4639610389610387,2.752792207792207,2.6140940766550527,0.728729953831611,0.7730308096954365,0.9184413774624743,21,21,41,0.4,0.1,9.103054892711295,9.03221356764547,9.217103226289833,2.506883116883117,2.599935064935065,Persistent Accretion,Persistent Accretion,False
32,2.6200974025974024,1.34525974025974,1.7635148083623695,0.7378944340949125,0.3013976553720342,0.7558057626017809,21,21,41,0.2,0.2,9.455710262493946,12.40186344522622,11.860574744794365,2.4872077922077924,1.4498701298701295,Persistent Accretion,Persistent Accretion,False
33,1.024090909090909,1.409935064935065,1.0811324041811843,0.17516463681811822,0.2687759853810024,0.457095127490392,21,21,41,0.2,0.0,13.45657839162301,14.082015510683338,13.941242322196057,1.1304545454545454,1.0952597402597404,Persistent Accretion,Persistent Accretion,False
34,-0.544285714285714,2.37711038961039,0.39125000000000004,0.03222928799078696,0.5866751627755379,0.060375030848161926,21,21,41,0.3,0.1,18.060240639319105,12.081809003824217,18.262783052244675,-0.3666883116883116,2.399285714285714,Accelerating Accretion,Accelerating Accretion,True
35,-1.7131168831168828,1.7316883116883115,-0.9129268292682927,0.3455615687155416,0.41133014294646536,0.25550711856573965,21,21,41,0.2,0.1,14.275600619115382,12.544289601564383,18.438634722944172,-1.739935064935065,1.7178571428571432,Switching: Ero→Acc,Switching: Ero→Acc,True
36,-1.9085064935064937,1.614090909090909,-1.118850174216028,0.5469607745961652,0.4790702514450186,0.38950697658008326,21,21,41,0.2,0.2,10.517661011653201,10.191865519039887,16.573669869135152,-1.9886038961038968,1.7160714285714285,Switching: Ero→Acc,Switching: Ero→Acc,True
37,-1.3388311688311687,0.959025974025974,-0.7666289198606272,0.5188117878223737,0.3338283355406088,0.39112120169460945,21,21,41,0.1,0.2,7.807537916650423,8.203469436256176,11.317720454406862,-1.3203896103896104,0.8757142857142859,Decelerating Erosion,Decelerating Erosion,False
