gis_domain,model_v1_m,model_v2_m,model_diff_m,abs_v1_m,abs_v2_m,abs_diff_m
31,3204.36,3185.74,-18.62,5208.43,5189.81,-18.62
32,3089.46,3075.04,-14.43,5093.53,5079.11,-14.43
33,2951.19,2933.92,-17.27,4955.26,4937.99,-17.27
34,2800.04,2786.80,-13.24,4804.11,4790.87,-13.24
35,2679.13,2664.25,-14.89,4683.20,4668.32,-14.89
36,2557.01,2557.01,0.00,4561.08,4561.08,0.00
37,2459.77,2459.77,0.00,4463.84,4463.84,0.00
38,2388.43,2387.87,-0.56,4392.50,4391.94,-0.56
39,2331.98,2331.59,-0.40,4336.05,4335.66,-0.40
40,2304.90,2304.85,-0.06,4308.97,4308.92,-0.06
41,2283.52,2283.52,0.00,4287.59,4287.59,0.00
42,2258.24,2255.56,-2.69,4262.31,4259.63,-2.69
43,2233.50,2221.81,-11.69,4237.57,4225.88,-11.69
44,2203.33,2203.33,0.00,4207.39,4207.39,0.00
45,2180.02,2178.39,-1.63,4184.09,4182.46,-1.63
46,2154.86,2149.29,-5.58,4158.93,4153.36,-5.58
47,2120.42,2120.42,0.00,4124.49,4124.49,0.00
48,2109.64,2101.45,-8.19,4113.71,4105.52,-8.19
49,2078.74,2073.36,-5.38,4082.81,4077.43,-5.38
50,2044.62,2043.43,-1.20,4048.69,4047.50,-1.20
51,2009.87,2006.42,-3.45,4013.94,4010.49,-3.45
52,1985.44,1953.24,-32.20,3989.51,3957.31,-32.20
53,1949.72,1906.40,-43.32,3953.79,3910.47,-43.32
54,1853.56,1842.00,-11.56,3857.63,3846.07,-11.56
55,1776.72,1774.14,-2.58,3780.79,3778.21,-2.58
56,1706.18,1706.18,0.00,3710.25,3710.25,0.00
57,1636.01,1636.01,0.00,3640.08,3640.08,0.00
58,1545.71,1545.71,0.00,3549.78,3549.78,0.00
59,1456.04,1456.04,0.00,3460.11,3460.11,0.00
60,1358.93,1356.98,-1.95,3363.00,3361.05,-1.95
61,1265.51,1248.71,-16.80,3269.58,3252.78,-16.80
62,1159.37,1130.93,-28.44,3163.44,3135.00,-28.44
63,1039.93,1035.96,-3.97,3044.00,3040.03,-3.97
64,950.03,950.03,0.00,2954.10,2954.10,0.00
65,864.17,858.67,-5.50,2868.24,2862.74,-5.50
66,762.79,762.48,-0.31,2766.86,2766.55,-0.31
67,646.24,646.24,0.00,2650.31,2650.31,0.00
68,538.77,526.69,-12.08,2542.84,2530.76,-12.08
69,433.55,417.27,-16.28,2437.62,2421.34,-16.28
70,335.28,334.36,-0.91,2339.35,2338.43,-0.91
71,246.22,243.69,-2.53,2250.29,2247.76,-2.53
72,175.21,175.21,0.00,2179.28,2179.28,0.00
73,126.17,120.11,-6.06,2130.24,2124.18,-6.06
74,78.03,60.70,-17.33,2082.10,2064.77,-17.33
75,31.32,19.54,-11.79,2035.39,2023.61,-11.79
76,0.00,0.00,0.00,2004.07,2004.07,0.00
77,6.45,6.45,0.00,2010.52,2010.52,0.00
78,11.80,11.80,0.00,2015.87,2015.87,0.00
79,37.74,37.74,0.00,2041.81,2041.81,0.00
80,97.84,97.84,0.00,2101.91,2101.91,0.00
81,165.80,165.80,0.00,2169.87,2169.87,0.00
82,240.83,240.83,0.00,2244.90,2244.90,0.00
83,294.92,294.92,0.00,2298.99,2298.99,0.00
84,390.74,390.06,-0.69,2394.81,2394.13,-0.69
85,501.88,477.36,-24.52,2505.95,2481.43,-24.52
86,565.09,549.82,-15.27,2569.16,2553.89,-15.27
87,617.58,616.57,-1.01,2621.65,2620.64,-1.01
88,674.57,674.57,0.00,2678.64,2678.64,0.00
89,733.89,733.89,0.00,2737.96,2737.96,0.00
90,806.49,806.49,0.00,2810.56,2810.56,0.00
