domain_number,window_domains,window_km,total_change_m,observed_m,observed_minus_total_m
9,3,1.5,36.998,8.16,-28.838
10,3,1.5,52.137,28.552,-23.585
11,3,1.5,53.478,32.906,-20.572
12,3,1.5,49.102,29.735,-19.367
13,3,1.5,43.436,27.992,-15.444
14,3,1.5,48.473,41.048,-7.425
15,3,1.5,48.252,48.546,0.293
16,3,1.5,41.177,41.599,0.422
17,3,1.5,41.918,39.432,-2.486
18,3,1.5,45.573,42.46,-3.113
19,3,1.5,46.167,42.819,-3.348
20,3,1.5,41.625,34.686,-6.939
21,3,1.5,24.787,14.215,-10.572
22,3,1.5,3.745,-7.081,-10.826
23,3,1.5,-2.111,-9.566,-7.455
24,3,1.5,4.696,2.069,-2.627
25,3,1.5,6.594,6.854,0.26
26,3,1.5,1.236,-0.166,-1.402
27,3,1.5,-0.781,-7.341,-6.56
28,3,1.5,24.844,10.812,-14.032
29,3,1.5,56.266,40.436,-15.83
30,3,1.5,58.286,53.063,-5.223
31,3,1.5,40.572,46.623,6.051
32,3,1.5,34.392,31.693,-2.699
33,3,1.5,41.531,22.469,-19.062
34,3,1.5,49.696,29.72,-19.976
35,3,1.5,46.979,35.532,-11.447
36,3,1.5,33.158,28.671,-4.487
37,3,1.5,18.249,14.029,-4.22
38,3,1.5,15.124,3.282,-11.842
39,3,1.5,16.223,2.247,-13.976
40,3,1.5,13.501,1.562,-11.939
41,3,1.5,9.04,-0.105,-9.145
42,3,1.5,4.211,2.457,-1.754
43,3,1.5,2.555,7.358,4.803
44,3,1.5,0.877,5.993,5.117
45,3,1.5,-3.356,-1.988,1.368
46,3,1.5,-6.848,-9.079,-2.231
47,3,1.5,-2.755,-6.854,-4.099
48,3,1.5,-1.266,-3.532,-2.266
49,3,1.5,-9.236,-8.072,1.164
50,3,1.5,-17.098,-15.017,2.081
51,3,1.5,-19.818,-23.904,-4.086
52,3,1.5,-21.534,-31.109,-9.574
53,3,1.5,-19.71,-23.771,-4.061
54,3,1.5,-17.109,-15.262,1.848
55,3,1.5,-13.499,-11.595,1.904
56,3,1.5,-6.708,-6.804,-0.097
57,3,1.5,2.066,0.137,-1.929
58,3,1.5,6.875,2.564,-4.311
59,3,1.5,4.617,0.029,-4.588
60,3,1.5,-4.072,-3.079,0.993
61,3,1.5,-10.821,-4.714,6.108
62,3,1.5,0.354,6.209,5.854
63,3,1.5,19.631,21.001,1.37
64,3,1.5,31.365,30.34,-1.025
65,3,1.5,45.102,44.941,-0.161
66,3,1.5,60.934,61.459,0.526
67,3,1.5,52.306,51.058,-1.247
68,3,1.5,30.848,25.744,-5.105
69,3,1.5,23.465,17.578,-5.888
70,3,1.5,24.551,17.845,-6.706
71,3,1.5,22.69,11.957,-10.732
72,3,1.5,20.104,14.815,-5.289
73,3,1.5,6.299,11.399,5.101
74,3,1.5,-7.188,-4.484,2.704
75,3,1.5,-7.405,-11.871,-4.466
76,3,1.5,-12.588,-16.21,-3.622
77,3,1.5,-24.452,-20.384,4.068
78,3,1.5,-25.366,-23.372,1.994
79,3,1.5,-15.935,-16.307,-0.372
80,3,1.5,-4.79,-9.751,-4.96
81,3,1.5,-8.974,-17.291,-8.317
82,3,1.5,-17.593,-25.156,-7.562
83,3,1.5,-15.89,-16.544,-0.654
84,3,1.5,-7.554,-2.51,5.044
85,3,1.5,-1.545,3.451,4.996
86,3,1.5,3.179,8.379,5.2
87,3,1.5,12.668,14.875,2.207
88,3,1.5,22.829,19.002,-3.828
89,3,1.5,25.285,23.178,-2.107
90,3,1.5,26.372,29.149,2.777
1,5,2.5,96.545,124.745,28.2
2,5,2.5,56.694,69.444,12.75
3,5,2.5,48.173,53.065,4.892
4,5,2.5,46.35,40.245,-6.105
5,5,2.5,33.75,21.084,-12.665
6,5,2.5,-15.825,-22.725,-6.9
7,5,2.5,-2.351,-17.734,-15.383
8,5,2.5,22.024,-7.939,-29.963
9,5,2.5,36.998,8.16,-28.838
10,5,2.5,52.137,28.552,-23.585
11,5,2.5,50.848,29.752,-21.096
12,5,2.5,48.658,30.128,-18.53
13,5,2.5,46.55,32.359,-14.19
14,5,2.5,46.708,39.351,-7.357
15,5,2.5,45.941,43.807,-2.134
16,5,2.5,43.548,42.97,-0.579
17,5,2.5,42.745,40.817,-1.928
18,5,2.5,44.658,41.684,-2.975
19,5,2.5,44.563,40.289,-4.274
20,5,2.5,37.204,30.731,-6.473
21,5,2.5,22.818,13.838,-8.98
22,5,2.5,7.901,-1.547,-9.447
23,5,2.5,1.796,-5.049,-6.845
24,5,2.5,3.25,0.027,-3.224
25,5,2.5,5.33,4.733,-0.597
26,5,2.5,6.078,3.067,-3.012
27,5,2.5,15.895,6.318,-9.578
28,5,2.5,32.027,17.365,-14.662
29,5,2.5,46.773,35.231,-11.542
30,5,2.5,49.149,46.862,-2.286
31,5,2.5,41.818,44.375,2.557
32,5,2.5,36.896,33.282,-3.614
33,5,2.5,40.7,27.82,-12.881
34,5,2.5,45.418,29.407,-16.011
35,5,2.5,43.912,32.196,-11.716
36,5,2.5,33.027,26.147,-6.881
37,5,2.5,21.794,14.758,-7.036
38,5,2.5,16.352,6.058,-10.294
39,5,2.5,15.04,2.323,-12.717
40,5,2.5,13.072,1.293,-11.779
41,5,2.5,8.852,1.088,-7.764
42,5,2.5,5.275,3.139,-2.137
43,5,2.5,2.483,5.279,2.796
44,5,2.5,0.185,3.943,3.758
45,5,2.5,-3.151,-1.925,1.226
46,5,2.5,-4.211,-5.969,-1.758
47,5,2.5,-3.49,-6.497,-3.007
48,5,2.5,-4.187,-5.902,-1.714
49,5,2.5,-9.323,-8.774,0.549
50,5,2.5,-15.548,-15.349,0.198
51,5,2.5,-19.647,-22.706,-3.059
52,5,2.5,-20.318,-24.844,-4.525
53,5,2.5,-19.497,-22.475,-2.978
54,5,2.5,-16.739,-16.151,0.588
55,5,2.5,-12.601,-11.316,1.285
56,5,2.5,-6.031,-6.162,-0.131
57,5,2.5,1.022,-1.14,-2.161
58,5,2.5,4.971,1.228,-3.743
59,5,2.5,2.718,-0.09,-2.809
60,5,2.5,-3.596,-2.791,0.806
61,5,2.5,-5.985,-1.245,4.74
62,5,2.5,3.028,7.648,4.619
63,5,2.5,16.55,18.911,2.361
64,5,2.5,30.904,31.222,0.318
65,5,2.5,43.679,44.485,0.806
66,5,2.5,49.064,51.06,1.997
67,5,2.5,44.623,44.081,-0.542
68,5,2.5,33.273,29.653,-3.62
69,5,2.5,25.541,19.738,-5.802
70,5,2.5,23.544,15.758,-7.786
71,5,2.5,22.456,14.782,-7.674
72,5,2.5,16.254,12.711,-3.543
73,5,2.5,6.39,7.067,0.677
74,5,2.5,-2.358,-1.537,0.821
75,5,2.5,-8.362,-10.8,-2.438
76,5,2.5,-14.019,-15.432,-1.413
77,5,2.5,-19.67,-19.663,0.007
78,5,2.5,-18.534,-19.419,-0.885
79,5,2.5,-12.903,-16.195,-3.292
80,5,2.5,-7.708,-13.463,-5.755
81,5,2.5,-9.95,-16.71,-6.76
82,5,2.5,-14.132,-19.159,-5.027
83,5,2.5,-14.254,-15.133,-0.88
84,5,2.5,-8.167,-4.739,3.428
85,5,2.5,-1.803,3.266,5.069
86,5,2.5,4.225,8.769,4.544
87,5,2.5,12.968,14.257,1.289
88,5,2.5,20.083,19.164,-0.919
89,5,2.5,24.266,23.881,-0.385
90,5,2.5,27.44,28.68,1.24
1,10,5.0,96.545,124.745,28.2
2,10,5.0,56.694,69.444,12.75
3,10,5.0,48.173,53.065,4.892
4,10,5.0,46.35,40.245,-6.105
5,10,5.0,33.75,21.084,-12.665
6,10,5.0,-15.825,-22.725,-6.9
7,10,5.0,-2.351,-17.734,-15.383
8,10,5.0,22.024,-7.939,-29.963
9,10,5.0,36.998,8.16,-28.838
10,10,5.0,52.137,28.552,-23.585
11,10,5.0,45.24,25.226,-20.013
12,10,5.0,47.171,30.647,-16.525
13,10,5.0,47.523,34.724,-12.799
14,10,5.0,46.236,36.935,-9.301
15,10,5.0,45.101,38.755,-6.346
16,10,5.0,44.785,40.759,-4.026
17,10,5.0,44.124,41.229,-2.895
18,10,5.0,41.606,38.405,-3.201
19,10,5.0,36.925,32.65,-4.274
20,10,5.0,30.51,25.327,-5.183
21,10,5.0,23.744,18.622,-5.122
22,10,5.0,17.195,12.743,-4.452
23,10,5.0,10.925,7.354,-3.571
24,10,5.0,6.588,3.917,-2.671
25,10,5.0,6.352,4.545,-1.806
26,10,5.0,10.193,9.604,-0.588
27,10,5.0,16.262,16.883,0.621
28,10,5.0,21.3,23.542,2.242
29,10,5.0,25.694,28.565,2.871
30,10,5.0,31.254,33.125,1.87
31,10,5.0,36.214,35.513,-0.7
32,10,5.0,38.799,35.638,-3.161
33,10,5.0,39.467,33.556,-5.911
34,10,5.0,37.789,29.696,-8.093
35,10,5.0,34.821,25.282,-9.539
36,10,5.0,31.076,20.982,-10.094
37,10,5.0,26.194,16.176,-10.017
38,10,5.0,20.501,10.71,-9.791
39,10,5.0,15.362,5.906,-9.456
40,10,5.0,11.673,3.348,-8.326
41,10,5.0,8.936,2.821,-6.115
42,10,5.0,6.042,2.632,-3.41
43,10,5.0,2.821,1.547,-1.274
44,10,5.0,0.261,0.18,-0.08
45,10,5.0,-1.399,-1.041,0.358
46,10,5.0,-3.054,-2.879,0.175
47,10,5.0,-5.418,-5.692,-0.274
48,10,5.0,-8.144,-8.861,-0.718
49,10,5.0,-10.864,-12.033,-1.169
50,10,5.0,-13.55,-14.87,-1.32
51,10,5.0,-16.18,-17.006,-0.826
52,10,5.0,-17.737,-18.211,-0.473
53,10,5.0,-17.153,-17.845,-0.692
54,10,5.0,-14.519,-15.498,-0.979
55,10,5.0,-10.453,-11.365,-0.912
56,10,5.0,-6.072,-7.097,-1.024
57,10,5.0,-2.617,-4.116,-1.499
58,10,5.0,-0.659,-2.339,-1.68
59,10,5.0,0.406,-0.828,-1.233
60,10,5.0,2.891,2.102,-0.79
61,10,5.0,7.181,6.806,-0.375
62,10,5.0,12.223,12.565,0.342
63,10,5.0,19.229,20.091,0.861
64,10,5.0,27.17,27.448,0.278
65,10,5.0,31.831,30.517,-1.314
66,10,5.0,32.782,30.041,-2.741
67,10,5.0,32.385,28.509,-3.876
68,10,5.0,30.962,25.875,-5.087
69,10,5.0,27.684,21.459,-6.225
70,10,5.0,23.237,17.055,-6.182
71,10,5.0,18.167,13.014,-5.153
72,10,5.0,12.95,8.323,-4.628
73,10,5.0,7.351,3.221,-4.13
74,10,5.0,0.658,-2.223,-2.881
75,10,5.0,-6.005,-7.856,-1.851
76,10,5.0,-9.922,-12.73,-2.808
77,10,5.0,-11.01,-15.377,-4.367
78,10,5.0,-11.306,-16.24,-4.934
79,10,5.0,-12.14,-16.908,-4.768
80,10,5.0,-12.233,-16.797,-4.564
81,10,5.0,-11.078,-14.865,-3.787
82,10,5.0,-9.912,-11.815,-1.902
83,10,5.0,-8.688,-8.732,-0.045
84,10,5.0,-6.378,-4.68,1.698
85,10,5.0,-1.243,1.488,2.731
86,10,5.0,5.48,7.944,2.464
87,10,5.0,11.766,13.49,1.724
88,10,5.0,17.954,18.937,0.984
89,10,5.0,24.19,24.304,0.114
90,10,5.0,30.378,29.588,-0.79
