domain_number,n_valid,mean_lrr,median_lrr,std_lrr,min_lrr,max_lrr,pct_eroding,n_transects
63.0,5,-0.88,-0.922,0.676,-1.567,0.187,80.0,5
64.0,5,-0.371,-0.459,0.358,-0.707,0.18,80.0,5
65.0,5,0.535,0.476,0.664,0.0,1.624,0.0,5
66.0,5,0.052,0.0,0.116,0.0,0.259,0.0,5
67.0,5,0.746,0.762,0.463,0.0,1.198,0.0,5
68.0,5,1.191,1.211,0.143,1.049,1.407,0.0,5
69.0,5,1.44,1.463,0.183,1.206,1.703,0.0,5
70.0,5,1.123,1.2,0.276,0.767,1.434,0.0,5
71.0,5,0.513,0.447,0.167,0.335,0.706,0.0,5
72.0,5,0.211,0.192,0.217,0.0,0.464,0.0,5
73.0,5,1.012,1.399,0.873,0.0,1.912,0.0,5
74.0,5,1.857,1.672,0.454,1.452,2.362,0.0,5
75.0,5,-0.355,-0.908,1.264,-1.783,1.355,60.0,5
76.0,5,-1.502,-1.574,0.464,-2.065,-0.88,100.0,5
77.0,5,-1.583,-1.652,0.215,-1.803,-1.232,100.0,5
78.0,5,-2.337,-2.173,0.639,-3.237,-1.51,100.0,5
79.0,5,-1.117,-1.182,0.319,-1.505,-0.683,100.0,5
80.0,5,-1.177,-1.383,0.54,-1.638,-0.371,100.0,5
81.0,5,-0.123,0.269,0.977,-1.739,0.681,40.0,5
82.0,5,-0.08,0.0,0.549,-0.961,0.559,20.0,5
83.0,5,-2.517,-2.333,0.742,-3.585,-1.683,100.0,5
84.0,5,-1.913,-2.466,1.37,-3.208,-0.009,100.0,5
85.0,5,1.95,2.237,0.809,0.965,2.754,0.0,5
86.0,5,1.571,1.602,1.081,-0.197,2.613,20.0,5
87.0,5,0.294,0.17,0.417,-0.269,0.717,20.0,5
88.0,5,-0.101,0.0,0.571,-0.76,0.518,40.0,5
89.0,5,-0.451,-0.505,0.485,-0.875,0.336,80.0,5
90.0,5,0.081,0.0,0.163,-0.012,0.37,20.0,5
