scenario,kind,domain,setback_m,verdict,road_off_island,pct_road_cells_water,pct_profiles_road_submerged,pct_bayside_water,pct_seaside_water,pct_findwidths_disagree,road_start_cell,road_end_cell,border_row,domain_width_rows,iw_min,iw_p20,iw_median,iw_max,largest_fitting_setback_m,narrow_label,pct_profiles_land_behind,land_behind_median_cells,gap_median_cells,relocation_road_ele_m,relocation_ele_refuses,average_barrier_width_m,relocation_width_refuses
1984 initial,initial,30,259.0,FITS,False,0.0,0.0,0.0,0.0,0.0,25,27,28,112,32,51,60,83,720.0,HOLED,90.0,20,1,,,,
1984 initial,initial,31,239.0,FITS,False,0.0,0.0,0.0,0.0,0.0,23,25,26,68,30,32,41,67,340.0,HOLED,60.0,1,2,,,,
1984 initial,initial,32,251.0,FITS,False,0.0,0.0,0.0,0.0,0.0,25,27,28,52,32,45,46,50,420.0,TRUE_END,12.0,0,2,,,,
1984 initial,initial,33,307.0,FITS,False,1.0,0.0,2.0,0.0,2.0,30,32,33,56,30,44,47,53,440.0,MIXED,36.0,0,1,,,,
1984 initial,initial,34,339.0,FITS,False,0.0,0.0,0.0,0.0,0.0,33,35,36,54,41,43,46,52,400.0,TRUE_END,12.0,0,1,,,,
1984 initial,initial,35,354.0,FITS,False,2.0,0.0,0.0,2.0,4.0,35,37,38,54,33,43,44,52,400.0,MIXED,22.0,0,1,,,,
1984 initial,initial,36,344.0,FITS,False,0.0,0.0,0.0,0.0,0.0,34,36,37,69,51,52,54,60,490.0,TRUE_END,14.0,0,4,,,,
1984 initial,initial,37,342.0,FITS,False,0.0,0.0,0.0,0.0,0.0,34,36,37,88,53,57,78,86,740.0,HOLED,56.0,1,1,,,,
1984 initial,initial,38,290.0,FITS,False,0.0,0.0,0.0,0.0,0.0,29,31,32,90,69,78,81,88,770.0,TRUE_END,20.0,0,1,,,,
1984 initial,initial,39,242.0,FITS,False,0.0,0.0,0.0,0.0,0.0,24,26,27,78,68,69,71,77,660.0,TRUE_END,10.0,0,1,,,,
1984 initial,initial,40,234.0,FITS,False,0.0,0.0,0.0,0.0,0.0,23,25,26,77,53,63,70,75,640.0,MIXED,34.0,0,1,,,,
1984 initial,initial,41,217.0,FITS,False,0.0,0.0,0.0,0.0,0.0,21,23,24,65,43,52,54,58,490.0,HOLED,58.0,1,3,,,,
1984 initial,initial,42,189.0,FITS,False,0.0,0.0,0.0,0.0,0.0,18,20,21,66,42,43,61,65,570.0,HOLED,56.0,1,1,,,,
1984 initial,initial,43,186.0,FITS,False,0.0,0.0,0.0,0.0,0.0,18,20,21,68,53,61,63,66,590.0,TRUE_END,18.0,0,1,,,,
1984 initial,initial,44,191.0,FITS,False,0.0,0.0,0.0,0.0,0.0,19,21,22,66,46,50,53,65,530.0,HOLED,58.0,4,1,,,,
1984 initial,initial,45,192.0,FITS,False,0.0,0.0,0.0,0.0,0.0,19,21,22,64,31,38,41,56,370.0,HOLED,88.0,5,2,,,,
1984 initial,initial,46,184.0,FITS,False,0.0,0.0,0.0,0.0,0.0,18,20,21,57,30,36,39,46,340.0,HOLED,90.0,2,2,,,,
1984 initial,initial,47,184.0,FITS,False,0.0,0.0,0.0,0.0,0.0,18,20,21,50,29,32,34,41,300.0,HOLED,70.0,1,2,,,,
1984 initial,initial,48,191.0,FITS,False,0.0,0.0,6.0,0.0,0.0,19,21,22,36,21,23,25,30,200.0,TRUE_END,18.0,0,1,,,,
1984 initial,initial,49,188.0,FITS,False,0.0,0.0,2.0,0.0,0.0,18,20,21,29,20,22,23,27,190.0,TRUE_END,0.0,0,0,,,,
1984 initial,initial,50,197.0,DROWNS,False,14.0,4.0,54.0,4.0,0.0,19,21,22,26,15,19,21,24,160.0,TRUE_END,2.0,0,1,,,,
1984 initial,initial,51,212.0,DROWNS,False,8.0,2.0,32.0,2.0,4.0,21,23,24,30,18,22,24,28,190.0,TRUE_END,4.0,0,3,,,,
1984 initial,initial,52,200.0,DROWNS,True,36.0,28.0,82.0,18.0,2.0,20,22,23,32,15,18,21,27,160.0,TRUE_END,8.0,0,1,,,,
1984 initial,initial,53,194.0,FITS,False,0.0,0.0,6.0,0.0,0.0,19,21,22,37,21,24,26,33,210.0,MIXED,32.0,0,1,,,,
1984 initial,initial,54,204.0,FITS,False,0.0,0.0,2.0,0.0,0.0,20,22,23,45,22,25,28,44,230.0,HOLED,66.0,1,2,,,,
1984 initial,initial,55,203.0,FITS,False,0.0,0.0,0.0,0.0,0.0,20,22,23,52,23,33,36,49,310.0,HOLED,70.0,4,1,,,,
1984 initial,initial,56,194.0,FITS,False,0.0,0.0,0.0,0.0,0.0,19,21,22,52,24,27,29,34,250.0,MIXED,28.0,0,2,,,,
1984 initial,initial,57,240.0,FITS,False,0.0,0.0,10.0,0.0,0.0,24,26,27,47,25,29,36,45,270.0,TRUE_END,12.0,0,1,,,,
1984 initial,initial,58,282.0,FITS,False,0.0,0.0,0.0,0.0,0.0,28,30,31,55,32,41,45,52,400.0,MIXED,36.0,0,2,,,,
1984 initial,initial,59,295.0,FITS,False,0.0,0.0,0.0,0.0,0.0,29,31,32,58,42,44,48,57,430.0,HOLED,52.0,1,1,,,,
1984 initial,initial,60,349.0,FITS,False,0.0,0.0,0.0,0.0,0.0,34,36,37,60,48,56,58,59,540.0,TRUE_END,20.0,0,1,,,,
1984 initial,initial,61,352.0,FITS,False,0.0,0.0,0.0,0.0,0.0,35,37,38,63,48,53,59,62,560.0,MIXED,30.0,0,1,,,,
1984 initial,initial,62,347.0,FITS,False,0.0,0.0,0.0,0.0,0.0,34,36,37,68,56,62,63,67,590.0,MIXED,24.0,0,1,,,,
1984 initial,initial,63,344.0,FITS,False,0.0,0.0,0.0,0.0,0.0,34,36,37,70,60,63,65,69,620.0,MIXED,28.0,0,1,,,,
1984 initial,initial,64,345.0,FITS,False,0.0,0.0,0.0,0.0,0.0,34,36,37,72,62,65,69,70,660.0,MIXED,34.0,0,1,,,,
1984 initial,initial,65,361.0,FITS,False,0.0,0.0,0.0,0.0,0.0,36,38,39,71,60,67,68,70,640.0,TRUE_END,4.0,0,1,,,,
1984 initial,initial,66,364.0,FITS,False,0.0,0.0,0.0,0.0,0.0,36,38,39,71,60,64,65,70,610.0,TRUE_END,0.0,0,0,,,,
1984 initial,initial,67,454.0,FITS,False,0.0,0.0,0.0,0.0,2.0,45,47,48,74,46,66,68,71,640.0,TRUE_END,16.0,0,1,,,,
1984 initial,initial,68,607.0,FITS,False,4.0,4.0,12.0,6.0,12.0,60,62,63,78,46,61,72,76,610.0,MIXED,32.0,0,1,,,,
1984 initial,initial,69,569.0,FITS,False,0.0,0.0,0.0,0.0,2.0,56,58,59,82,37,70,75,79,720.0,HOLED,62.0,2,1,,,,
1984 initial,initial,70,448.0,FITS,False,0.0,0.0,0.0,0.0,0.0,44,46,47,80,54,69,72,78,670.0,HOLED,54.0,1,1,,,,
1984 initial,initial,71,483.0,FITS,False,0.0,0.0,2.0,2.0,14.0,48,50,51,83,39,55,73,82,670.0,HOLED,60.0,2,1,,,,
1984 initial,initial,72,582.0,FITS,False,0.0,0.0,0.0,0.0,0.0,58,60,61,82,70,79,80,81,760.0,TRUE_END,8.0,0,1,,,,
1984 initial,initial,73,643.0,FITS,False,0.0,0.0,0.0,0.0,24.0,64,66,67,80,22,25,77,79,730.0,MIXED,26.0,0,9,,,,
1984 initial,initial,74,616.0,FITS,False,0.0,0.0,0.0,0.0,20.0,61,63,64,76,22,62,74,75,710.0,MIXED,24.0,0,7,,,,
1984 initial,initial,75,540.0,FITS,False,0.0,0.0,0.0,0.0,0.0,54,56,57,74,68,69,71,73,670.0,TRUE_END,2.0,0,1,,,,
1984 initial,initial,76,533.0,FITS,False,1.0,0.0,0.0,0.0,2.0,53,55,56,68,52,62,64,67,600.0,TRUE_END,4.0,0,1,,,,
1984 initial,initial,77,575.0,DROWNS,True,38.0,32.0,70.0,32.0,0.0,57,59,60,63,35,52,55,62,520.0,MIXED,32.0,0,3,,,,
1984 initial,initial,78,588.0,DROWNS,True,68.0,68.0,68.0,68.0,2.0,58,60,61,68,35,49,51,67,470.0,MIXED,26.0,0,1,,,,
1984 initial,initial,79,580.0,DROWNS,True,36.0,36.0,36.0,36.0,10.0,58,60,61,68,19,42,62,67,400.0,TRUE_END,16.0,0,1,,,,
1984 initial,initial,80,617.0,DROWNS,True,40.0,40.0,62.0,40.0,0.0,61,63,64,68,47,48,63,67,450.0,TRUE_END,0.0,0,0,,,,
1984 initial,initial,81,409.0,FITS,False,0.0,0.0,0.0,0.0,0.0,40,42,43,57,50,50,51,56,470.0,TRUE_END,0.0,0,0,,,,
1984 initial,initial,82,241.0,FITS,False,0.0,0.0,0.0,0.0,0.0,24,26,27,57,39,44,48,56,420.0,TRUE_END,14.0,0,1,,,,
1984 initial,initial,83,176.0,FITS,False,0.0,0.0,0.0,0.0,0.0,17,19,20,52,39,45,46,51,420.0,TRUE_END,6.0,0,1,,,,
1984 initial,initial,84,95.0,FITS,False,0.0,0.0,0.0,0.0,2.0,9,11,12,51,3,15,19,44,320.0,HOLED,96.0,15,4,,,,
1984 initial,initial,85,40.0,FITS,False,0.0,0.0,0.0,0.0,0.0,4,6,7,50,17,20,29,46,280.0,HOLED,80.0,4,1,,,,
1984 initial,initial,86,60.0,FITS,False,0.0,0.0,0.0,0.0,0.0,6,8,9,39,9,10,19,38,70.0,HOLED,58.0,1,2,,,,
1984 initial,initial,87,55.0,FITS,False,0.0,0.0,0.0,0.0,0.0,5,7,8,40,10,12,18,23,130.0,HOLED,78.0,3,3,,,,
1984 initial,initial,88,158.0,FITS,False,0.0,0.0,0.0,0.0,0.0,15,17,18,56,20,28,32,49,250.0,HOLED,66.0,1,2,,,,
1984 initial,initial,89,207.0,FITS,False,0.0,0.0,0.0,0.0,0.0,20,22,23,73,47,55,58,69,540.0,MIXED,38.0,0,1,,,,
1984 initial,initial,90,190.0,FITS,False,0.0,0.0,0.0,0.0,0.0,19,21,22,76,27,37,49,74,350.0,HOLED,90.0,13,2,,,,
2004 initial,initial,9,89.0,FITS,False,0.0,0.0,10.0,0.0,0.0,8,10,11,99,10,13,16,71,100.0,HOLED,98.0,33,3,,,,
2004 initial,initial,10,83.0,DROWNS,False,4.0,0.0,28.0,0.0,12.0,8,10,11,59,8,9,11,17,70.0,HOLED,100.0,6,2,,,,
2004 initial,initial,11,81.0,DROWNS,True,49.0,28.0,90.0,4.0,0.0,8,10,11,60,5,7,8,15,40.0,HOLED,72.0,3,28,,,,
2004 initial,initial,12,89.0,DROWNS,True,24.0,14.0,58.0,6.0,4.0,8,10,11,58,6,7,10,14,40.0,TRUE_END,16.0,0,1,,,,
2004 initial,initial,13,87.0,DROWNS,False,2.0,0.0,28.0,0.0,2.0,8,10,11,16,8,9,11,15,70.0,TRUE_END,2.0,0,1,,,,
2004 initial,initial,14,93.0,DROWNS,True,37.0,32.0,52.0,4.0,0.0,9,11,12,22,7,8,11,19,50.0,TRUE_END,4.0,0,1,,,,
2004 initial,initial,15,71.0,DROWNS,False,0.0,0.0,24.0,0.0,0.0,7,9,10,21,9,9,10,19,60.0,TRUE_END,2.0,0,1,,,,
2004 initial,initial,16,63.0,FITS,False,0.0,0.0,0.0,0.0,0.0,6,8,9,25,17,19,21,24,170.0,TRUE_END,4.0,0,1,,,,
2004 initial,initial,17,128.0,FITS,False,0.0,0.0,0.0,0.0,0.0,12,14,15,47,17,21,26,46,200.0,HOLED,68.0,4,1,,,,
2004 initial,initial,18,148.0,FITS,False,0.0,0.0,2.0,0.0,0.0,14,16,17,62,16,29,35,54,390.0,HOLED,82.0,12,2,,,,
2004 initial,initial,19,139.0,FITS,False,0.0,0.0,2.0,2.0,4.0,13,15,16,55,8,18,25,48,270.0,HOLED,90.0,13,1,,,,
2004 initial,initial,20,100.0,FITS,False,0.0,0.0,0.0,0.0,0.0,10,12,13,58,29,33,45,55,390.0,MIXED,30.0,0,2,,,,
2004 initial,initial,21,168.0,FITS,False,0.0,0.0,0.0,0.0,0.0,16,18,19,92,25,42,44,71,610.0,HOLED,90.0,24,2,,,,
2004 initial,initial,22,230.0,FITS,False,0.0,0.0,0.0,0.0,0.0,23,25,26,100,33,38,43,97,870.0,HOLED,98.0,40,2,,,,
2004 initial,initial,23,236.0,FITS,False,0.0,0.0,0.0,0.0,0.0,23,25,26,101,42,49,66,93,880.0,HOLED,100.0,30,1,,,,
2004 initial,initial,24,224.0,FITS,False,0.0,0.0,0.0,0.0,0.0,22,24,25,99,46,56,86,97,920.0,HOLED,78.0,7,2,,,,
2004 initial,initial,25,221.0,FITS,False,0.0,0.0,0.0,0.0,0.0,22,24,25,102,38,48,76,98,950.0,HOLED,92.0,16,1,,,,
2004 initial,initial,26,269.0,FITS,False,0.0,0.0,0.0,0.0,8.0,26,28,29,102,17,45,67,100,950.0,HOLED,74.0,26,1,,,,
2004 initial,initial,27,310.0,FITS,False,0.0,0.0,0.0,0.0,0.0,31,33,34,104,44,72,85,103,980.0,HOLED,74.0,15,1,,,,
2004 initial,initial,28,320.0,FITS,False,0.0,0.0,0.0,0.0,0.0,32,34,35,107,46,48,79,105,1010.0,HOLED,88.0,20,1,,,,
2004 initial,initial,29,341.0,FITS,False,0.0,0.0,0.0,0.0,0.0,34,36,37,110,38,47,87,108,990.0,HOLED,72.0,16,1,,,,
2004 initial,initial,30,332.0,FITS,False,3.0,0.0,6.0,0.0,2.0,33,35,36,112,32,51,60,83,720.0,HOLED,90.0,20,1,,,,
2004 initial,initial,31,312.0,DROWNS,False,10.0,4.0,22.0,0.0,10.0,31,33,34,68,30,32,41,67,340.0,HOLED,60.0,1,2,,,,
2004 initial,initial,32,306.0,FITS,False,0.0,0.0,2.0,0.0,0.0,30,32,33,52,32,45,46,50,420.0,TRUE_END,12.0,0,2,,,,
2004 initial,initial,33,367.0,FITS,False,0.0,0.0,0.0,0.0,4.0,36,38,39,56,30,44,47,53,440.0,MIXED,36.0,0,1,,,,
2004 initial,initial,34,395.0,FITS,False,0.0,0.0,2.0,0.0,0.0,39,41,42,54,41,43,46,52,400.0,TRUE_END,12.0,0,1,,,,
2004 initial,initial,35,406.0,FITS,False,1.0,0.0,12.0,0.0,6.0,40,42,43,54,33,43,44,52,400.0,MIXED,22.0,0,1,,,,
2004 initial,initial,36,392.0,FITS,False,0.0,0.0,0.0,0.0,0.0,39,41,42,69,51,52,54,60,490.0,TRUE_END,14.0,0,4,,,,
2004 initial,initial,37,346.0,FITS,False,0.0,0.0,0.0,0.0,0.0,34,36,37,88,53,57,78,86,740.0,HOLED,56.0,1,1,,,,
2004 initial,initial,38,269.0,FITS,False,0.0,0.0,0.0,0.0,0.0,26,28,29,90,69,78,81,88,770.0,TRUE_END,20.0,0,1,,,,
2004 initial,initial,39,224.0,FITS,False,0.0,0.0,0.0,0.0,0.0,22,24,25,78,68,69,71,77,660.0,TRUE_END,10.0,0,1,,,,
2004 initial,initial,40,211.0,FITS,False,0.0,0.0,0.0,0.0,0.0,21,23,24,77,53,63,70,75,640.0,MIXED,34.0,0,1,,,,
2004 initial,initial,41,196.0,FITS,False,0.0,0.0,0.0,0.0,0.0,19,21,22,65,43,52,54,58,490.0,HOLED,58.0,1,3,,,,
2004 initial,initial,42,180.0,FITS,False,0.0,0.0,0.0,0.0,0.0,18,20,21,66,42,43,61,65,570.0,HOLED,56.0,1,1,,,,
2004 initial,initial,43,168.0,FITS,False,0.0,0.0,0.0,0.0,0.0,16,18,19,68,53,61,63,66,590.0,TRUE_END,18.0,0,1,,,,
2004 initial,initial,44,159.0,FITS,False,0.0,0.0,0.0,0.0,0.0,15,17,18,66,46,50,53,65,530.0,HOLED,58.0,4,1,,,,
2004 initial,initial,45,150.0,FITS,False,0.0,0.0,0.0,0.0,0.0,15,17,18,64,31,38,41,56,370.0,HOLED,88.0,5,2,,,,
2004 initial,initial,46,148.0,FITS,False,0.0,0.0,0.0,0.0,0.0,14,16,17,57,30,36,39,46,340.0,HOLED,90.0,2,2,,,,
2004 initial,initial,47,152.0,FITS,False,0.0,0.0,0.0,0.0,0.0,15,17,18,50,29,32,34,41,300.0,HOLED,70.0,1,2,,,,
2004 initial,initial,48,143.0,FITS,False,0.0,0.0,0.0,0.0,0.0,14,16,17,36,21,23,25,30,200.0,TRUE_END,18.0,0,1,,,,
2004 initial,initial,49,129.0,FITS,False,0.0,0.0,0.0,0.0,0.0,12,14,15,29,20,22,23,27,190.0,TRUE_END,0.0,0,0,,,,
2004 initial,initial,50,110.0,FITS,False,0.0,0.0,0.0,0.0,0.0,11,13,14,26,15,19,21,24,160.0,TRUE_END,2.0,0,1,,,,
2004 initial,initial,51,105.0,FITS,False,0.0,0.0,0.0,0.0,0.0,10,12,13,30,18,22,24,28,190.0,TRUE_END,4.0,0,3,,,,
2004 initial,initial,52,101.0,FITS,False,0.0,0.0,0.0,0.0,0.0,10,12,13,32,15,18,21,27,160.0,TRUE_END,8.0,0,1,,,,
2004 initial,initial,53,91.0,FITS,False,0.0,0.0,0.0,0.0,0.0,9,11,12,37,21,24,26,33,210.0,MIXED,32.0,0,1,,,,
2004 initial,initial,54,106.0,FITS,False,0.0,0.0,0.0,0.0,0.0,10,12,13,45,22,25,28,44,230.0,HOLED,66.0,1,2,,,,
2004 initial,initial,55,177.0,FITS,False,0.0,0.0,0.0,0.0,0.0,17,19,20,52,23,33,36,49,310.0,HOLED,70.0,4,1,,,,
2004 initial,initial,56,199.0,FITS,False,0.0,0.0,0.0,0.0,0.0,19,21,22,52,24,27,29,34,250.0,MIXED,28.0,0,2,,,,
2004 initial,initial,57,221.0,FITS,False,0.0,0.0,0.0,0.0,0.0,22,24,25,47,25,29,36,45,270.0,TRUE_END,12.0,0,1,,,,
2004 initial,initial,58,258.0,FITS,False,0.0,0.0,0.0,0.0,0.0,25,27,28,55,32,41,45,52,400.0,MIXED,36.0,0,2,,,,
2004 initial,initial,59,293.0,FITS,False,0.0,0.0,0.0,0.0,0.0,29,31,32,58,42,44,48,57,430.0,HOLED,52.0,1,1,,,,
2004 initial,initial,60,328.0,FITS,False,0.0,0.0,0.0,0.0,0.0,32,34,35,60,48,56,58,59,540.0,TRUE_END,20.0,0,1,,,,
2004 initial,initial,61,332.0,FITS,False,0.0,0.0,0.0,0.0,0.0,33,35,36,63,48,53,59,62,560.0,MIXED,30.0,0,1,,,,
2004 initial,initial,62,338.0,FITS,False,0.0,0.0,0.0,0.0,0.0,33,35,36,68,56,62,63,67,590.0,MIXED,24.0,0,1,,,,
2004 initial,initial,63,342.0,FITS,False,0.0,0.0,0.0,0.0,0.0,34,36,37,70,60,63,65,69,620.0,MIXED,28.0,0,1,,,,
2004 initial,initial,64,347.0,FITS,False,0.0,0.0,0.0,0.0,0.0,34,36,37,72,62,65,69,70,660.0,MIXED,34.0,0,1,,,,
2004 initial,initial,65,352.0,FITS,False,0.0,0.0,0.0,0.0,0.0,35,37,38,71,60,67,68,70,640.0,TRUE_END,4.0,0,1,,,,
2004 initial,initial,66,381.0,FITS,False,0.0,0.0,0.0,0.0,0.0,38,40,41,71,60,64,65,70,610.0,TRUE_END,0.0,0,0,,,,
2004 initial,initial,67,453.0,FITS,False,0.0,0.0,0.0,0.0,2.0,45,47,48,74,46,66,68,71,640.0,TRUE_END,16.0,0,1,,,,
2004 initial,initial,68,600.0,FITS,False,4.0,4.0,12.0,6.0,12.0,60,62,63,78,46,61,72,76,610.0,MIXED,32.0,0,1,,,,
2004 initial,initial,69,555.0,FITS,False,0.0,0.0,0.0,0.0,2.0,55,57,58,82,37,70,75,79,720.0,HOLED,62.0,2,1,,,,
2004 initial,initial,70,437.0,FITS,False,0.0,0.0,0.0,0.0,0.0,43,45,46,80,54,69,72,78,670.0,HOLED,54.0,1,1,,,,
2004 initial,initial,71,473.0,FITS,False,1.0,0.0,0.0,2.0,14.0,47,49,50,83,39,55,73,82,670.0,HOLED,60.0,2,1,,,,
2004 initial,initial,72,530.0,FITS,False,0.0,0.0,0.0,0.0,0.0,53,55,56,82,70,79,80,81,760.0,TRUE_END,8.0,0,1,,,,
2004 initial,initial,73,577.0,FITS,False,0.0,0.0,0.0,0.0,24.0,57,59,60,80,22,25,77,79,730.0,MIXED,26.0,0,9,,,,
2004 initial,initial,74,590.0,FITS,False,0.0,0.0,0.0,0.0,20.0,59,61,62,76,22,62,74,75,710.0,MIXED,24.0,0,7,,,,
2004 initial,initial,75,534.0,FITS,False,0.0,0.0,0.0,0.0,0.0,53,55,56,74,68,69,71,73,670.0,TRUE_END,2.0,0,1,,,,
2004 initial,initial,76,526.0,FITS,False,1.0,0.0,0.0,0.0,2.0,52,54,55,68,52,62,64,67,600.0,TRUE_END,4.0,0,1,,,,
2004 initial,initial,77,529.0,FITS,False,5.0,0.0,20.0,6.0,18.0,52,54,55,63,35,52,55,62,520.0,MIXED,32.0,0,3,,,,
2004 initial,initial,78,530.0,DROWNS,True,62.0,60.0,68.0,52.0,2.0,53,55,56,68,35,49,51,67,470.0,MIXED,26.0,0,1,,,,
2004 initial,initial,79,526.0,DROWNS,True,36.0,36.0,36.0,36.0,10.0,52,54,55,68,19,42,62,67,400.0,TRUE_END,16.0,0,1,,,,
2004 initial,initial,80,552.0,DROWNS,True,40.0,40.0,40.0,40.0,0.0,55,57,58,68,47,48,63,67,450.0,TRUE_END,0.0,0,0,,,,
2004 initial,initial,81,354.0,FITS,False,0.0,0.0,0.0,0.0,0.0,35,37,38,57,50,50,51,56,470.0,TRUE_END,0.0,0,0,,,,
2004 initial,initial,82,196.0,FITS,False,0.0,0.0,0.0,0.0,0.0,19,21,22,57,39,44,48,56,420.0,TRUE_END,14.0,0,1,,,,
2004 initial,initial,83,115.0,FITS,False,0.0,0.0,0.0,0.0,0.0,11,13,14,52,39,45,46,51,420.0,TRUE_END,6.0,0,1,,,,
2004 initial,initial,84,50.0,FITS,False,0.0,0.0,0.0,2.0,2.0,5,7,8,51,3,15,19,44,320.0,HOLED,96.0,15,4,,,,
2004 initial,initial,85,85.0,FITS,False,0.0,0.0,0.0,0.0,0.0,8,10,11,50,17,20,29,46,280.0,HOLED,80.0,4,1,,,,
2004 initial,initial,86,88.0,DROWNS,False,0.0,0.0,22.0,0.0,0.0,8,10,11,39,9,10,19,38,70.0,HOLED,58.0,1,2,,,,
2004 initial,initial,87,40.0,FITS,False,0.0,0.0,0.0,0.0,0.0,4,6,7,40,10,12,18,23,130.0,HOLED,78.0,3,3,,,,
2004 initial,initial,88,121.0,FITS,False,0.0,0.0,0.0,0.0,0.0,12,14,15,56,20,28,32,49,250.0,HOLED,66.0,1,2,,,,
2004 initial,initial,89,185.0,FITS,False,0.0,0.0,0.0,0.0,0.0,18,20,21,73,47,55,58,69,540.0,MIXED,38.0,0,1,,,,
2004 initial,initial,90,176.0,FITS,False,0.0,0.0,0.0,0.0,0.0,17,19,20,76,27,37,49,74,350.0,HOLED,90.0,13,2,,,,
"1999 relocation (inter-village south, GIS 9-15) - zero-retreat bound",relocation,9,73.0,FITS,False,0.0,0.0,0.0,0.0,0.0,7,9,10,99,10,13,16,71,100.0,HOLED,98.0,33,3,1.14,False,184.6,False
"1999 relocation (inter-village south, GIS 9-15) - zero-retreat bound",relocation,10,97.0,DROWNS,False,12.0,0.0,48.0,0.0,14.0,9,11,12,59,8,9,11,17,70.0,HOLED,100.0,6,2,0.36,False,111.2,True
"1999 relocation (inter-village south, GIS 9-15) - zero-retreat bound",relocation,11,129.0,DROWNS,True,90.0,88.0,96.0,90.0,0.0,12,14,15,60,5,7,8,15,40.0,HOLED,72.0,3,28,-2.2,True,84.6,True
"1999 relocation (inter-village south, GIS 9-15) - zero-retreat bound",relocation,12,126.0,DROWNS,True,80.0,72.0,100.0,58.0,0.0,12,14,15,58,6,7,10,14,40.0,TRUE_END,16.0,0,1,-1.59,True,96.6,True
"1999 relocation (inter-village south, GIS 9-15) - zero-retreat bound",relocation,13,125.0,DROWNS,True,71.0,62.0,98.0,28.0,0.0,12,14,15,16,8,9,11,15,70.0,TRUE_END,2.0,0,1,-0.78,True,111.6,True
