domain_number,n_transects,ref_lrr_median_m_yr,diff_marked_median_m_yr,diff_marked_q25_m_yr,diff_marked_q75_m_yr,marked_in_ci_frac,years_needed_ci_median,years_needed_ci_q25,years_needed_ci_q75,stable_entry_ci_median,marked_in_abs_frac,years_needed_abs_median,years_needed_abs_q25,years_needed_abs_q75,stable_entry_abs_median,marked_in_rel_frac,years_needed_rel_median,years_needed_rel_q25,years_needed_rel_q75,stable_entry_rel_median,marked_in_ci3x_frac,years_needed_ci3x_median,years_needed_ci3x_q25,years_needed_ci3x_q75,stable_entry_ci3x_median,marked_in_abs50_frac,years_needed_abs50_median,years_needed_abs50_q25,years_needed_abs50_q75,stable_entry_abs50_median,marked_in_abs100_frac,years_needed_abs100_median,years_needed_abs100_q25,years_needed_abs100_q75,stable_entry_abs100_median,marked_in_overlap_frac,years_needed_overlap_median,years_needed_overlap_q25,years_needed_overlap_q75,stable_entry_overlap_median
16,10,1.0341,1.6971,1.6516,1.8309,0.0,24.0,23.0,24.0,2001.0,0.0,23.0,23.0,23.0,2002.0,0.0,23.0,23.0,23.0,2002.0,0.0,21.0,20.0,21.0,2004.0,0.0,21.0,20.25,21.0,2004.0,0.0,18.0,18.0,18.0,2007.0,0.0,21.0,20.25,21.75,2004.0
17,10,1.3263,1.687,1.5767,1.7269,0.0,25.0,24.25,25.0,2000.0,0.0,24.0,24.0,24.0,2001.0,0.0,24.0,24.0,24.0,2001.0,0.0,23.0,23.0,23.0,2002.0,0.0,23.0,23.0,23.0,2002.0,0.0,17.0,17.0,17.0,2008.0,0.0,24.0,23.0,24.0,2001.0
18,10,1.677,1.6882,1.5819,1.7789,0.0,25.0,25.0,25.0,2000.0,0.0,23.5,23.0,24.0,2001.5,0.0,22.0,22.0,23.0,2003.0,0.0,20.0,19.25,21.5,2005.0,0.0,19.0,19.0,20.0,2006.0,0.0,17.5,17.0,18.0,2007.5,0.0,19.5,19.0,22.25,2005.5
19,10,1.8203,1.4701,1.3697,1.5521,0.0,24.0,23.25,24.75,2001.0,0.0,22.0,21.0,22.75,2003.0,0.0,20.0,20.0,21.0,2005.0,0.0,20.0,20.0,20.75,2005.0,0.0,19.5,19.0,20.0,2005.5,0.0,18.0,18.0,18.0,2007.0,0.0,20.0,20.0,20.75,2005.0
20,10,1.1875,2.0538,1.9714,2.1776,0.0,25.0,25.0,25.0,2000.0,0.0,24.0,24.0,24.0,2001.0,0.0,24.5,23.0,25.0,2000.5,0.0,23.0,23.0,23.0,2002.0,0.0,23.0,22.25,23.0,2002.0,0.0,20.5,20.0,21.0,2004.5,0.0,23.5,23.0,24.0,2001.5
21,11,-0.1069,1.8621,1.472,2.0216,0.0,25.0,23.5,25.0,2000.0,0.0,24.0,23.0,25.0,2001.0,0.0,26.0,25.0,26.0,1999.0,0.0,23.0,21.0,23.0,2002.0,0.0,23.0,20.5,23.0,2002.0,0.0909,19.0,17.0,22.0,2006.0,0.0,23.0,22.5,24.0,2002.0
22,10,-0.7746,0.829,0.7908,0.8596,0.0,22.0,21.0,22.75,2003.0,0.0,20.0,18.0,21.0,2005.0,0.0,21.5,21.0,22.0,2003.5,0.0,18.0,17.0,18.0,2007.0,0.0,17.5,17.0,18.0,2007.5,0.9,14.0,13.25,15.0,2011.0,0.0,17.0,17.0,17.0,2008.0
23,10,-1.9158,1.17,1.1327,1.3064,0.0,22.5,22.0,23.0,2002.5,0.0,21.5,21.0,22.0,2003.5,0.0,21.0,20.0,21.0,2004.0,0.0,19.0,19.0,19.75,2006.0,0.0,19.0,19.0,19.75,2006.0,0.1,17.0,16.0,17.0,2008.0,0.0,19.0,19.0,19.75,2006.0
24,10,-2.269,3.0494,2.9,3.1948,0.0,23.0,23.0,23.0,2002.0,0.0,23.0,23.0,23.0,2002.0,0.0,22.5,22.0,23.0,2002.5,0.0,22.0,21.0,22.0,2003.0,0.0,22.0,22.0,22.75,2003.0,0.0,21.0,20.0,21.0,2004.0,0.0,22.0,22.0,22.75,2003.0
25,10,-2.4882,2.9467,2.8223,3.0598,0.0,23.5,23.0,24.0,2001.5,0.0,23.0,23.0,23.0,2002.0,0.0,22.0,22.0,22.0,2003.0,0.0,22.0,22.0,22.0,2003.0,0.0,22.0,22.0,22.0,2003.0,0.0,21.0,20.25,21.0,2004.0,0.0,22.0,22.0,22.0,2003.0
26,10,-1.4267,2.2369,1.2271,2.4931,0.0,23.0,23.0,24.0,2002.0,0.0,23.0,22.0,23.0,2002.0,0.0,22.0,22.0,23.0,2003.0,0.1,21.0,21.0,21.75,2004.0,0.1,22.0,21.0,22.0,2003.0,0.2,19.0,17.25,19.0,2006.0,0.1,22.0,21.0,22.0,2003.0
27,10,-0.0261,-0.6516,-0.7612,-0.4441,0.0,26.0,25.25,26.0,1999.0,0.1,25.0,24.0,25.0,2000.0,0.0,29.0,27.25,29.0,1996.0,0.4,23.0,21.5,23.0,2002.0,0.4,23.0,21.5,23.0,2002.0,1.0,12.0,11.25,13.0,2013.0,0.4,24.0,24.0,24.0,2001.0
28,10,1.9224,0.2262,-0.1506,0.8936,0.1,22.0,19.0,23.0,2003.0,0.4,19.0,15.5,19.0,2006.0,0.4,17.0,15.0,18.0,2008.0,0.5,15.5,14.25,17.75,2009.5,0.5,15.5,14.25,18.0,2009.5,0.7,14.0,12.25,15.75,2011.0,0.6,16.0,14.25,18.0,2009.0
29,10,2.941,1.8087,1.3584,2.0261,0.0,26.0,25.0,26.0,1999.0,0.0,24.0,23.0,25.0,2001.0,0.0,19.5,19.0,20.75,2005.5,0.0,20.0,19.0,21.75,2005.0,0.0,20.0,19.0,21.75,2005.0,0.0,19.0,17.25,19.75,2006.0,0.0,20.5,19.0,22.0,2004.5
30,10,3.1716,1.5766,1.0382,1.9802,0.0,25.0,25.0,25.0,2000.0,0.0,25.0,24.25,25.0,2000.0,0.2,22.0,21.25,22.0,2003.0,0.1,23.0,22.25,23.0,2002.0,0.2,23.0,22.0,23.0,2002.0,0.3,21.0,10.5,21.0,2004.0,0.2,25.0,23.25,25.0,2000.0
31,11,2.6083,-0.1333,-0.182,-0.0468,0.4545,27.0,25.0,27.0,1998.0,0.9091,18.0,17.0,25.0,2007.0,1.0,14.0,14.0,14.0,2011.0,1.0,14.0,14.0,15.0,2011.0,1.0,14.0,14.0,14.0,2011.0,1.0,11.0,11.0,13.0,2014.0,1.0,14.0,12.0,14.0,2011.0
32,10,1.3982,0.7241,0.5943,0.9328,0.0,22.5,20.5,24.5,2002.5,0.0,18.0,17.25,19.75,2007.0,0.0,17.5,17.0,18.75,2007.5,0.0,16.5,16.0,17.0,2008.5,0.0,16.5,16.0,17.0,2008.5,0.8,14.0,14.0,15.0,2011.0,0.4,16.5,15.0,17.0,2008.5
33,11,1.2434,1.0923,0.8124,1.613,0.0,21.0,21.0,27.5,2004.0,0.0,20.0,19.5,21.0,2005.0,0.0,20.0,19.0,20.5,2005.0,0.0909,17.0,17.0,18.5,2008.0,0.1818,17.0,17.0,18.5,2008.0,0.4545,16.0,15.0,17.5,2009.0,0.1818,17.0,16.5,18.5,2008.0
34,10,1.8704,1.935,1.8827,2.0674,0.0,29.0,29.0,29.0,1996.0,0.0,28.0,28.0,28.0,1997.0,0.0,24.0,23.0,25.75,2001.0,0.0,22.5,22.0,23.0,2002.5,0.0,23.0,22.25,23.0,2002.0,0.0,20.0,19.25,21.0,2005.0,0.0,23.0,23.0,25.0,2002.0
35,11,0.478,2.9386,2.7116,3.0548,0.0,28.0,28.0,29.0,1997.0,0.0,28.0,27.0,28.0,1997.0,0.0,29.0,29.0,29.0,1996.0,0.0,23.0,23.0,24.0,2002.0,0.0,24.0,23.0,24.0,2001.0,0.0,22.0,22.0,22.0,2003.0,0.0,25.0,24.0,25.0,2000.0
36,10,0.0906,2.551,2.1502,2.888,0.0,28.0,27.25,28.0,1997.0,0.0,25.0,25.0,26.0,2000.0,0.0,29.0,29.0,29.0,1996.0,0.0,24.0,24.0,24.0,2001.0,0.0,24.0,24.0,24.0,2001.0,0.0,23.0,23.0,23.0,2002.0,0.0,24.5,24.0,25.0,2000.5
37,11,-0.0692,1.1417,1.0154,1.2396,0.0,25.0,25.0,25.0,2000.0,0.0,25.0,25.0,25.0,2000.0,0.0,29.0,28.5,29.0,1996.0,0.0,25.0,25.0,25.0,2000.0,0.0,25.0,24.0,25.0,2000.0,0.2727,22.0,21.0,22.0,2003.0,0.0,25.0,25.0,25.0,2000.0
38,10,0.1054,0.8116,0.7566,0.8992,0.0,25.0,25.0,25.0,2000.0,0.0,20.0,18.5,25.0,2005.0,0.0,29.0,25.5,29.0,1996.0,0.0,17.0,17.0,17.75,2008.0,0.0,17.0,16.25,17.75,2008.0,0.9,15.0,15.0,15.0,2010.0,0.0,17.0,17.0,23.75,2008.0
39,10,0.2126,1.1986,1.1686,1.2514,0.0,25.0,25.0,25.0,2000.0,0.0,19.0,19.0,19.0,2006.0,0.0,26.0,26.0,26.75,1999.0,0.0,18.5,17.25,19.0,2006.5,0.0,18.0,17.0,18.75,2007.0,0.1,16.0,16.0,16.75,2009.0,0.0,18.0,17.25,19.0,2007.0
40,10,0.3018,0.4175,0.2807,0.6697,0.0,23.0,23.0,23.75,2002.0,0.2,20.0,18.5,20.0,2005.0,0.0,27.0,27.0,27.0,1998.0,0.5,15.5,15.0,16.75,2009.5,0.6,15.0,15.0,16.75,2010.0,1.0,8.0,8.0,13.75,2017.0,0.6,15.5,15.0,17.75,2009.5
41,10,0.6456,0.2003,0.0376,0.3047,0.1,24.5,22.5,25.0,2000.5,0.7,21.0,21.0,22.0,2004.0,0.1,25.0,24.25,25.75,2000.0,1.0,20.5,15.0,21.0,2004.5,1.0,17.0,15.0,20.75,2008.0,1.0,11.0,10.0,13.0,2014.0,1.0,21.0,20.25,21.0,2004.0
42,10,0.4205,-0.3014,-0.336,-0.1795,0.2,22.0,22.0,22.75,2003.0,0.3,21.0,21.0,21.75,2004.0,0.1,23.0,23.0,23.75,2002.0,1.0,20.5,20.0,21.0,2004.5,1.0,19.0,14.5,19.0,2006.0,1.0,11.0,11.0,11.0,2014.0,1.0,21.0,20.0,21.0,2004.0
43,10,0.1587,0.1159,-0.0016,0.2508,0.6,27.0,26.25,27.0,1998.0,0.7,18.0,17.0,25.75,2007.0,0.0,29.0,29.0,29.0,1996.0,1.0,12.5,12.0,13.0,2012.5,1.0,12.0,11.0,12.0,2013.0,1.0,11.0,10.25,11.0,2014.0,1.0,12.0,12.0,21.75,2013.0
44,10,0.0626,-0.0044,-0.0816,0.0524,0.6,28.0,27.0,28.0,1997.0,0.9,26.0,26.0,26.0,1999.0,0.3,29.0,29.0,29.0,1996.0,1.0,24.0,20.0,25.0,2001.0,1.0,9.5,8.0,10.75,2015.5,1.0,7.5,7.0,8.0,2017.5,1.0,26.0,25.25,26.0,1999.0
45,10,-0.5085,0.3931,0.249,0.5245,0.0,26.0,26.0,27.0,1999.0,0.3,24.0,24.0,25.0,2001.0,0.0,27.5,26.0,29.0,1997.5,0.6,16.5,14.0,22.25,2008.5,0.7,14.0,13.25,16.0,2011.0,1.0,10.0,5.25,11.0,2015.0,0.6,24.0,16.5,24.75,2001.0
46,10,-1.1076,0.0857,-0.2142,0.4295,0.2,24.0,23.0,25.0,2001.0,0.4,20.0,17.0,21.75,2005.0,0.3,20.0,17.0,22.0,2005.0,0.7,13.5,11.25,15.75,2011.5,0.8,13.0,11.25,15.0,2012.0,1.0,11.0,10.25,11.75,2014.0,0.7,12.0,10.25,15.75,2013.0
47,10,-1.0894,1.0046,0.958,1.0276,0.0,25.0,25.0,25.0,2000.0,0.0,21.5,21.0,22.0,2003.5,0.0,23.5,21.0,25.0,2001.5,0.0,19.0,19.0,20.0,2006.0,0.0,18.0,18.0,18.0,2007.0,0.5,15.5,15.0,16.0,2009.5,0.0,21.0,19.0,21.0,2004.0
48,10,-0.4056,0.3612,0.3135,0.647,0.0,24.5,22.25,25.0,2000.5,0.1,21.0,16.25,22.75,2004.0,0.0,25.0,24.25,28.25,2000.0,0.6,15.5,12.25,17.75,2009.5,0.7,12.0,11.25,15.75,2013.0,1.0,8.0,6.5,8.75,2017.0,0.6,14.0,9.5,20.0,2011.0
49,10,-0.2745,-0.4568,-0.7213,-0.2872,0.2,26.5,26.0,27.0,1998.5,0.2,25.0,25.0,25.75,2000.0,0.1,29.0,28.0,29.0,1996.0,0.5,24.0,23.0,24.0,2001.0,0.5,23.0,22.25,23.0,2002.0,1.0,19.0,8.25,19.75,2006.0,0.5,24.5,24.0,25.0,2000.5
50,10,-0.5972,-0.794,-1.1346,-0.3994,0.0,24.0,23.25,25.0,2001.0,0.0,23.5,21.5,24.0,2001.5,0.0,25.0,24.0,26.5,2000.0,0.3,21.5,16.25,23.75,2003.5,0.3,20.0,15.25,23.0,2005.0,0.6,15.0,7.25,18.25,2010.0,0.3,22.0,16.5,24.0,2003.0
51,10,-0.6538,-0.5973,-0.7766,-0.4877,0.0,23.0,22.25,24.75,2002.0,0.0,20.5,20.0,22.0,2004.5,0.0,23.0,23.0,27.0,2002.0,0.1,18.0,16.0,20.0,2007.0,0.5,15.5,15.0,20.0,2009.5,0.9,6.0,6.0,7.5,2019.0,0.3,18.0,15.25,21.0,2007.0
52,10,-0.8994,-1.0482,-1.0748,-0.721,0.0,24.5,24.0,25.0,2000.5,0.0,24.0,24.0,24.0,2001.0,0.0,24.0,24.0,24.0,2001.0,0.0,22.5,22.0,23.0,2002.5,0.1,22.0,22.0,22.0,2003.0,0.4,16.0,7.0,16.0,2009.0,0.1,23.5,23.0,24.0,2001.5
53,10,-0.9941,-0.3117,-0.3706,-0.141,0.3,23.0,23.0,23.0,2002.0,0.4,20.0,20.0,20.0,2005.0,0.3,20.0,20.0,21.5,2005.0,0.9,14.5,11.25,19.0,2010.5,1.0,11.0,11.0,11.0,2014.0,1.0,6.0,5.0,6.75,2019.0,1.0,11.0,6.5,19.0,2014.0
54,10,-0.8596,-0.4448,-0.5158,-0.3932,0.0,25.0,25.0,25.0,2000.0,0.0,24.0,23.25,24.0,2001.0,0.0,24.5,24.0,25.0,2000.5,0.2,22.0,21.25,23.0,2003.0,0.7,20.5,19.25,21.75,2004.5,1.0,10.5,9.0,11.0,2014.5,0.5,23.5,22.0,24.0,2001.5
55,10,-0.4259,-0.6234,-0.6921,-0.4801,0.0,26.0,26.0,26.0,1999.0,0.0,24.0,24.0,24.0,2001.0,0.0,26.0,26.0,26.0,1999.0,0.0,21.0,20.0,23.0,2004.0,0.3,19.5,17.25,20.0,2005.5,1.0,7.5,5.0,8.0,2017.5,0.2,24.0,24.0,24.0,2001.0
56,11,-0.167,-0.3889,-0.4051,-0.2058,0.1818,26.0,24.0,26.0,1999.0,0.3636,24.0,17.0,24.0,2001.0,0.0,28.0,27.5,28.0,1997.0,0.4545,20.0,15.0,21.5,2005.0,1.0,14.0,14.0,15.0,2011.0,1.0,6.0,6.0,6.0,2019.0,0.8182,23.0,14.0,24.0,2002.0
57,10,-0.0023,0.2652,0.1507,0.4542,0.2,21.0,16.0,21.0,2004.0,0.5,15.0,14.0,17.0,2010.0,0.0,29.0,29.0,29.0,1996.0,0.6,14.0,12.5,16.0,2011.0,0.9,11.5,9.5,12.0,2013.5,1.0,8.5,6.5,10.0,2016.5,0.7,9.5,6.0,14.75,2015.5
58,10,0.3309,0.2716,0.1163,0.5192,0.4,20.5,17.25,21.0,2004.5,0.5,15.5,13.5,18.0,2009.5,0.2,23.0,19.25,27.0,2002.0,0.6,13.0,12.25,16.0,2012.0,0.6,13.0,12.0,16.0,2012.0,1.0,10.0,10.0,11.0,2015.0,0.6,12.5,11.25,16.0,2012.5
59,10,0.2862,0.2158,0.1074,0.2605,0.4,22.5,21.25,23.0,2002.5,0.7,15.0,12.25,19.75,2010.0,0.1,29.0,29.0,29.0,1996.0,1.0,12.5,12.0,13.0,2012.5,1.0,12.5,12.0,13.0,2012.5,1.0,12.0,11.0,12.0,2013.0,1.0,12.0,11.25,12.75,2013.0
60,10,-0.5512,0.3237,0.2017,0.3998,0.1,26.0,26.0,26.75,1999.0,0.4,16.0,15.0,17.0,2009.0,0.0,28.0,26.0,29.0,1997.0,0.9,12.0,12.0,12.75,2013.0,0.9,12.0,12.0,12.0,2013.0,1.0,11.0,11.0,11.0,2014.0,0.9,12.0,12.0,12.0,2013.0
61,10,-1.3407,0.1662,0.0698,0.2715,0.4,26.5,26.0,27.0,1998.5,0.6,16.5,14.5,19.25,2008.5,0.6,16.5,14.5,19.5,2008.5,1.0,12.0,12.0,13.0,2013.0,1.0,12.0,12.0,13.0,2013.0,1.0,12.0,12.0,12.0,2013.0,1.0,12.0,12.0,12.75,2013.0
62,10,-1.536,0.0536,-0.1425,0.7213,0.3,26.5,25.25,28.0,1998.5,0.5,25.0,22.0,26.0,2000.0,0.6,24.0,21.0,25.0,2001.0,0.6,20.0,18.5,23.0,2005.0,0.6,14.0,13.0,17.5,2011.0,0.8,11.5,11.0,14.25,2013.5,0.6,24.5,20.25,25.0,2000.5
63,10,-0.8258,2.3364,2.1187,2.5183,0.0,24.5,23.25,25.0,2000.5,0.0,23.0,23.0,24.0,2002.0,0.0,24.0,23.0,25.0,2001.0,0.0,23.0,22.25,23.0,2002.0,0.0,23.0,22.25,23.0,2002.0,0.0,20.0,19.25,21.0,2005.0,0.0,23.0,23.0,23.0,2002.0
64,10,-0.1693,2.3402,2.2589,2.6067,0.0,26.0,25.0,26.0,1999.0,0.0,25.0,25.0,25.0,2000.0,0.0,29.0,29.0,29.0,1996.0,0.0,23.0,23.0,23.0,2002.0,0.0,23.0,23.0,23.0,2002.0,0.0,21.0,21.0,21.0,2004.0,0.0,24.0,23.25,24.75,2001.0
65,10,0.394,2.4459,2.4003,2.5,0.0,28.0,27.25,28.0,1997.0,0.0,26.0,25.25,27.0,1999.0,0.0,29.0,29.0,29.0,1996.0,0.0,25.0,24.25,25.0,2000.0,0.0,25.0,24.25,25.0,2000.0,0.0,22.5,22.0,23.0,2002.5,0.0,25.0,25.0,25.0,2000.0
66,11,2.2156,2.6987,2.6225,2.7506,0.0,28.0,28.0,29.0,1997.0,0.0,27.0,27.0,27.0,1998.0,0.0,26.0,26.0,26.0,1999.0,0.0,25.0,25.0,25.0,2000.0,0.0,25.0,25.0,25.5,2000.0,0.0,23.0,23.0,23.0,2002.0,0.0,26.0,26.0,26.0,1999.0
67,10,2.823,1.2744,0.5347,1.6827,0.1,28.0,24.0,28.75,1997.0,0.1,23.0,22.25,26.5,2002.0,0.3,20.5,17.25,22.5,2004.5,0.2,21.0,18.25,23.0,2004.0,0.3,20.5,18.0,22.75,2004.5,0.4,16.5,11.0,17.75,2008.5,0.3,22.5,20.25,24.5,2002.5
68,10,2.3368,-0.5191,-0.8194,-0.478,0.0,25.0,25.0,25.0,2000.0,0.1,25.0,25.0,25.0,2000.0,0.3,23.5,23.0,24.0,2001.5,0.5,23.0,23.0,24.0,2002.0,0.4,23.0,23.0,24.0,2002.0,1.0,21.0,21.0,22.0,2004.0,0.5,24.0,24.0,24.0,2001.0
69,10,1.4866,-0.0266,-0.3316,0.2906,0.4,25.0,24.25,25.0,2000.0,0.4,24.0,23.25,25.0,2001.0,0.4,24.0,23.25,25.0,2001.0,0.7,23.0,22.25,23.75,2002.0,0.7,23.0,22.0,23.75,2002.0,1.0,20.5,13.25,21.0,2004.5,0.7,24.0,23.0,24.0,2001.0
70,10,0.8054,1.1488,0.9478,1.2329,0.0,25.0,23.5,25.0,2000.0,0.0,21.0,18.5,22.0,2004.0,0.0,25.0,19.25,25.0,2000.0,0.0,19.5,18.0,21.0,2005.5,0.0,18.5,17.0,20.0,2006.5,0.4,16.5,15.0,17.0,2008.5,0.0,19.5,18.0,21.0,2005.5
71,10,0.6922,0.7506,0.6018,0.875,0.0,25.0,25.0,25.0,2000.0,0.0,25.0,23.25,25.0,2000.0,0.0,25.0,25.0,25.0,2000.0,0.0,23.5,21.5,24.0,2001.5,0.0,22.0,20.25,23.0,2003.0,1.0,13.0,11.0,15.0,2012.0,0.0,24.0,21.75,24.0,2001.0
72,10,1.0336,0.6884,0.6521,0.8076,0.0,25.0,25.0,25.0,2000.0,0.0,25.0,25.0,25.0,2000.0,0.0,25.0,25.0,25.0,2000.0,0.0,24.0,24.0,24.0,2001.0,0.0,23.0,23.0,23.75,2002.0,1.0,10.0,8.0,11.0,2015.0,0.0,24.0,24.0,24.0,2001.0
73,10,1.0956,-0.7323,-1.2709,-0.0773,0.1,24.5,20.75,25.0,2000.5,0.1,22.0,20.0,24.0,2003.0,0.1,23.5,20.5,24.75,2001.5,0.3,20.0,19.0,23.0,2005.0,0.4,19.0,18.25,22.75,2006.0,0.6,15.0,14.25,16.75,2010.0,0.4,20.5,19.0,23.0,2004.5
74,10,0.4962,-1.3488,-1.5698,-0.9725,0.0,27.0,27.0,27.0,1998.0,0.0,26.0,25.0,26.0,1999.0,0.0,28.5,27.25,29.0,1996.5,0.0,24.0,23.0,24.75,2001.0,0.0,23.0,23.0,23.75,2002.0,0.3,17.0,14.75,17.75,2008.0,0.0,25.0,24.25,25.0,2000.0
75,10,-0.9094,1.418,0.3774,1.6708,0.0,25.0,24.0,26.75,2000.0,0.2,24.0,23.25,25.5,2001.0,0.0,24.5,23.25,26.0,2000.5,0.2,18.5,18.0,23.75,2006.5,0.2,18.0,18.0,22.0,2007.0,0.4,17.0,10.0,17.0,2008.0,0.2,21.0,18.0,24.75,2004.0
76,10,-1.9971,1.3086,1.2022,1.6006,0.0,27.5,22.75,29.0,1997.5,0.0,25.5,22.0,27.0,1999.5,0.0,21.0,21.0,24.75,2004.0,0.0,21.0,21.0,22.0,2004.0,0.0,19.5,19.0,21.5,2005.5,0.2,18.0,18.0,18.0,2007.0,0.0,23.5,21.0,26.0,2001.5
