year,domain,section,setback_new_straight_m,setback_new_raw_m,setback_legacy_m,component_frame_m,component_reference_m,total_change_m,island_width_m,total_change_frac_width,elev_new_mhw,elev_legacy_mhw,flags
1984,24,Avon,170.0,170.0,225.0,0.0,-55.0,-55.0,980.0,0.05612244897959184,0.615,0.68,
1984,25,Avon,160.0,160.0,234.0,0.0,-74.0,-74.0,990.0,0.07474747474747474,0.64,0.688,
1984,26,Avon,205.0,190.0,271.0,15.0,-81.0,-66.0,1000.0,0.066,0.563,0.609,SCATTER_SETBACK(50m)
1984,27,Avon,260.0,230.0,298.0,30.0,-68.0,-38.0,1030.0,0.036893203883495145,0.652,0.7,SCATTER_SETBACK(50m)
1984,28,Avon,270.0,270.0,284.0,0.0,-14.0,-14.0,1060.0,0.013207547169811321,0.51,0.551,
1984,29,Avon,260.0,260.0,281.0,0.0,-21.0,-21.0,1080.0,0.019444444444444445,0.361,0.399,
1984,30,Avon,250.0,250.0,259.0,0.0,-9.0,-9.0,920.0,0.009782608695652175,0.368,0.425,
1984,31,Avon,250.0,230.0,239.0,20.0,-9.0,11.0,590.0,0.01864406779661017,0.41,0.464,
1984,32,Avon-Tri-Village / Wimble Shoals,230.0,210.0,251.0,20.0,-41.0,-21.0,500.0,0.042,0.396,0.447,
1984,33,Avon-Tri-Village / Wimble Shoals,260.0,190.0,307.0,70.0,-117.0,-47.0,520.0,0.09038461538461538,0.383,0.425,
1984,34,Avon-Tri-Village / Wimble Shoals,320.0,310.0,339.0,10.0,-29.0,-19.0,490.0,0.03877551020408163,0.333,0.41,
1984,35,Avon-Tri-Village / Wimble Shoals,320.0,320.0,354.0,0.0,-34.0,-34.0,470.0,0.07234042553191489,0.331,0.404,
1984,36,Avon-Tri-Village / Wimble Shoals,330.0,330.0,344.0,0.0,-14.0,-14.0,560.0,0.025,0.339,0.407,
1984,37,Avon-Tri-Village / Wimble Shoals,320.0,320.0,342.0,0.0,-22.0,-22.0,835.0,0.026347305389221556,0.481,0.504,
1984,38,Avon-Tri-Village / Wimble Shoals,280.0,280.0,290.0,0.0,-10.0,-10.0,845.0,0.011834319526627219,0.589,0.625,
1984,39,Avon-Tri-Village / Wimble Shoals,230.0,230.0,242.0,0.0,-12.0,-12.0,730.0,0.01643835616438356,0.716,0.771,
1984,40,Avon-Tri-Village / Wimble Shoals,210.0,210.0,234.0,0.0,-24.0,-24.0,740.0,0.032432432432432434,0.849,0.902,
1984,41,Avon-Tri-Village / Wimble Shoals,190.0,190.0,217.0,0.0,-27.0,-27.0,610.0,0.04426229508196721,0.785,0.818,
1984,42,Avon-Tri-Village / Wimble Shoals,190.0,180.0,189.0,10.0,-9.0,1.0,660.0,0.0015151515151515152,0.708,0.685,
1984,43,Avon-Tri-Village / Wimble Shoals,170.0,170.0,186.0,0.0,-16.0,-16.0,670.0,0.023880597014925373,0.55,0.567,
1984,44,Avon-Tri-Village / Wimble Shoals,160.0,160.0,191.0,0.0,-31.0,-31.0,640.0,0.0484375,0.538,0.583,
1984,45,Avon-Tri-Village / Wimble Shoals,150.0,150.0,192.0,0.0,-42.0,-42.0,610.0,0.06885245901639345,0.706,0.764,
1984,46,Avon-Tri-Village / Wimble Shoals,140.0,140.0,184.0,0.0,-44.0,-44.0,550.0,0.08,0.864,0.905,
1984,47,Avon-Tri-Village / Wimble Shoals,140.0,140.0,184.0,0.0,-44.0,-44.0,450.0,0.09777777777777778,0.85,0.873,
1984,48,Avon-Tri-Village / Wimble Shoals,120.0,130.0,191.0,-10.0,-61.0,-71.0,300.0,0.23666666666666666,0.885,0.939,SCATTER_SETBACK(41m)
1984,49,Avon-Tri-Village / Wimble Shoals,130.0,130.0,188.0,0.0,-58.0,-58.0,270.0,0.21481481481481482,0.877,0.944,
1984,50,Avon-Tri-Village / Wimble Shoals,110.0,110.0,197.0,0.0,-87.0,-87.0,235.0,0.3702127659574468,0.806,0.837,
1984,51,Avon-Tri-Village / Wimble Shoals,120.0,120.0,212.0,0.0,-92.0,-92.0,280.0,0.32857142857142857,0.802,0.817,
1984,52,Avon-Tri-Village / Wimble Shoals,95.0,90.0,200.0,5.0,-110.0,-105.0,245.0,0.42857142857142855,0.557,0.57,
1984,53,Avon-Tri-Village / Wimble Shoals,140.0,140.0,194.0,0.0,-54.0,-54.0,310.0,0.17419354838709677,0.622,0.587,
1984,54,Avon-Tri-Village / Wimble Shoals,150.0,150.0,204.0,0.0,-54.0,-54.0,375.0,0.144,0.789,0.812,
1984,55,Avon-Tri-Village / Wimble Shoals,160.0,160.0,203.0,0.0,-43.0,-43.0,465.0,0.09247311827956989,0.773,0.801,
1984,56,Avon-Tri-Village / Wimble Shoals,180.0,180.0,194.0,0.0,-14.0,-14.0,320.0,0.04375,0.569,0.649,
1984,57,Avon-Tri-Village / Wimble Shoals,200.0,200.0,240.0,0.0,-40.0,-40.0,410.0,0.0975609756097561,0.551,0.58,
1984,58,Avon-Tri-Village / Wimble Shoals,240.0,240.0,282.0,0.0,-42.0,-42.0,515.0,0.08155339805825243,0.54,0.577,
1984,59,Avon-Tri-Village / Wimble Shoals,270.0,270.0,295.0,0.0,-25.0,-25.0,540.0,0.046296296296296294,0.532,0.555,
1984,60,Avon-Tri-Village / Wimble Shoals,310.0,310.0,349.0,0.0,-39.0,-39.0,590.0,0.06610169491525424,0.435,0.449,
1984,61,Avon-Tri-Village / Wimble Shoals,330.0,330.0,352.0,0.0,-22.0,-22.0,610.0,0.036065573770491806,0.6,0.578,
1984,62,Avon-Tri-Village / Wimble Shoals,350.0,325.0,347.0,25.0,-22.0,3.0,660.0,0.004545454545454545,0.544,0.55,
1984,63,Avon-Tri-Village / Wimble Shoals,350.0,330.0,344.0,20.0,-14.0,6.0,675.0,0.008888888888888889,0.597,0.625,
1984,64,Avon-Tri-Village / Wimble Shoals,370.0,300.0,345.0,70.0,-45.0,25.0,700.0,0.03571428571428571,0.653,0.69,
1984,65,Avon-Tri-Village / Wimble Shoals,370.0,360.0,361.0,10.0,-1.0,9.0,690.0,0.013043478260869565,0.582,0.639,
1984,66,Avon-Tri-Village / Wimble Shoals,370.0,290.0,364.0,80.0,-74.0,6.0,690.0,0.008695652173913044,0.47,0.536,
1984,67,Avon-Tri-Village / Wimble Shoals,420.0,345.0,454.0,75.0,-109.0,-34.0,710.0,0.04788732394366197,0.519,0.55,SCATTER_SETBACK(70m)
1984,68,Tri-Village,555.0,545.0,607.0,10.0,-62.0,-52.0,755.0,0.06887417218543046,0.586,0.643,SCATTER_SETBACK(101m)
1984,69,Tri-Village,560.0,560.0,569.0,0.0,-9.0,-9.0,780.0,0.011538461538461539,0.854,0.856,
1984,70,Tri-Village,480.0,470.0,448.0,10.0,22.0,32.0,770.0,0.04155844155844156,0.549,0.564,SCATTER_SETBACK(91m)
1984,71,Tri-Village,410.0,400.0,483.0,10.0,-83.0,-73.0,820.0,0.08902439024390243,0.258,0.299,SCATTER_SETBACK(51m)
1984,72,Tri-Village,490.0,480.0,582.0,10.0,-102.0,-92.0,810.0,0.11358024691358025,0.377,0.47,SCATTER_SETBACK(50m)
1984,73,Tri-Village,550.0,550.0,643.0,0.0,-93.0,-93.0,780.0,0.11923076923076924,0.514,0.591,SCATTER_SETBACK(41m)
1984,74,Tri-Village,600.0,595.0,616.0,5.0,-21.0,-16.0,750.0,0.021333333333333333,0.476,0.494,
1984,75,Tri-Village,540.0,540.0,540.0,0.0,0.0,0.0,720.0,0.0,0.625,0.668,SCATTER_SETBACK(60m)
1984,76,Tri-Village,505.0,505.0,533.0,0.0,-28.0,-28.0,660.0,0.04242424242424243,0.542,0.634,
1984,77,Tri-Village,500.0,500.0,575.0,0.0,-75.0,-75.0,590.0,0.1271186440677966,0.393,0.481,
1984,78,Tri-Village,490.0,490.0,588.0,0.0,-98.0,-98.0,525.0,0.18666666666666668,0.497,0.534,"MOVED_SEAWARD(20m,sea0%,bay52%)"
1984,79,Tri-Village,500.0,500.0,580.0,0.0,-80.0,-80.0,650.0,0.12307692307692308,0.584,0.612,"IN_WATER(36%),MOVED_SEAWARD(100m,sea36%,bay36%),BEYOND_MEASURED(min 480m)"
1984,80,Tri-Village,490.0,490.0,617.0,0.0,-127.0,-127.0,655.0,0.19389312977099238,0.59,0.625,"SCATTER_SETBACK(80m),MOVED_SEAWARD(50m,sea22%,bay36%)"
1984,81,Tri-Village,350.0,350.0,409.0,0.0,-59.0,-59.0,525.0,0.11238095238095239,0.652,0.723,SCATTER_SETBACK(171m)
1984,82,Tri-Village,115.0,115.0,241.0,0.0,-126.0,-126.0,500.0,0.252,0.747,0.781,SCATTER_SETBACK(111m)
1984,83,Tri-Village,60.0,60.0,176.0,0.0,-116.0,-116.0,490.0,0.23673469387755103,0.594,0.629,SCATTER_SETBACK(80m)
1984,84,Pea Island / N. Rodanthe,-30.0,-30.0,95.0,0.0,-125.0,-125.0,460.0,0.2717391304347826,0.85,0.881,"NEGATIVE(-30->floored 0),SCATTER_SETBACK(70m),SCATTER_ELEV(0.85)"
1984,85,Pea Island / N. Rodanthe,-60.0,-80.0,40.0,20.0,-120.0,-100.0,460.0,0.21739130434782608,1.937,0.816,"NEGATIVE(-60->floored 0),SCATTER_SETBACK(50m),SCATTER_ELEV(0.97)"
1984,86,Pea Island / N. Rodanthe,-60.0,-80.0,60.0,20.0,-140.0,-120.0,335.0,0.3582089552238806,1.394,0.687,"NEGATIVE(-60->floored 0),SCATTER_ELEV(0.69)"
1984,87,Pea Island / N. Rodanthe,20.0,20.0,55.0,0.0,-35.0,-35.0,335.0,0.1044776119402985,0.922,0.799,"SCATTER_SETBACK(90m),SCATTER_ELEV(1.21)"
1984,88,Pea Island / N. Rodanthe,110.0,110.0,158.0,0.0,-48.0,-48.0,420.0,0.11428571428571428,0.962,1.083,
1984,89,Pea Island / N. Rodanthe,160.0,160.0,207.0,0.0,-47.0,-47.0,620.0,0.07580645161290323,0.735,0.849,
