domain_number,window_domains,window_km,projected_change_m,observed_m,observed_minus_projected_m
2,10,5.0,35.379,-4.125,-39.504
3,10,5.0,34.492,1.305,-33.187
4,10,5.0,26.871,12.836,-14.035
5,10,5.0,11.488,10.18,-1.308
6,10,5.0,-19.434,-13.241,6.193
7,10,5.0,-18.394,-27.056,-8.662
8,10,5.0,-4.53,-18.935,-14.405
9,10,5.0,1.92,-25.403,-27.323
10,10,5.0,10.0,-35.035,-45.035
11,10,5.0,7.937,-27.28,-35.217
12,10,5.0,10.001,-25.096,-35.097
13,10,5.0,11.72,-20.255,-31.975
14,10,5.0,13.168,-12.367,-25.535
15,10,5.0,15.001,-3.913,-18.914
16,10,5.0,17.047,3.006,-14.041
17,10,5.0,17.746,7.152,-10.593
18,10,5.0,15.883,8.386,-7.497
19,10,5.0,11.989,6.48,-5.509
20,10,5.0,6.482,1.332,-5.15
21,10,5.0,-1.199,-6.114,-4.915
22,10,5.0,-10.014,-14.285,-4.271
23,10,5.0,-14.632,-18.994,-4.362
24,10,5.0,-14.266,-16.435,-2.169
25,10,5.0,-11.877,-7.8,4.077
26,10,5.0,-6.969,1.359,8.328
27,10,5.0,1.4,8.029,6.628
28,10,5.0,10.157,16.78,6.623
29,10,5.0,16.556,22.87,6.313
30,10,5.0,21.689,21.685,-0.003
31,10,5.0,25.94,13.167,-12.773
32,10,5.0,25.748,0.587,-25.161
33,10,5.0,20.899,-11.3,-32.199
34,10,5.0,15.233,-18.625,-33.858
35,10,5.0,10.565,-21.718,-32.283
36,10,5.0,7.088,-21.433,-28.521
37,10,5.0,4.533,-17.828,-22.361
38,10,5.0,3.298,-10.932,-14.23
39,10,5.0,3.398,-2.871,-6.27
40,10,5.0,3.918,3.415,-0.503
41,10,5.0,3.983,6.778,2.796
42,10,5.0,2.932,7.265,4.333
43,10,5.0,0.636,5.66,5.024
44,10,5.0,-2.308,2.541,4.849
45,10,5.0,-4.882,-0.672,4.21
46,10,5.0,-6.688,-3.241,3.446
47,10,5.0,-7.968,-5.647,2.321
48,10,5.0,-8.765,-7.455,1.31
49,10,5.0,-9.007,-7.769,1.237
50,10,5.0,-9.127,-7.092,2.035
51,10,5.0,-9.533,-6.681,2.852
52,10,5.0,-9.94,-7.117,2.823
53,10,5.0,-9.652,-7.343,2.309
54,10,5.0,-8.422,-6.685,1.737
55,10,5.0,-6.304,-4.988,1.316
56,10,5.0,-3.902,-2.084,1.817
57,10,5.0,-2.444,0.821,3.265
58,10,5.0,-2.795,2.198,4.993
59,10,5.0,-4.629,1.998,6.627
60,10,5.0,-6.61,-0.571,6.039
61,10,5.0,-7.658,-6.375,1.283
62,10,5.0,-7.546,-14.208,-6.662
63,10,5.0,-5.197,-20.762,-15.565
64,10,5.0,0.494,-23.662,-24.157
65,10,5.0,7.69,-21.764,-29.454
66,10,5.0,12.813,-14.606,-27.419
67,10,5.0,16.231,-6.703,-22.934
68,10,5.0,18.647,0.405,-18.242
69,10,5.0,19.649,6.671,-12.978
70,10,5.0,17.524,10.663,-6.861
71,10,5.0,13.907,9.508,-4.399
72,10,5.0,9.272,3.167,-6.105
73,10,5.0,3.684,-7.024,-10.708
74,10,5.0,-2.321,-18.787,-16.467
75,10,5.0,-8.421,-28.961,-20.54
76,10,5.0,-14.733,-38.469,-23.736
77,10,5.0,-20.499,-48.211,-27.712
78,10,5.0,-24.235,-54.177,-29.942
79,10,5.0,-25.787,-54.243,-28.456
80,10,5.0,-26.062,-51.153,-25.091
81,10,5.0,-25.702,-48.383,-22.681
82,10,5.0,-24.46,-46.478,-22.019
83,10,5.0,-21.835,-43.769,-21.934
84,10,5.0,-17.909,-40.026,-22.118
85,10,5.0,-12.758,-36.203,-23.445
86,10,5.0,-6.28,-29.984,-23.704
87,10,5.0,0.504,-21.395,-21.9
88,10,5.0,7.225,-12.712,-19.937
89,10,5.0,13.994,-3.737,-17.73
90,10,5.0,20.732,5.533,-15.199
