ws_peak_dam_yr,rod_amplitude,rod_width_domains,avon_north_dam_yr,rmse_p1,rmse_p2,combined_score,pareto_optimal
0.15,-0.15,3,0.55,0.1647,0.2062,0.1854,False
0.2,-0.1,6,0.35,0.1674,0.2035,0.1855,False
0.2,-0.15,4,0.4,0.1676,0.2034,0.1855,False
0.15,-0.1,5,0.35,0.1593,0.2117,0.1855,False
0.3,-0.1,3,0.5,0.2009,0.1703,0.1856,False
0.2,-0.15,4,0.45,0.169,0.2021,0.1856,False
0.2,-0.1,6,0.5,0.1717,0.1996,0.1857,False
0.25,-0.1,6,0.45,0.1811,0.1903,0.1857,False
0.15,-0.1,4,0.25,0.1596,0.212,0.1858,False
0.25,-0.1,6,0.4,0.1798,0.1917,0.1858,False
0.2,-0.2,3,0.4,0.1665,0.2051,0.1858,False
0.1,-0.1,3,0.5,0.1584,0.2135,0.1859,False
0.25,-0.1,5,0.55,0.1866,0.1852,0.1859,False
0.2,-0.15,4,0.35,0.1667,0.2052,0.1859,False
0.2,-0.2,3,0.45,0.168,0.2038,0.1859,False
0.15,-0.1,5,0.5,0.1638,0.208,0.1859,False
0.15,-0.1,3,0.2,0.1608,0.2109,0.1859,False
0.3,-0.1,3,0.35,0.1972,0.1749,0.186,False
0.2,-0.15,4,0.5,0.171,0.2013,0.1861,False
0.25,-0.1,4,0.25,0.1813,0.1909,0.1861,False
0.25,-0.1,5,0.3,0.18,0.1921,0.1861,False
0.15,-0.15,3,0.25,0.1574,0.215,0.1862,False
0.25,-0.1,6,0.5,0.183,0.1895,0.1862,False
0.2,-0.1,7,0.4,0.1672,0.2053,0.1862,False
0.2,-0.1,7,0.45,0.1686,0.204,0.1863,False
0.25,-0.1,6,0.35,0.1789,0.1936,0.1863,False
0.2,-0.2,3,0.35,0.1656,0.2069,0.1863,False
0.1,-0.1,3,0.3,0.1533,0.2192,0.1863,False
0.2,-0.1,5,0.25,0.1682,0.2045,0.1864,False
0.2,-0.1,6,0.3,0.1671,0.2058,0.1864,False
0.15,-0.1,5,0.3,0.159,0.2138,0.1864,False
0.2,-0.2,3,0.5,0.17,0.203,0.1865,False
0.3,-0.1,3,0.55,0.2031,0.1699,0.1865,False
0.25,-0.1,7,0.45,0.1797,0.1936,0.1866,False
0.2,-0.1,4,0.2,0.1698,0.2034,0.1866,False
0.25,-0.1,3,0.2,0.1831,0.1902,0.1866,False
0.25,-0.1,7,0.4,0.1783,0.195,0.1866,False
0.3,-0.1,4,0.45,0.198,0.1754,0.1867,False
0.2,-0.1,7,0.35,0.1663,0.207,0.1867,False
0.2,-0.1,6,0.55,0.1742,0.1993,0.1867,False
0.25,-0.15,4,0.45,0.1809,0.1925,0.1867,False
0.25,-0.15,4,0.4,0.1795,0.1938,0.1867,False
0.3,-0.1,4,0.4,0.1968,0.1768,0.1868,False
0.2,-0.15,4,0.3,0.1663,0.2074,0.1868,False
0.2,-0.1,7,0.5,0.1706,0.2032,0.1869,False
0.25,-0.15,3,0.25,0.1795,0.1943,0.1869,False
0.15,-0.1,6,0.4,0.1597,0.2142,0.187,False
0.15,-0.2,3,0.4,0.1572,0.2168,0.187,False
0.15,-0.15,4,0.4,0.1585,0.2154,0.187,False
0.15,-0.1,5,0.55,0.1665,0.2076,0.187,False
0.3,-0.1,4,0.5,0.1997,0.1744,0.1871,False
0.1,-0.1,3,0.55,0.1611,0.2131,0.1871,False
0.25,-0.1,7,0.5,0.1815,0.1928,0.1871,False
0.15,-0.15,4,0.45,0.16,0.2142,0.1871,False
0.25,-0.1,7,0.35,0.1775,0.1968,0.1871,False
0.15,-0.1,6,0.45,0.1612,0.213,0.1871,False
0.2,-0.15,4,0.55,0.1735,0.2009,0.1872,False
0.2,-0.15,3,0.2,0.1678,0.2066,0.1872,False
0.25,-0.1,6,0.55,0.1853,0.1891,0.1872,False
0.3,-0.1,3,0.3,0.197,0.1774,0.1872,False
0.25,-0.15,4,0.5,0.1827,0.1916,0.1872,False
0.1,-0.1,4,0.4,0.1546,0.2198,0.1872,False
0.25,-0.15,4,0.35,0.1787,0.1957,0.1872,False
0.2,-0.2,3,0.3,0.1653,0.209,0.1872,False
0.15,-0.2,3,0.45,0.1587,0.2156,0.1872,False
0.25,-0.1,6,0.3,0.1786,0.1959,0.1873,False
0.15,-0.2,3,0.35,0.1562,0.2185,0.1873,False
0.25,-0.2,3,0.45,0.1802,0.1945,0.1873,False
0.25,-0.2,3,0.4,0.1788,0.1958,0.1873,False
0.15,-0.1,6,0.35,0.1588,0.2159,0.1873,False
0.15,-0.15,4,0.35,0.1576,0.2171,0.1873,False
0.1,-0.15,3,0.4,0.1522,0.2226,0.1874,False
0.1,-0.1,4,0.45,0.1562,0.2186,0.1874,False
0.3,-0.1,4,0.35,0.196,0.1789,0.1874,False
0.2,-0.1,3,0.15,0.1719,0.203,0.1874,False
0.1,-0.1,4,0.35,0.1536,0.2214,0.1875,False
0.1,-0.1,3,0.25,0.1536,0.2217,0.1876,False
0.1,-0.15,3,0.45,0.1538,0.2215,0.1876,False
0.25,-0.1,5,0.25,0.1802,0.195,0.1876,False
0.2,-0.2,3,0.55,0.1725,0.2027,0.1876,False
0.2,-0.1,7,0.3,0.166,0.2092,0.1876,False
0.15,-0.1,4,0.2,0.1604,0.215,0.1877,False
0.1,-0.15,3,0.35,0.1512,0.2242,0.1877,False
0.15,-0.15,4,0.5,0.1621,0.2134,0.1878,False
0.15,-0.1,5,0.25,0.1592,0.2164,0.1878,False
0.2,-0.1,6,0.25,0.1673,0.2084,0.1878,False
0.15,-0.2,3,0.5,0.1609,0.2148,0.1878,False
0.25,-0.2,3,0.35,0.178,0.1976,0.1878,False
0.25,-0.2,3,0.5,0.182,0.1936,0.1878,False
0.15,-0.1,6,0.5,0.1633,0.2122,0.1878,False
0.3,-0.15,3,0.45,0.1964,0.1791,0.1878,False
0.3,-0.1,4,0.55,0.2019,0.174,0.1879,False
0.3,-0.15,3,0.4,0.1951,0.1806,0.1879,False
0.3,-0.1,5,0.45,0.1966,0.1794,0.188,False
0.2,-0.1,7,0.55,0.1731,0.2028,0.188,False
0.25,-0.1,4,0.2,0.1821,0.1942,0.1881,False
0.3,-0.1,5,0.4,0.1954,0.1808,0.1881,False
0.1,-0.1,4,0.5,0.1583,0.2179,0.1881,False
0.15,-0.15,3,0.2,0.1582,0.218,0.1881,False
0.25,-0.1,7,0.55,0.1839,0.1924,0.1881,False
0.25,-0.1,7,0.3,0.1771,0.1991,0.1881,False
0.15,-0.1,6,0.3,0.1584,0.2179,0.1882,False
0.3,-0.15,3,0.5,0.1981,0.1782,0.1882,False
0.25,-0.15,4,0.3,0.1784,0.198,0.1882,False
0.25,-0.15,4,0.55,0.1851,0.1912,0.1882,False
0.15,-0.2,3,0.3,0.1559,0.2205,0.1882,False
0.15,-0.15,4,0.3,0.1572,0.2191,0.1882,False
0.1,-0.15,3,0.5,0.156,0.2207,0.1883,False
0.2,-0.15,4,0.25,0.1666,0.21,0.1883,False
0.15,-0.1,3,0.15,0.1623,0.2143,0.1883,False
0.2,-0.1,5,0.2,0.1691,0.2076,0.1883,False
0.3,-0.1,5,0.5,0.1983,0.1785,0.1884,False
0.1,-0.1,4,0.3,0.1533,0.2235,0.1884,False
0.15,-0.1,7,0.4,0.1591,0.2179,0.1885,False
0.3,-0.15,3,0.35,0.1944,0.1826,0.1885,False
0.1,-0.15,3,0.3,0.1509,0.2262,0.1886,False
0.2,-0.2,3,0.25,0.1656,0.2116,0.1886,False
0.3,-0.1,4,0.3,0.1957,0.1814,0.1886,False
0.2,-0.15,5,0.4,0.167,0.2102,0.1886,False
0.3,-0.1,5,0.35,0.1946,0.1828,0.1887,False
0.2,-0.15,5,0.45,0.1685,0.2089,0.1887,False
0.15,-0.1,7,0.45,0.1606,0.2167,0.1887,False
0.25,-0.2,3,0.3,0.1777,0.1999,0.1888,False
0.3,-0.1,3,0.25,0.1972,0.1805,0.1888,False
0.25,-0.2,3,0.55,0.1844,0.1932,0.1888,False
0.15,-0.1,7,0.35,0.1582,0.2195,0.1888,False
0.25,-0.1,6,0.25,0.1789,0.1987,0.1888,False
0.15,-0.1,6,0.55,0.166,0.2118,0.1889,False
0.25,-0.15,3,0.2,0.1802,0.1976,0.1889,False
0.15,-0.15,4,0.55,0.1648,0.2131,0.1889,False
0.15,-0.2,3,0.55,0.1635,0.2145,0.189,False
0.2,-0.1,7,0.25,0.1662,0.2118,0.189,False
0.3,-0.1,6,0.45,0.195,0.183,0.189,False
0.3,-0.15,3,0.55,0.2003,0.1778,0.189,False
0.2,-0.15,5,0.35,0.1662,0.2119,0.189,False
0.3,-0.1,6,0.4,0.1937,0.1844,0.1891,False
0.2,-0.1,4,0.15,0.1712,0.207,0.1891,False
0.25,-0.1,3,0.15,0.1843,0.1941,0.1892,False
0.3,-0.1,5,0.55,0.2005,0.178,0.1893,False
0.15,-0.1,7,0.5,0.1627,0.2159,0.1893,False
0.2,-0.15,5,0.5,0.1705,0.2081,0.1893,False
0.1,-0.1,4,0.55,0.1611,0.2175,0.1893,False
0.25,-0.15,5,0.45,0.1798,0.1991,0.1894,False
0.25,-0.15,5,0.4,0.1785,0.2004,0.1894,False
0.3,-0.1,6,0.5,0.1967,0.1821,0.1894,False
0.1,-0.1,3,0.2,0.1545,0.2246,0.1895,False
0.1,-0.1,5,0.4,0.1547,0.2243,0.1895,False
0.15,-0.15,4,0.25,0.1575,0.2216,0.1895,False
0.3,-0.1,7,0.4,0.1919,0.1874,0.1896,False
0.1,-0.15,3,0.55,0.1588,0.2204,0.1896,False
0.2,-0.15,3,0.15,0.1692,0.2101,0.1896,False
0.15,-0.1,6,0.25,0.1587,0.2204,0.1896,False
0.15,-0.2,3,0.25,0.1561,0.223,0.1896,False
0.25,-0.1,5,0.2,0.181,0.1982,0.1896,False
0.3,-0.1,7,0.45,0.1932,0.186,0.1896,False
0.25,-0.1,7,0.25,0.1774,0.2018,0.1896,False
0.3,-0.15,3,0.3,0.1941,0.185,0.1896,False
0.15,-0.1,5,0.2,0.1601,0.2193,0.1897,False
0.25,-0.15,4,0.25,0.1786,0.2007,0.1897,False
0.1,-0.1,4,0.25,0.1536,0.2259,0.1897,False
0.1,-0.1,5,0.45,0.1562,0.2231,0.1897,False
0.15,-0.1,7,0.3,0.1578,0.2216,0.1897,False
0.3,-0.1,6,0.35,0.193,0.1863,0.1897,False
0.1,-0.1,5,0.35,0.1537,0.2259,0.1898,False
0.2,-0.1,6,0.2,0.1681,0.2114,0.1898,False
0.3,-0.1,5,0.3,0.1943,0.1853,0.1898,False
0.1,-0.15,3,0.25,0.1511,0.2286,0.1899,False
0.25,-0.15,5,0.35,0.1776,0.2022,0.1899,False
0.2,-0.15,5,0.3,0.1658,0.214,0.1899,False
0.3,-0.1,7,0.5,0.1949,0.1851,0.19,False
0.25,-0.15,5,0.5,0.1817,0.1982,0.19,False
0.3,-0.1,4,0.25,0.196,0.1844,0.1902,False
0.2,-0.15,4,0.2,0.1674,0.213,0.1902,False
0.15,-0.1,4,0.15,0.1619,0.2184,0.1902,False
0.3,-0.1,7,0.35,0.1912,0.1893,0.1902,False
0.25,-0.2,3,0.25,0.1779,0.2026,0.1903,False
0.3,-0.1,6,0.55,0.1989,0.1817,0.1903,False
0.1,-0.1,5,0.5,0.1584,0.2224,0.1904,False
0.2,-0.15,5,0.55,0.173,0.2078,0.1904,False
0.3,-0.15,4,0.4,0.1939,0.187,0.1904,False
0.3,-0.15,4,0.45,0.1951,0.1856,0.1904,False
0.2,-0.25,3,0.4,0.1665,0.2143,0.1904,False
0.2,-0.1,3,0.1,0.1738,0.207,0.1904,False
0.2,-0.25,3,0.45,0.168,0.2131,0.1905,False
0.15,-0.15,3,0.15,0.1597,0.2213,0.1905,False
0.15,-0.15,5,0.4,0.1587,0.2223,0.1905,False
0.15,-0.1,7,0.55,0.1654,0.2156,0.1905,False
0.2,-0.2,3,0.2,0.1664,0.2146,0.1905,False
0.1,-0.1,5,0.3,0.1534,0.2279,0.1906,False
0.15,-0.15,5,0.45,0.1602,0.2211,0.1906,False
0.25,-0.1,4,0.15,0.1833,0.198,0.1907,False
0.25,-0.1,6,0.2,0.1796,0.2019,0.1907,False
0.3,-0.1,6,0.3,0.1927,0.1887,0.1907,False
0.2,-0.2,4,0.4,0.1669,0.2145,0.1907,False
0.2,-0.25,3,0.35,0.1656,0.216,0.1908,False
0.2,-0.1,5,0.15,0.1704,0.2111,0.1908,False
0.15,-0.15,5,0.35,0.1577,0.2239,0.1908,False
0.2,-0.2,4,0.45,0.1684,0.2132,0.1908,False
0.3,-0.15,4,0.5,0.1969,0.1847,0.1908,False
0.2,-0.1,7,0.2,0.167,0.2148,0.1909,False
0.1,-0.2,3,0.4,0.1513,0.2306,0.1909,False
0.25,-0.15,5,0.3,0.1773,0.2044,0.1909,False
0.3,-0.1,3,0.2,0.1979,0.184,0.1909,False
0.3,-0.1,7,0.55,0.1972,0.1847,0.1909,False
0.25,-0.15,5,0.55,0.1841,0.1979,0.191,False
0.3,-0.15,4,0.35,0.1931,0.1889,0.191,False
0.15,-0.1,7,0.25,0.1581,0.224,0.1911,False
0.2,-0.25,3,0.5,0.17,0.2123,0.1911,False
0.3,-0.15,3,0.25,0.1943,0.1879,0.1911,False
0.2,-0.2,4,0.35,0.166,0.2161,0.1911,False
0.1,-0.15,4,0.4,0.1529,0.2294,0.1912,False
0.3,-0.1,7,0.3,0.1909,0.1916,0.1912,False
0.1,-0.2,3,0.45,0.1529,0.2294,0.1912,False
0.1,-0.2,3,0.35,0.1503,0.2321,0.1912,False
0.15,-0.1,3,0.1,0.1643,0.2182,0.1912,False
0.2,-0.15,6,0.4,0.1663,0.2164,0.1913,False
0.2,-0.15,5,0.25,0.1661,0.2165,0.1913,False
0.3,-0.2,3,0.45,0.1947,0.1879,0.1913,False
0.15,-0.15,5,0.5,0.1623,0.2203,0.1913,False
0.25,-0.15,3,0.15,0.1815,0.2013,0.1914,False
0.3,-0.2,3,0.4,0.1934,0.1893,0.1914,False
0.15,-0.1,6,0.2,0.1596,0.2233,0.1914,False
0.15,-0.2,3,0.2,0.157,0.2258,0.1914,False
0.15,-0.15,4,0.2,0.1583,0.2245,0.1914,False
0.1,-0.15,4,0.45,0.1545,0.2283,0.1914,False
0.3,-0.1,5,0.25,0.1946,0.1882,0.1914,False
0.2,-0.2,4,0.5,0.1704,0.2124,0.1914,False
0.1,-0.15,4,0.35,0.152,0.231,0.1915,False
0.2,-0.15,6,0.45,0.1677,0.2152,0.1915,False
0.1,-0.1,4,0.2,0.1544,0.2287,0.1916,False
0.25,-0.1,7,0.2,0.1781,0.205,0.1916,False
0.1,-0.1,6,0.4,0.1547,0.2286,0.1916,False
0.15,-0.15,5,0.3,0.1574,0.2259,0.1916,False
0.15,-0.25,3,0.4,0.1574,0.2258,0.1916,False
0.1,-0.1,5,0.55,0.1611,0.2221,0.1916,False
0.25,-0.15,4,0.2,0.1794,0.2039,0.1916,False
0.2,-0.15,6,0.35,0.1654,0.218,0.1917,False
0.1,-0.15,3,0.2,0.152,0.2314,0.1917,False
0.25,-0.15,6,0.45,0.1784,0.205,0.1917,False
0.25,-0.15,6,0.4,0.1771,0.2063,0.1917,False
0.3,-0.15,4,0.55,0.1991,0.1843,0.1917,False
0.2,-0.25,3,0.3,0.1653,0.2181,0.1917,False
0.3,-0.2,3,0.5,0.1964,0.187,0.1917,False
0.05,-0.1,3,0.4,0.152,0.2315,0.1918,False
0.25,-0.2,4,0.45,0.1799,0.2037,0.1918,False
0.35,-0.1,3,0.45,0.2157,0.168,0.1918,False
0.25,-0.2,4,0.4,0.1785,0.205,0.1918,False
0.1,-0.1,6,0.45,0.1562,0.2274,0.1918,False
0.15,-0.25,3,0.45,0.159,0.2246,0.1918,False
0.3,-0.2,3,0.35,0.1927,0.1912,0.1919,False
0.1,-0.1,6,0.35,0.1537,0.2302,0.1919,False
0.2,-0.2,4,0.3,0.1657,0.2182,0.1919,False
0.15,-0.25,3,0.35,0.1565,0.2273,0.1919,False
0.1,-0.2,3,0.5,0.1551,0.2287,0.1919,False
0.25,-0.25,3,0.4,0.1785,0.2052,0.1919,False
0.1,-0.1,3,0.15,0.1559,0.2278,0.1919,False
0.25,-0.25,3,0.45,0.1799,0.2039,0.1919,False
0.1,-0.1,5,0.25,0.1536,0.2303,0.192,False
0.05,-0.1,3,0.35,0.151,0.2331,0.192,False
0.1,-0.2,3,0.3,0.1499,0.234,0.192,False
0.2,-0.1,4,0.1,0.1731,0.211,0.192,False
0.05,-0.1,3,0.45,0.1536,0.2304,0.192,False
0.25,-0.1,5,0.15,0.1822,0.2019,0.1921,False
0.2,-0.15,6,0.5,0.1697,0.2144,0.1921,False
0.3,-0.15,4,0.3,0.1928,0.1913,0.1921,False
0.1,-0.15,4,0.5,0.1567,0.2275,0.1921,False
0.15,-0.1,5,0.15,0.1615,0.2226,0.1921,False
0.35,-0.1,3,0.4,0.2146,0.1695,0.1921,False
0.35,-0.1,3,0.5,0.2173,0.167,0.1921,False
0.25,-0.15,6,0.35,0.1762,0.208,0.1921,False
0.2,-0.1,6,0.15,0.1695,0.2149,0.1922,False
0.25,-0.2,3,0.2,0.1787,0.2058,0.1922,False
0.25,-0.1,3,0.1,0.1861,0.1983,0.1922,False
0.2,-0.25,3,0.55,0.1725,0.212,0.1922,False
0.25,-0.2,4,0.35,0.1777,0.2067,0.1922,False
0.3,-0.1,4,0.2,0.1966,0.1878,0.1922,False
0.1,-0.15,4,0.3,0.1516,0.2329,0.1923,False
0.25,-0.2,4,0.5,0.1817,0.2029,0.1923,False
0.25,-0.25,3,0.35,0.1777,0.2069,0.1923,False
0.3,-0.1,6,0.25,0.1929,0.1916,0.1923,False
0.25,-0.15,5,0.25,0.1775,0.207,0.1923,False
0.25,-0.15,6,0.5,0.1803,0.2042,0.1923,False
0.15,-0.2,4,0.4,0.1583,0.2262,0.1923,False
0.25,-0.25,3,0.5,0.1817,0.2031,0.1924,False
0.15,-0.2,4,0.45,0.1599,0.225,0.1924,False
0.2,-0.15,3,0.1,0.1711,0.214,0.1925,False
0.2,-0.2,4,0.55,0.1729,0.2121,0.1925,False
0.1,-0.1,6,0.5,0.1584,0.2267,0.1925,False
0.15,-0.15,5,0.55,0.1649,0.22,0.1925,False
0.15,-0.25,3,0.5,0.1611,0.2238,0.1925,False
0.15,-0.2,4,0.35,0.1574,0.2278,0.1926,False
0.2,-0.15,4,0.15,0.1688,0.2164,0.1926,False
0.3,-0.2,3,0.55,0.1986,0.1866,0.1926,False
0.2,-0.15,6,0.3,0.165,0.2201,0.1926,False
0.05,-0.1,3,0.5,0.1558,0.2297,0.1927,False
0.1,-0.1,6,0.3,0.1533,0.2321,0.1927,False
0.15,-0.25,3,0.3,0.1561,0.2293,0.1927,False
0.3,-0.15,5,0.45,0.1936,0.1919,0.1927,False
0.3,-0.15,5,0.4,0.1923,0.1932,0.1928,False
0.3,-0.1,7,0.25,0.1911,0.1945,0.1928,False
0.05,-0.1,3,0.3,0.1507,0.235,0.1928,False
0.35,-0.1,3,0.35,0.2139,0.1716,0.1928,False
0.3,-0.2,3,0.3,0.1924,0.1935,0.1929,False
0.2,-0.2,3,0.15,0.1678,0.218,0.1929,False
0.35,-0.1,3,0.55,0.2193,0.1665,0.1929,False
0.15,-0.1,7,0.2,0.1589,0.2269,0.1929,False
0.15,-0.15,5,0.25,0.1576,0.2283,0.193,False
0.15,-0.1,4,0.1,0.1639,0.2222,0.193,False
0.2,-0.25,3,0.25,0.1655,0.2206,0.193,False
0.35,-0.1,4,0.45,0.2143,0.1718,0.1931,False
0.1,-0.2,3,0.55,0.1579,0.2284,0.1931,False
0.25,-0.2,4,0.3,0.1774,0.2089,0.1931,False
0.15,-0.2,4,0.5,0.162,0.2243,0.1931,False
0.25,-0.15,6,0.3,0.1759,0.2102,0.1931,False
0.2,-0.15,6,0.55,0.1723,0.2141,0.1932,False
0.25,-0.25,3,0.3,0.1774,0.2091,0.1932,False
0.3,-0.15,5,0.5,0.1954,0.191,0.1932,False
0.3,-0.15,3,0.2,0.195,0.1913,0.1932,False
0.35,-0.1,4,0.4,0.2132,0.1733,0.1932,False
0.2,-0.15,5,0.2,0.1669,0.2195,0.1932,False
0.25,-0.1,6,0.15,0.1809,0.2055,0.1932,False
0.3,-0.15,5,0.35,0.1916,0.1951,0.1933,False
0.25,-0.15,6,0.55,0.1827,0.2039,0.1933,False
0.25,-0.2,4,0.55,0.1841,0.2025,0.1933,False
0.1,-0.15,4,0.55,0.1594,0.2272,0.1933,False
0.2,-0.2,4,0.25,0.1659,0.2207,0.1933,False
0.2,-0.1,7,0.15,0.1684,0.2182,0.1933,False
0.1,-0.2,3,0.25,0.1502,0.2364,0.1933,False
0.3,-0.1,5,0.2,0.1952,0.1916,0.1934,False
0.25,-0.15,7,0.4,0.1754,0.2114,0.1934,False
0.35,-0.1,4,0.5,0.2159,0.1708,0.1934,False
0.25,-0.25,3,0.55,0.1841,0.2027,0.1934,False
0.15,-0.15,3,0.1,0.1617,0.225,0.1934,False
0.15,-0.2,4,0.3,0.157,0.2297,0.1934,False
0.25,-0.15,7,0.45,0.1768,0.2101,0.1934,False
0.3,-0.1,3,0.15,0.199,0.188,0.1935,False
0.1,-0.1,7,0.4,0.1546,0.2324,0.1935,False
0.2,-0.15,7,0.4,0.1653,0.2218,0.1935,False
0.15,-0.15,6,0.4,0.1586,0.2287,0.1936,False
0.3,-0.15,4,0.25,0.193,0.1941,0.1936,False
0.15,-0.25,3,0.55,0.1638,0.2235,0.1936,False
0.1,-0.15,4,0.25,0.1519,0.2352,0.1936,False
0.25,-0.1,4,0.1,0.1851,0.2021,0.1936,False
0.1,-0.1,6,0.55,0.1611,0.2264,0.1937,False
0.2,-0.15,7,0.45,0.1667,0.2206,0.1937,False
0.2,-0.1,5,0.1,0.1723,0.215,0.1937,False
0.1,-0.1,7,0.45,0.1561,0.2313,0.1937,False
0.1,-0.1,5,0.2,0.1545,0.2331,0.1938,False
0.1,-0.1,7,0.35,0.1536,0.234,0.1938,False
0.15,-0.1,6,0.15,0.161,0.2266,0.1938,False
0.15,-0.15,4,0.15,0.1598,0.2277,0.1938,False
0.15,-0.2,3,0.15,0.1585,0.2291,0.1938,False
0.15,-0.15,6,0.45,0.1601,0.2275,0.1938,False
0.25,-0.15,7,0.35,0.1745,0.213,0.1938,False
0.2,-0.1,3,0.05,0.1762,0.2115,0.1938,False
0.2,-0.15,6,0.25,0.1653,0.2226,0.1939,False
0.35,-0.1,4,0.35,0.2125,0.1754,0.1939,False
0.35,-0.1,3,0.3,0.2136,0.1742,0.1939,False
0.15,-0.15,6,0.35,0.1576,0.2302,0.1939,False
