domain_number,n_transects,mean_change_m,std_change_m,min_change_m,max_change_m,mean_rate_m_yr,std_rate_m_yr,pct_landward,median_n_start,median_n_end,n_transects_empty_window
36,10,-13.607,3.256,-18.086,-7.595,-0.691,0.165,100.0,7.0,22.0,0
37,11,-20.0,1.764,-22.705,-17.609,-1.016,0.09,100.0,7.0,21.0,0
38,10,-24.356,6.658,-34.428,-16.031,-1.238,0.338,100.0,7.0,21.0,0
39,10,-21.492,2.497,-25.962,-18.276,-1.092,0.127,100.0,7.0,21.0,0
40,10,-22.435,2.319,-25.905,-19.409,-1.14,0.118,100.0,7.0,21.5,0
41,10,-26.396,3.543,-31.155,-20.305,-1.341,0.18,100.0,7.0,19.5,0
42,10,-25.409,2.534,-29.276,-22.702,-1.291,0.129,100.0,7.0,21.0,0
43,10,-11.087,5.445,-21.84,-6.414,-0.563,0.277,100.0,7.0,21.0,0
44,10,-9.554,2.645,-13.107,-5.231,-0.485,0.134,100.0,6.0,21.0,0
45,10,-1.892,5.366,-11.008,3.144,-0.096,0.273,50.0,6.0,21.0,0
46,10,1.21,4.376,-6.288,7.729,0.061,0.222,40.0,6.0,21.0,0
47,10,4.61,2.526,-0.515,6.992,0.234,0.128,10.0,7.0,20.5,0
48,10,-5.462,6.2,-20.11,3.173,-0.278,0.315,90.0,7.0,20.5,0
49,10,-25.401,4.648,-32.919,-19.499,-1.291,0.236,100.0,7.0,20.0,0
50,10,-24.09,4.962,-28.685,-16.734,-1.224,0.252,100.0,7.0,20.0,0
51,10,-36.184,4.243,-42.44,-31.483,-1.839,0.216,100.0,7.0,18.5,0
52,10,-26.297,3.775,-30.322,-19.21,-1.336,0.192,100.0,7.0,20.0,0
53,10,-20.113,4.967,-29.035,-13.871,-1.022,0.252,100.0,7.0,19.0,0
54,10,-17.337,3.606,-22.693,-11.403,-0.881,0.183,100.0,7.0,21.0,0
55,10,-14.826,4.989,-21.729,-6.25,-0.753,0.253,100.0,7.0,18.0,0
56,11,-1.093,6.15,-8.45,8.809,-0.056,0.312,63.636,7.0,21.0,0
57,10,3.857,4.852,-4.792,9.049,0.196,0.247,20.0,7.0,20.0,0
58,10,-3.883,1.943,-7.124,-1.592,-0.197,0.099,100.0,7.0,21.0,0
59,10,8.856,6.294,0.934,18.684,0.45,0.32,0.0,7.0,20.0,0
60,10,24.525,2.343,19.731,27.7,1.246,0.119,0.0,7.0,20.0,0
61,10,34.419,10.733,20.068,51.81,1.749,0.545,0.0,7.0,19.0,0
62,10,46.766,3.6,41.76,51.571,2.376,0.183,0.0,7.0,20.0,0
63,10,23.831,4.534,14.548,28.738,1.211,0.23,0.0,7.0,19.0,0
64,10,5.489,6.8,-5.982,12.707,0.279,0.346,20.0,7.0,20.5,0
65,10,-18.623,9.421,-29.035,-5.677,-0.946,0.479,100.0,7.0,19.0,0
66,11,-35.753,3.713,-40.257,-27.454,-1.817,0.189,100.0,7.0,20.0,0
67,10,-20.076,5.614,-31.446,-14.456,-1.02,0.285,100.0,7.0,19.5,0
68,10,-2.234,7.682,-16.3,4.503,-0.114,0.39,50.0,6.0,19.0,0
69,10,6.439,3.785,2.117,11.184,0.327,0.192,0.0,6.0,19.0,0
70,10,5.449,4.378,-4.324,11.547,0.277,0.222,10.0,6.0,17.5,0
71,10,-26.096,9.029,-35.614,-9.615,-1.326,0.459,100.0,8.0,22.0,0
72,10,-24.054,2.433,-28.666,-20.615,-1.222,0.124,100.0,8.0,20.5,0
73,10,-16.111,9.885,-28.653,-1.504,-0.819,0.502,100.0,8.0,21.0,0
74,10,25.743,12.962,9.061,48.73,1.308,0.659,0.0,8.0,21.0,0
75,10,59.533,5.823,50.898,66.604,3.025,0.296,0.0,8.0,21.5,0
76,10,24.816,24.421,-13.691,57.212,1.261,1.241,20.0,8.0,22.0,0
77,10,-65.013,22.141,-93.176,-26.525,-3.304,1.125,100.0,8.0,23.0,0
78,10,-114.019,13.041,-129.852,-95.639,-5.794,0.663,100.0,8.0,21.5,0
79,10,-115.708,5.749,-123.257,-109.047,-5.88,0.292,100.0,7.0,23.0,0
80,10,-109.998,3.21,-114.988,-104.21,-5.589,0.163,100.0,8.0,22.0,0
81,10,-104.064,4.378,-109.317,-97.813,-5.288,0.222,100.0,8.0,22.5,0
82,10,-112.98,5.331,-120.154,-104.548,-5.741,0.271,100.0,8.0,22.0,0
83,10,-79.994,10.293,-100.784,-68.768,-4.065,0.523,100.0,8.0,23.5,0
84,11,-73.604,1.898,-76.238,-71.056,-3.74,0.096,100.0,8.0,22.0,0
85,12,-67.3,3.683,-71.637,-59.413,-3.42,0.187,100.0,7.0,24.0,0
86,12,-67.182,1.764,-69.88,-64.51,-3.414,0.09,100.0,7.5,21.0,0
87,11,-68.588,3.468,-72.422,-61.465,-3.485,0.176,100.0,8.0,22.0,0
88,10,-46.571,12.626,-59.38,-24.636,-2.366,0.642,100.0,8.0,23.0,0
89,9,-20.728,2.63,-25.462,-17.459,-1.053,0.134,100.0,8.0,24.0,0
90,10,-1.662,14.139,-18.092,20.367,-0.084,0.718,50.0,7.0,24.0,0
