transect_id,domain_number,distance_m,match_method
usa_NC_0033_0061,26.0,0.0,point_in_polygon
usa_NC_0033_0062,26.0,0.0,point_in_polygon
usa_NC_0033_0064,27.0,0.0,point_in_polygon
usa_NC_0033_0065,27.0,0.0,point_in_polygon
usa_NC_0033_0066,27.0,0.0,point_in_polygon
usa_NC_0033_0067,27.0,0.0,point_in_polygon
usa_NC_0033_0068,27.0,0.0,point_in_polygon
usa_NC_0033_0069,27.0,0.0,point_in_polygon
usa_NC_0033_0070,27.0,0.0,point_in_polygon
usa_NC_0033_0071,27.0,0.0,point_in_polygon
usa_NC_0033_0072,27.0,0.0,point_in_polygon
usa_NC_0033_0073,27.0,0.0,point_in_polygon
usa_NC_0033_0074,28.0,0.0,point_in_polygon
usa_NC_0033_0075,28.0,0.0,point_in_polygon
usa_NC_0033_0076,28.0,0.0,point_in_polygon
usa_NC_0033_0077,28.0,0.0,point_in_polygon
usa_NC_0033_0078,28.0,0.0,point_in_polygon
usa_NC_0033_0079,28.0,0.0,point_in_polygon
usa_NC_0033_0080,28.0,0.0,point_in_polygon
usa_NC_0033_0081,28.0,0.0,point_in_polygon
usa_NC_0033_0082,28.0,0.0,point_in_polygon
usa_NC_0033_0083,28.0,0.0,point_in_polygon
usa_NC_0033_0084,29.0,0.0,point_in_polygon
usa_NC_0033_0085,29.0,0.0,point_in_polygon
usa_NC_0033_0086,29.0,0.0,point_in_polygon
usa_NC_0033_0087,29.0,0.0,point_in_polygon
usa_NC_0033_0088,29.0,0.0,point_in_polygon
usa_NC_0033_0089,29.0,0.0,point_in_polygon
usa_NC_0033_0090,29.0,0.0,point_in_polygon
usa_NC_0033_0091,29.0,0.0,point_in_polygon
usa_NC_0033_0092,29.0,0.0,point_in_polygon
usa_NC_0033_0093,29.0,0.0,point_in_polygon
usa_NC_0033_0094,30.0,0.0,point_in_polygon
usa_NC_0033_0095,30.0,0.0,point_in_polygon
usa_NC_0033_0096,30.0,0.0,point_in_polygon
usa_NC_0033_0097,30.0,0.0,point_in_polygon
usa_NC_0033_0098,30.0,0.0,point_in_polygon
usa_NC_0033_0099,30.0,0.0,point_in_polygon
usa_NC_0033_0100,30.0,0.0,point_in_polygon
usa_NC_0033_0101,30.0,0.0,point_in_polygon
usa_NC_0033_0102,30.0,0.0,point_in_polygon
usa_NC_0033_0103,30.0,0.0,point_in_polygon
usa_NC_0033_0104,31.0,0.0,point_in_polygon
usa_NC_0033_0105,31.0,0.0,point_in_polygon
usa_NC_0033_0106,31.0,0.0,point_in_polygon
usa_NC_0033_0107,31.0,0.0,point_in_polygon
usa_NC_0033_0108,31.0,0.0,point_in_polygon
usa_NC_0033_0109,31.0,0.0,point_in_polygon
usa_NC_0033_0110,31.0,0.0,point_in_polygon
usa_NC_0033_0111,31.0,0.0,point_in_polygon
usa_NC_0033_0112,31.0,0.0,point_in_polygon
usa_NC_0033_0113,31.0,0.0,point_in_polygon
usa_NC_0033_0114,31.0,0.0,point_in_polygon
usa_NC_0033_0115,32.0,0.0,point_in_polygon
usa_NC_0033_0116,32.0,0.0,point_in_polygon
usa_NC_0033_0117,32.0,0.0,point_in_polygon
usa_NC_0033_0118,32.0,0.0,point_in_polygon
usa_NC_0033_0119,32.0,0.0,point_in_polygon
