Profile,XMHW,YMHW,MHW Lat,MHW Lon,MHW CI,MHW Lidar Error,MHW X Error,MHW Error,XCrest,YCrest,Crest Lat,Crest Lon,XHeel,YHeel,Heel Lat,Heel Lon,XToe,YToe,Toe Lat,Toe Lon,Foreshore Slope,Dune Volume,Beach Volume,Profile Volume,Orientation,Dune Height,Dune Width,Dune Aspect Ratio,Dune Face Slope,Beach Width,Beach Slope
37,114.73510363554492,0.6467,-75.63904259125952,35.98716369435157,0.010095734945435397,-0.0013398454701719629,-39.702604670319815,39.70260597651936,2.000098810127549,3.2758,-75.64042128442915,35.98663284644925,0.0,3.2406,-75.64044132894193,35.98662512853602,3.0001037799529278,3.2657,-75.6404112627255,35.98663670541988,0.008932303134479753,0.07440144509359925,362.7084266149493,371.9522355651877,339.92028259335024,0.010099999999999998,3.0001037799529278,0.003366550206526012,0.010099949805013133,111.734999855592,0.023439387867587015
38,9999.0,9999.0,9999.0,9999.0,,,,,65.00013116819564,7.563,-75.64026471448798,35.987690441960545,42.00006553623275,3.8599,-75.64049521759723,35.98760168847277,148.5098984172717,-1.3904,-75.63942778699365,35.98801268669176,9999.0,456.1794909373306,0.0,0.0,340.0431750758746,8.9534,106.50983288103895,0.08406172235759746,0.10721380618024724,9850.490101582729,-1.0152175472358667
39,124.66891668192416,0.3542,-75.6399025888392,35.98882718052593,0.01555151404141476,-0.005390027795291849,1.9247101798617336,1.9247805533234177,59.99997442681729,7.9142,-75.64078963469368,35.98848563772322,40.99992867429674,4.3436,-75.64098005191505,35.988412319335886,92.88075952556484,2.6765,-75.64046010433722,35.98861251836531,0.035933518635278994,186.48694892810522,31.96304657974821,480.28952645937227,340.13614386232797,5.2377,51.8808308512681,0.10095636315107273,0.1592936416898241,31.78815715635932,0.07305550896131192
40,123.67548466142408,0.37,-75.64039731356877,35.98963400573603,0.02188567522446184,-0.01651789762749497,-0.26311399158446136,0.26453883701560915,74.99995445148934,7.8021,-75.64111412430933,35.9893580079898,71.999939541933,7.0848,-75.6411441903307,35.989346430914814,92.88071367723722,3.349,-75.6409349223892,35.98942700715558,0.11011931751663313,49.43743193881528,44.642829733905955,459.92176319242986,340.2408117965402,4.4531,20.88077413530422,0.2132631659700255,0.2490442348548399,30.794770984186854,0.09673720260916113
41,135.59611024786693,0.3237,-75.64084226909108,35.990459993043366,0.004451834901266788,-0.0012149985739094559,10.846799140711695,10.846800122340206,69.0000593511555,7.43,-75.64164908360246,35.990149340455794,35.999992695228286,3.364,-75.64197981375432,35.9900219962774,94.86757489185887,2.0648,-75.64138983664034,35.99024916142278,0.008099990492729706,174.74380782511435,13.716447927651132,395.9302207226589,340.3547875440131,5.3652,58.86758219663058,0.09114014538730435,0.20741071911439216,40.72853535600807,0.042748897911035776
42,9999.0,9999.0,9999.0,9999.0,,,,,70.00002775726674,7.3647,-75.6421254508697,35.99094684394862,66.99987250885383,7.0472,-75.64215522281063,35.99093477156531,139.56955782580863,-1.3611,-75.64143505962453,35.991226755050874,9999.0,288.92860576720113,0.00034765610206477504,0.0,341.37537212117746,8.7258,72.5696853169548,0.12024028989362792,0.1254255992731745,9859.43044217419,-1.0142939958502035
43,9999.0,9999.0,9999.0,9999.0,,,,,68.99986975072576,7.9324,-75.64263047038693,35.99174929735443,62.99993303257513,3.6393,-75.64269001336764,35.991725157715976,142.54965784354505,-1.4536,-75.64190057439104,35.99204522559594,9999.0,339.7500600942256,0.0,0.0,341.4785321953392,9.386000000000001,79.54972481096992,0.1179890945229979,0.12761423579025052,9856.450342156455,-1.0146100525893829
44,120.69530634165599,0.6671,-75.64239567456471,35.99285170734457,0.00695518302221898,-0.0008243085870324612,-64.27703401211414,64.2770343936972,61.99999851124619,5.1701,-75.64319504211446,35.99252761211507,27.000004771981533,4.4721,-75.643542376412,35.99238678561851,118.70850947261404,0.6804,-75.6426322721677,35.9927557811784,0.005495390580216408,305.4673868371008,0.0010927382779755135,395.92547606686486,341.56906621015054,4.4897,91.7085047006325,0.04895620111412671,0.07917153746213804,1.986796869041953,0.006694192147792808
45,124.66893551011032,0.7505,-75.64284053412585,35.99367957639923,0.002737446054493117,0.0001906831954416929,328.27157379741834,328.27157380888747,43.000044509842645,4.9786,-75.64387263752327,35.993291728466914,37.00006033515885,3.527,-75.64393303556263,35.993269032036004,123.67544484897883,0.7591,-75.64306052906575,35.993596905540485,-0.0012712213029446194,357.8910002426388,0.0,463.98159988156067,340.3356197536235,4.2195,86.67538451381998,0.04868164154872853,0.05230218855143495,0.9934906611314887,0.008656347096615375
46,9999.0,9999.0,9999.0,9999.0,,,,,0.9999752247861026,2.9169,-75.64476091874174,35.99395089269736,0.0,2.9106,-75.64477098458912,35.993947109423154,144.5363724693594,-1.2809,-75.64331601760816,35.994493864617866,9999.0,728.4391289896098,0.0,0.0,340.457778641059,4.1978,144.5363724693594,0.029043208489889984,0.029245543852179326,9854.46362753064,-1.0147970785606217
47,9999.0,9999.0,9999.0,9999.0,,,,,83.94030157230237,6.9692,-75.6443915084781,35.99508268732048,79.96692192430186,6.35,-75.6444315074025,35.99506765798247,148.50988716544313,-1.4563,-75.64374151404954,35.99532694147874,9999.0,242.51426239382,0.0,0.0,340.5668204209478,8.4255,68.54296524114127,0.12292289909487013,0.13048713140409318,9850.490112834557,-1.0152242360986736
48,127.64895954519295,0.7897,-75.64430701818824,35.996107410085024,0.004021170995380204,0.000511789639824967,137.74868515081386,137.74868521045778,65.00007799136391,8.8049,-75.64504768258203,35.9958290836753,36.99997030331306,3.7452,-75.64532954521368,35.99572315686802,93.87408720717825,3.9968,-75.64475701731429,35.99593830750249,-0.0034119309321664465,177.21454768645077,47.51717639655726,478.75035701409,340.6668515919905,4.8081,56.874116903865186,0.08453933461731235,0.16651999949375218,33.7748723380147,0.09495520717010397
49,9999.0,9999.0,9999.0,9999.0,,,,,60.999996298108286,6.0383,-75.64555346272614,35.996631985492954,0.0,6.0162,-75.64616752914142,35.99640122666198,148.50988716544313,-1.5265,-75.64467252744588,35.99696303008313,9999.0,817.922375182176,0.0,0.0,340.78994380409085,7.5648,148.50988716544313,0.050938022675706796,0.08644508552145552,9850.490112834557,-1.0152313626476266
50,132.61591914954653,0.5738,-75.64517805125668,35.997766040487434,0.019347291911481174,-0.0013158675574889002,-34.49389800208962,34.493903453041874,77.98020848617665,7.6409,-75.64584805824629,35.99751426169684,44.99999495616176,4.5079,-75.64618006244997,35.997389499233485,93.87408720716513,3.8243,-75.64568805836264,35.99757438797319,0.008772450383259335,123.18998536890717,62.59394545898209,485.8522338731255,340.88954654730736,3.8166,48.874092251003376,0.07809045292133576,0.24013018263188532,38.741831942381395,0.08390155645799845
51,9999.0,9999.0,9999.0,9999.0,,,,,71.99985585052391,7.6339,-75.64637379763035,35.998309671463964,27.00008597359121,3.2185,-75.64682680335297,35.99813943806471,148.50979787063488,-1.3246,-75.64560358307918,35.99859910975783,9999.0,580.7347584124758,0.0,0.0,341.0098623286782,8.958499999999999,121.50971189704367,0.0737266170756015,0.11708935810780276,9850.490202129366,-1.0152108570026541
52,9999.0,9999.0,9999.0,9999.0,,,,,65.99991742794928,7.0663,-75.6468997466577,35.999105010244016,49.999913875936755,5.1253,-75.64706081635995,35.999044479776124,143.54297036694558,-1.3366,-75.6461191221037,35.999398353014705,9999.0,481.7637552424062,0.010629394614397825,0.0,341.1169302361724,8.4029,93.54305649100883,0.08982922212732776,0.10836431738908481,9855.457029633055,-1.0147004415859484
53,9999.0,9999.0,9999.0,9999.0,,,,,61.99993148010372,8.2525,-75.64740455078378,35.99991440532567,38.00004637797469,4.9767,-75.64764693682974,35.999824993930794,148.50970618818434,-1.4228,-75.64653085093413,36.00023670575679,9999.0,631.0886616804953,0.00019872492055128532,0.0,340.9055337677595,9.6753,110.50965981020966,0.0875516223343412,0.11184054094058644,9850.490293811816,-1.0152208166006085
54,9999.0,9999.0,9999.0,9999.0,,,,,70.00014554588329,7.3004,-75.64778224845556,36.00076487502922,52.000164929148006,4.4879,-75.64796403995763,36.00069781509578,138.57630767238106,-0.9545,-75.64708966224178,36.00102036431031,9999.0,395.53544265015836,0.0,0.0,341.01256510525496,8.2549,86.57614274323305,0.0953484382468081,0.12037564868055385,9860.423692327618,-1.014150589470202
55,9999.0,9999.0,9999.0,9999.0,,,,,56.00011660320488,7.6512,-75.6483821451987,36.00153337582115,32.00000956018921,3.8469,-75.64862453521303,36.001443958040056,148.5097957967339,-1.6741,-75.64744783400901,36.001878034951744,9999.0,643.0311642725493,0.0030799584816350034,0.0,341.13194351975756,9.3253,116.50978623654468,0.0800387701430269,0.10080350598223993,9850.490204203266,-1.0152463372566625
56,9999.0,9999.0,9999.0,9999.0,,,,,86.92054420846767,4.7356,-75.64852837274731,36.002469235176015,83.940425834848,4.9312,-75.64855847159932,36.002458133274445,145.52976703150009,-1.6454,-75.64793643745524,36.002687594790764,9999.0,225.62503767032575,0.020213920612036418,0.0,341.2416593440405,6.381,61.589341196652086,0.10360558947409008,0.10887364978831246,9853.4702329685,-1.0149363791184012
57,9999.0,9999.0,9999.0,9999.0,,,,,62.99995268982089,4.616,-75.64922848478896,36.003200769037186,26.00019468308977,2.995,-75.64960217265157,36.003062917793336,148.50979579662956,-1.7738,-75.64836485551038,36.003519356228225,9999.0,524.473272679083,0.0,0.0,341.35880386894553,6.389799999999999,122.50960111353979,0.05215754473053947,0.07472590017524211,9850.49020420337,-1.015256458580356
58,122.68218164231597,0.8089,-75.6489939411921,36.00427709535332,0.0005825344171626682,0.00010694290393514628,683.000433625462,683.0004336257189,32.00000956018921,7.1742,-75.6500001094187,36.00390592413225,3.0000192416412212,2.9151,-75.65029300322804,36.00379787593632,32.99994116115474,7.1702,-75.6499900105661,36.00390965013208,-0.0007129526929009752,42.56256573693577,402.93225652033095,516.5740571137658,341.45852494318194,0.0039999999999995595,29.999921919513515,0.00013333368035860622,0.004000273614852453,89.68224048116123,0.07093154637830734
59,113.74151580334923,0.5938,-75.64961300269803,36.00503853616267,0.006958415396877938,-0.0007802132228252728,-56.81817173190011,56.818172163349026,52.99996253365896,6.2453,-75.65024655693142,36.004804820714,45.000106901677896,4.6272,-75.6503273529997,36.00477501175362,106.78810083244504,1.1041,-75.64970330077362,36.00500522423287,0.005201421485501819,201.00562076334433,1.2290644715531016,454.0042074126161,341.5660982061014,5.1412,61.78799393076714,0.08320710340200826,0.09558241208203389,6.953414970904191,0.07338840010775927
