year,domain,section,setback_new_straight_m,setback_new_raw_m,setback_legacy_m,component_frame_m,component_reference_m,total_change_m,island_width_m,total_change_frac_width,elev_new_mhw,elev_legacy_mhw,flags
2004,11,Buxton-Avon,20.0,10.0,81.0,10.0,-71.0,-61.0,1235.0,0.04939271255060729,1.499,1.565,
2004,12,Buxton-Avon,30.0,10.0,89.0,20.0,-79.0,-59.0,1205.0,0.04896265560165975,1.24,1.374,
2004,13,Buxton-Avon,50.0,40.0,87.0,10.0,-47.0,-37.0,1160.0,0.03189655172413793,1.198,1.299,
2004,14,Buxton-Avon,65.0,50.0,93.0,15.0,-43.0,-28.0,215.0,0.13023255813953488,1.166,1.319,
2004,15,Buxton-Avon,50.0,50.0,71.0,0.0,-21.0,-21.0,190.0,0.11052631578947368,1.521,1.577,
2004,16,Buxton-Avon,60.0,60.0,63.0,0.0,-3.0,-3.0,530.0,0.005660377358490566,0.889,1.011,
2004,17,Buxton-Avon,90.0,90.0,128.0,0.0,-38.0,-38.0,630.0,0.06031746031746032,0.774,0.879,
2004,18,Buxton-Avon,120.0,120.0,148.0,0.0,-28.0,-28.0,755.0,0.03708609271523179,0.82,0.903,
2004,19,Buxton-Avon,130.0,130.0,139.0,0.0,-9.0,-9.0,825.0,0.01090909090909091,0.82,0.94,
2004,20,Buxton-Avon,80.0,80.0,100.0,0.0,-20.0,-20.0,915.0,0.02185792349726776,0.955,0.98,
2004,21,Avon,125.0,120.0,168.0,5.0,-48.0,-43.0,1050.0,0.040952380952380955,0.788,0.893,SCATTER_SETBACK(50m)
2004,22,Avon,190.0,180.0,230.0,10.0,-50.0,-40.0,1190.0,0.03361344537815126,0.58,0.664,
2004,23,Avon,190.0,180.0,236.0,10.0,-56.0,-46.0,1190.0,0.03865546218487395,0.651,0.741,
2004,24,Avon,170.0,170.0,224.0,0.0,-54.0,-54.0,1200.0,0.045,0.618,0.681,
2004,25,Avon,160.0,160.0,221.0,0.0,-61.0,-61.0,1270.0,0.048031496062992125,0.64,0.687,
2004,26,Avon,205.0,190.0,269.0,15.0,-79.0,-64.0,1345.0,0.04758364312267658,0.563,0.61,SCATTER_SETBACK(50m)
2004,27,Avon,260.0,230.0,310.0,30.0,-80.0,-50.0,1540.0,0.032467532467532464,0.654,0.697,SCATTER_SETBACK(70m)
2004,28,Avon,270.0,270.0,320.0,0.0,-50.0,-50.0,1600.0,0.03125,0.51,0.551,
2004,29,Avon,260.0,260.0,341.0,0.0,-81.0,-81.0,1380.0,0.058695652173913045,0.361,0.399,
2004,30,Avon,270.0,250.0,332.0,20.0,-82.0,-62.0,1290.0,0.04806201550387597,0.368,0.424,
2004,31,Avon,230.0,230.0,312.0,0.0,-82.0,-82.0,1135.0,0.0722466960352423,0.41,0.464,
2004,32,Avon-Tri-Village / Wimble Shoals,210.0,210.0,306.0,0.0,-96.0,-96.0,1260.0,0.0761904761904762,0.396,0.447,
2004,33,Avon-Tri-Village / Wimble Shoals,250.0,205.0,367.0,45.0,-162.0,-117.0,1365.0,0.08571428571428572,0.383,0.425,SCATTER_SETBACK(60m)
2004,34,Avon-Tri-Village / Wimble Shoals,320.0,340.0,395.0,-20.0,-55.0,-75.0,1155.0,0.06493506493506493,0.333,0.41,
2004,35,Avon-Tri-Village / Wimble Shoals,320.0,340.0,406.0,-20.0,-66.0,-86.0,1175.0,0.07319148936170213,0.331,0.403,
2004,36,Avon-Tri-Village / Wimble Shoals,330.0,340.0,392.0,-10.0,-52.0,-62.0,1090.0,0.05688073394495413,0.339,0.407,
