domain_number,target_coastsat_w00_m,target_duneline_w00_m,target_coastsat_w03_m,target_duneline_w03_m,target_coastsat_w05_m,target_duneline_w05_m,target_coastsat_w10_m,target_duneline_w10_m,model_ends_solved_on_coastsat_w00_m,model_ends_solved_on_coastsat_w03_m,model_ends_solved_on_coastsat_w05_m,model_ends_solved_on_coastsat_w10_m,model_ends_solved_on_duneline_w00_m,model_ends_solved_on_duneline_w03_m,model_ends_solved_on_duneline_w05_m,model_ends_solved_on_duneline_w10_m,model_ends_unsolved_w00_m,model_ends_unsolved_w03_m,model_ends_unsolved_w05_m,model_ends_unsolved_w10_m
13,7.896,19.046,9.204,19.865,10.494,19.719,11.741,14.379,11.128,11.128,11.128,7.839,9.361,9.361,9.361,5.253,7.246,7.246,7.246,2.317
14,14.797,18.18,14.079,18.249,13.329,17.75,13.143,16.206,7.643,7.643,7.643,6.35,6.361,6.361,6.361,4.584,4.825,4.825,4.735,2.617
15,17.532,19.456,16.451,13.807,15.517,13.196,14.963,17.189,2.487,2.487,4.713,4.257,1.565,1.565,3.747,3.097,0.466,0.466,2.525,1.796
16,14.467,-0.961,15.772,6.398,16.82,12.688,17.168,18.26,1.782,1.782,1.782,2.013,1.132,1.132,1.132,1.158,0.355,0.355,0.204,0.187
17,18.306,21.978,18.395,15.921,18.974,15.888,18.025,19.391,-1.629,-1.629,-1.628,0.339,-2.084,-2.084,-2.084,-0.279,-2.641,-2.641,-2.436,-0.98
18,23.489,21.179,22.968,24.462,22.006,24.11,16.166,18.693,-3.669,-3.669,-1.742,-0.813,-3.983,-3.983,-2.076,-1.252,-4.331,-4.331,-2.734,-1.746
19,25.668,32.776,23.717,30.549,20.541,27.407,12.302,15.17,-1.854,-1.854,-1.854,-1.599,-2.068,-2.068,-2.068,-1.918,-2.327,-2.327,-2.327,-2.263
20,16.761,28.777,15.13,26.15,13.011,21.222,6.842,8.631,1.486,1.486,-2.688,-2.078,1.341,1.341,-2.844,-2.316,1.173,1.173,-3.027,-2.549
21,-0.603,7.221,0.333,5.039,0.932,3.555,-0.978,-0.94,-3.522,-3.522,-3.522,-2.285,-3.619,-3.619,-3.619,-2.463,-3.728,-3.728,-3.728,-2.616
22,-11.798,-24.267,-12.434,-21.478,-12.363,-19.088,-10.598,-10.619,-2.643,-2.643,-2.833,-2.446,-2.707,-2.707,-2.9,-2.575,-2.778,-2.778,-2.976,-2.671
23,-26.084,-44.47,-24.252,-38.37,-23.031,-33.807,-15.047,-16.951,-2.432,-2.432,-2.752,-2.651,-2.474,-2.474,-2.8,-2.738,-2.521,-2.521,-2.844,-2.797
24,-31.818,-39.1,-31.242,-41.382,-29.51,-38.391,-13.597,-19.173,-3.315,-3.315,-3.123,-2.866,-3.343,-3.343,-3.152,-2.92,-3.373,-3.373,-3.183,-2.956
25,-34.677,-42.561,-29.033,-35.461,-25.53,-30.839,-11.049,-17.086,-3.488,-3.488,-3.298,-3.254,-3.505,-3.505,-3.505,-3.3,-3.525,-3.525,-3.055,-3.318
26,-21.655,-12.703,-19.09,-16.573,-15.358,-15.403,-6.269,-9.908,-1.258,-1.258,-3.031,-3.924,-1.269,-1.269,-3.147,-3.974,-1.282,-1.282,-2.794,-3.977
27,0.095,1.961,1.279,5.567,1.406,5.152,2.127,0.589,-2.782,-2.782,-3.074,-5.022,-2.789,-2.789,-2.789,-5.084,-2.797,-2.797,-3.52,-5.075
28,26.632,33.047,23.969,25.682,21.214,21.255,10.852,10.747,-7.68,-7.68,-7.68,-6.449,-7.684,-7.684,-7.684,-6.506,-7.689,-7.689,-7.689,-6.493
29,40.896,37.4,39.13,33.06,35.489,28.262,16.896,19.181,-5.14,-5.14,-9.73,-8.207,-5.142,-5.142,-9.733,-8.249,-5.145,-5.145,-9.737,-8.238
30,44.423,21.304,42.549,27.031,39.811,28.568,21.79,24.807,-11.781,-11.781,-11.781,-10.342,-11.782,-11.782,-11.782,-10.375,-11.784,-11.784,-11.784,-10.365
31,36.327,25.182,35.223,28.592,34.072,28.668,26.333,26.568,-12.644,-12.644,-12.727,-12.762,-12.645,-12.645,-12.725,-12.784,-12.646,-12.646,-12.731,-12.777
32,20.725,36.962,23.208,34.339,25.564,29.674,26.323,24.642,-13.815,-13.815,-14.404,-15.352,-13.816,-13.816,-14.435,-15.362,-13.816,-13.816,-14.393,-15.358
33,18.949,30.226,19.69,28.228,19.96,25.616,21.107,21.121,-16.923,-16.923,-17.249,-18.06,-16.924,-16.924,-16.924,-18.063,-16.924,-16.924,-17.407,-18.062
34,25.42,13.236,18.347,14.916,15.212,17.254,15.268,17.385,-22.229,-22.229,-20.71,-20.664,-22.229,-22.229,-20.514,-20.672,-22.23,-22.23,-20.897,-20.668
35,8.398,8.11,10.268,9.594,9.354,10.277,10.574,13.231,-24.104,-24.104,-24.147,-22.991,-24.104,-24.104,-24.104,-23.002,-24.105,-24.105,-24.171,-22.996
36,0.083,7.704,1.497,6.633,2.901,6.451,7.115,8.745,-26.303,-26.303,-26.216,-24.598,-26.303,-26.303,-26.227,-24.58,-26.303,-26.303,-26.212,-24.587
37,-1.689,2.146,0.309,3.295,0.677,4.757,4.478,4.823,-28.154,-28.154,-27.322,-25.157,-28.154,-28.154,-27.23,-25.103,-28.154,-28.154,-27.362,-25.127
38,1.803,6.744,1.898,4.46,1.456,2.699,3.166,2.382,-27.567,-27.567,-27.265,-24.709,-27.567,-27.567,-27.304,-24.65,-27.567,-27.567,-27.251,-24.677
39,2.867,-0.771,3.015,-0.204,3.296,-0.684,3.325,1.074,-25.769,-25.769,-25.235,-23.463,-25.769,-25.769,-25.215,-23.43,-25.769,-25.769,-25.245,-23.445
40,4.678,-9.945,5.148,-5.742,5.105,-2.243,3.957,0.018,-22.227,-22.227,-22.085,-21.521,-22.227,-22.227,-22.09,-21.517,-22.227,-22.227,-22.083,-21.519
41,8.554,1.721,6.905,0.649,5.948,-0.611,4.085,-0.956,-18.161,-18.161,-18.488,-19.002,-18.161,-18.161,-18.489,-19.0,-18.161,-18.161,-18.488,-19.001
42,5.497,5.038,5.455,2.932,5.152,0.512,3.047,-1.923,-15.232,-15.232,-15.624,-16.267,-15.232,-15.232,-15.629,-16.263,-15.232,-15.232,-15.621,-16.265
43,2.661,-7.547,2.692,-2.589,2.676,-0.884,0.692,-3.017,-13.638,-13.638,-13.45,-13.642,-13.638,-13.638,-13.452,-13.641,-13.638,-13.638,-13.449,-13.642
44,0.854,-1.6,-0.463,-2.186,-1.498,-3.407,-2.361,-4.497,-11.373,-11.373,-11.155,-11.292,-11.373,-11.373,-11.159,-11.292,-11.373,-11.373,-11.154,-11.292
45,-7.053,-2.991,-7.102,-5.211,-7.103,-6.437,-4.996,-5.673,-8.331,-8.331,-8.785,-9.149,-8.331,-8.331,-8.797,-9.15,-8.331,-8.331,-8.779,-9.15
46,-15.31,-13.145,-13.796,-12.53,-11.409,-10.725,-6.777,-5.651,-6.796,-6.796,-6.938,-7.064,-6.796,-6.796,-6.93,-7.064,-6.796,-6.796,-6.941,-7.064
47,-14.395,-17.211,-12.905,-13.225,-11.385,-9.529,-8.048,-4.7,-5.798,-5.798,-5.216,-4.995,-5.798,-5.798,-5.186,-4.995,-5.798,-5.798,-5.229,-4.995
48,-5.612,1.237,-7.025,-1.737,-8.317,-3.558,-8.868,-3.781,-2.944,-2.944,-3.114,-3.03,-2.944,-2.944,-3.108,-3.03,-2.944,-2.944,-3.117,-3.03
49,-4.097,4.187,-5.081,4.049,-6.525,1.939,-9.079,-3.296,-0.715,-0.715,-0.837,-1.246,-0.715,-0.715,-0.837,-1.246,-0.715,-0.715,-0.837,-1.246
50,-8.279,2.463,-7.678,2.524,-7.502,2.165,-9.128,-3.631,1.089,1.089,1.115,0.348,1.089,1.089,1.114,0.346,1.089,1.089,1.116,0.346
51,-9.282,3.209,-9.893,-0.673,-9.922,-2.734,-9.549,-5.626,2.992,2.992,2.363,1.645,2.992,2.992,2.326,1.642,2.992,2.992,2.379,1.643
52,-12.544,-13.211,-12.107,-10.362,-11.83,-9.605,-10.014,-8.794,2.899,2.899,3.248,2.579,2.899,2.899,3.22,2.576,2.899,2.899,3.26,2.577
53,-13.814,-16.707,-13.325,-17.458,-12.326,-16.455,-9.747,-11.033,4.159,4.159,3.47,3.166,4.159,4.159,3.428,3.164,4.159,4.159,3.488,3.165
54,-11.94,-20.875,-11.132,-20.147,-10.512,-18.579,-8.505,-11.261,3.223,3.223,3.669,3.455,3.223,3.223,3.655,3.454,3.223,3.223,3.674,3.454
55,-6.285,-22.457,-6.676,-16.198,-6.918,-14.08,-6.353,-9.782,3.889,3.889,3.624,3.473,3.889,3.889,3.625,3.474,3.889,3.889,3.623,3.473
56,-2.875,-3.363,-2.924,-4.531,-3.091,-5.976,-3.863,-7.135,3.617,3.617,3.669,3.228,3.617,3.617,3.668,3.228,3.617,3.617,3.669,3.227
57,-0.06,7.688,0.242,2.492,0.298,0.698,-2.361,-4.298,3.529,3.529,3.324,2.642,3.529,3.529,3.323,2.64,3.528,3.528,3.324,2.64
58,4.395,0.724,3.355,2.7,1.962,2.694,-2.728,-2.772,2.732,2.732,2.598,1.663,2.732,2.732,2.599,1.66,2.731,2.731,2.597,1.66
59,3.458,4.394,1.634,1.67,-0.85,0.375,-4.73,-3.687,1.459,1.459,1.136,0.207,1.459,1.459,1.131,0.207,1.458,1.458,1.137,0.206
60,-7.862,-3.549,-7.575,-4.267,-7.737,-5.353,-6.807,-6.284,-0.912,-0.912,-0.889,-1.624,-0.913,-0.913,-0.89,-1.622,-0.914,-0.914,-0.891,-1.625
61,-18.182,-15.554,-17.106,-14.337,-14.7,-13.024,-7.858,-8.356,-3.199,-3.199,-3.666,-3.621,-3.2,-3.2,-3.599,-3.621,-3.202,-3.202,-3.689,-3.625
62,-21.638,-21.632,-18.659,-20.045,-15.538,-17.133,-7.801,-8.567,-7.267,-7.267,-6.342,-5.644,-7.269,-7.269,-6.22,-5.649,-7.272,-7.272,-6.399,-5.654
63,-11.428,-16.269,-11.658,-15.64,-11.001,-13.804,-5.575,-6.311,-8.672,-8.672,-8.466,-7.718,-8.674,-8.674,-8.506,-7.728,-8.68,-8.68,-8.461,-7.734
64,-2.249,-5.191,-2.401,-4.645,-1.735,-4.556,0.108,-1.18,-9.232,-9.232,-9.332,-10.055,-9.235,-9.235,-9.331,-10.08,-9.245,-9.245,-9.348,-10.088
65,6.688,6.639,9.613,8.199,10.772,7.669,7.448,5.369,-10.167,-10.167,-10.774,-12.768,-10.172,-10.172,-10.783,-12.807,-10.188,-10.188,-10.793,-12.822
66,29.986,21.251,27.293,21.741,22.525,18.897,12.499,11.226,-13.155,-13.155,-13.85,-15.892,-13.163,-13.163,-13.893,-15.932,-13.188,-13.188,-13.87,-15.962
67,38.795,30.192,35.846,28.39,29.687,24.361,15.876,15.282,-18.374,-18.374,-18.43,-19.46,-18.386,-18.386,-18.439,-19.492,-18.426,-18.426,-18.486,-19.545
68,31.682,24.254,31.148,22.489,30.154,22.263,18.333,17.354,-23.808,-23.808,-23.83,-23.375,-23.827,-23.827,-23.827,-23.401,-23.888,-23.888,-23.978,-23.484
69,21.408,13.547,21.373,15.949,21.852,17.415,19.522,17.803,-29.762,-29.762,-27.982,-27.3,-29.791,-29.791,-27.965,-27.332,-29.885,-29.885,-28.338,-27.461
70,11.79,16.31,13.233,13.909,15.025,13.448,17.499,16.997,-32.059,-32.059,-32.117,-30.828,-32.103,-32.103,-32.103,-30.87,-32.244,-32.244,-32.467,-31.063
71,9.624,6.339,10.942,10.81,12.417,14.297,13.966,14.952,-35.715,-35.715,-34.753,-33.822,-35.78,-35.78,-34.684,-33.892,-35.989,-35.989,-35.109,-34.163
72,14.256,20.854,13.496,18.643,12.689,17.748,9.31,11.041,-36.703,-36.703,-36.791,-36.246,-36.797,-36.797,-36.869,-36.361,-37.104,-37.104,-37.213,-36.741
73,14.788,29.379,13.234,22.131,10.037,15.975,3.7,5.861,-38.064,-38.064,-38.218,-38.029,-38.202,-38.202,-38.36,-38.195,-38.646,-38.646,-38.82,-38.743
74,5.457,10.054,3.481,7.763,1.441,5.321,-2.285,0.042,-39.96,-39.96,-39.905,-39.194,-40.155,-40.155,-40.106,-39.423,-40.794,-40.794,-40.766,-40.22
75,-13.12,-16.602,-12.037,-12.678,-10.621,-9.223,-8.363,-6.245,-41.658,-41.658,-41.341,-39.834,-41.933,-41.933,-41.682,-40.153,-42.845,-42.845,-42.533,-41.271
76,-27.362,-21.035,-21.494,-21.304,-19.591,-19.269,-14.668,-12.798,-42.052,-42.052,-41.066,-39.842,-42.434,-42.434,-41.337,-40.28,-43.731,-43.731,-42.921,-41.829
77,-24.27,-22.159,-24.761,-24.077,-24.363,-23.58,-20.535,-17.466,-39.646,-39.646,-40.156,-38.762,-40.172,-40.172,-40.622,-39.352,-42.023,-42.023,-42.688,-41.538
78,-27.102,-31.49,-24.094,-25.241,-25.095,-22.929,-24.347,-18.384,-39.246,-39.246,-38.949,-36.44,-39.961,-39.961,-39.946,-37.244,-42.657,-42.657,-42.135,-40.234
79,-22.681,-15.634,-25.139,-20.013,-25.828,-20.01,-25.862,-16.596,-36.964,-36.964,-35.505,-33.066,-37.927,-37.927,-36.293,-34.15,-41.281,-41.281,-40.366,-38.052
80,-35.225,-16.48,-27.189,-14.28,-25.257,-12.65,-26.087,-14.008,-31.33,-31.33,-31.225,-28.791,-32.61,-32.61,-32.606,-30.227,-37.145,-37.145,-36.946,-35.186
81,-26.358,2.125,-24.523,-2.249,-24.63,-7.494,-25.819,-11.537,-24.989,-24.989,-24.779,-23.623,-26.674,-26.674,-26.495,-25.506,-32.231,-32.231,-32.184,-31.698
82,-20.849,-1.127,-23.42,-6.098,-24.296,-8.465,-24.656,-8.332,-17.918,-17.918,-18.098,-17.341,-20.111,-20.111,-20.216,-19.767,-27.149,-27.149,-27.577,-27.487
83,-29.763,-35.239,-26.591,-23.878,-24.079,-10.119,-22.043,-4.825,-11.833,-11.833,-10.523,-10.237,-14.658,-14.658,-13.253,-13.328,-23.628,-23.628,-22.819,-22.995
84,-22.218,-22.002,-22.474,-15.412,-21.43,-8.283,-18.069,-1.947,-2.598,-2.598,-2.695,-3.071,-6.2,-6.2,-6.254,-7.015,-17.591,-17.591,-17.839,-19.501
85,-14.539,4.328,-14.336,1.299,-14.622,-0.164,-12.865,0.483,6.03,6.03,5.077,3.713,1.479,1.479,0.219,-1.345,-12.846,-12.846,-14.216,-17.724
86,-7.611,9.137,-7.548,6.81,-7.132,5.811,-6.211,4.137,12.023,12.023,12.008,9.998,6.322,6.322,6.287,3.681,-11.534,-11.534,-11.694,-16.419
87,0.445,4.215,1.302,7.981,1.82,9.103,0.774,8.351,17.947,17.947,17.205,15.369,10.87,10.87,9.903,7.634,-11.173,-11.173,-12.384,-15.932
88,14.057,14.913,11.636,12.271,9.652,12.602,7.655,12.32,21.644,21.644,21.553,20.697,12.941,12.941,12.81,11.556,-14.046,-14.046,-14.411,-15.456
89,16.552,18.822,16.175,17.179,14.464,16.163,14.587,16.156,24.985,24.985,25.329,25.909,14.39,14.39,14.637,15.343,-18.498,-18.498,-18.772,-15.158
90,16.719,15.834,16.687,19.296,18.487,19.268,21.485,19.897,29.323,29.323,29.153,30.983,16.608,16.608,16.499,18.964,-23.545,-23.545,-23.355,-15.087
