domain_number,window_domains,window_km,total_change_m,observed_m,observed_minus_total_m
66,10,5.0,-12.342,-14.606,-2.264
67,10,5.0,-7.494,-6.703,0.79
68,10,5.0,-4.265,0.405,4.669
69,10,5.0,-1.014,6.671,7.685
70,10,5.0,1.495,10.663,9.168
71,10,5.0,-0.25,9.508,9.757
72,10,5.0,-3.598,3.167,6.766
73,10,5.0,-8.617,-7.024,1.593
74,10,5.0,-15.075,-18.787,-3.712
75,10,5.0,-20.343,-28.961,-8.618
76,10,5.0,-24.787,-38.469,-13.682
77,10,5.0,-30.175,-48.211,-18.035
78,10,5.0,-34.373,-54.177,-19.804
79,10,5.0,-35.061,-54.243,-19.182
80,10,5.0,-34.264,-51.153,-16.889
81,10,5.0,-34.038,-48.383,-14.345
82,10,5.0,-34.738,-46.478,-11.74
83,10,5.0,-35.51,-43.769,-8.259
84,10,5.0,-35.294,-40.026,-4.732
85,10,5.0,-33.821,-36.203,-2.382
86,10,5.0,-29.615,-29.984,-0.369
87,10,5.0,-23.18,-21.395,1.785
88,10,5.0,-16.582,-12.712,3.87
89,10,5.0,-9.7,-3.737,5.963
90,10,5.0,-2.575,5.533,8.108
