domain,rows,cols,nodata_before,nodata_after,filled,cand_2008_coverage,dropped_connectivity,dropped_elev_floor,cand_below_mhw,bias_applied_m,bias_ring_m,bias_ring_cells,bias_overlap_m,bias_overlap_cells,seam_n,ctrl_n,seam_median_signed_m,seam_median_abs_m,seam_p90_abs_m,ctrl_median_abs_m,ctrl_p90_abs_m,seam_over_ctrl,fill_cells_in_window,snap_x_m,snap_y_m,trim_x_m,trim_y_m
44,500,2000,647619,133604,514015,941421,3395,0,514015,0.0,0.6004,20067,0.0697,633363,2349,2533658,-0.6205,0.6205,0.9917,0.0325,0.1458,19.09,1574784,0.0,0.4449,0.0,0.0
45,500,2000,662270,290814,371456,736499,6180,0,371456,0.0,0.756,17650,0.0056,603133,2098,2417966,-0.7388,0.7388,1.0347,0.0283,0.1307,26.113,1339632,0.0,0.0434,0.0,0.0
46,500,2000,684957,305996,378961,735611,74186,0,378961,0.0,0.7061,10664,-0.0087,552004,1353,2228998,-0.7878,0.7878,0.9851,0.0306,0.1382,25.785,1287615,0.4534,0.4452,0.0,0.0
47,500,2000,740585,406277,334308,783012,141433,0,334308,0.0,0.672,13536,0.0423,459373,1549,1859162,-0.7941,0.7941,0.985,0.034,0.1548,23.365,1242385,0.4534,0.0,0.0,0.0
48,500,2000,805731,404049,401682,683702,17661,0,401664,0.0,0.5601,13424,0.0306,358484,1405,1472020,-0.6358,0.6358,0.9287,0.0377,0.1695,16.859,1042186,0.3818,0.1229,0.0,0.0
49,500,2000,813929,494789,319140,586313,3546,0,319140,0.0,0.4818,9000,-0.018,307068,1076,1313858,-0.6156,0.6156,0.7904,0.037,0.1662,16.643,893381,0.2038,0.3756,0.0,0.0
50,500,2000,826625,660598,166027,406494,84266,0,166027,0.0,0.5295,9572,-0.0364,299492,1093,1266198,-0.6747,0.6747,0.809,0.0325,0.1602,20.772,705986,0.2038,0.4426,0.0,0.0
51,500,2000,822825,728170,94655,301034,104604,0,94655,0.0,0.4524,13357,-0.0279,311985,1599,1266238,-0.6092,0.6092,0.7949,0.0312,0.154,19.527,613019,0.2038,0.317,0.0,0.0
52,500,2000,821077,692818,128259,224369,10892,0,128259,0.0,0.4862,13849,-0.0249,315879,1644,1274716,-0.5526,0.5526,0.7708,0.0284,0.1369,19.46,540248,0.4503,0.2381,0.0,0.0
53,500,2000,806095,744158,61937,293031,180997,0,61937,0.0,0.557,14616,-0.0415,347325,1644,1399398,-0.623,0.623,0.846,0.0294,0.1362,21.219,640356,0.1209,0.0829,0.0,0.0
