domain_number,n_transects,mean_change_m,std_change_m,min_change_m,max_change_m,mean_rate_m_yr,std_rate_m_yr,pct_landward
43,5,-3.602,7.275,-9.687,8.407,-0.14,0.283,80.0
44,5,-3.203,4.723,-9.051,3.323,-0.125,0.184,80.0
45,5,-4.505,1.572,-6.076,-2.137,-0.175,0.061,100.0
46,5,-10.683,6.137,-18.443,-3.115,-0.415,0.239,100.0
47,5,-24.957,1.37,-27.102,-23.531,-0.97,0.053,100.0
48,5,-17.797,6.903,-27.333,-8.886,-0.692,0.268,100.0
49,5,-6.797,2.583,-10.171,-3.746,-0.264,0.1,100.0
50,5,-19.884,13.268,-36.027,-4.458,-0.773,0.516,100.0
51,5,-30.351,6.884,-35.759,-19.394,-1.18,0.268,100.0
52,5,-38.706,5.81,-44.148,-29.767,-1.505,0.226,100.0
53,5,-38.237,2.745,-42.585,-35.08,-1.487,0.107,100.0
54,5,-24.811,5.149,-31.689,-18.041,-0.965,0.2,100.0
55,5,-34.057,11.17,-47.813,-20.342,-1.324,0.434,100.0
56,5,-9.01,8.038,-15.416,4.271,-0.35,0.313,80.0
57,5,1.546,14.147,-9.944,24.696,0.06,0.55,40.0
58,5,-9.718,3.33,-12.922,-5.268,-0.378,0.129,100.0
59,5,-5.469,3.985,-10.956,-0.111,-0.213,0.155,100.0
60,5,-5.285,3.711,-10.335,-1.945,-0.206,0.144,100.0
61,5,-4.503,4.151,-8.741,0.613,-0.175,0.161,80.0
62,5,-13.112,9.896,-24.469,2.339,-0.51,0.385,80.0
63,5,-29.226,4.504,-35.387,-24.655,-1.136,0.175,100.0
64,5,-10.688,10.16,-23.924,2.094,-0.416,0.395,80.0
65,5,2.58,7.629,-2.944,15.52,0.1,0.297,60.0
66,5,16.435,20.37,-12.626,39.044,0.639,0.792,20.0
67,5,24.45,5.643,17.613,30.559,0.951,0.219,0.0
68,5,27.165,2.604,24.3,30.122,1.056,0.101,0.0
69,5,24.315,4.089,18.562,28.755,0.946,0.159,0.0
70,5,12.19,3.7,7.502,16.246,0.474,0.144,0.0
71,5,2.578,1.979,0.061,5.162,0.1,0.077,0.0
72,5,17.783,8.128,6.651,26.29,0.692,0.316,0.0
73,5,36.96,9.995,20.898,47.346,1.437,0.389,0.0
74,5,25.999,10.275,15.872,40.651,1.011,0.4,0.0
75,5,-2.65,13.043,-19.211,14.579,-0.103,0.507,60.0
76,5,-43.965,18.441,-66.17,-20.87,-1.71,0.717,100.0
77,5,-79.613,2.921,-82.235,-75.857,-3.096,0.114,100.0
78,5,-90.43,11.384,-97.911,-70.729,-3.516,0.443,100.0
79,5,-39.467,24.439,-70.46,-12.612,-1.535,0.95,100.0
80,5,-45.377,5.873,-51.799,-37.317,-1.764,0.228,100.0
81,5,-59.145,4.521,-64.337,-55.375,-2.3,0.176,100.0
82,5,-48.591,9.034,-58.594,-38.224,-1.889,0.351,100.0
83,5,-70.302,16.663,-97.915,-57.856,-2.734,0.648,100.0
84,5,-79.329,20.404,-105.567,-55.98,-3.085,0.793,100.0
85,5,-48.922,5.238,-52.796,-39.701,-1.902,0.204,100.0
86,5,-44.43,3.479,-47.275,-40.617,-1.728,0.135,100.0
87,5,-42.403,8.547,-51.004,-30.792,-1.649,0.332,100.0
88,5,-19.536,1.8,-22.036,-17.093,-0.76,0.07,100.0
89,5,-4.577,9.646,-15.567,6.47,-0.178,0.375,60.0
90,5,2.857,4.618,-1.129,9.178,0.111,0.18,40.0
