calendar_year,StartTime,EndTime,Rhigh,Rlow,period,duration,time
2002,2002-10-14 18:00:00,2002-10-16 23:00:00,0.17996762612036626,0.13427598058531043,9.9453125,26,19
2003,2003-01-02 11:00:00,2003-01-04 14:00:00,0.15582432363850626,0.13606997528746953,10.046875,8,20
2003,2003-02-16 12:00:00,2003-02-18 14:00:00,0.17272383874679775,0.13556382471582812,10.3671875,18,20
2003,2003-03-02 10:00:00,2003-03-03 13:00:00,0.17086898191007802,0.13656300772137503,11.828125,11,20
2003,2003-03-19 12:00:00,2003-03-21 03:00:00,0.19823524097103742,0.13677895861907655,10.21875,17,20
2003,2003-04-10 05:00:00,2003-04-12 09:00:00,0.18203705581799134,0.13609681675487684,9.0,19,20
2003,2003-04-18 01:00:00,2003-04-21 06:00:00,0.20931556706211887,0.13408898898442634,10.9375,31,20
2003,2003-05-18 00:00:00,2003-05-20 04:00:00,0.16304053968875049,0.13950490074579772,8.3984375,11,20
2003,2003-09-04 18:00:00,2003-09-07 23:00:00,0.22648375272225513,0.13415788907635454,16.296875,34,20
2003,2003-09-28 01:00:00,2003-09-30 15:00:00,0.17526237489780158,0.13743709905973472,12.7265625,16,20
2003,2003-11-23 11:00:00,2003-11-26 14:00:00,0.20939275168692056,0.13755550002546468,10.7734375,12,20
2004,2004-02-16 06:00:00,2004-02-19 12:00:00,0.20152223378837225,0.13408166164285934,11.828125,35,21
2004,2004-02-27 03:00:00,2004-02-28 08:00:00,0.1810755597634476,0.134698620847794,11.3515625,21,21
2004,2004-03-10 01:00:00,2004-03-12 07:00:00,0.2514659703494542,0.13462399244312437,11.6640625,37,21
2004,2004-03-29 04:00:00,2004-03-31 08:00:00,0.17065726677665305,0.13531738337173854,10.5859375,24,21
2004,2004-09-02 03:00:00,2004-09-04 17:00:00,0.1580337503697354,0.13463810538522583,12.828125,15,21
2004,2004-09-19 14:00:00,2004-09-21 19:00:00,0.19719357888976202,0.13492157708379637,10.2109375,20,21
2004,2004-09-23 18:00:00,2004-09-25 23:00:00,0.20643794369738205,0.13507129132887336,14.4453125,26,21
2004,2004-11-12 11:00:00,2004-11-16 16:00:00,0.22805013942729824,0.13419007557059398,11.03125,31,21
2004,2004-12-25 11:00:00,2004-12-28 16:00:00,0.21222169207114533,0.1341404201579785,11.2890625,39,21
