domain,topo_version,n_profiles,shift_m_median,shift_m_p10,shift_m_p90,spread_straddles_zero,n_cells,action,residual_m,rows_now,rows_after,n_road_profiles,setback_v2_m,setback_new_m,setback_new_p10_m,setback_new_p90_m,setback_derived_m,setback_raw84_m,insert_anchor,road_land_max_cell,road_land_spread_cells,insert_row_behind_road,crest_row,rows_behind_road,setback_model_now_m,flags
39,v2,50,-9.1,-12.5,-3.2,0,0,none,-9.1,170,170,50,230.0,220.8,213.2,251.1,230.0,243.2,,,,,,,230.0,
40,v2,50,-8.1,-14.1,-4.6,0,0,none,-8.1,172,172,50,210.0,205.1,199.8,222.0,210.0,232.0,,,,,,,210.0,
41,v2,50,-5.0,-10.4,3.2,1,0,none,-5.0,174,174,50,200.0,193.9,184.7,204.2,200.0,209.6,,,,,,,200.0,
42,v2,50,-6.2,-11.0,0.4,1,0,none,-6.2,176,176,50,180.0,169.6,161.0,186.1,180.0,195.8,,,,,,,180.0,
43,v2,50,-5.4,-11.1,7.0,1,0,none,-5.4,179,179,50,170.0,164.4,156.8,177.0,170.0,181.2,,,,,,,170.0,
44,v2,50,8.2,-0.4,12.5,1,0,none,8.2,169,169,50,160.0,170.4,164.4,179.1,160.0,183.1,,,,,,,160.0,
45,v2,50,15.6,11.1,23.6,0,1,add,5.6,155,156,50,150.0,172.6,160.6,178.6,160.0,183.8,road,20.0,3.0,19.0,,new rows 19..19,150.0,
46,v2,50,13.2,12.3,19.8,0,1,add,3.2,142,143,50,150.0,162.2,152.7,173.2,160.0,177.0,road,20.0,4.0,18.0,,new rows 18..18,150.0,
47,v2,50,13.2,7.9,19.5,0,1,add,3.2,127,128,50,150.0,162.2,156.0,169.5,160.0,174.3,road,17.0,1.0,18.0,,new rows 18..18,150.0,
48,v2,50,11.0,7.4,32.7,0,1,add,1.0,118,119,50,150.0,161.2,157.3,173.5,160.0,174.6,road,17.0,1.0,18.0,,new rows 18..18,150.0,
49,v2,50,34.2,22.8,40.1,0,3,add,4.2,94,97,50,90.0,121.6,112.8,153.2,120.0,179.7,road,14.0,4.0,14.0,,new rows 14..16,90.0,
50,v2,50,33.7,21.3,45.0,0,3,add,3.7,87,90,50,90.0,128.8,111.3,166.0,120.0,189.3,road,16.0,5.0,14.0,,new rows 14..16,90.0,
51,v2,50,26.5,21.3,36.0,0,2,add,6.5,58,60,50,155.0,183.1,157.7,207.2,175.0,199.8,road,20.0,3.0,20.0,,new rows 20..21,155.0,
52,v2,50,13.5,5.5,27.4,0,1,add,3.5,66,67,50,170.0,187.8,176.9,194.4,180.0,198.2,road,19.0,0.0,20.0,,new rows 20..20,170.0,
53,v2,50,11.4,4.3,23.1,0,1,add,1.4,56,57,50,170.0,177.7,169.7,192.8,180.0,188.8,road,20.0,2.0,19.0,,new rows 19..19,170.0,
54,v2,50,28.0,19.5,29.3,0,2,add,8.0,114,116,50,160.0,189.1,178.2,207.8,180.0,196.5,road,20.0,3.0,20.0,,new rows 20..21,160.0,
55,v2,50,7.1,1.9,13.9,0,0,none,7.1,107,107,50,170.0,181.6,172.7,187.4,170.0,197.8,,,,,,,170.0,
56,v2,50,-8.8,-15.4,5.1,1,0,none,-8.8,77,77,50,180.0,173.6,165.2,182.0,180.0,188.8,,,,,,,180.0,
57,v2,50,2.0,-8.1,10.4,1,0,none,2.0,68,68,50,210.0,203.2,191.9,225.9,210.0,220.3,,,,,,,210.0,
58,v2,50,4.9,-6.0,12.7,1,0,none,4.9,69,69,50,240.0,245.4,223.3,258.7,240.0,265.9,,,,,,,240.0,
59,v2,50,-15.3,-20.0,-1.2,0,-1,remove,-5.3,78,77,50,270.0,254.6,244.5,278.8,260.0,277.2,road,30.0,1.0,27.0,,existing rows 27..27 removed,270.0,
60,v2,50,-0.1,-14.3,2.6,1,0,none,-0.1,102,102,50,310.0,311.6,284.5,332.2,310.0,329.4,,,,,,,310.0,
61,v2,50,-8.6,-16.8,0.6,1,0,none,-8.6,116,116,50,330.0,319.2,302.7,330.6,330.0,340.4,,,,,,,330.0,
62,v2,50,-29.6,-41.0,-17.9,0,-2,remove,-9.6,133,131,50,320.0,291.6,273.1,304.7,300.0,336.5,road,35.0,1.0,31.0,,existing rows 31..32 removed,320.0,
63,v2,50,-50.6,-54.1,-40.5,0,-5,remove,-0.6,134,129,50,300.0,249.1,239.2,285.2,250.0,339.9,road,34.0,3.0,26.0,,existing rows 26..30 removed,300.0,
64,v2,50,-58.8,-73.7,-51.7,0,-5,remove,-8.8,133,128,50,300.0,238.8,225.2,250.0,250.0,334.4,road,33.0,2.0,25.0,,existing rows 25..29 removed,300.0,
65,v2,50,-40.1,-54.8,-35.5,0,-4,remove,-0.1,132,128,50,290.0,250.5,237.7,264.4,250.0,349.9,road,34.0,3.0,27.0,,existing rows 27..30 removed,290.0,
66,v2,50,-53.8,-60.2,-38.4,0,-5,remove,-3.8,121,116,50,290.0,238.6,228.7,250.4,240.0,354.4,road,31.0,1.0,25.0,,existing rows 25..29 removed,290.0,
67,v2,50,-52.4,-57.3,-31.9,0,-5,remove,-2.4,134,129,50,300.0,248.0,234.3,310.5,250.0,386.7,road,38.0,7.0,26.0,,existing rows 26..30 removed,300.0,
68,v2,50,-16.8,-20.8,-7.8,0,-1,remove,-6.8,103,102,50,565.0,550.6,467.4,582.2,555.0,573.4,road,63.0,5.0,57.0,,existing rows 57..57 removed,565.0,
69,v2,50,5.2,1.4,7.8,0,0,none,5.2,106,106,50,570.0,573.5,524.8,587.0,570.0,587.6,,,,,,,570.0,
70,v2,50,3.2,1.6,5.7,0,0,none,3.2,140,140,50,455.0,459.4,403.9,505.7,455.0,496.5,,,,,,,455.0,
71,v2,50,6.0,4.5,11.5,0,0,none,6.0,133,133,50,380.0,387.5,375.7,434.2,380.0,440.3,,,,,,,380.0,
72,v2,50,25.6,17.1,40.4,0,2,add,5.6,120,122,50,470.0,495.6,457.1,530.8,490.0,537.4,road,52.0,4.0,51.0,,new rows 51..52,470.0,
73,v2,50,50.1,38.9,61.5,0,5,add,0.1,132,137,50,550.0,598.0,545.9,622.5,600.0,618.5,road,58.0,2.0,61.0,,new rows 61..65,550.0,
74,v2,50,27.2,9.6,48.5,0,2,add,7.2,131,133,50,590.0,627.0,592.5,633.9,610.0,643.9,road,62.0,2.0,64.0,,new rows 64..65,590.0,
75,v2,50,5.5,-0.1,13.1,1,0,none,5.5,103,103,50,530.0,529.8,515.9,583.4,530.0,552.4,,,,,,,530.0,
76,v2,50,-4.3,-7.6,-0.8,0,0,none,-4.3,140,140,50,500.0,495.9,489.3,509.2,500.0,519.9,,,,,,,500.0,
77,v2,50,-3.1,-6.8,5.4,1,0,none,-3.1,146,146,50,530.0,527.0,503.2,565.4,530.0,542.1,,,,,,,530.0,
78,v2,50,23.4,16.1,26.4,0,2,add,3.4,137,139,50,550.0,574.0,562.8,586.4,570.0,579.6,road,58.0,1.0,59.0,,new rows 59..60,550.0,
79,v2,50,45.8,22.7,68.7,0,4,add,5.8,108,112,50,560.0,598.0,561.8,658.8,600.0,606.0,road,61.0,3.0,61.0,,new rows 61..64,560.0,
80,v2,50,70.3,53.8,79.6,0,7,add,0.3,94,101,50,520.0,590.3,534.2,647.5,590.0,602.0,road,59.0,6.0,61.0,,new rows 61..67,520.0,
81,v2,50,36.8,21.4,53.1,0,3,add,6.8,104,107,50,410.0,446.8,329.5,523.1,440.0,461.1,road,52.0,9.0,46.0,,new rows 46..48,410.0,
82,v2,50,53.2,23.3,67.5,0,5,add,3.2,105,110,50,140.0,200.2,158.3,253.1,190.0,214.4,road,27.0,12.0,22.0,,new rows 22..26,140.0,
83,v2,50,26.9,17.4,49.3,0,2,add,6.9,108,110,50,90.0,106.4,97.1,169.3,110.0,117.6,road,13.0,3.0,12.0,,new rows 12..13,90.0,
84,v2,50,36.3,27.2,60.9,0,3,add,6.3,147,150,50,25.0,59.7,28.6,80.0,55.0,70.8,road,7.0,3.0,7.0,,new rows 7..9,25.0,
85,v2,50,58.7,54.1,61.1,0,5,add,8.7,178,183,50,-15.0,44.0,10.7,75.5,35.0,59.4,road,3.0,3.0,6.0,,new rows 6..10,0.0,
86,v2,50,26.8,11.2,48.0,0,2,add,6.8,189,191,50,-10.0,12.2,-5.6,58.0,10.0,28.5,road,3.0,3.0,3.0,,new rows 3..4,0.0,
87,v2,50,10.3,6.6,15.6,0,1,add,0.3,185,186,50,50.0,60.0,30.4,115.6,60.0,88.0,road,12.0,5.0,8.0,,new rows 8..8,50.0,
88,v2,50,6.3,1.0,14.1,0,0,none,6.3,177,177,50,160.0,166.8,134.0,183.0,160.0,184.4,,,,,,,160.0,
89,v2,50,-8.4,-10.5,-1.0,0,0,none,-8.4,179,179,50,160.0,152.2,149.5,179.0,160.0,186.7,,,,,,,160.0,
90,v2,50,-0.9,-3.4,1.5,1,0,none,-0.9,182,182,50,160.0,154.1,139.1,161.5,160.0,179.2,,,,,,,160.0,
