domain_number,n_transects,mean_change_m,std_change_m,min_change_m,max_change_m,mean_rate_m_yr,std_rate_m_yr,pct_landward,median_n_start,median_n_end,n_transects_empty_window
47,10,-6.653,5.509,-13.264,0.961,-0.572,0.474,80.0,4.0,11.0,0
48,10,0.844,10.071,-13.657,13.33,0.073,0.866,40.0,4.5,11.0,0
49,10,19.833,3.448,13.698,23.342,1.705,0.296,0.0,5.0,10.5,0
50,10,8.473,9.443,-5.32,21.551,0.729,0.812,20.0,5.0,11.0,0
51,10,-19.576,2.841,-23.993,-14.89,-1.683,0.244,100.0,5.0,11.0,0
52,10,-15.305,1.142,-17.572,-13.858,-1.316,0.098,100.0,5.0,11.0,0
53,10,-10.858,4.072,-15.74,-2.507,-0.934,0.35,100.0,5.0,11.0,0
54,10,7.395,4.312,0.575,12.633,0.636,0.371,0.0,5.0,11.0,0
55,10,11.938,4.349,7.8,19.818,1.026,0.374,0.0,5.0,11.0,0
56,11,19.549,9.08,0.905,30.95,1.681,0.781,0.0,5.0,10.0,0
57,10,-10.24,4.464,-17.957,-3.635,-0.88,0.384,100.0,4.0,11.0,0
58,10,-15.477,2.375,-18.2,-11.108,-1.331,0.204,100.0,5.0,10.0,0
59,10,1.113,8.85,-15.551,10.535,0.096,0.761,30.0,5.0,12.0,0
60,10,5.283,4.249,-0.36,10.85,0.454,0.365,20.0,5.0,10.0,0
61,10,-2.132,3.055,-7.262,3.3,-0.183,0.263,80.0,5.0,11.5,0
62,10,-12.889,10.337,-23.54,2.307,-1.108,0.889,80.0,5.0,10.5,0
63,10,-16.246,3.394,-19.298,-9.8,-1.397,0.292,100.0,4.0,11.5,0
64,10,-14.171,4.464,-20.984,-8.739,-1.218,0.384,100.0,4.0,11.0,0
65,10,-21.311,2.861,-26.23,-18.04,-1.832,0.246,100.0,4.0,11.0,0
66,11,-18.416,4.797,-23.175,-7.392,-1.583,0.412,100.0,4.0,11.0,0
67,10,22.422,16.912,-1.208,44.733,1.928,1.454,20.0,4.0,10.5,0
68,10,53.508,3.403,46.44,57.928,4.601,0.293,0.0,4.0,10.0,0
69,10,23.639,8.141,10.513,37.12,2.032,0.7,0.0,5.0,10.5,0
70,10,-2.643,4.149,-8.342,5.205,-0.227,0.357,70.0,5.0,11.0,0
71,10,5.605,7.127,-4.195,14.604,0.482,0.613,30.0,7.0,10.0,0
72,10,17.577,2.296,13.742,20.704,1.511,0.197,0.0,5.0,10.0,0
73,10,21.412,2.503,16.822,26.061,1.841,0.215,0.0,6.0,9.0,0
74,10,22.342,2.6,18.6,25.844,1.921,0.224,0.0,7.0,11.0,0
75,10,16.702,6.783,5.054,26.116,1.436,0.583,0.0,7.0,10.0,0
76,10,-30.651,12.146,-42.06,-6.153,-2.635,1.044,100.0,7.0,10.0,0
77,10,-32.467,3.875,-36.468,-24.106,-2.792,0.333,100.0,7.0,9.0,0
78,10,-31.32,2.8,-35.26,-26.3,-2.693,0.241,100.0,7.0,11.0,0
79,10,-32.312,8.358,-44.522,-20.854,-2.778,0.719,100.0,7.0,9.0,0
80,10,-60.19,11.745,-74.371,-44.84,-5.175,1.01,100.0,5.0,9.0,0
81,10,-42.138,13.329,-65.782,-26.771,-3.623,1.146,100.0,5.0,9.0,0
82,10,-6.469,8.104,-20.504,4.653,-0.556,0.697,70.0,6.0,9.0,0
83,10,-27.702,11.108,-46.611,-13.059,-2.382,0.955,100.0,6.0,9.5,0
84,11,-41.945,3.905,-48.378,-34.928,-3.606,0.336,100.0,6.0,10.0,0
85,12,-33.31,2.885,-36.394,-25.69,-2.864,0.248,100.0,6.0,10.0,0
86,12,-29.114,2.044,-32.043,-24.872,-2.503,0.176,100.0,6.0,10.0,0
87,11,-17.051,5.144,-26.979,-12.477,-1.466,0.442,100.0,6.0,10.0,0
88,10,-12.268,4.281,-19.89,-7.233,-1.055,0.368,100.0,6.0,10.0,0
89,9,-5.078,3.944,-13.067,-0.374,-0.437,0.339,100.0,6.0,9.0,0
90,10,2.18,7.923,-5.8,14.983,0.187,0.681,50.0,6.0,10.0,0
