domain_number,n_transects,ref_lrr_median_m_yr,diff_marked_median_m_yr,diff_marked_q25_m_yr,diff_marked_q75_m_yr,marked_in_ci_frac,years_needed_ci_median,years_needed_ci_q25,years_needed_ci_q75,stable_entry_ci_median,marked_in_abs_frac,years_needed_abs_median,years_needed_abs_q25,years_needed_abs_q75,stable_entry_abs_median,marked_in_rel_frac,years_needed_rel_median,years_needed_rel_q25,years_needed_rel_q75,stable_entry_rel_median,marked_in_ci3x_frac,years_needed_ci3x_median,years_needed_ci3x_q25,years_needed_ci3x_q75,stable_entry_ci3x_median,marked_in_abs50_frac,years_needed_abs50_median,years_needed_abs50_q25,years_needed_abs50_q75,stable_entry_abs50_median,marked_in_abs100_frac,years_needed_abs100_median,years_needed_abs100_q25,years_needed_abs100_q75,stable_entry_abs100_median,marked_in_overlap_frac,years_needed_overlap_median,years_needed_overlap_q25,years_needed_overlap_q75,stable_entry_overlap_median
26,10,-2.6528,0.6324,0.5109,0.7695,0.0,21.5,21.0,22.75,2016.5,0.0,21.0,21.0,22.0,2016.0,0.3,17.0,16.0,21.0,2012.0,0.5,16.0,15.25,19.5,2011.0,0.2,17.0,16.0,21.0,2012.0,0.9,15.0,14.25,15.0,2010.0,0.6,16.0,15.0,21.0,2011.0
27,10,-0.1936,2.3499,2.0561,2.6095,0.0,22.0,22.0,22.0,2017.0,0.0,22.0,22.0,22.0,2017.0,0.0,24.0,22.0,25.0,2019.0,0.0,21.0,21.0,21.0,2016.0,0.0,21.5,21.0,22.0,2016.5,0.0,21.0,20.0,21.0,2016.0,0.0,21.0,21.0,22.0,2016.0
28,10,1.4668,1.6014,1.4896,1.7323,0.0,24.0,24.0,24.0,2019.0,0.0,24.0,24.0,24.0,2019.0,0.0,22.5,19.5,24.0,2017.5,0.0,19.0,19.0,20.0,2014.0,0.0,20.0,19.0,20.0,2015.0,0.0,19.0,18.0,19.0,2014.0,0.0,20.0,19.0,20.0,2015.0
29,10,2.1354,1.192,0.3105,1.7241,0.1,22.0,22.0,24.0,2017.0,0.2,22.0,22.0,24.0,2017.0,0.3,20.0,19.0,21.0,2015.0,0.4,18.5,18.0,20.0,2013.5,0.3,19.5,19.0,21.0,2014.5,0.4,17.5,14.5,18.0,2012.5,0.4,19.0,18.0,21.0,2014.0
30,10,2.643,-1.1284,-1.3304,-0.9193,0.0,22.0,21.25,22.0,2017.0,0.0,22.0,21.0,22.0,2017.0,0.0,20.5,20.0,21.0,2015.5,0.1,20.0,20.0,21.0,2015.0,0.1,21.0,20.25,21.0,2016.0,0.3,19.0,19.0,20.0,2014.0,0.1,21.0,20.25,21.0,2016.0
31,11,2.438,-0.3184,-0.8838,0.0231,0.2727,23.0,22.0,23.0,2018.0,0.2727,22.0,22.0,23.0,2017.0,0.4545,21.0,18.5,22.0,2016.0,0.6364,20.0,18.0,21.0,2015.0,0.5455,21.0,18.5,22.0,2016.0,0.8182,17.0,13.5,20.0,2012.0,0.6364,21.0,18.0,22.0,2016.0
32,10,0.5821,1.2574,1.0113,1.5055,0.0,22.0,22.0,23.0,2017.0,0.0,22.0,22.0,22.0,2017.0,0.0,22.5,22.0,23.0,2017.5,0.1,20.5,20.0,21.0,2015.5,0.0,21.0,21.0,21.0,2016.0,0.3,19.5,19.0,20.0,2014.5,0.1,21.0,21.0,22.0,2016.0
33,11,0.7473,1.1344,0.6075,1.284,0.1818,20.0,19.0,20.0,2015.0,0.1818,19.0,19.0,20.0,2014.0,0.1818,20.0,19.0,22.0,2015.0,0.2727,18.0,17.5,19.0,2013.0,0.2727,19.0,18.0,19.5,2014.0,0.4545,16.0,13.0,18.0,2011.0,0.2727,18.0,18.0,19.0,2013.0
34,10,1.0251,-1.237,-1.6036,-0.9343,0.0,22.0,22.0,23.0,2017.0,0.0,22.0,22.0,23.0,2017.0,0.0,22.0,22.0,23.75,2017.0,0.2,20.0,20.0,21.0,2015.0,0.1,20.5,20.0,22.0,2015.5,0.4,19.0,19.0,20.0,2014.0,0.2,20.5,20.0,22.0,2015.5
35,11,-0.4571,-2.3628,-2.5346,-2.0468,0.0,24.0,24.0,24.5,2019.0,0.0,24.0,24.0,25.0,2019.0,0.0,25.0,25.0,25.0,2020.0,0.0,22.0,21.0,22.0,2017.0,0.0,22.0,22.0,23.0,2017.0,0.0,21.0,21.0,21.0,2016.0,0.0,22.0,22.0,22.0,2017.0
36,10,-0.9222,-2.6646,-2.8078,-2.4775,0.0,24.0,24.0,24.0,2019.0,0.0,24.0,24.0,24.0,2019.0,0.0,25.0,24.0,25.0,2020.0,0.0,21.5,21.0,22.0,2016.5,0.0,23.0,23.0,23.75,2018.0,0.0,20.0,20.0,21.0,2015.0,0.0,23.0,23.0,23.0,2018.0
37,11,-0.8434,-1.569,-1.6754,-1.3094,0.0,23.0,20.0,23.5,2018.0,0.0,21.0,19.0,23.0,2016.0,0.0,23.0,20.0,23.0,2018.0,0.0909,18.0,17.5,18.0,2013.0,0.0,18.0,18.0,19.0,2013.0,0.1818,17.0,16.0,17.0,2012.0,0.0909,18.0,16.5,19.0,2013.0
38,10,-0.553,1.2511,0.6743,1.4222,0.2,21.0,20.0,21.0,2016.0,0.2,20.5,19.0,21.0,2015.5,0.1,22.0,21.25,23.0,2017.0,0.3,18.0,15.5,18.0,2013.0,0.2,18.0,16.5,19.0,2013.0,0.3,16.0,13.0,16.0,2011.0,0.3,18.0,13.25,18.0,2013.0
39,10,-0.2581,0.715,0.6143,0.9206,0.0,21.0,20.25,21.0,2016.0,0.0,20.5,20.0,21.0,2015.5,0.0,25.0,22.0,25.0,2020.0,0.2,16.0,16.0,16.0,2011.0,0.0,16.0,16.0,16.0,2011.0,0.8,10.0,7.0,15.0,2005.0,0.4,16.0,15.0,16.0,2011.0
40,10,0.1067,0.6397,0.541,0.7101,0.0,18.0,18.0,18.75,2013.0,0.0,18.0,18.0,18.75,2013.0,0.0,25.0,25.0,25.0,2020.0,0.3,16.0,15.25,16.0,2011.0,0.2,16.0,16.0,16.0,2011.0,1.0,11.0,11.0,11.75,2006.0,0.4,16.0,11.25,16.0,2011.0
41,10,0.2776,1.3157,1.2165,1.3354,0.0,23.0,23.0,23.75,2018.0,0.0,23.0,22.25,23.0,2018.0,0.0,24.0,24.0,25.0,2019.0,0.0,19.0,18.25,20.5,2014.0,0.0,19.5,19.0,22.0,2014.5,0.0,18.0,18.0,18.0,2013.0,0.0,19.5,19.0,22.0,2014.5
