domain_number,n_transects,ref_lrr_median_m_yr,diff_marked_median_m_yr,diff_marked_q25_m_yr,diff_marked_q75_m_yr,marked_in_ci_frac,years_needed_ci_median,years_needed_ci_q25,years_needed_ci_q75,stable_entry_ci_median,marked_in_abs_frac,years_needed_abs_median,years_needed_abs_q25,years_needed_abs_q75,stable_entry_abs_median,marked_in_rel_frac,years_needed_rel_median,years_needed_rel_q25,years_needed_rel_q75,stable_entry_rel_median,marked_in_ci3x_frac,years_needed_ci3x_median,years_needed_ci3x_q25,years_needed_ci3x_q75,stable_entry_ci3x_median,marked_in_abs50_frac,years_needed_abs50_median,years_needed_abs50_q25,years_needed_abs50_q75,stable_entry_abs50_median,marked_in_abs100_frac,years_needed_abs100_median,years_needed_abs100_q25,years_needed_abs100_q75,stable_entry_abs100_median,marked_in_overlap_frac,years_needed_overlap_median,years_needed_overlap_q25,years_needed_overlap_q75,stable_entry_overlap_median
11,10,-0.4129,4.1512,3.9576,4.305,0.0,24.0,23.25,24.0,1997.0,0.0,23.5,23.0,24.0,1997.5,0.0,25.0,25.0,25.0,1996.0,0.0,19.0,19.0,19.0,2002.0,0.0,21.0,20.0,21.0,2000.0,0.0,19.0,18.0,19.0,2002.0,0.0,20.5,19.0,21.0,2000.5
12,10,-0.6907,3.4884,2.6034,3.6302,0.0,23.0,23.0,23.0,1998.0,0.0,23.0,22.0,23.0,1998.0,0.0,25.0,25.0,25.0,1996.0,0.0,19.0,19.0,19.0,2002.0,0.0,19.5,19.0,20.0,2001.5,0.0,18.0,18.0,18.0,2003.0,0.0,19.0,19.0,20.0,2002.0
13,11,-0.6941,0.9439,0.5127,1.7145,0.0909,22.0,22.0,23.0,1999.0,0.0909,21.0,19.0,22.0,2000.0,0.0909,24.0,24.0,24.0,1997.0,0.3636,18.0,18.0,18.5,2003.0,0.2727,19.0,19.0,19.0,2002.0,0.5455,17.0,17.0,17.0,2004.0,0.4545,18.0,18.0,19.0,2003.0
14,10,-0.1974,1.1809,1.1346,1.5285,0.0,23.0,22.25,23.75,1998.0,0.0,22.0,19.25,23.0,1999.0,0.0,25.0,25.0,25.0,1996.0,0.0,18.0,18.0,18.75,2003.0,0.0,19.0,19.0,19.0,2002.0,0.2,17.0,17.0,17.75,2004.0,0.2,18.0,18.0,18.75,2003.0
15,10,0.2832,1.7438,0.9855,1.9018,0.0,19.0,18.0,21.0,2002.0,0.1,19.0,16.5,21.0,2002.0,0.0,25.0,25.0,25.0,1996.0,0.1,15.5,13.0,18.5,2005.5,0.1,16.0,13.25,18.75,2005.0,0.3,13.0,11.25,16.25,2008.0,0.2,13.5,12.0,18.5,2007.5
16,10,0.0042,-0.6946,-0.9284,-0.5756,0.0,22.0,22.0,22.0,1999.0,0.1,22.0,22.0,22.0,1999.0,0.0,25.0,25.0,25.0,1996.0,0.4,17.5,17.0,18.0,2003.5,0.2,19.0,17.25,21.0,2002.0,0.8,15.0,8.0,15.75,2006.0,0.7,20.0,17.0,21.0,2001.0
17,10,0.2765,-0.6088,-0.6691,-0.5304,0.0,17.0,16.0,20.75,2004.0,0.0,17.0,16.0,20.75,2004.0,0.0,25.0,19.5,25.0,1996.0,0.7,16.0,16.0,16.0,2005.0,0.2,16.0,16.0,16.0,2005.0,1.0,15.0,15.0,15.0,2006.0,1.0,16.0,16.0,16.0,2005.0
18,10,0.7005,-0.2526,-0.3591,-0.1281,0.4,20.0,18.5,20.0,2001.0,0.5,19.0,17.5,19.0,2002.0,0.4,20.0,20.0,20.0,2001.0,1.0,17.0,17.0,17.0,2004.0,1.0,17.5,17.0,18.75,2003.5,1.0,16.0,15.0,16.0,2005.0,1.0,17.0,17.0,17.0,2004.0
19,10,1.1646,0.4692,0.0822,0.6229,0.3,20.0,20.0,20.0,2001.0,0.3,19.0,17.5,19.75,2002.0,0.2,19.5,17.5,20.0,2001.5,0.7,14.0,10.0,17.0,2007.0,0.7,17.0,14.75,18.75,2004.0,1.0,9.5,9.0,10.0,2011.5,0.9,11.0,9.0,16.75,2010.0
20,10,0.3406,2.2209,1.5167,2.7362,0.0,18.5,17.0,19.0,2002.5,0.0,18.5,16.25,19.0,2002.5,0.0,23.5,22.0,25.0,1997.5,0.0,16.5,15.25,18.0,2004.5,0.0,17.0,15.25,19.0,2004.0,0.0,15.5,14.0,17.0,2005.5,0.0,16.5,14.5,18.75,2004.5
21,11,-0.8659,1.3843,0.3789,2.5192,0.1818,22.0,21.0,22.0,1999.0,0.1818,20.0,20.0,22.0,2001.0,0.1818,22.0,22.0,23.0,1999.0,0.2727,17.0,13.5,19.0,2004.0,0.2727,19.0,13.5,19.0,2002.0,0.3636,12.0,10.0,16.0,2009.0,0.3636,18.0,12.5,19.0,2003.0
22,10,-1.3596,-0.937,-1.389,-0.6968,0.0,21.5,21.0,22.0,1999.5,0.0,21.0,21.0,21.0,2000.0,0.0,21.0,20.25,21.0,2000.0,0.0,16.0,16.0,16.0,2005.0,0.0,16.0,16.0,19.5,2005.0,0.5,13.5,13.0,15.0,2007.5,0.5,16.0,16.0,20.0,2005.0
23,10,-2.9789,-2.1734,-2.2636,-1.8868,0.0,23.0,22.25,23.0,1998.0,0.0,22.0,21.0,23.0,1999.0,0.0,20.0,20.0,20.0,2001.0,0.0,20.0,20.0,20.0,2001.0,0.0,20.0,20.0,21.0,2001.0,0.0,17.0,16.0,18.0,2004.0,0.0,21.0,20.0,21.0,2000.0
24,10,-3.8449,0.0092,-0.2113,0.2468,0.4,24.0,24.0,25.0,1997.0,0.5,23.0,23.0,23.0,1998.0,0.9,20.0,12.5,20.0,2001.0,0.8,21.0,21.0,21.0,2000.0,0.8,22.0,21.25,22.0,1999.0,0.9,10.0,5.25,10.0,2011.0,0.9,22.0,22.0,22.0,1999.0
25,10,-3.7658,1.3376,1.1514,1.5566,0.0,24.0,23.0,24.0,1997.0,0.0,23.0,23.0,23.0,1998.0,0.0,13.0,13.0,13.0,2008.0,0.0,13.0,13.0,18.25,2008.0,0.0,21.0,21.0,21.0,2000.0,0.2,12.5,12.0,13.0,2008.5,0.1,22.0,21.0,22.0,1999.0
26,10,-2.6528,-0.2006,-1.3516,0.605,0.1,23.0,23.0,23.0,1998.0,0.1,22.0,22.0,22.75,1999.0,0.3,18.0,16.0,20.0,2003.0,0.3,16.0,16.0,18.25,2005.0,0.3,19.5,19.0,20.0,2001.5,0.7,10.5,8.0,12.5,2010.5,0.4,20.0,16.75,20.0,2001.0
27,10,-0.1936,-2.9812,-3.2341,-2.796,0.0,23.0,22.25,23.0,1998.0,0.0,23.0,21.5,23.0,1998.0,0.0,25.0,24.0,25.0,1996.0,0.0,20.0,20.0,20.0,2001.0,0.0,20.5,20.0,21.0,2000.5,0.0,19.0,19.0,19.0,2002.0,0.0,20.5,20.0,21.0,2000.5
28,10,1.4668,-1.8674,-2.0006,-1.2042,0.0,22.0,22.0,22.75,1999.0,0.0,22.0,21.25,22.0,1999.0,0.0,21.0,21.0,21.0,2000.0,0.2,19.0,19.0,19.0,2002.0,0.0,19.5,19.0,20.0,2001.5,0.2,16.0,15.0,16.0,2005.0,0.3,19.0,19.0,19.75,2002.0
29,10,2.1354,0.8194,-0.0906,1.669,0.3,23.5,22.25,24.0,1997.5,0.3,23.0,22.0,23.0,1998.0,0.4,22.0,21.0,22.0,1999.0,0.5,21.0,17.75,21.0,2000.0,0.4,21.0,21.0,22.0,2000.0,0.5,14.5,12.5,16.5,2006.5,0.5,21.0,21.0,22.0,2000.0
30,10,2.643,2.0537,1.7905,2.4808,0.0,21.0,20.25,21.0,2000.0,0.0,21.0,19.5,21.0,2000.0,0.0,18.0,18.0,18.75,2003.0,0.0,18.0,17.25,18.0,2003.0,0.0,18.5,18.0,19.75,2002.5,0.1,17.0,17.0,17.0,2004.0,0.0,19.0,18.0,21.0,2002.0
31,11,2.438,-1.0637,-1.7645,-0.2192,0.1818,23.0,19.0,23.0,1998.0,0.1818,21.0,19.0,21.5,2000.0,0.3636,17.0,15.5,17.0,2004.0,0.4545,16.0,14.5,17.0,2005.0,0.3636,17.0,15.5,17.0,2004.0,0.4545,14.0,11.0,15.5,2007.0,0.4545,16.0,14.0,17.0,2005.0
32,10,0.5821,-1.6033,-2.0927,-1.3202,0.0,22.0,21.0,22.0,1999.0,0.0,22.0,21.0,22.0,1999.0,0.0,22.0,21.25,22.0,1999.0,0.0,17.0,17.0,17.0,2004.0,0.0,20.0,19.0,21.0,2001.0,0.0,16.0,16.0,17.0,2005.0,0.0,19.0,17.0,21.0,2002.0
33,11,0.7473,0.5664,-0.1086,1.4224,0.1818,21.0,20.0,22.5,2000.0,0.2727,20.0,20.0,22.5,2001.0,0.0909,22.0,21.0,24.0,1999.0,0.3636,17.0,15.0,17.0,2004.0,0.2727,18.0,16.5,18.0,2003.0,0.6364,16.0,13.0,17.0,2005.0,0.5455,17.0,14.5,17.0,2004.0
34,10,1.0251,2.0585,1.8197,2.7229,0.0,25.0,25.0,25.0,1996.0,0.0,25.0,24.25,25.0,1996.0,0.0,25.0,25.0,25.0,1996.0,0.0,16.5,15.25,18.0,2004.5,0.0,17.5,16.0,19.0,2003.5,0.0,16.0,14.25,17.0,2005.0,0.0,17.0,15.25,19.0,2004.0
35,11,-0.4571,4.5813,4.338,4.7187,0.0,24.0,23.5,24.0,1997.0,0.0,24.0,24.0,24.0,1997.0,0.0,25.0,25.0,25.0,1996.0,0.0,19.0,18.0,19.0,2002.0,0.0,19.0,19.0,19.0,2002.0,0.0,18.0,18.0,18.0,2003.0,0.0,19.0,19.0,19.0,2002.0
36,10,-0.9222,3.0605,2.022,4.2331,0.0,21.0,20.25,21.0,2000.0,0.0,21.0,21.0,21.0,2000.0,0.0,24.5,21.75,25.0,1996.5,0.0,19.0,19.0,19.75,2002.0,0.0,20.0,20.0,20.0,2001.0,0.0,19.0,19.0,19.0,2002.0,0.0,19.0,19.0,20.0,2002.0
37,11,-0.8434,-0.1502,-0.7895,0.2296,0.1818,21.0,21.0,21.0,2000.0,0.3636,21.0,21.0,21.0,2000.0,0.2727,21.0,21.0,21.0,2000.0,0.5455,20.0,20.0,20.0,2001.0,0.3636,20.0,20.0,21.0,2001.0,0.7273,18.0,14.5,18.0,2003.0,0.6364,21.0,20.5,21.0,2000.0
38,10,-0.553,-0.6477,-0.9296,-0.2516,0.1,19.0,19.0,20.5,2002.0,0.2,19.0,19.0,20.5,2002.0,0.1,22.0,21.0,23.5,1999.0,0.5,17.0,16.0,17.0,2004.0,0.5,17.0,16.25,17.75,2004.0,0.8,16.0,15.25,16.0,2005.0,0.6,17.0,16.0,17.0,2004.0
39,10,-0.2581,0.943,0.8741,1.0361,0.0,17.0,17.0,18.75,2004.0,0.0,17.0,17.0,18.0,2004.0,0.0,24.0,21.0,24.0,1997.0,0.0,16.0,12.0,17.0,2005.0,0.0,16.0,13.0,17.0,2005.0,0.7,11.0,11.0,12.0,2010.0,0.3,14.0,12.0,17.0,2007.0
40,10,0.1067,-0.0339,-0.151,0.3326,0.5,17.0,16.25,17.0,2004.0,0.5,17.0,16.25,17.0,2004.0,0.0,23.5,23.0,24.0,1997.5,0.8,16.0,16.0,16.0,2005.0,0.8,16.0,16.0,16.0,2005.0,1.0,10.0,7.0,14.0,2011.0,0.9,16.0,16.0,16.0,2005.0
41,10,0.2776,-1.2771,-1.5359,-1.1742,0.0,21.0,21.0,21.0,2000.0,0.0,20.0,20.0,21.0,2001.0,0.0,25.0,24.0,25.0,1996.0,0.0,18.0,18.0,19.0,2003.0,0.0,19.0,18.0,19.0,2002.0,0.0,17.0,17.0,17.0,2004.0,0.0,18.5,18.0,19.0,2002.5
42,10,0.1228,-2.2493,-2.3912,-2.0121,0.0,20.0,20.0,20.0,2001.0,0.0,20.0,19.0,20.0,2001.0,0.0,25.0,24.0,25.0,1996.0,0.0,18.0,18.0,18.0,2003.0,0.0,18.0,18.0,18.75,2003.0,0.0,17.0,17.0,17.0,2004.0,0.0,18.0,18.0,18.75,2003.0
43,10,0.0187,-0.8452,-1.013,-0.7851,0.0,23.0,23.0,23.75,1998.0,0.0,22.5,22.0,23.0,1998.5,0.0,25.0,25.0,25.0,1996.0,0.0,16.5,16.0,20.0,2004.5,0.0,17.0,16.0,20.75,2004.0,0.7,11.0,11.0,11.75,2010.0,0.5,22.0,17.0,22.0,1999.0
44,10,0.0765,-0.159,-0.5326,0.3198,0.2,24.0,23.25,24.0,1997.0,0.3,23.0,22.0,23.0,1998.0,0.0,25.0,25.0,25.0,1996.0,0.5,20.5,20.0,21.0,2000.5,0.5,21.0,21.0,21.0,2000.0,1.0,5.5,5.0,10.0,2015.5,1.0,22.0,22.0,22.0,1999.0
45,10,-0.7922,-0.1068,-0.705,0.2976,0.1,23.0,23.0,23.0,1998.0,0.2,22.0,22.0,22.75,1999.0,0.1,24.5,23.0,25.0,1996.5,0.7,20.0,20.0,20.75,2001.0,0.6,21.0,20.0,21.0,2000.0,0.9,16.0,14.25,16.75,2005.0,0.7,21.0,21.0,22.0,2000.0
46,10,-1.4444,-1.3015,-1.5107,-0.8168,0.0,16.0,16.0,22.75,2005.0,0.0,16.0,16.0,20.0,2005.0,0.0,15.0,15.0,20.0,2006.0,0.0,14.5,14.0,15.0,2006.5,0.0,14.5,14.0,15.0,2006.5,0.4,13.0,11.0,13.0,2008.0,0.3,14.0,14.0,14.75,2007.0
47,10,-1.443,1.05,0.859,1.1439,0.1,15.5,14.25,20.0,2005.5,0.2,14.5,14.0,15.0,2006.5,0.2,14.0,13.25,14.75,2007.0,0.2,13.0,12.25,13.75,2008.0,0.2,13.0,12.25,14.0,2008.0,0.3,12.0,10.5,12.0,2009.0,0.2,12.5,12.0,13.0,2008.5
48,10,-0.4204,0.637,0.0424,1.0329,0.1,19.0,17.0,21.75,2002.0,0.1,18.5,17.0,21.0,2002.5,0.0,21.0,17.0,25.0,2000.0,0.3,13.0,12.25,17.5,2008.0,0.2,13.0,12.25,17.5,2008.0,0.6,11.0,8.0,12.0,2010.0,0.4,13.0,12.0,18.25,2008.0
49,10,-0.1678,-1.2611,-1.3534,-1.1162,0.0,22.0,22.0,22.75,1999.0,0.0,22.0,22.0,22.0,1999.0,0.0,25.0,25.0,25.0,1996.0,0.0,20.0,20.0,20.0,2001.0,0.0,20.0,20.0,20.0,2001.0,0.1,18.0,18.0,18.0,2003.0,0.0,21.0,20.25,21.0,2000.0
50,10,-0.466,-1.6622,-2.2222,-0.9508,0.0,20.5,19.25,21.75,2000.5,0.0,19.5,19.0,21.0,2001.5,0.0,23.0,20.25,23.0,1998.0,0.0,17.5,15.5,19.0,2003.5,0.0,18.0,16.25,20.0,2003.0,0.3,14.0,11.25,16.0,2007.0,0.1,18.0,15.5,20.0,2003.0
51,10,-0.5993,-1.3443,-1.5308,-1.2052,0.0,21.0,19.0,23.0,2000.0,0.0,18.0,17.0,18.75,2003.0,0.0,23.0,23.0,23.0,1998.0,0.0,14.5,12.25,16.0,2006.5,0.0,16.0,13.0,17.0,2005.0,0.0,12.0,12.0,12.0,2009.0,0.0,14.0,12.0,16.0,2007.0
52,10,-0.7897,-2.2048,-2.2611,-2.1765,0.0,20.0,20.0,20.75,2001.0,0.0,20.0,20.0,20.0,2001.0,0.0,21.0,20.25,21.0,2000.0,0.0,19.0,19.0,19.0,2002.0,0.0,19.0,19.0,19.75,2002.0,0.0,17.0,16.25,17.0,2004.0,0.0,20.0,19.0,20.0,2001.0
53,10,-1.0282,-1.0733,-1.2029,-0.8588,0.0,20.0,19.0,20.0,2001.0,0.0,19.0,19.0,20.0,2002.0,0.0,19.5,19.0,20.0,2001.5,0.0,16.0,16.0,16.0,2005.0,0.0,16.0,16.0,16.75,2005.0,0.5,13.0,10.75,13.0,2008.0,0.3,16.0,16.0,16.0,2005.0
54,10,-0.9341,-1.9604,-2.1445,-1.7622,0.0,21.5,21.0,22.0,1999.5,0.0,21.0,21.0,21.0,2000.0,0.0,21.5,21.0,22.0,1999.5,0.0,19.5,19.0,20.0,2001.5,0.0,20.0,19.25,20.0,2001.0,0.0,17.0,17.0,17.75,2004.0,0.0,20.0,20.0,20.0,2001.0
55,10,-0.3854,-1.7344,-1.854,-1.2988,0.0,22.0,22.0,22.0,1999.0,0.0,21.0,21.0,21.0,2000.0,0.0,22.5,22.0,23.0,1998.5,0.0,19.0,19.0,19.0,2002.0,0.0,20.0,19.25,20.0,2001.0,0.0,15.0,14.25,15.75,2006.0,0.0,20.0,20.0,20.0,2001.0
56,11,-0.2111,-1.0278,-1.2072,-0.8082,0.0909,22.0,20.0,22.0,1999.0,0.0909,20.0,20.0,22.0,2001.0,0.0,24.0,24.0,24.5,1997.0,0.1818,19.0,16.0,19.0,2002.0,0.1818,19.0,16.5,20.0,2002.0,0.4545,12.0,11.0,14.0,2009.0,0.1818,20.0,16.0,20.0,2001.0
57,10,-0.2533,-0.3219,-0.3666,-0.3031,0.1,18.0,16.0,19.75,2003.0,0.1,16.0,15.0,16.0,2005.0,0.1,23.0,23.0,23.75,1998.0,1.0,14.0,11.0,15.0,2007.0,1.0,15.0,11.0,15.0,2006.0,1.0,10.0,10.0,10.0,2011.0,1.0,10.0,10.0,14.0,2011.0
58,10,-0.0194,-0.7293,-0.916,-0.1965,0.2,19.5,18.25,20.0,2001.5,0.4,17.5,16.25,18.0,2003.5,0.0,25.0,25.0,25.0,1996.0,0.4,13.0,11.0,13.75,2008.0,0.4,13.5,11.0,14.0,2007.5,0.8,10.5,10.0,11.0,2010.5,0.6,12.5,10.0,13.0,2008.5
59,10,-0.1346,-1.2212,-1.4356,-1.0922,0.0,23.5,20.75,24.0,1997.5,0.0,16.5,16.0,23.0,2004.5,0.0,25.0,25.0,25.0,1996.0,0.0,14.5,14.0,15.0,2006.5,0.0,15.0,14.0,15.75,2006.0,0.1,13.0,12.25,13.0,2008.0,0.0,14.0,14.0,15.0,2007.0
60,10,-0.9042,-0.644,-1.0346,-0.4492,0.0,24.0,23.25,24.75,1997.0,0.2,23.0,23.0,23.0,1998.0,0.0,24.5,23.0,25.0,1996.5,0.5,15.5,12.0,17.75,2005.5,0.5,17.0,13.75,18.0,2004.0,0.7,11.0,11.0,13.0,2010.0,0.6,18.5,11.0,19.0,2002.5
61,10,-1.4884,-0.6768,-0.9384,-0.5179,0.0,23.0,23.0,24.75,1998.0,0.0,22.0,22.0,23.0,1999.0,0.0,22.0,22.0,22.0,1999.0,0.3,16.0,16.0,19.0,2005.0,0.3,16.5,16.0,19.75,2004.5,0.9,11.0,11.0,12.5,2010.0,0.6,16.0,16.0,21.0,2005.0
62,10,-1.8402,-1.1164,-1.2543,-0.3526,0.1,24.0,23.0,25.0,1997.0,0.1,22.5,22.0,23.0,1998.5,0.3,22.0,21.0,22.0,1999.0,0.3,20.5,20.0,21.0,2000.5,0.3,21.0,20.25,21.0,2000.0,0.4,15.0,5.5,16.0,2006.0,0.4,21.5,21.0,22.0,1999.5
63,10,-1.7122,2.0534,1.67,2.4083,0.0,21.0,19.25,22.0,2000.0,0.0,19.0,18.0,20.75,2002.0,0.0,18.0,17.25,19.0,2003.0,0.0,16.0,14.25,17.0,2005.0,0.0,16.0,14.25,17.0,2005.0,0.1,14.0,13.25,14.75,2007.0,0.1,16.0,14.25,17.0,2005.0
64,10,-1.0518,2.6548,2.2922,3.064,0.0,19.0,19.0,20.5,2002.0,0.0,19.0,18.25,19.0,2002.0,0.0,19.0,19.0,19.0,2002.0,0.0,18.0,17.0,18.0,2003.0,0.0,18.0,18.0,18.0,2003.0,0.0,16.0,15.0,16.0,2005.0,0.0,18.0,17.0,18.0,2003.0
65,10,-0.7501,1.965,1.9348,1.983,0.0,22.5,21.0,23.75,1998.5,0.0,21.5,21.0,22.75,1999.5,0.0,23.5,21.0,25.0,1997.5,0.0,19.0,18.25,20.5,2002.0,0.0,20.0,19.0,21.0,2001.0,0.0,17.0,17.0,17.75,2004.0,0.0,20.0,19.0,21.0,2001.0
66,11,1.0712,2.3916,2.0483,2.6234,0.0,24.0,24.0,24.0,1997.0,0.0,23.0,23.0,24.0,1998.0,0.0,24.0,23.5,25.0,1997.0,0.0,21.0,19.0,21.0,2000.0,0.0,21.0,21.0,22.0,2000.0,0.0,18.0,18.0,18.5,2003.0,0.0,22.0,21.0,22.0,1999.0
67,10,2.2386,0.5712,-0.3016,1.1783,0.1,23.5,20.0,24.0,1997.5,0.1,20.0,18.25,23.0,2001.0,0.3,18.0,16.25,18.75,2003.0,0.4,16.5,13.0,18.0,2004.5,0.3,17.0,14.5,18.75,2004.0,0.5,13.5,10.5,15.5,2007.5,0.5,17.0,13.0,18.0,2004.0
68,10,2.3041,-2.4264,-3.2017,-2.2218,0.0,21.0,21.0,21.0,2000.0,0.0,21.0,21.0,21.0,2000.0,0.0,21.0,20.25,21.0,2000.0,0.0,20.0,19.0,20.0,2001.0,0.0,21.0,20.0,21.0,2000.0,0.0,19.0,19.0,19.0,2002.0,0.0,20.0,20.0,21.0,2001.0
69,10,1.163,-2.2384,-2.6137,-1.5267,0.0,22.0,22.0,22.0,1999.0,0.0,22.0,21.25,22.0,1999.0,0.0,22.0,21.25,22.0,1999.0,0.0,20.0,20.0,20.0,2001.0,0.0,20.5,20.0,21.0,2000.5,0.2,19.0,19.0,19.75,2002.0,0.1,20.0,20.0,21.0,2001.0
70,10,0.3732,1.1974,0.6514,1.4412,0.0,19.0,17.0,20.0,2002.0,0.1,18.0,17.0,19.0,2003.0,0.0,22.0,21.0,22.0,1999.0,0.2,14.5,14.0,17.25,2006.5,0.2,16.0,14.0,17.5,2005.0,0.4,12.5,9.0,13.0,2008.5,0.3,14.5,14.0,17.25,2006.5
71,10,0.2504,0.6389,0.4082,0.9236,0.0,21.0,20.25,21.0,2000.0,0.0,20.5,19.25,21.0,2000.5,0.0,23.0,22.0,24.0,1998.0,0.4,18.0,16.25,19.0,2003.0,0.3,19.0,17.0,19.75,2002.0,0.8,9.0,9.0,14.25,2012.0,0.6,19.5,16.25,20.0,2001.5
72,10,0.9386,2.1254,1.779,2.4252,0.0,21.0,21.0,21.0,2000.0,0.0,21.0,21.0,21.0,2000.0,0.0,21.0,21.0,21.0,2000.0,0.0,20.0,20.0,20.0,2001.0,0.0,20.0,20.0,20.0,2001.0,0.0,18.5,18.0,19.0,2002.5,0.0,20.0,20.0,20.0,2001.0
73,10,1.5902,1.2861,0.4576,1.6813,0.0,21.0,20.0,21.0,2000.0,0.0,21.0,20.0,21.0,2000.0,0.1,20.5,20.0,21.0,2000.5,0.2,19.5,18.25,20.0,2001.5,0.2,20.0,19.0,20.0,2001.0,0.3,18.5,17.25,19.0,2002.5,0.3,20.0,19.0,20.0,2001.0
74,10,0.8816,-2.0128,-2.2599,-1.6431,0.0,23.0,22.0,23.0,1998.0,0.0,22.0,22.0,22.0,1999.0,0.0,24.0,22.0,25.0,1997.0,0.0,19.5,16.5,20.0,2001.5,0.0,20.5,19.0,21.0,2000.5,0.0,16.5,15.0,18.75,2004.5,0.0,20.5,16.75,21.0,2000.5
75,10,-1.2592,1.4399,0.454,1.579,0.0,22.0,21.25,22.75,1999.0,0.0,22.0,21.0,22.0,1999.0,0.0,22.0,21.0,23.75,1999.0,0.2,20.0,19.25,20.0,2001.0,0.2,20.0,20.0,20.75,2001.0,0.4,18.0,18.0,18.0,2003.0,0.3,20.0,20.0,21.5,2001.0
