transect_id,domain_number,match_method,lrr_m_yr,r_squared,p_value,unc_m_yr,n_obs,start_date,end_date
dune_94,17.0,duneline_transect,-0.1212,0.3235,0.6148,0.1753,3,1984-09-19,2004-05-25
dune_95,17.0,duneline_transect,-0.052,0.1349,0.7606,0.1317,3,1984-09-19,2004-05-25
dune_96,17.0,duneline_transect,-0.6774,0.9405,0.1569,0.1704,3,1984-09-19,2004-05-25
dune_97,18.0,duneline_transect,-0.6316,0.9237,0.1782,0.1816,3,1984-09-19,2004-05-25
dune_98,18.0,duneline_transect,-0.3619,0.7987,0.2962,0.1817,3,1984-09-19,2004-05-25
dune_99,18.0,duneline_transect,-0.2153,0.0956,0.7998,0.6621,3,1984-09-19,2004-05-25
dune_100,18.0,duneline_transect,0.0557,0.721,0.3542,0.0346,3,1984-09-19,2004-05-25
dune_101,18.0,duneline_transect,-0.4488,0.9,0.2049,0.1496,3,1984-09-19,2004-05-25
dune_102,19.0,duneline_transect,0.01,0.0193,0.9112,0.0712,3,1984-09-19,2004-05-25
dune_103,19.0,duneline_transect,-0.061,0.3493,0.5975,0.0832,3,1984-09-19,2004-05-25
dune_104,19.0,duneline_transect,-0.1055,0.1496,0.7472,0.2516,3,1984-09-19,2004-05-25
dune_105,19.0,duneline_transect,-0.0975,0.2056,0.7004,0.1916,3,1984-09-19,2004-05-25
dune_106,19.0,duneline_transect,-0.1232,0.3047,0.6278,0.1862,3,1984-09-19,2004-05-25
dune_107,20.0,duneline_transect,0.2863,0.2991,0.6316,0.4383,3,1984-09-19,2004-05-25
dune_108,20.0,duneline_transect,0.4935,0.4102,0.5575,0.5917,3,1984-09-19,2004-05-25
dune_109,20.0,duneline_transect,-0.0542,0.0167,0.9176,0.4166,3,1984-09-19,2004-05-25
dune_110,20.0,duneline_transect,0.0175,0.0015,0.9757,0.4584,3,1984-09-19,2004-05-25
dune_111,20.0,duneline_transect,0.1425,0.2437,0.6713,0.2511,3,1984-09-19,2004-05-25
dune_112,21.0,duneline_transect,0.2232,0.3393,0.6042,0.3115,3,1984-09-19,2004-05-25
dune_113,21.0,duneline_transect,-0.2902,0.7298,0.348,0.1765,3,1984-09-19,2004-05-25
dune_114,21.0,duneline_transect,0.165,0.2688,0.653,0.2722,3,1984-09-19,2004-05-25
dune_115,21.0,duneline_transect,0.4059,0.2181,0.6906,0.7684,3,1984-09-19,2004-05-25
dune_116,21.0,duneline_transect,0.1825,0.4889,0.5071,0.1866,3,1984-09-19,2004-05-25
dune_117,22.0,duneline_transect,0.159,0.5056,0.4964,0.1572,3,1984-09-19,2004-05-25
dune_118,22.0,duneline_transect,0.2808,0.236,0.6771,0.5053,3,1984-09-19,2004-05-25
dune_119,22.0,duneline_transect,0.4499,0.2191,0.6899,0.8495,3,1984-09-19,2004-05-25
dune_120,22.0,duneline_transect,0.8358,0.4503,0.5317,0.9236,3,1984-09-19,2004-05-25
dune_121,22.0,duneline_transect,0.4328,0.1906,0.7124,0.8921,3,1984-09-19,2004-05-25
dune_122,23.0,duneline_transect,-0.1144,0.0188,0.9125,0.8272,3,1984-09-19,2004-05-25
dune_123,23.0,duneline_transect,0.1178,0.0121,0.9299,1.0658,3,1984-09-19,2004-05-25
dune_124,23.0,duneline_transect,0.1958,0.0252,0.8986,1.2183,3,1984-09-19,2004-05-25
dune_125,23.0,duneline_transect,0.0817,0.0066,0.9484,1.0052,3,1984-09-19,2004-05-25
dune_126,23.0,duneline_transect,-0.2892,0.1441,0.7521,0.7049,3,1984-09-19,2004-05-25
dune_128,24.0,duneline_transect,-0.2707,0.2426,0.6721,0.4784,3,1984-09-19,2004-05-25
dune_129,24.0,duneline_transect,0.2216,0.0594,0.8432,0.8816,3,1984-09-19,2004-05-25
dune_130,24.0,duneline_transect,0.0853,0.0135,0.9258,0.7288,3,1984-09-19,2004-05-25
dune_131,24.0,duneline_transect,-0.0754,0.0262,0.8966,0.4597,3,1984-09-19,2004-05-25
dune_132,24.0,duneline_transect,-0.0008,0.0,0.9975,0.1911,3,1984-09-19,2004-05-25
dune_133,25.0,duneline_transect,0.0647,0.025,0.8989,0.4039,3,1984-09-19,2004-05-25
dune_134,25.0,duneline_transect,0.0687,0.0368,0.8771,0.3515,3,1984-09-19,2004-05-25
dune_135,25.0,duneline_transect,-0.7853,0.9998,0.0092,0.0114,3,1984-09-19,2004-05-25
dune_136,25.0,duneline_transect,-0.2767,0.1977,0.7067,0.5575,3,1984-09-19,2004-05-25
dune_137,25.0,duneline_transect,-0.5487,0.6493,0.4035,0.4032,3,1984-09-19,2004-05-25
dune_138,26.0,duneline_transect,-0.5369,0.5327,0.4792,0.5029,3,1984-09-19,2004-05-25
dune_139,26.0,duneline_transect,-0.7832,0.8798,0.2254,0.2894,3,1984-09-19,2004-05-25
dune_140,26.0,duneline_transect,-1.1915,0.976,0.099,0.1869,3,1984-09-19,2004-05-25
dune_141,26.0,duneline_transect,-0.6351,0.815,0.2831,0.3026,3,1984-09-19,2004-05-25
dune_142,26.0,duneline_transect,-0.2027,0.1629,0.7355,0.4596,3,1984-09-19,2004-05-25
dune_143,27.0,duneline_transect,-0.428,0.2597,0.6596,0.7226,3,1984-09-19,2004-05-25
dune_144,27.0,duneline_transect,-0.2874,0.3343,0.6075,0.4056,3,1984-09-19,2004-05-25
dune_145,27.0,duneline_transect,0.6055,0.8939,0.2113,0.2087,3,1984-09-19,2004-05-25
dune_146,27.0,duneline_transect,0.5948,0.944,0.1521,0.1448,3,1984-09-19,2004-05-25
dune_147,27.0,duneline_transect,0.5886,0.9689,0.1128,0.1054,3,1984-09-19,2004-05-25
dune_148,28.0,duneline_transect,0.3441,0.7252,0.3512,0.2118,3,1984-09-19,2004-05-25
dune_149,28.0,duneline_transect,0.1794,0.0902,0.8058,0.5697,3,1984-09-19,2004-05-25
dune_150,28.0,duneline_transect,1.1414,0.7887,0.3041,0.5908,3,1984-09-19,2004-05-25
dune_151,28.0,duneline_transect,1.3226,0.5858,0.4451,1.1122,3,1984-09-19,2004-05-25
dune_152,28.0,duneline_transect,1.5268,0.5048,0.4969,1.5121,3,1984-09-19,2004-05-25
dune_153,29.0,duneline_transect,1.882,0.7409,0.34,1.1129,3,1984-09-19,2004-05-25
dune_154,29.0,duneline_transect,2.2599,0.8307,0.27,1.0203,3,1984-09-19,2004-05-25
dune_155,29.0,duneline_transect,2.5964,0.8332,0.2678,1.1616,3,1984-09-19,2004-05-25
dune_156,29.0,duneline_transect,2.4133,0.6953,0.3723,1.5977,3,1984-09-19,2004-05-25
dune_157,29.0,duneline_transect,2.74,0.7133,0.3597,1.7371,3,1984-09-19,2004-05-25
dune_158,30.0,duneline_transect,3.0867,0.7846,0.3073,1.6174,3,1984-09-19,2004-05-25
dune_159,30.0,duneline_transect,3.26,0.7174,0.3568,2.046,3,1984-09-19,2004-05-25
dune_160,30.0,duneline_transect,3.4348,0.6009,0.4354,2.7995,3,1984-09-19,2004-05-25
dune_161,30.0,duneline_transect,3.3356,0.6507,0.4025,2.4439,3,1984-09-19,2004-05-25
dune_162,30.0,duneline_transect,3.305,0.7204,0.3547,2.0592,3,1984-09-19,2004-05-25
dune_163,31.0,duneline_transect,3.1003,0.6561,0.399,2.2447,3,1984-09-19,2004-05-25
dune_164,31.0,duneline_transect,2.9524,0.7192,0.3555,1.8447,3,1984-09-19,2004-05-25
dune_165,31.0,duneline_transect,3.0145,0.6616,0.3953,2.156,3,1984-09-19,2004-05-25
dune_166,31.0,duneline_transect,3.1408,0.6854,0.3791,2.1279,3,1984-09-19,2004-05-25
dune_167,31.0,duneline_transect,3.3107,0.7582,0.3272,1.8694,3,1984-09-19,2004-05-25
dune_168,32.0,duneline_transect,3.3652,0.6967,0.3713,2.2206,3,1984-09-19,2004-05-25
dune_169,32.0,duneline_transect,3.465,0.6881,0.3772,2.3328,3,1984-09-19,2004-05-25
dune_170,32.0,duneline_transect,3.5789,0.7554,0.3294,2.0365,3,1984-09-19,2004-05-25
dune_171,32.0,duneline_transect,2.5369,0.6118,0.4282,2.0209,3,1984-09-19,2004-05-25
dune_172,32.0,duneline_transect,2.5192,0.7596,0.3263,1.4174,3,1984-09-19,2004-05-25
dune_173,33.0,duneline_transect,2.3989,0.7576,0.3277,1.3569,3,1984-09-19,2004-05-25
dune_174,33.0,duneline_transect,2.7482,0.8443,0.2583,1.1804,3,1984-09-19,2004-05-25
dune_175,33.0,duneline_transect,2.9966,0.7233,0.3526,1.8534,3,1984-09-19,2004-05-25
dune_176,33.0,duneline_transect,3.3112,0.7524,0.3315,1.8993,3,1984-09-19,2004-05-25
dune_177,33.0,duneline_transect,2.8226,0.8526,0.2509,1.1737,3,1984-09-19,2004-05-25
dune_178,34.0,duneline_transect,2.5422,0.8696,0.2352,0.9844,3,1984-09-19,2004-05-25
dune_179,34.0,duneline_transect,2.7909,0.9117,0.1921,0.8686,3,1984-09-19,2004-05-25
dune_180,34.0,duneline_transect,3.4603,0.7498,0.3335,1.9987,3,1984-09-19,2004-05-25
dune_181,34.0,duneline_transect,2.7575,0.7578,0.3275,1.5588,3,1984-09-19,2004-05-25
dune_182,34.0,duneline_transect,2.3735,0.4776,0.5142,2.4822,3,1984-09-19,2004-05-25
dune_183,35.0,duneline_transect,2.586,0.6101,0.4293,2.0673,3,1984-09-19,2004-05-25
dune_184,35.0,duneline_transect,3.9325,0.7267,0.3502,2.4115,3,1984-09-19,2004-05-25
dune_185,35.0,duneline_transect,3.0903,0.7345,0.3446,1.8579,3,1984-09-19,2004-05-25
dune_186,35.0,duneline_transect,2.2479,0.6217,0.4217,1.7534,3,1984-09-19,2004-05-25
dune_187,35.0,duneline_transect,2.4271,0.806,0.2904,1.1909,3,1984-09-19,2004-05-25
dune_188,36.0,duneline_transect,2.4637,0.8459,0.2568,1.0515,3,1984-09-19,2004-05-25
dune_189,36.0,duneline_transect,2.2046,0.6874,0.3777,1.4867,3,1984-09-19,2004-05-25
dune_190,36.0,duneline_transect,2.006,0.7454,0.3367,1.1724,3,1984-09-19,2004-05-25
dune_191,36.0,duneline_transect,2.105,0.878,0.2271,0.7845,3,1984-09-19,2004-05-25
dune_192,36.0,duneline_transect,2.2868,0.9268,0.1744,0.6427,3,1984-09-19,2004-05-25
dune_193,37.0,duneline_transect,2.5424,0.9981,0.0277,0.1106,3,1984-09-19,2004-05-25
dune_194,37.0,duneline_transect,2.1578,0.6998,0.3692,1.4134,3,1984-09-19,2004-05-25
dune_195,37.0,duneline_transect,0.9775,0.9757,0.0997,0.1544,3,1984-09-19,2004-05-25
dune_196,37.0,duneline_transect,0.6571,0.7337,0.3452,0.3958,3,1984-09-19,2004-05-25
dune_197,37.0,duneline_transect,0.2782,0.2102,0.6968,0.5393,3,1984-09-19,2004-05-25
dune_198,38.0,duneline_transect,0.6112,0.2438,0.6713,1.0765,3,1984-09-19,2004-05-25
dune_199,38.0,duneline_transect,-0.0964,0.0107,0.934,0.9269,3,1984-09-19,2004-05-25
dune_200,38.0,duneline_transect,1.0344,0.2194,0.6897,1.9511,3,1984-09-19,2004-05-25
dune_201,38.0,duneline_transect,-0.316,0.0375,0.876,1.6018,3,1984-09-19,2004-05-25
dune_202,38.0,duneline_transect,-0.848,0.3339,0.6078,1.1978,3,1984-09-19,2004-05-25
dune_203,39.0,duneline_transect,-0.7,0.2754,0.6483,1.1356,3,1984-09-19,2004-05-25
dune_204,39.0,duneline_transect,-0.5603,0.2176,0.691,1.0624,3,1984-09-19,2004-05-25
dune_205,39.0,duneline_transect,-0.3785,0.1023,0.7927,1.1212,3,1984-09-19,2004-05-25
dune_206,39.0,duneline_transect,-0.8402,0.3722,0.5823,1.0913,3,1984-09-19,2004-05-25
dune_207,39.0,duneline_transect,-0.7519,0.3658,0.5865,0.9901,3,1984-09-19,2004-05-25
dune_208,40.0,duneline_transect,-0.9263,0.3353,0.6068,1.3041,3,1984-09-19,2004-05-25
dune_209,40.0,duneline_transect,-0.7108,0.2532,0.6643,1.2207,3,1984-09-19,2004-05-25
dune_210,40.0,duneline_transect,-0.2951,0.0471,0.8607,1.327,3,1984-09-19,2004-05-25
dune_211,40.0,duneline_transect,-0.9295,0.3701,0.5836,1.2125,3,1984-09-19,2004-05-25
dune_212,40.0,duneline_transect,-0.967,0.4131,0.5556,1.1526,3,1984-09-19,2004-05-25
dune_213,41.0,duneline_transect,-0.7982,0.3525,0.5953,1.0818,3,1984-09-19,2004-05-25
dune_214,41.0,duneline_transect,-0.8081,0.646,0.4057,0.5982,3,1984-09-19,2004-05-25
dune_215,41.0,duneline_transect,-0.578,0.6455,0.406,0.4284,3,1984-09-19,2004-05-25
dune_216,41.0,duneline_transect,-0.5244,0.1794,0.7216,1.1216,3,1984-09-19,2004-05-25
dune_217,41.0,duneline_transect,-0.8834,0.4146,0.5547,1.0498,3,1984-09-19,2004-05-25
dune_218,42.0,duneline_transect,-0.9039,0.4106,0.5572,1.0829,3,1984-09-19,2004-05-25
dune_219,42.0,duneline_transect,-0.8863,0.3837,0.5747,1.1231,3,1984-09-19,2004-05-25
dune_220,42.0,duneline_transect,-0.6059,0.193,0.7104,1.2387,3,1984-09-19,2004-05-25
dune_221,42.0,duneline_transect,-0.3639,0.1158,0.7789,1.0057,3,1984-09-19,2004-05-25
dune_222,42.0,duneline_transect,-0.4191,0.8312,0.2695,0.1888,3,1984-09-19,2004-05-25
dune_223,43.0,duneline_transect,-0.6914,0.9746,0.102,0.1117,3,1984-09-19,2004-05-25
dune_224,43.0,duneline_transect,-0.5894,0.4512,0.5311,0.6501,3,1984-09-19,2004-05-25
dune_225,43.0,duneline_transect,-0.6351,0.3235,0.6148,0.9183,3,1984-09-19,2004-05-25
dune_226,43.0,duneline_transect,-0.2559,0.046,0.8623,1.1647,3,1984-09-19,2004-05-25
dune_227,43.0,duneline_transect,-0.6948,0.3469,0.5991,0.9534,3,1984-09-19,2004-05-25
dune_228,44.0,duneline_transect,-0.7487,0.542,0.4732,0.6882,3,1984-09-19,2004-05-25
dune_229,44.0,duneline_transect,-0.9438,0.7642,0.3228,0.5242,3,1984-09-19,2004-05-25
dune_230,44.0,duneline_transect,-1.3207,0.8581,0.2459,0.537,3,1984-09-19,2004-05-25
dune_231,44.0,duneline_transect,-1.5221,0.8714,0.2335,0.5846,3,1984-09-19,2004-05-25
dune_232,44.0,duneline_transect,-1.4898,0.8797,0.2255,0.5509,3,1984-09-19,2004-05-25
dune_233,45.0,duneline_transect,-1.9212,0.9528,0.1394,0.4275,3,1984-09-19,2004-05-25
dune_234,45.0,duneline_transect,-1.6907,0.9168,0.1863,0.5094,3,1984-09-19,2004-05-25
dune_235,45.0,duneline_transect,-1.4693,0.8942,0.2109,0.5053,3,1984-09-19,2004-05-25
dune_236,45.0,duneline_transect,-1.5993,0.9471,0.1478,0.3782,3,1984-09-19,2004-05-25
dune_237,45.0,duneline_transect,-2.0805,0.9965,0.0377,0.1234,3,1984-09-19,2004-05-25
