gis,dune_start_m,dune_end_m,dune_change_m,dune_rate_m_yr,cs_lrr_m_yr,cs_endpoint_m_yr,cs_endpoint_change_m,n_obs_start,n_obs_end,n_transects,dune_minus_lrr_m_yr,dune_minus_endpoint_m_yr
22.000,6167.800,6161.800,6.000,0.305,-0.336,0.111,2.182,7.000,19.000,10,0.641,0.194
23.000,6044.400,6047.600,-3.200,-0.163,-0.910,-0.595,-11.708,7.000,18.000,10,0.747,0.432
24.000,5919.800,5921.600,-1.800,-0.091,-0.462,-0.890,-17.519,7.000,20.000,10,0.371,0.799
25.000,5817.400,5824.200,-6.800,-0.346,-0.084,-0.156,-3.073,7.000,20.000,10,-0.262,-0.189
26.000,5719.200,5731.800,-12.600,-0.640,-0.215,-0.397,-7.811,7.000,20.000,10,-0.425,-0.243
27.000,5644.400,5639.200,5.200,0.264,-0.407,0.052,1.018,7.000,20.000,10,0.671,0.213
28.000,5548.000,5526.800,21.200,1.077,0.597,1.005,19.770,7.000,21.000,10,0.480,0.073
29.000,5447.600,5395.400,52.200,2.652,2.076,1.721,33.874,7.000,20.000,10,0.577,0.931
30.000,5350.000,5277.000,73.000,3.709,2.675,3.134,61.682,7.000,21.000,10,1.034,0.575
31.000,5230.000,5160.800,69.200,3.516,2.392,2.535,49.896,7.000,21.000,11,1.124,0.981
32.000,5107.400,5038.800,68.600,3.486,2.435,2.155,42.402,7.000,21.500,10,1.050,1.331
33.000,4966.600,4904.600,62.000,3.150,0.910,0.673,13.238,7.000,20.000,11,2.240,2.478
34.000,4825.200,4763.800,61.400,3.120,-0.904,-0.363,-7.136,7.000,21.000,10,4.024,3.483
35.000,4697.400,4634.000,63.400,3.222,-1.996,-0.354,-6.968,7.000,21.000,11,5.217,3.576
36.000,4574.400,4526.400,48.000,2.439,-1.819,-0.691,-13.607,7.000,22.000,10,4.258,3.131
37.000,4463.400,4436.600,26.800,1.362,-1.172,-1.016,-20.000,7.000,21.000,11,2.534,2.378
38.000,4390.400,4393.800,-3.400,-0.173,-1.450,-1.238,-24.356,7.000,21.000,10,1.277,1.065
39.000,4332.000,4348.400,-16.400,-0.833,-1.359,-1.092,-21.492,7.000,21.000,10,0.526,0.259
40.000,4302.000,4321.600,-19.600,-0.996,-1.188,-1.140,-22.435,7.000,21.500,10,0.192,0.144
41.000,4279.000,4296.000,-17.000,-0.864,-1.805,-1.341,-26.396,7.000,19.500,10,0.941,0.477
42.000,4256.600,4272.400,-15.800,-0.803,-1.380,-1.291,-25.409,7.000,21.000,10,0.577,0.488
43.000,4235.000,4249.000,-14.000,-0.711,-0.494,-0.563,-11.087,7.000,21.000,10,-0.218,-0.148
44.000,4200.000,4225.600,-25.600,-1.301,-0.110,-0.485,-9.554,6.000,21.000,10,-1.191,-0.815
45.000,4165.200,4201.000,-35.800,-1.819,0.183,-0.096,-1.892,6.000,21.000,10,-2.002,-1.723
46.000,4137.200,4172.800,-35.600,-1.809,0.420,0.061,1.210,6.000,21.000,10,-2.229,-1.870
47.000,4106.400,4139.000,-32.600,-1.657,-0.300,0.234,4.610,7.000,20.500,10,-1.357,-1.891
48.000,4073.000,4106.200,-33.200,-1.687,-1.234,-0.278,-5.462,7.000,20.500,10,-0.453,-1.409
49.000,4035.200,4087.400,-52.200,-2.652,-1.845,-1.291,-25.401,7.000,20.000,10,-0.808,-1.362
50.000,3993.200,4073.600,-80.400,-4.085,-1.612,-1.224,-24.090,7.000,20.000,10,-2.473,-2.861
51.000,3951.200,4049.600,-98.400,-5.000,-1.657,-1.839,-36.184,7.000,18.500,10,-3.343,-3.161
52.000,3916.400,4020.200,-103.800,-5.274,-1.806,-1.336,-26.297,7.000,20.000,10,-3.469,-3.938
53.000,3876.800,3978.000,-101.200,-5.142,-1.546,-1.022,-20.113,7.000,19.000,10,-3.596,-4.120
54.000,3816.200,3919.000,-102.800,-5.224,-1.357,-0.881,-17.337,7.000,21.000,10,-3.867,-4.343
55.000,3759.200,3828.800,-69.600,-3.537,-1.087,-0.753,-14.826,7.000,18.000,10,-2.450,-2.783
56.000,3714.200,3718.000,-3.800,-0.193,-0.690,-0.056,-1.093,7.000,21.000,11,0.496,-0.138
57.000,3631.600,3648.200,-16.600,-0.844,-0.381,0.196,3.857,7.000,20.000,10,-0.462,-1.040
58.000,3536.400,3557.800,-21.400,-1.087,-0.094,-0.197,-3.883,7.000,21.000,10,-0.994,-0.890
59.000,3464.800,3467.000,-2.200,-0.112,0.473,0.450,8.856,7.000,20.000,10,-0.585,-0.562
60.000,3363.400,3377.000,-13.600,-0.691,1.016,1.246,24.525,7.000,20.000,10,-1.707,-1.937
61.000,3271.400,3287.000,-15.600,-0.793,1.543,1.749,34.419,7.000,19.000,10,-2.335,-2.542
62.000,3170.200,3179.000,-8.800,-0.447,1.131,2.376,46.766,7.000,20.000,10,-1.578,-2.824
63.000,3082.400,3089.000,-6.600,-0.335,0.069,1.211,23.831,7.000,19.000,10,-0.405,-1.546
64.000,3003.000,2999.000,4.000,0.203,-0.951,0.279,5.489,7.000,20.500,10,1.155,-0.076
65.000,2900.800,2909.000,-8.200,-0.417,-1.420,-0.946,-18.623,7.000,19.000,10,1.003,0.530
66.000,2812.600,2807.000,5.600,0.285,-2.019,-1.817,-35.753,7.000,20.000,11,2.304,2.101
67.000,2688.800,2681.600,7.200,0.366,-1.128,-1.020,-20.076,7.000,19.500,10,1.494,1.386
68.000,2549.200,2555.200,-6.000,-0.305,-0.061,-0.114,-2.234,6.000,19.000,10,-0.244,-0.191
69.000,2427.800,2441.400,-13.600,-0.691,0.541,0.327,6.439,6.000,19.000,10,-1.232,-1.018
70.000,2332.200,2342.800,-10.600,-0.539,0.476,0.277,5.449,6.000,17.500,10,-1.014,-0.816
71.000,2238.800,2253.400,-14.600,-0.742,0.050,-1.326,-26.096,8.000,22.000,10,-0.791,0.584
72.000,2147.800,2183.000,-35.200,-1.789,-0.344,-1.222,-24.054,8.000,20.500,10,-1.445,-0.566
73.000,2082.600,2143.200,-60.600,-3.079,-0.293,-0.819,-16.111,8.000,21.000,10,-2.786,-2.261
74.000,2055.600,2096.600,-41.000,-2.083,1.028,1.308,25.743,8.000,21.000,10,-3.112,-3.391
75.000,2033.600,2047.600,-14.000,-0.711,2.213,3.025,59.533,8.000,21.500,10,-2.924,-3.737
76.000,2010.400,2010.800,-0.400,-0.020,-0.067,1.261,24.816,8.000,22.000,10,0.046,-1.281
77.000,1975.600,1998.000,-22.400,-1.138,-4.923,-3.304,-65.013,8.000,23.000,10,3.785,2.165
78.000,1935.400,1991.800,-56.400,-2.866,-5.949,-5.794,-114.019,8.000,21.500,10,3.083,2.928
79.000,1952.400,2018.400,-66.000,-3.354,-4.752,-5.880,-115.708,7.000,23.000,10,1.399,2.526
80.000,2001.600,2062.600,-61.000,-3.100,-3.311,-5.589,-109.998,8.000,22.000,10,0.211,2.490
81.000,2074.000,2137.400,-63.400,-3.222,-4.260,-5.288,-104.064,8.000,22.500,10,1.039,2.066
82.000,2148.600,2206.600,-58.000,-2.947,-5.781,-5.741,-112.980,8.000,22.000,10,2.833,2.794
83.000,2235.800,2278.800,-43.000,-2.185,-4.371,-4.065,-79.994,8.000,23.500,10,2.186,1.880
84.000,2295.800,2356.600,-60.800,-3.089,-4.495,-3.740,-73.604,8.000,22.000,11,1.406,0.651
85.000,2371.600,2452.000,-80.400,-4.085,-3.273,-3.420,-67.300,7.000,24.000,12,-0.812,-0.666
86.000,2474.200,2541.200,-67.000,-3.405,-2.946,-3.414,-67.182,7.500,21.000,12,-0.459,0.009
87.000,2564.400,2608.400,-44.000,-2.236,-2.936,-3.485,-68.588,8.000,22.000,11,0.700,1.249
88.000,2638.600,2670.200,-31.600,-1.606,-2.245,-2.366,-46.571,8.000,23.000,10,0.639,0.761
89.000,2722.800,2736.800,-14.000,-0.711,-1.305,-1.053,-20.728,8.000,24.000,9,0.593,0.342
90.000,2799.400,2809.000,-9.600,-0.488,0.024,-0.084,-1.662,7.000,24.000,10,-0.512,-0.403
