transect_id,domain_number,distance_m,match_method,northing_m
usa_NC_0037_0106,100,0.0,polygon_join,3948874.739
usa_NC_0037_0107,100,0.0,polygon_join,3948923.087
usa_NC_0037_0108,100,0.0,polygon_join,3948972.237
usa_NC_0037_0109,100,0.0,polygon_join,3949021.341
usa_NC_0037_0110,101,0.0,polygon_join,3949070.468
usa_NC_0037_0111,101,0.0,polygon_join,3949119.738
usa_NC_0037_0112,101,0.0,polygon_join,3949169.89
usa_NC_0037_0113,101,0.0,polygon_join,3949229.836
usa_NC_0037_0114,101,0.0,polygon_join,3949286.351
usa_NC_0037_0115,101,0.0,polygon_join,3949336.82
usa_NC_0037_0116,101,0.0,polygon_join,3949384.332
usa_NC_0037_0117,101,0.0,polygon_join,3949433.41
usa_NC_0037_0118,101,0.0,polygon_join,3949482.711
usa_NC_0037_0119,101,0.0,polygon_join,3949531.92
usa_NC_0037_0120,102,0.0,polygon_join,3949581.724
usa_NC_0037_0121,102,0.0,polygon_join,3949628.523
usa_NC_0037_0122,102,0.0,polygon_join,3949676.367
usa_NC_0037_0123,102,0.0,polygon_join,3949726.483
usa_NC_0037_0124,102,0.0,polygon_join,3949775.477
usa_NC_0037_0125,102,0.0,polygon_join,3949822.654
usa_NC_0037_0126,102,0.0,polygon_join,3949869.375
usa_NC_0037_0127,102,0.0,polygon_join,3949919.801
usa_NC_0037_0128,102,0.0,polygon_join,3949968.562
usa_NC_0037_0129,102,0.0,polygon_join,3950017.558
usa_NC_0037_0130,103,0.0,polygon_join,3950065.357
usa_NC_0037_0131,103,0.0,polygon_join,3950114.567
usa_NC_0037_0132,103,0.0,polygon_join,3950162.595
usa_NC_0037_0133,103,0.0,polygon_join,3950209.94
usa_NC_0037_0134,103,0.0,polygon_join,3950259.278
usa_NC_0037_0135,103,0.0,polygon_join,3950308.644
usa_NC_0037_0136,103,0.0,polygon_join,3950351.651
usa_NC_0037_0137,103,0.0,polygon_join,3950403.777
usa_NC_0037_0138,103,0.0,polygon_join,3950454.072
usa_NC_0037_0139,103,0.0,polygon_join,3950501.153
usa_NC_0037_0140,104,0.0,polygon_join,3950546.617
usa_NC_0037_0141,104,0.0,polygon_join,3950598.108
usa_NC_0037_0142,104,0.0,polygon_join,3950647.829
usa_NC_0037_0143,104,0.0,polygon_join,3950697.257
usa_NC_0037_0144,104,0.0,polygon_join,3950743.983
usa_NC_0037_0145,104,0.0,polygon_join,3950790.116
