gis,dune_start_m,dune_end_m,dune_change_m,dune_rate_m_yr,cs_endpoint_change_m,cs_endpoint_m_yr,n_obs_start,n_obs_end,n_transects,beach_width_change_m,dune_minus_endpoint_m_yr
63,3040.029,3056.399,-16.370,-1.162,3.496,0.248,11.500,38.000,10,19.866,-1.410
64,2954.104,2959.327,-5.223,-0.371,9.801,0.696,11.000,38.500,10,15.024,-1.067
65,2862.742,2856.061,6.680,0.474,32.819,2.330,11.000,38.000,10,26.139,-1.856
66,2766.550,2745.168,21.382,1.518,60.949,4.327,11.000,37.000,11,39.567,-2.809
67,2650.314,2619.936,30.379,2.157,45.102,3.202,10.500,37.000,10,14.723,-1.045
68,2530.759,2506.355,24.403,1.732,9.863,0.700,10.000,37.000,10,-14.540,1.032
69,2421.342,2407.712,13.630,0.968,10.695,0.759,10.500,38.500,10,-2.935,0.209
70,2338.431,2322.021,16.410,1.165,12.447,0.884,11.000,39.000,10,-3.963,0.281
71,2247.762,2241.385,6.378,0.453,15.700,1.115,10.000,44.000,10,9.322,-0.662
72,2179.284,2158.301,20.983,1.490,21.671,1.538,10.000,45.000,10,0.688,-0.048
73,2124.179,2094.619,29.560,2.098,10.516,0.747,9.000,46.000,10,-19.044,1.351
74,2064.774,2054.659,10.116,0.718,0.056,0.004,11.000,46.000,10,-10.060,0.714
75,2023.605,2040.309,-16.704,-1.186,-17.910,-1.271,10.000,46.000,10,-1.206,0.085
76,2004.070,2025.234,-21.164,-1.502,-23.113,-1.641,10.000,46.500,10,-1.949,0.139
77,2010.515,2032.810,-22.295,-1.583,-32.786,-2.328,9.000,45.000,10,-10.491,0.745
78,2015.870,2047.554,-31.684,-2.249,-38.093,-2.704,11.000,44.000,10,-6.409,0.455
79,2041.807,2057.538,-15.731,-1.117,-14.859,-1.055,9.000,43.500,10,0.872,-0.062
80,2101.908,2118.489,-16.581,-1.177,-10.111,-0.718,9.000,41.000,10,6.470,-0.459
81,2169.865,2167.727,2.138,0.152,-22.088,-1.568,9.000,42.500,10,-24.226,1.720
82,2244.899,2246.032,-1.134,-0.080,-34.326,-2.437,9.000,44.000,10,-33.192,2.357
83,2298.994,2334.450,-35.456,-2.517,-29.152,-2.070,9.500,45.000,10,6.304,-0.447
84,2394.128,2416.266,-22.138,-1.572,-16.366,-1.162,10.000,44.000,11,5.772,-0.410
85,2481.426,2477.071,4.355,0.309,-4.031,-0.286,10.000,43.000,12,-8.386,0.595
86,2553.891,2544.698,9.193,0.653,-0.007,-0.001,10.000,41.000,12,-9.200,0.654
87,2620.642,2616.401,4.241,0.301,9.016,0.640,10.000,42.000,11,4.775,-0.339
88,2678.640,2663.635,15.005,1.065,36.332,2.579,10.000,42.000,10,21.327,-1.514
89,2737.964,2719.026,18.938,1.344,39.739,2.821,9.000,42.000,9,20.801,-1.477
90,2810.560,2794.628,15.932,1.131,48.928,3.473,10.000,39.000,10,32.996,-2.342
