transect_id,domain_number,line_id,position_1997_m,position_2009_m,change_m,rate_m_yr,start_vintage,end_vintage,start_date,end_date,start_date_assumed,end_date_assumed,interval_yr
dune_183,35,183,4685.168,4705.017,-19.848,-1.7066,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_184,35,184,4643.376,4693.777,-50.401,-4.3336,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_185,35,185,4615.836,4671.798,-55.962,-4.8117,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_186,35,186,4591.305,4645.443,-54.139,-4.6549,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_187,35,187,4567.464,4625.542,-58.079,-4.9937,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_188,36,188,4550.835,4609.694,-58.859,-5.0608,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_189,36,189,4548.996,4584.09,-35.094,-3.0174,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_190,36,190,4530.303,4559.965,-29.662,-2.5504,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_191,36,191,4528.018,4537.147,-9.13,-0.785,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_192,36,192,4511.684,4514.491,-2.808,-0.2414,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_193,37,193,4481.746,4495.221,-13.474,-1.1586,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_194,37,194,4457.424,4478.688,-21.265,-1.8284,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_195,37,195,4436.509,4460.292,-23.782,-2.0448,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_196,37,196,4417.829,4448.083,-30.255,-2.6013,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_197,37,197,4401.273,4436.897,-35.624,-3.063,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_198,38,198,4390.958,4415.067,-24.108,-2.0729,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_199,38,199,4382.253,4401.645,-19.391,-1.6673,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_200,38,200,4363.525,4392.502,-28.977,-2.4915,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_201,38,201,4354.341,4379.078,-24.737,-2.1269,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_202,38,202,4347.339,4371.415,-24.076,-2.0701,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_203,39,203,4336.063,4353.936,-17.873,-1.5368,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_204,39,204,4327.768,4342.557,-14.789,-1.2716,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_205,39,205,4322.699,4336.071,-13.372,-1.1498,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_206,39,206,4315.049,4325.449,-10.4,-0.8942,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_207,39,207,4307.332,4320.262,-12.931,-1.1118,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_208,40,208,4300.136,4315.076,-14.94,-1.2846,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_209,40,209,4297.978,4312.587,-14.609,-1.2561,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_210,40,210,4293.559,4310.549,-16.989,-1.4608,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_211,40,211,4286.365,4305.49,-19.125,-1.6444,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_212,40,212,4282.089,4300.874,-18.785,-1.6152,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_213,41,213,4279.385,4297.494,-18.109,-1.557,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
