gis,dune_start_m,dune_end_m,dune_change_m,dune_rate_m_yr,cs_lrr_m_yr,cs_endpoint_m_yr,cs_endpoint_change_m,n_obs_start,n_obs_end,n_transects,dune_minus_lrr_m_yr,dune_minus_endpoint_m_yr
73.000,2142.063,2094.619,47.444,2.484,1.376,0.709,13.540,21.000,46.000,10,1.108,1.775
74.000,2095.565,2054.659,40.906,2.142,-0.276,0.098,1.878,21.000,46.000,10,2.417,2.043
75.000,2046.665,2040.309,6.355,0.333,-1.356,-1.739,-33.216,21.500,46.000,10,1.689,2.072
76.000,2009.712,2025.234,-15.522,-0.813,-1.589,-2.321,-44.322,22.000,46.500,10,0.776,1.508
77.000,1997.014,2032.811,-35.796,-1.874,-1.425,-2.077,-39.668,23.000,45.000,10,-0.449,0.203
78.000,1990.853,2047.554,-56.701,-2.969,-2.091,-2.241,-42.800,21.500,44.000,10,-0.878,-0.728
79.000,2017.474,2057.538,-40.064,-2.098,-1.430,-1.135,-21.670,23.000,43.500,10,-0.668,-0.963
80.000,2061.515,2118.489,-56.973,-2.983,-1.426,-2.351,-44.905,22.000,41.000,10,-1.557,-0.632
81.000,2136.394,2167.727,-31.333,-1.641,-0.724,-0.812,-15.506,22.500,42.500,10,-0.916,-0.829
82.000,2205.511,2246.032,-40.521,-2.122,-1.656,-0.976,-18.649,22.000,44.000,10,-0.466,-1.145
83.000,2277.637,2334.450,-56.813,-2.975,-2.079,-2.553,-48.766,23.500,45.000,10,-0.896,-0.421
84.000,2355.550,2416.266,-60.717,-3.179,-1.047,-1.570,-29.981,22.000,44.000,11,-2.132,-1.609
85.000,2450.948,2477.071,-26.123,-1.368,-0.290,-0.551,-10.515,24.000,43.000,12,-1.078,-0.817
86.000,2540.121,2544.698,-4.577,-0.240,0.243,0.426,8.141,21.000,41.000,12,-0.482,-0.666
87.000,2607.630,2616.401,-8.771,-0.459,0.971,1.453,27.746,22.000,42.000,11,-1.430,-1.912
88.000,2669.309,2663.635,5.674,0.297,1.989,2.766,52.826,23.000,42.000,10,-1.692,-2.469
89.000,2735.666,2719.026,16.640,0.871,1.718,2.164,41.326,24.000,42.000,9,-0.847,-1.293
90.000,2808.117,2794.628,13.489,0.706,1.683,2.136,40.805,24.000,39.000,10,-0.977,-1.430
