gis,dune_start_m,dune_end_m,dune_change_m,dune_rate_m_yr,cs_lrr_m_yr,cs_endpoint_m_yr,cs_endpoint_change_m,n_obs_start,n_obs_end,n_transects,dune_minus_lrr_m_yr,dune_minus_endpoint_m_yr
58.000,3556.726,3549.050,7.676,0.402,0.392,0.353,6.738,21.000,39.500,10,0.010,0.049
59.000,3465.987,3455.689,10.299,0.539,0.412,0.109,2.090,20.000,39.000,10,0.127,0.430
60.000,3376.042,3364.346,11.696,0.612,-0.579,-1.006,-19.215,20.000,39.000,10,1.192,1.618
61.000,3286.098,3268.429,17.669,0.925,-1.413,-1.617,-30.885,19.000,39.000,10,2.338,2.542
62.000,3178.164,3156.769,21.395,1.120,-1.721,-1.709,-32.645,20.000,39.000,10,2.841,2.829
63.000,3088.219,3056.399,31.821,1.666,-0.066,-0.452,-8.627,19.000,38.000,10,1.732,2.118
64.000,2998.075,2959.327,38.748,2.029,0.734,-0.156,-2.980,20.500,38.500,10,1.295,2.185
65.000,2907.649,2860.705,46.944,2.458,1.641,1.024,19.556,19.000,38.000,10,0.817,1.434
66.000,2806.172,2766.129,40.042,2.097,3.462,3.124,59.663,20.000,37.000,11,-1.365,-1.027
67.000,2680.544,2639.799,40.744,2.133,3.085,3.338,63.751,19.500,37.000,10,-0.952,-1.205
68.000,2554.074,2526.054,28.020,1.467,1.310,2.653,50.679,19.000,37.000,10,0.157,-1.186
69.000,2440.325,2417.335,22.990,1.204,0.764,2.212,42.240,19.000,38.500,10,0.439,-1.008
70.000,2341.755,2323.529,18.225,0.954,0.932,0.594,11.343,17.500,39.000,10,0.022,0.360
71.000,2252.334,2243.063,9.271,0.485,1.221,0.957,18.271,22.000,44.000,10,-0.736,-0.471
72.000,2182.169,2176.316,5.854,0.306,1.763,1.450,27.699,20.500,45.000,10,-1.456,-1.144
73.000,2142.063,2115.974,26.090,1.366,1.376,0.709,13.540,21.000,46.000,10,-0.010,0.657
74.000,2095.565,2055.938,39.627,2.075,-0.276,0.098,1.878,21.000,46.000,10,2.350,1.976
75.000,2046.665,2040.393,6.272,0.328,-1.356,-1.739,-33.216,21.500,46.000,10,1.685,2.067
76.000,2009.712,2025.234,-15.522,-0.813,-1.589,-2.321,-44.322,22.000,46.500,10,0.776,1.508
77.000,1997.014,2032.811,-35.796,-1.874,-1.425,-2.077,-39.668,23.000,45.000,10,-0.449,0.203
78.000,1990.853,2048.799,-57.946,-3.034,-2.091,-2.241,-42.800,21.500,44.000,10,-0.943,-0.793
79.000,2017.474,2057.538,-40.064,-2.098,-1.430,-1.135,-21.670,23.000,43.500,10,-0.668,-0.963
80.000,2061.515,2118.489,-56.973,-2.983,-1.426,-2.351,-44.905,22.000,41.000,10,-1.557,-0.632
81.000,2136.394,2171.602,-35.208,-1.843,-0.724,-0.812,-15.506,22.500,42.500,10,-1.119,-1.032
82.000,2205.511,2246.032,-40.521,-2.122,-1.656,-0.976,-18.649,22.000,44.000,10,-0.466,-1.145
83.000,2277.637,2334.450,-56.813,-2.975,-2.079,-2.553,-48.766,23.500,45.000,10,-0.896,-0.421
84.000,2355.550,2421.766,-66.217,-3.467,-1.047,-1.570,-29.981,22.000,44.000,11,-2.420,-1.897
85.000,2450.948,2478.484,-27.536,-1.442,-0.290,-0.551,-10.515,24.000,43.000,12,-1.152,-0.891
86.000,2540.121,2547.027,-6.906,-0.362,0.243,0.426,8.141,21.000,41.000,12,-0.604,-0.788
87.000,2607.630,2617.516,-9.885,-0.518,0.971,1.453,27.746,22.000,42.000,11,-1.488,-1.970
88.000,2669.309,2680.055,-10.747,-0.563,1.989,2.766,52.826,23.000,42.000,10,-2.551,-3.329
89.000,2735.666,2744.315,-8.649,-0.453,1.718,2.164,41.326,24.000,42.000,9,-2.171,-2.617
90.000,2808.117,2809.412,-1.295,-0.068,1.683,2.136,40.805,24.000,39.000,10,-1.751,-2.204
