scenario,kind,domain,setback_m,verdict,road_off_island,pct_road_cells_water,pct_profiles_road_submerged,pct_bayside_water,pct_seaside_water,pct_findwidths_disagree,road_start_cell,road_end_cell,border_row,domain_width_rows,iw_min,iw_p20,iw_median,iw_max,largest_fitting_setback_m,narrow_label,pct_profiles_land_behind,land_behind_median_cells,gap_median_cells,relocation_road_ele_m,relocation_ele_refuses,average_barrier_width_m,relocation_width_refuses
2004 initial,initial,66,340.0,FITS,False,0.0,0.0,0.0,0.0,0.0,34,36,37,71,60,64,65,70,610.0,TRUE_END,0.0,0,0,,,,
2004 initial,initial,67,420.0,FITS,False,0.0,0.0,0.0,0.0,0.0,42,44,45,74,46,66,68,71,640.0,TRUE_END,16.0,0,1,,,,
2004 initial,initial,68,555.0,FITS,False,2.0,2.0,2.0,0.0,8.0,55,57,58,78,46,61,72,76,610.0,MIXED,32.0,0,1,,,,
2004 initial,initial,69,560.0,FITS,False,0.0,0.0,0.0,0.0,2.0,56,58,59,82,37,70,75,79,720.0,HOLED,62.0,2,1,,,,
2004 initial,initial,70,480.0,FITS,False,0.0,0.0,0.0,0.0,0.0,48,50,51,80,54,69,72,78,670.0,HOLED,54.0,1,1,,,,
2004 initial,initial,71,410.0,FITS,False,2.0,0.0,2.0,2.0,8.0,41,43,44,83,39,55,73,82,670.0,HOLED,60.0,2,1,,,,
2004 initial,initial,72,490.0,FITS,False,0.0,0.0,0.0,0.0,0.0,49,51,52,82,70,79,80,81,760.0,TRUE_END,8.0,0,1,,,,
2004 initial,initial,73,550.0,FITS,False,0.0,0.0,0.0,0.0,24.0,55,57,58,80,22,25,77,79,730.0,MIXED,26.0,0,9,,,,
2004 initial,initial,74,600.0,FITS,False,0.0,0.0,0.0,0.0,20.0,60,62,63,76,22,62,74,75,710.0,MIXED,24.0,0,7,,,,
2004 initial,initial,75,540.0,FITS,False,0.0,0.0,0.0,0.0,0.0,54,56,57,74,68,69,71,73,670.0,TRUE_END,2.0,0,1,,,,
2004 initial,initial,76,505.0,FITS,False,0.0,0.0,2.0,0.0,0.0,50,52,53,68,52,62,64,67,600.0,TRUE_END,4.0,0,1,,,,
2004 initial,initial,77,500.0,FITS,False,3.0,0.0,6.0,4.0,18.0,50,52,53,63,35,52,55,62,520.0,MIXED,32.0,0,3,,,,
2004 initial,initial,78,470.0,FITS,False,0.0,0.0,16.0,0.0,10.0,47,49,50,68,35,49,51,67,470.0,MIXED,26.0,0,1,,,,
2004 initial,initial,79,400.0,FITS,False,0.0,0.0,18.0,0.0,8.0,40,42,43,68,19,42,62,67,400.0,TRUE_END,16.0,0,1,,,,
2004 initial,initial,80,450.0,FITS,False,0.0,0.0,2.0,0.0,0.0,45,47,48,68,47,48,63,67,450.0,TRUE_END,0.0,0,0,,,,
2004 initial,initial,81,350.0,FITS,False,0.0,0.0,0.0,0.0,0.0,35,37,38,57,50,50,51,56,470.0,TRUE_END,0.0,0,0,,,,
2004 initial,initial,82,115.0,FITS,False,0.0,0.0,0.0,0.0,0.0,11,13,14,57,39,44,48,56,420.0,TRUE_END,14.0,0,1,,,,
2004 initial,initial,83,60.0,FITS,False,0.0,0.0,0.0,0.0,0.0,6,8,9,52,39,45,46,51,420.0,TRUE_END,6.0,0,1,,,,
2004 initial,initial,84,0.0,FITS,False,0.0,0.0,0.0,0.0,0.0,0,2,3,51,3,15,19,44,320.0,HOLED,96.0,15,4,,,,
2004 initial,initial,85,30.0,FITS,False,0.0,0.0,0.0,0.0,0.0,3,5,6,50,17,20,29,46,280.0,HOLED,80.0,4,1,,,,
2004 initial,initial,86,20.0,FITS,False,0.0,0.0,0.0,0.0,0.0,2,4,5,39,9,10,19,38,70.0,HOLED,58.0,1,2,,,,
2004 initial,initial,87,30.0,FITS,False,0.0,0.0,0.0,0.0,0.0,3,5,6,40,10,12,18,23,130.0,HOLED,78.0,3,3,,,,
2004 initial,initial,88,110.0,FITS,False,0.0,0.0,0.0,0.0,0.0,11,13,14,56,20,28,32,49,250.0,HOLED,66.0,1,2,,,,
2004 initial,initial,89,160.0,FITS,False,0.0,0.0,0.0,0.0,0.0,16,18,19,73,47,55,58,69,540.0,MIXED,38.0,0,1,,,,
2004 initial,initial,90,150.0,FITS,False,0.0,0.0,0.0,0.0,0.0,15,17,18,76,27,37,49,74,350.0,HOLED,90.0,13,2,,,,
