scenario,kind,domain,setback_m,verdict,road_off_island,pct_road_cells_water,pct_profiles_road_submerged,pct_bayside_water,pct_seaside_water,pct_findwidths_disagree,road_start_cell,road_end_cell,border_row,domain_width_rows,iw_min,iw_p20,iw_median,iw_max,largest_fitting_setback_m,narrow_label,pct_profiles_land_behind,land_behind_median_cells,gap_median_cells,relocation_road_ele_m,relocation_ele_refuses,average_barrier_width_m,relocation_width_refuses
"1999 relocation (inter-village south, GIS 9-15) - zero-retreat bound",relocation,9,73.0,FITS,False,0.0,0.0,0.0,0.0,0.0,7,9,10,99,10,13,16,71,100.0,HOLED,98.0,33,3,1.14,False,184.6,False
"1999 relocation (inter-village south, GIS 9-15) - zero-retreat bound",relocation,10,97.0,DROWNS,False,12.0,0.0,48.0,0.0,14.0,9,11,12,59,8,9,11,17,70.0,HOLED,100.0,6,2,0.36,False,111.2,True
"1999 relocation (inter-village south, GIS 9-15) - zero-retreat bound",relocation,11,129.0,DROWNS,True,90.0,88.0,96.0,90.0,0.0,12,14,15,60,5,7,8,15,40.0,HOLED,72.0,3,28,-2.2,True,84.6,True
"1999 relocation (inter-village south, GIS 9-15) - zero-retreat bound",relocation,12,126.0,DROWNS,True,80.0,72.0,100.0,58.0,0.0,12,14,15,58,6,7,10,14,40.0,TRUE_END,16.0,0,1,-1.59,True,96.6,True
"1999 relocation (inter-village south, GIS 9-15) - zero-retreat bound",relocation,13,125.0,DROWNS,True,71.0,62.0,98.0,28.0,0.0,12,14,15,16,8,9,11,15,70.0,TRUE_END,2.0,0,1,-0.78,True,111.6,True
"1999 relocation (inter-village south, GIS 9-15) - zero-retreat bound",relocation,14,126.0,DROWNS,True,55.0,52.0,74.0,42.0,0.0,12,14,15,22,7,8,11,19,50.0,TRUE_END,4.0,0,1,-0.85,True,118.8,True
"1999 relocation (inter-village south, GIS 9-15) - zero-retreat bound",relocation,15,106.0,DROWNS,True,38.0,22.0,64.0,0.0,0.0,10,12,13,21,9,9,10,19,60.0,TRUE_END,2.0,0,1,0.5,False,114.6,True
"1989 relocation (Pea Island, GIS 84-87) - zero-retreat bound",relocation,84,163.0,DROWNS,True,31.0,30.0,34.0,8.0,12.0,16,18,19,51,3,15,19,44,320.0,HOLED,96.0,15,4,0.21,False,201.6,True
"1989 relocation (Pea Island, GIS 84-87) - zero-retreat bound",relocation,85,165.0,FITS,False,0.0,0.0,6.0,0.0,4.0,16,18,19,50,17,20,29,46,280.0,HOLED,80.0,4,1,0.24,False,290.2,False
"1989 relocation (Pea Island, GIS 84-87) - zero-retreat bound",relocation,86,205.0,DROWNS,True,24.0,20.0,40.0,22.0,14.0,20,22,23,39,9,10,19,38,70.0,HOLED,58.0,1,2,0.15,False,215.8,True
"1989 relocation (Pea Island, GIS 84-87) - zero-retreat bound",relocation,87,113.0,DROWNS,False,7.0,2.0,28.0,0.0,12.0,11,13,14,40,10,12,18,23,130.0,HOLED,78.0,3,3,0.35,False,164.6,False
