domain,topo_version,n_profiles,shift_m_median,shift_cells_median,shift_m_p10,shift_m_p90,shift_m_min,shift_m_max,row0_cell_median,duneline_cell_median
61,v1,50,-5.8,-0.58,-11.7,1.6,-20.4,26.2,10.0,10.45
62,v1,50,-0.7,-0.07,-29.0,6.9,-34.3,9.7,11.0,11.3
63,v1,50,1.4,0.14,-35.3,13.9,-39.6,18.4,11.0,10.95
64,v1,50,-30.3,-3.03,-34.8,-14.9,-38.4,13.3,9.5,12.47
65,v1,50,-23.8,-2.38,-31.0,-12.7,-38.5,-4.6,10.0,11.97
66,v1,50,-21.7,-2.17,-36.5,-15.4,-43.6,-10.9,13.0,14.77
67,v1,50,-12.8,-1.28,-32.0,10.6,-39.4,27.8,16.0,16.84
68,v1,50,3.8,0.38,-4.5,11.4,-9.6,14.1,18.0,17.39
69,v1,50,10.8,1.08,3.4,18.9,1.3,41.2,13.0,11.2
70,v1,50,7.6,0.76,3.5,11.8,1.3,14.1,11.5,10.65
71,v1,50,10.7,1.07,6.0,15.4,2.4,18.4,9.0,8.37
72,v1,50,13.4,1.34,5.0,19.3,1.3,23.4,12.0,10.64
73,v1,50,2.9,0.29,-2.8,11.3,-5.9,28.2,15.0,13.95
74,v1,50,-4.3,-0.43,-9.6,1.0,-12.7,5.4,13.0,13.21
75,v1,50,-0.4,-0.04,-7.7,5.4,-11.6,8.5,9.0,9.04
76,v1,50,14.4,1.44,9.8,19.7,8.5,22.3,9.0,7.15
77,v1,50,24.2,2.42,20.5,26.7,10.9,27.3,9.0,6.58
78,v1,50,38.5,3.85,22.2,43.9,19.9,62.9,12.0,7.96
79,v1,50,34.1,3.41,27.1,49.5,24.6,60.4,9.0,5.51
80,v1,50,52.0,5.2,45.2,58.3,42.5,62.1,7.0,1.6
81,v1,50,23.6,2.36,14.1,43.6,9.9,47.4,8.0,5.52
82,v1,50,39.3,3.93,27.5,47.1,21.7,51.7,8.5,4.41
83,v1,50,17.0,1.7,3.9,30.7,-1.6,37.6,5.0,3.3
84,v1,50,17.7,1.77,4.5,25.9,-1.1,29.6,3.0,1.23
85,v1,50,24.0,2.4,9.6,39.0,-6.1,44.0,6.0,3.26
86,v1,50,5.3,0.53,-1.5,12.6,-12.5,16.3,7.0,6.44
87,v1,50,9.9,0.99,4.5,14.9,1.3,18.2,7.0,6.01
88,v1,50,22.8,2.28,17.0,39.3,9.3,49.8,8.0,5.97
89,v1,50,13.8,1.38,9.6,18.6,8.0,23.1,8.0,6.91
90,v1,50,16.9,1.69,11.9,21.9,7.7,31.2,9.0,7.75
