gis,dune_start_m,dune_end_m,dune_change_m,dune_rate_m_yr,cs_lrr_m_yr,cs_endpoint_m_yr,cs_endpoint_change_m,n_obs_start,n_obs_end,n_transects,dune_minus_lrr_m_yr,dune_minus_endpoint_m_yr
19.000,6487.115,6472.883,14.232,1.010,3.307,2.743,38.635,7.000,36.000,10,-2.297,-1.732
20.000,6403.470,6389.331,14.139,1.004,3.223,3.041,42.832,5.000,36.000,10,-2.219,-2.037
21.000,6289.237,6283.737,5.500,0.390,1.667,-0.209,-2.946,7.000,39.000,11,-1.277,0.600
22.000,6161.641,6186.058,-24.416,-1.733,-0.026,-1.579,-22.243,5.000,39.000,10,-1.707,-0.154
23.000,6049.389,6094.977,-45.588,-3.236,-0.582,-0.977,-13.767,9.500,39.000,10,-2.654,-2.259
24.000,5944.087,5983.428,-39.341,-2.793,0.705,-0.431,-6.076,8.000,39.000,10,-3.498,-2.362
25.000,5839.019,5881.842,-42.823,-3.040,0.442,-1.362,-19.190,9.000,39.000,10,-3.482,-1.678
26.000,5755.085,5767.866,-12.782,-0.907,0.292,-0.884,-12.455,8.000,38.000,10,-1.199,-0.023
27.000,5651.712,5648.350,3.362,0.239,-0.587,-0.927,-13.052,9.000,38.000,10,0.826,1.165
28.000,5551.500,5533.163,18.337,1.302,2.230,2.605,36.689,8.000,39.000,10,-0.929,-1.303
29.000,5434.511,5414.458,20.053,1.424,4.642,4.180,58.883,8.500,39.000,10,-3.219,-2.757
30.000,5334.902,5296.776,38.126,2.707,4.601,3.533,49.773,8.000,39.000,10,-1.895,-0.827
31.000,5208.427,5179.842,28.586,2.029,2.518,1.696,23.895,9.000,39.000,11,-0.489,0.333
32.000,5093.532,5086.561,6.971,0.495,2.255,1.365,19.229,9.500,40.000,10,-1.760,-0.870
33.000,4955.263,4943.133,12.130,0.861,2.536,1.306,18.403,9.000,39.000,11,-1.675,-0.445
34.000,4804.112,4797.763,6.349,0.451,3.805,3.021,42.548,9.500,40.000,10,-3.355,-2.570
35.000,4683.204,4683.276,-0.072,-0.005,3.464,2.720,38.318,8.000,40.000,11,-3.469,-2.725
36.000,4561.078,4561.078,-0.000,-0.000,2.489,2.928,41.242,10.000,40.000,10,-2.489,-2.928
37.000,4463.836,4463.836,-0.000,-0.000,1.020,1.599,22.519,8.000,40.000,11,-1.020,-1.599
38.000,4392.498,4388.900,3.599,0.255,0.962,-0.749,-10.554,10.000,40.000,10,-0.706,1.005
39.000,4336.054,4336.648,-0.594,-0.042,1.401,-0.980,-13.806,8.000,40.000,10,-1.443,0.938
40.000,4308.973,4318.922,-9.948,-0.706,0.835,-0.129,-1.811,9.000,38.000,10,-1.541,-0.578
41.000,4287.588,4285.856,1.732,0.123,0.774,0.822,11.584,8.000,36.500,10,-0.651,-0.699
42.000,4262.314,4254.559,7.755,0.551,0.133,-0.634,-8.934,10.000,36.000,10,0.417,1.185
43.000,4237.568,4235.185,2.383,0.169,0.302,0.297,4.190,8.000,35.000,10,-0.133,-0.128
44.000,4207.395,4210.305,-2.910,-0.207,0.070,-0.781,-10.999,9.500,36.000,10,-0.276,0.574
45.000,4184.093,4187.798,-3.705,-0.263,-0.109,-1.740,-24.508,8.000,36.000,10,-0.154,1.477
46.000,4158.931,4166.581,-7.650,-0.543,-0.994,-1.784,-25.133,10.500,39.000,10,0.451,1.241
47.000,4124.491,4141.809,-17.317,-1.229,-0.037,-1.415,-19.935,11.000,41.000,10,-1.193,0.186
48.000,4113.705,4104.275,9.431,0.669,0.090,-1.105,-15.566,11.000,40.000,10,0.579,1.775
49.000,4082.805,4073.214,9.591,0.681,-0.750,-1.824,-25.689,10.500,40.000,10,1.431,2.505
50.000,4048.694,4044.602,4.092,0.290,-1.355,-0.548,-7.726,11.000,40.000,10,1.646,0.839
51.000,4013.937,4007.259,6.679,0.474,-1.310,0.508,7.152,11.000,40.000,10,1.784,-0.034
52.000,3989.510,3986.050,3.460,0.246,-1.808,-0.450,-6.339,11.000,39.500,10,2.054,0.696
53.000,3953.788,3929.188,24.600,1.746,-1.242,-1.300,-18.318,11.000,41.000,10,2.988,3.047
54.000,3857.630,3867.071,-9.441,-0.670,-1.314,-1.644,-23.164,11.000,41.000,10,0.644,0.974
55.000,3780.795,3800.807,-20.013,-1.421,-1.037,-0.983,-13.847,11.000,40.000,10,-0.383,-0.438
56.000,3710.254,3713.638,-3.384,-0.240,-0.507,-0.777,-10.940,10.000,40.000,11,0.267,0.536
57.000,3640.083,3631.995,8.088,0.574,0.289,-0.312,-4.394,11.000,39.000,10,0.285,0.886
58.000,3549.779,3549.050,0.729,0.052,0.617,-0.052,-0.734,10.000,39.500,10,-0.565,0.104
59.000,3460.110,3455.689,4.421,0.314,0.435,0.055,0.776,12.000,39.000,10,-0.121,0.259
60.000,3362.996,3364.346,-1.350,-0.096,-0.251,-1.384,-19.501,10.000,39.000,10,0.155,1.289
61.000,3269.578,3268.429,1.149,0.082,-1.116,-1.874,-26.395,11.500,39.000,10,1.198,1.955
62.000,3163.444,3156.769,6.674,0.474,-1.247,-1.589,-22.390,10.500,39.000,10,1.721,2.063
63.000,3043.998,3056.399,-12.401,-0.880,1.441,0.248,3.496,11.500,38.000,10,-2.321,-1.129
64.000,2954.104,2959.327,-5.223,-0.371,2.272,0.696,9.801,11.000,38.500,10,-2.643,-1.067
65.000,2868.240,2860.705,7.535,0.535,2.905,2.330,32.819,11.000,38.000,10,-2.370,-1.795
66.000,2766.860,2766.129,0.731,0.052,4.799,4.327,60.949,11.000,37.000,11,-4.748,-4.275
67.000,2650.314,2639.799,10.515,0.746,3.927,3.202,45.102,10.500,37.000,10,-3.180,-2.455
68.000,2542.838,2526.054,16.784,1.192,1.656,0.700,9.863,10.000,37.000,10,-0.465,0.491
69.000,2437.621,2417.335,20.285,1.440,1.510,0.759,10.695,10.500,38.500,10,-0.070,0.681
70.000,2339.346,2323.529,15.817,1.123,1.923,0.884,12.447,11.000,39.000,10,-0.800,0.239
71.000,2250.292,2243.063,7.230,0.513,1.429,1.115,15.700,10.000,44.000,10,-0.916,-0.601
72.000,2179.284,2176.316,2.968,0.211,1.752,1.538,21.671,10.000,45.000,10,-1.542,-1.328
73.000,2130.236,2115.974,14.262,1.012,0.403,0.747,10.516,9.000,46.000,10,0.610,0.266
74.000,2082.102,2055.938,26.164,1.857,-0.882,0.004,0.056,11.000,46.000,10,2.739,1.853
75.000,2035.391,2040.393,-5.002,-0.355,0.062,-1.271,-17.910,10.000,46.000,10,-0.417,0.916
76.000,2004.070,2025.234,-21.164,-1.502,-0.619,-1.641,-23.113,10.000,46.500,10,-0.884,0.138
77.000,2010.515,2032.811,-22.295,-1.583,-2.126,-2.328,-32.786,9.000,45.000,10,0.543,0.745
78.000,2015.870,2048.799,-32.929,-2.338,-3.527,-2.704,-38.093,11.000,44.000,10,1.190,0.367
79.000,2041.808,2057.538,-15.731,-1.117,-0.860,-1.055,-14.859,9.000,43.500,10,-0.257,-0.062
80.000,2101.908,2118.489,-16.581,-1.177,-0.140,-0.718,-10.111,9.000,41.000,10,-1.037,-0.459
81.000,2169.865,2171.602,-1.737,-0.123,-0.160,-1.568,-22.088,9.000,42.500,10,0.037,1.445
82.000,2244.899,2246.032,-1.134,-0.080,-1.723,-2.437,-34.326,9.000,44.000,10,1.642,2.356
83.000,2298.994,2334.450,-35.456,-2.517,-1.257,-2.070,-29.152,9.500,45.000,10,-1.261,-0.448
84.000,2394.815,2421.766,-26.951,-1.913,-0.415,-1.162,-16.366,10.000,44.000,11,-1.498,-0.751
85.000,2505.949,2478.484,27.465,1.950,-0.120,-0.286,-4.031,10.000,43.000,12,2.070,2.236
86.000,2569.159,2547.027,22.132,1.571,0.145,-0.001,-0.007,10.000,41.000,12,1.426,1.572
87.000,2621.651,2617.516,4.135,0.294,0.793,0.640,9.016,10.000,42.000,11,-0.500,-0.347
88.000,2678.640,2680.055,-1.416,-0.101,2.023,2.579,36.332,10.000,42.000,10,-2.124,-2.680
89.000,2737.964,2744.315,-6.350,-0.451,1.766,2.821,39.739,9.000,42.000,9,-2.217,-3.272
90.000,2810.560,2809.412,1.148,0.081,1.912,3.473,48.928,10.000,39.000,10,-1.831,-3.392
