gis,year,free_v2_m,free_v3_m,free_v3_minus_v2_m,prescribed_v2_m,prescribed_v3_m,prescribed_v3_minus_v2_m
39,1995,210.0,200.8,-9.199999999999989,210.0,200.8,-9.199999999999989
39,1996,210.0,200.8,-9.199999999999989,210.0,200.8,-9.199999999999989
39,1997,210.0,200.8,-9.199999999999989,210.0,200.8,-9.199999999999989
39,1998,210.0,200.8,-9.199999999999989,210.0,200.8,-9.199999999999989
39,1999,210.0,200.8,-9.199999999999989,210.0,200.8,-9.199999999999989
39,2000,210.0,200.8,-9.199999999999989,210.0,200.8,-9.199999999999989
39,2001,210.0,200.8,-9.199999999999989,210.0,200.8,-9.199999999999989
39,2002,210.0,200.8,-9.199999999999989,210.0,200.8,-9.199999999999989
39,2003,210.0,200.8,-9.199999999999989,210.0,200.8,-9.199999999999989
39,2004,200.0,190.8,-9.199999999999989,200.0,190.8,-9.199999999999989
40,1984,210.0,205.1,-4.900000000000006,210.0,205.1,-4.900000000000006
40,1985,210.0,205.1,-4.900000000000006,210.0,205.1,-4.900000000000006
40,1986,200.0,195.1,-4.900000000000006,200.0,195.1,-4.900000000000006
40,1987,200.0,195.1,-4.900000000000006,200.0,195.1,-4.900000000000006
40,1988,200.0,195.1,-4.900000000000006,200.0,195.1,-4.900000000000006
40,1989,200.0,195.1,-4.900000000000006,200.0,195.1,-4.900000000000006
40,1990,200.0,195.1,-4.900000000000006,200.0,195.1,-4.900000000000006
40,1991,200.0,195.1,-4.900000000000006,200.0,195.1,-4.900000000000006
40,1992,200.0,195.1,-4.900000000000006,200.0,195.1,-4.900000000000006
40,1993,200.0,195.1,-4.900000000000006,200.0,195.1,-4.900000000000006
40,1994,200.0,195.1,-4.900000000000006,200.0,195.1,-4.900000000000006
40,1995,190.0,185.1,-4.900000000000006,190.0,185.1,-4.900000000000006
40,1996,190.0,185.1,-4.900000000000006,190.0,185.1,-4.900000000000006
40,1997,190.0,185.1,-4.900000000000006,190.0,185.1,-4.900000000000006
40,1998,190.0,185.1,-4.900000000000006,190.0,185.1,-4.900000000000006
40,1999,190.0,185.1,-4.900000000000006,190.0,185.1,-4.900000000000006
40,2000,190.0,185.1,-4.900000000000006,190.0,185.1,-4.900000000000006
40,2001,190.0,185.1,-4.900000000000006,190.0,185.1,-4.900000000000006
40,2002,190.0,185.1,-4.900000000000006,190.0,185.1,-4.900000000000006
40,2003,190.0,185.1,-4.900000000000006,190.0,185.1,-4.900000000000006
40,2004,190.0,185.1,-4.900000000000006,190.0,185.1,-4.900000000000006
41,1984,200.0,193.9,-6.099999999999994,200.0,193.9,-6.099999999999994
41,1985,200.0,193.9,-6.099999999999994,200.0,193.9,-6.099999999999994
41,1986,200.0,193.9,-6.099999999999994,200.0,193.9,-6.099999999999994
41,1987,200.0,193.9,-6.099999999999994,200.0,193.9,-6.099999999999994
41,1988,200.0,193.9,-6.099999999999994,200.0,193.9,-6.099999999999994
41,1989,190.0,183.9,-6.099999999999994,190.0,183.9,-6.099999999999994
41,1990,190.0,183.9,-6.099999999999994,190.0,183.9,-6.099999999999994
41,1991,190.0,183.9,-6.099999999999994,190.0,183.9,-6.099999999999994
41,1992,190.0,183.9,-6.099999999999994,190.0,183.9,-6.099999999999994
41,1993,190.0,183.9,-6.099999999999994,190.0,183.9,-6.099999999999994
41,1994,190.0,183.9,-6.099999999999994,190.0,183.9,-6.099999999999994
41,1995,190.0,183.9,-6.099999999999994,190.0,183.9,-6.099999999999994
41,1996,190.0,183.9,-6.099999999999994,190.0,183.9,-6.099999999999994
41,1997,190.0,183.9,-6.099999999999994,190.0,183.9,-6.099999999999994
41,1998,190.0,183.9,-6.099999999999994,190.0,183.9,-6.099999999999994
41,1999,190.0,183.9,-6.099999999999994,190.0,183.9,-6.099999999999994
41,2000,190.0,183.9,-6.099999999999994,190.0,183.9,-6.099999999999994
41,2001,180.0,173.9,-6.099999999999994,180.0,173.9,-6.099999999999994
41,2002,180.0,173.9,-6.099999999999994,180.0,173.9,-6.099999999999994
41,2003,180.0,173.9,-6.099999999999994,180.0,173.9,-6.099999999999994
41,2004,180.0,173.9,-6.099999999999994,180.0,173.9,-6.099999999999994
42,1984,180.0,169.6,-10.400000000000006,180.0,169.6,-10.400000000000006
42,1985,180.0,169.6,-10.400000000000006,180.0,169.6,-10.400000000000006
42,1986,180.0,169.6,-10.400000000000006,180.0,169.6,-10.400000000000006
42,1987,180.0,169.6,-10.400000000000006,180.0,169.6,-10.400000000000006
42,1988,180.0,169.6,-10.400000000000006,180.0,169.6,-10.400000000000006
42,1989,180.0,169.6,-10.400000000000006,180.0,169.6,-10.400000000000006
42,1990,180.0,169.6,-10.400000000000006,180.0,169.6,-10.400000000000006
42,1991,180.0,169.6,-10.400000000000006,180.0,169.6,-10.400000000000006
42,1992,180.0,169.6,-10.400000000000006,180.0,169.6,-10.400000000000006
42,1993,170.0,159.6,-10.400000000000006,170.0,159.6,-10.400000000000006
42,1994,170.0,159.6,-10.400000000000006,170.0,159.6,-10.400000000000006
42,1995,170.0,159.6,-10.400000000000006,170.0,159.6,-10.400000000000006
42,1996,170.0,159.6,-10.400000000000006,170.0,159.6,-10.400000000000006
42,1997,170.0,159.6,-10.400000000000006,170.0,159.6,-10.400000000000006
42,1998,170.0,159.6,-10.400000000000006,170.0,159.6,-10.400000000000006
42,1999,170.0,159.6,-10.400000000000006,170.0,159.6,-10.400000000000006
42,2000,170.0,159.6,-10.400000000000006,170.0,159.6,-10.400000000000006
42,2001,170.0,159.6,-10.400000000000006,170.0,159.6,-10.400000000000006
42,2002,170.0,159.6,-10.400000000000006,170.0,159.6,-10.400000000000006
42,2003,170.0,159.6,-10.400000000000006,170.0,159.6,-10.400000000000006
42,2004,170.0,159.6,-10.400000000000006,170.0,159.6,-10.400000000000006
43,1984,170.0,164.4,-5.599999999999994,170.0,164.4,-5.599999999999994
43,1985,170.0,164.4,-5.599999999999994,170.0,164.4,-5.599999999999994
43,1986,170.0,164.4,-5.599999999999994,170.0,164.4,-5.599999999999994
43,1987,170.0,164.4,-5.599999999999994,170.0,164.4,-5.599999999999994
43,1988,170.0,164.4,-5.599999999999994,170.0,164.4,-5.599999999999994
43,1989,170.0,164.4,-5.599999999999994,170.0,164.4,-5.599999999999994
43,1990,170.0,164.4,-5.599999999999994,170.0,164.4,-5.599999999999994
43,1991,170.0,164.4,-5.599999999999994,170.0,164.4,-5.599999999999994
43,1992,170.0,164.4,-5.599999999999994,170.0,164.4,-5.599999999999994
43,1993,170.0,164.4,-5.599999999999994,170.0,164.4,-5.599999999999994
43,1994,170.0,164.4,-5.599999999999994,170.0,164.4,-5.599999999999994
43,1995,170.0,164.4,-5.599999999999994,170.0,164.4,-5.599999999999994
43,1996,170.0,164.4,-5.599999999999994,170.0,164.4,-5.599999999999994
43,1997,170.0,164.4,-5.599999999999994,170.0,164.4,-5.599999999999994
43,1998,160.0,154.4,-5.599999999999994,160.0,154.4,-5.599999999999994
43,1999,160.0,154.4,-5.599999999999994,160.0,154.4,-5.599999999999994
43,2000,160.0,154.4,-5.599999999999994,160.0,154.4,-5.599999999999994
43,2001,160.0,154.4,-5.599999999999994,160.0,154.4,-5.599999999999994
43,2002,160.0,154.4,-5.599999999999994,160.0,154.4,-5.599999999999994
43,2003,160.0,154.4,-5.599999999999994,160.0,154.4,-5.599999999999994
43,2004,160.0,154.4,-5.599999999999994,160.0,154.4,-5.599999999999994
44,1984,160.0,170.4,10.400000000000006,160.0,170.4,10.400000000000006
44,1985,160.0,170.4,10.400000000000006,160.0,170.4,10.400000000000006
44,1986,160.0,170.4,10.400000000000006,160.0,170.4,10.400000000000006
44,1987,160.0,170.4,10.400000000000006,160.0,170.4,10.400000000000006
44,1988,160.0,170.4,10.400000000000006,160.0,170.4,10.400000000000006
44,1989,160.0,170.4,10.400000000000006,160.0,170.4,10.400000000000006
44,1990,160.0,170.4,10.400000000000006,160.0,170.4,10.400000000000006
44,1991,150.0,160.4,10.400000000000006,150.0,160.4,10.400000000000006
44,1992,150.0,160.4,10.400000000000006,150.0,160.4,10.400000000000006
44,1993,150.0,160.4,10.400000000000006,150.0,160.4,10.400000000000006
44,1994,150.0,160.4,10.400000000000006,150.0,160.4,10.400000000000006
44,1995,150.0,160.4,10.400000000000006,150.0,160.4,10.400000000000006
44,1996,150.0,160.4,10.400000000000006,150.0,160.4,10.400000000000006
44,1997,150.0,160.4,10.400000000000006,150.0,160.4,10.400000000000006
44,1998,150.0,160.4,10.400000000000006,150.0,160.4,10.400000000000006
44,1999,150.0,160.4,10.400000000000006,150.0,160.4,10.400000000000006
44,2000,150.0,160.4,10.400000000000006,150.0,160.4,10.400000000000006
44,2001,150.0,160.4,10.400000000000006,150.0,160.4,10.400000000000006
44,2002,140.0,150.4,10.400000000000006,140.0,150.4,10.400000000000006
44,2003,140.0,150.4,10.400000000000006,140.0,150.4,10.400000000000006
44,2004,140.0,150.4,10.400000000000006,140.0,150.4,10.400000000000006
45,1984,150.0,172.6,22.599999999999994,150.0,172.6,22.599999999999994
45,1985,150.0,172.6,22.599999999999994,150.0,172.6,22.599999999999994
45,1986,150.0,172.6,22.599999999999994,150.0,172.6,22.599999999999994
