domain_number,n_transects,mean_change_m,std_change_m,min_change_m,max_change_m,mean_rate_m_yr,std_rate_m_yr,pct_landward
42,5,16.74,2.49,13.775,19.449,0.876,0.13,0.0
43,5,14.553,1.671,11.876,15.985,0.762,0.087,0.0
44,5,15.679,4.088,11.222,22.216,0.821,0.214,0.0
45,5,14.44,3.09,10.444,18.66,0.756,0.162,0.0
46,5,5.145,3.458,0.95,9.573,0.269,0.181,0.0
47,5,-3.762,1.86,-6.085,-1.75,-0.197,0.097,100.0
48,5,0.814,4.56,-3.682,6.833,0.043,0.239,40.0
49,5,13.236,5.777,4.619,18.359,0.693,0.303,0.0
50,5,27.656,4.472,21.516,32.0,1.448,0.234,0.0
51,5,41.34,7.955,32.986,51.251,2.164,0.416,0.0
52,5,48.558,1.832,45.631,50.431,2.542,0.096,0.0
53,5,49.959,1.323,47.724,51.181,2.616,0.069,0.0
54,5,51.054,2.643,48.731,55.181,2.673,0.138,0.0
55,5,27.069,16.882,2.656,46.818,1.417,0.884,0.0
56,5,3.398,1.568,1.075,5.174,0.178,0.082,0.0
57,5,14.93,2.136,11.802,16.903,0.782,0.112,0.0
58,5,7.676,4.178,1.736,12.342,0.402,0.219,0.0
59,5,10.299,2.51,7.568,12.724,0.539,0.131,0.0
60,5,11.425,2.577,8.047,14.864,0.598,0.135,0.0
61,5,17.669,1.279,16.159,19.074,0.925,0.067,0.0
62,5,21.395,4.967,15.216,26.172,1.12,0.26,0.0
63,5,31.821,2.481,29.614,34.962,1.666,0.13,0.0
64,5,38.748,4.484,32.74,43.78,2.029,0.235,0.0
65,5,51.588,5.172,44.114,57.348,2.701,0.271,0.0
66,5,61.004,4.115,57.8,66.059,3.194,0.215,0.0
67,5,60.608,2.032,57.614,63.272,3.173,0.106,0.0
68,5,47.719,8.544,37.005,57.408,2.498,0.447,0.0
69,5,32.613,3.174,27.516,35.404,1.708,0.166,0.0
70,5,19.733,3.516,14.986,23.65,1.033,0.184,0.0
71,5,10.95,1.456,9.432,12.431,0.573,0.076,0.0
72,5,23.868,8.621,12.646,31.994,1.25,0.451,0.0
73,5,47.445,7.695,34.422,54.877,2.484,0.403,0.0
74,5,40.906,7.501,30.285,49.859,2.142,0.393,0.0
75,5,6.355,16.293,-14.282,25.712,0.333,0.853,40.0
76,5,-15.522,7.109,-25.766,-7.014,-0.813,0.372,100.0
77,5,-35.796,8.274,-44.64,-25.972,-1.874,0.433,100.0
78,5,-56.701,4.646,-61.51,-49.862,-2.969,0.243,100.0
79,5,-40.064,6.45,-51.266,-35.121,-2.098,0.338,100.0
80,5,-56.973,7.425,-63.074,-45.103,-2.983,0.389,100.0
81,5,-31.333,10.861,-47.596,-18.47,-1.641,0.569,100.0
82,5,-40.521,4.323,-46.855,-35.799,-2.122,0.226,100.0
83,5,-56.813,15.682,-82.179,-44.057,-2.975,0.821,100.0
84,5,-60.717,18.639,-86.327,-42.875,-3.179,0.976,100.0
85,5,-26.123,10.143,-37.215,-11.523,-1.368,0.531,100.0
86,5,-4.577,1.563,-6.413,-3.029,-0.24,0.082,100.0
87,5,-8.771,1.644,-10.838,-6.94,-0.459,0.086,100.0
88,5,5.674,4.158,0.947,10.246,0.297,0.218,0.0
89,5,16.64,6.651,7.26,23.104,0.871,0.348,0.0
90,5,13.489,7.271,0.875,18.572,0.706,0.381,0.0
