product,window,loess_domains,domain_number,shoreline_raw_m,shoreline_smoothed_m,duneline_raw_m,duneline_smoothed_m,beach_width_raw_m,beach_width_smoothed_m
projected,2010_2024,7,5,11.488,11.488,5.255,5.255,6.233,6.233
projected,2010_2024,7,6,-19.434,-19.434,-30.336,-30.336,10.902,10.902
projected,2010_2024,7,7,-18.394,-18.394,-38.824,-38.824,20.43,20.43
projected,2010_2024,7,8,-4.53,-4.53,-39.748,-39.748,35.218,35.218
projected,2010_2024,7,9,1.92,1.92,-11.782,-11.782,13.702,13.701
projected,2010_2024,7,10,10.0,10.0,-6.676,-6.676,16.676,16.676
projected,2010_2024,7,11,11.081,8.348,12.964,7.528,-1.883,0.82
projected,2010_2024,7,12,8.637,9.933,22.712,14.68,-14.075,-4.747
projected,2010_2024,7,13,7.896,11.395,19.164,18.364,-11.268,-6.969
projected,2010_2024,7,14,14.797,12.985,18.292,17.265,-3.495,-4.281
projected,2010_2024,7,15,17.532,14.953,19.575,15.674,-2.043,-0.721
projected,2010_2024,7,16,14.467,17.281,-0.967,16.358,15.434,0.923
projected,2010_2024,7,17,18.306,19.209,22.114,18.62,-3.808,0.589
projected,2010_2024,7,18,23.489,19.681,21.31,22.547,2.179,-2.866
projected,2010_2024,7,19,25.668,16.674,32.978,22.828,-7.31,-6.153
projected,2010_2024,7,20,16.761,10.077,28.954,15.122,-12.193,-5.045
projected,2010_2024,7,21,-0.603,0.16,7.266,1.445,-7.869,-1.286
projected,2010_2024,7,22,-11.798,-11.284,-24.416,-14.932,12.618,3.649
projected,2010_2024,7,23,-26.084,-20.876,-44.744,-28.347,18.66,7.471
projected,2010_2024,7,24,-31.818,-24.564,-39.341,-32.499,7.523,7.935
projected,2010_2024,7,25,-34.677,-20.909,-42.823,-26.985,8.146,6.075
projected,2010_2024,7,26,-21.655,-12.138,-12.782,-13.767,-8.873,1.629
projected,2010_2024,7,27,0.095,1.603,1.974,3.321,-1.879,-1.719
projected,2010_2024,7,28,26.632,16.694,33.251,16.605,-6.619,0.09
projected,2010_2024,7,29,40.896,27.547,37.63,24.365,3.266,3.182
projected,2010_2024,7,30,44.423,33.631,21.435,28.685,22.988,4.946
projected,2010_2024,7,31,36.327,32.685,25.337,28.999,10.99,3.686
projected,2010_2024,7,32,20.725,27.099,37.19,26.928,-16.465,0.172
projected,2010_2024,7,33,18.949,20.893,30.413,23.496,-11.464,-2.603
projected,2010_2024,7,34,25.42,14.916,13.318,18.091,12.102,-3.175
projected,2010_2024,7,35,8.398,9.634,8.16,11.717,0.238,-2.083
projected,2010_2024,7,36,0.083,5.015,7.752,7.435,-7.669,-2.419
projected,2010_2024,7,37,-1.689,2.19,2.159,4.758,-3.848,-2.568
projected,2010_2024,7,38,1.803,1.891,6.786,1.968,-4.983,-0.077
projected,2010_2024,7,39,2.867,3.312,-0.776,0.21,3.643,3.101
projected,2010_2024,7,40,4.678,4.685,-10.006,-0.39,14.684,5.076
projected,2010_2024,7,41,8.554,5.067,1.732,-1.111,6.822,6.178
projected,2010_2024,7,42,5.497,4.385,5.069,-1.284,0.428,5.668
projected,2010_2024,7,43,2.661,1.94,-7.594,-1.712,10.255,3.652
projected,2010_2024,7,44,0.854,-2.175,-1.61,-4.219,2.464,2.045
projected,2010_2024,7,45,-7.053,-6.351,-3.009,-7.239,-4.044,0.888
projected,2010_2024,7,46,-15.31,-8.94,-13.226,-8.153,-2.084,-0.787
projected,2010_2024,7,47,-14.395,-9.634,-17.317,-6.873,2.922,-2.761
projected,2010_2024,7,48,-5.612,-8.909,1.244,-3.964,-6.856,-4.945
projected,2010_2024,7,49,-4.097,-7.868,4.213,-0.402,-8.31,-7.466
projected,2010_2024,7,50,-8.279,-8.095,2.478,0.127,-10.757,-8.222
projected,2010_2024,7,51,-9.282,-9.711,3.229,-3.811,-12.511,-5.9
projected,2010_2024,7,52,-12.544,-11.112,-13.293,-9.312,0.749,-1.8
projected,2010_2024,7,53,-13.814,-11.142,-16.81,-14.278,2.996,3.136
projected,2010_2024,7,54,-11.94,-9.619,-21.004,-15.521,9.064,5.903
projected,2010_2024,7,55,-6.285,-6.816,-22.596,-11.942,16.311,5.127
projected,2010_2024,7,56,-2.875,-3.291,-3.384,-6.688,0.509,3.397
projected,2010_2024,7,57,-0.06,-0.439,7.735,-1.479,-7.795,1.039
projected,2010_2024,7,58,4.395,-0.1,0.729,1.007,3.666,-1.107
projected,2010_2024,7,59,3.458,-2.783,4.421,-1.267,-0.963,-1.516
projected,2010_2024,7,60,-7.862,-7.463,-3.571,-6.32,-4.291,-1.143
projected,2010_2024,7,61,-18.182,-11.223,-15.65,-11.129,-2.532,-0.094
projected,2010_2024,7,62,-21.638,-11.986,-21.765,-13.308,0.127,1.322
projected,2010_2024,7,63,-11.428,-8.745,-16.37,-10.733,4.942,1.988
projected,2010_2024,7,64,-2.249,-0.497,-5.223,-3.315,2.974,2.819
projected,2010_2024,7,65,6.688,10.636,6.68,6.765,0.008,3.871
projected,2010_2024,7,66,29.986,19.464,21.382,15.335,8.604,4.129
projected,2010_2024,7,67,38.795,24.883,30.379,19.915,8.416,4.968
projected,2010_2024,7,68,31.682,26.307,24.403,20.622,7.279,5.685
projected,2010_2024,7,69,21.408,22.111,13.63,17.909,7.778,4.203
projected,2010_2024,7,70,11.79,16.918,16.41,15.409,-4.62,1.509
projected,2010_2024,7,71,9.624,13.695,6.378,15.549,3.246,-1.854
projected,2010_2024,7,72,14.256,11.199,20.983,14.991,-6.727,-3.792
projected,2010_2024,7,73,14.788,6.784,29.56,10.707,-14.772,-3.923
projected,2010_2024,7,74,5.457,-0.471,10.116,3.196,-4.659,-3.667
projected,2010_2024,7,75,-13.12,-9.199,-16.704,-6.978,3.584,-2.221
projected,2010_2024,7,76,-27.362,-17.42,-21.164,-16.692,-6.198,-0.728
projected,2010_2024,7,77,-24.27,-22.87,-22.295,-21.177,-1.975,-1.692
projected,2010_2024,7,78,-27.102,-25.585,-31.684,-21.251,4.582,-4.334
projected,2010_2024,7,79,-22.681,-26.443,-15.731,-18.422,-6.95,-8.02
projected,2010_2024,7,80,-35.225,-26.152,-16.581,-13.43,-18.644,-12.722
projected,2010_2024,7,81,-26.358,-26.124,2.138,-10.286,-28.496,-15.838
projected,2010_2024,7,82,-20.849,-25.388,-1.134,-9.379,-19.715,-16.009
projected,2010_2024,7,83,-29.763,-22.956,-35.456,-6.696,5.693,-16.26
projected,2010_2024,7,84,-22.218,-19.793,-22.138,-4.376,-0.08,-15.417
projected,2010_2024,7,85,-14.539,-14.367,4.355,-0.778,-18.894,-13.589
projected,2010_2024,7,86,-7.611,-6.665,9.193,5.192,-16.804,-11.857
projected,2010_2024,7,87,0.445,1.232,4.241,9.632,-3.796,-8.4
projected,2010_2024,7,88,14.057,7.683,15.005,12.606,-0.948,-4.922
projected,2010_2024,7,89,16.552,13.786,18.938,15.538,-2.386,-1.752
projected,2010_2024,7,90,16.719,19.729,15.932,18.496,0.787,1.233
total,1996_2010,7,1,45.22,45.22,-0.156,-0.156,45.376,45.376
total,1996_2010,7,2,39.025,39.025,-55.325,-55.325,94.35,94.349
total,1996_2010,7,3,28.975,28.975,-35.694,-35.694,64.669,64.669
total,1996_2010,7,4,25.753,25.753,-12.282,-12.282,38.035,38.035
total,1996_2010,7,5,1.395,1.395,4.854,4.854,-3.459,-3.459
total,1996_2010,7,6,-18.837,-18.837,-6.277,-6.277,-12.56,-12.559
total,1996_2010,7,7,-28.751,-28.751,-27.05,-27.05,-1.701,-1.701
total,1996_2010,7,8,-15.339,-15.339,-12.009,-12.009,-3.33,-3.33
total,1996_2010,7,9,-17.83,-17.83,-25.64,-25.64,7.81,7.81
total,1996_2010,7,10,-19.074,-19.074,-33.847,-33.847,14.773,14.772
total,1996_2010,7,11,-27.304,-24.937,-56.187,-47.536,28.883,22.599
total,1996_2010,7,12,-33.42,-25.481,-69.25,-48.335,35.83,22.854
total,1996_2010,7,13,-27.791,-21.51,-60.793,-44.58,33.002,23.07
total,1996_2010,7,14,-15.303,-12.198,-30.938,-34.416,15.635,22.218
total,1996_2010,7,15,1.236,-0.656,-16.445,-23.506,17.681,22.85
total,1996_2010,7,16,17.632,9.772,14.13,-16.212,3.502,25.984
total,1996_2010,7,17,17.9,16.541,-12.401,-10.739,30.301,27.28
total,1996_2010,7,18,23.845,17.003,-8.343,-8.34,32.188,25.343
total,1996_2010,7,19,22.428,11.726,-6.113,-7.85,28.541,19.576
total,1996_2010,7,20,-2.979,4.069,-6.676,-7.715,3.697,11.784
total,1996_2010,7,21,-11.367,-5.354,-5.631,-9.86,-5.736,4.506
total,1996_2010,7,22,-7.84,-15.319,-10.922,-14.232,3.082,-1.088
total,1996_2010,7,23,-23.376,-24.263,-20.953,-19.149,-2.423,-5.115
total,1996_2010,7,24,-38.483,-28.529,-33.996,-23.255,-4.487,-5.274
total,1996_2010,7,25,-44.644,-21.256,-24.096,-23.238,-20.548,1.982
total,1996_2010,7,26,-27.038,-5.938,-27.999,-18.79,0.961,12.852
total,1996_2010,7,27,29.584,11.176,-7.93,-11.772,37.514,22.948
total,1996_2010,7,28,43.288,26.246,-3.46,-2.314,46.748,28.56
total,1996_2010,7,29,44.213,32.613,1.919,8.054,42.294,24.559
total,1996_2010,7,30,22.064,31.035,27.073,15.04,-5.009,15.995
total,1996_2010,7,31,27.838,26.805,29.252,18.487,-1.414,8.318
total,1996_2010,7,32,27.874,21.071,16.97,17.356,10.904,3.715
total,1996_2010,7,33,23.232,10.435,12.595,9.985,10.637,0.451
total,1996_2010,7,34,-3.374,-5.351,3.395,0.318,-6.769,-5.669
total,1996_2010,7,35,-36.336,-19.47,-47.686,-7.828,11.35,-11.642
total,1996_2010,7,36,-49.924,-25.414,-27.111,-15.41,-22.813,-10.004
total,1996_2010,7,37,-33.456,-21.33,-24.88,-20.231,-8.576,-1.099
total,1996_2010,7,38,7.514,-10.695,-24.258,-19.833,31.772,9.138
total,1996_2010,7,39,7.398,2.281,-13.873,-18.09,21.271,20.371
total,1996_2010,7,40,10.25,11.248,-16.89,-15.527,27.14,26.775
total,1996_2010,7,41,21.804,14.485,-13.511,-11.772,35.315,26.257
total,1996_2010,7,42,17.772,15.512,-10.077,-7.848,27.849,23.36
total,1996_2010,7,43,11.545,13.995,3.992,-4.36,7.553,18.355
total,1996_2010,7,44,16.315,8.749,-1.593,-1.504,17.908,10.253
total,1996_2010,7,45,7.041,1.803,-1.496,-1.399,8.537,3.202
total,1996_2010,7,46,-14.22,-3.305,2.543,-4.248,-16.763,0.943
total,1996_2010,7,47,-20.123,-4.738,-7.64,-7.706,-12.483,2.968
total,1996_2010,7,48,-1.536,-3.3,-19.041,-11.989,17.505,8.689
total,1996_2010,7,49,20.789,-0.902,-11.01,-17.441,31.799,16.539
total,1996_2010,7,50,-0.201,1.084,-22.362,-21.507,22.161,22.59
total,1996_2010,7,51,-8.136,0.135,-33.58,-23.466,25.444,23.601
total,1996_2010,7,52,5.18,-1.36,-25.413,-22.701,30.593,21.341
total,1996_2010,7,53,-7.598,-0.366,-21.427,-18.688,13.829,18.322
total,1996_2010,7,54,2.701,1.203,-3.808,-13.671,6.509,14.873
total,1996_2010,7,55,5.495,2.086,-11.462,-9.868,16.957,11.954
total,1996_2010,7,56,4.997,2.692,-5.626,-8.329,10.623,11.021
total,1996_2010,7,57,-2.671,2.463,-6.189,-8.237,3.518,10.7
total,1996_2010,7,58,2.926,1.283,-10.446,-7.467,13.372,8.751
total,1996_2010,7,59,4.337,-0.923,-9.89,-4.899,14.227,3.976
total,1996_2010,7,60,-4.352,-3.974,-1.714,-1.443,-2.638,-2.53
total,1996_2010,7,61,-10.303,-9.188,11.147,-0.202,-21.45,-8.986
total,1996_2010,7,62,-5.159,-15.654,8.654,-0.606,-13.813,-15.048
total,1996_2010,7,63,-28.309,-21.369,-12.856,-2.545,-15.453,-18.824
total,1996_2010,7,64,-29.038,-23.977,-5.465,-5.228,-23.573,-18.749
total,1996_2010,7,65,-32.182,-19.917,-4.1,-5.838,-28.082,-14.079
total,1996_2010,7,66,-15.004,-7.651,-4.947,-4.32,-10.057,-3.331
total,1996_2010,7,67,30.938,5.775,-5.928,-1.986,36.866,7.762
total,1996_2010,7,68,70.903,9.399,2.762,-0.247,68.141,9.646
total,1996_2010,7,69,53.006,13.18,10.685,0.248,42.321,12.932
total,1996_2010,7,70,9.541,10.762,-4.22,-0.153,13.761,10.915
total,1996_2010,7,71,-6.155,0.871,-3.799,-0.454,-2.356,1.324
total,1996_2010,7,72,-12.536,-4.363,-3.2,1.84,-9.336,-6.203
total,1996_2010,7,73,-5.847,-6.402,7.4,5.794,-13.247,-12.196
total,1996_2010,7,74,24.285,-11.528,15.883,4.653,8.402,-16.181
total,1996_2010,7,75,0.062,-18.472,14.054,-5.848,-13.992,-12.624
total,1996_2010,7,76,-42.633,-26.377,-22.8,-21.537,-19.833,-4.84
total,1996_2010,7,77,-45.338,-33.972,-57.317,-37.666,11.979,3.693
total,1996_2010,7,78,-37.219,-36.355,-58.746,-45.865,21.527,9.51
total,1996_2010,7,79,-24.284,-35.708,-23.736,-45.916,-0.548,10.209
total,1996_2010,7,80,-76.282,-34.157,-28.796,-43.558,-47.486,9.401
total,1996_2010,7,81,-63.647,-33.893,-61.284,-40.784,-2.363,6.891
total,1996_2010,7,82,-8.686,-35.467,-47.457,-42.817,38.771,7.35
total,1996_2010,7,83,-31.274,-35.969,-34.846,-46.996,3.572,11.027
total,1996_2010,7,84,-46.586,-37.295,-57.191,-49.507,10.605,12.212
total,1996_2010,7,85,-38.015,-37.13,-53.277,-50.906,15.262,13.776
total,1996_2010,7,86,-34.651,-32.514,-53.624,-48.764,18.973,16.25
total,1996_2010,7,87,-28.995,-24.516,-46.644,-42.255,17.649,17.739
total,1996_2010,7,88,-12.771,-16.404,-34.541,-33.563,21.77,17.159
total,1996_2010,7,89,-2.83,-8.558,-23.515,-24.518,20.685,15.96
total,1996_2010,7,90,-4.255,-0.702,-13.074,-15.193,8.819,14.491
total,2010_2024,7,1,96.545,96.545,14.678,14.678,81.867,81.867
total,2010_2024,7,2,56.694,56.694,18.465,18.465,38.229,38.229
total,2010_2024,7,3,48.173,48.173,22.541,22.541,25.632,25.632
total,2010_2024,7,4,46.35,46.35,19.414,19.414,26.936,26.937
total,2010_2024,7,5,33.75,33.75,5.255,5.255,28.495,28.494
total,2010_2024,7,6,-15.825,-15.825,-30.336,-30.336,14.511,14.51
total,2010_2024,7,7,-2.351,-2.351,-38.824,-38.824,36.473,36.473
total,2010_2024,7,8,22.024,22.024,-39.748,-39.748,61.772,61.772
total,2010_2024,7,9,36.998,36.998,-11.782,-11.782,48.78,48.78
total,2010_2024,7,10,52.137,52.137,-6.676,-6.676,58.813,58.813
total,2010_2024,7,11,56.67,47.718,12.964,7.528,43.706,40.19
total,2010_2024,7,12,49.434,48.668,22.712,14.68,26.722,33.988
total,2010_2024,7,13,39.596,47.888,19.164,18.364,20.432,29.524
total,2010_2024,7,14,50.446,46.054,18.292,17.265,32.154,28.789
total,2010_2024,7,15,50.194,44.851,19.575,15.674,30.619,29.177
total,2010_2024,7,16,38.587,44.53,-0.967,16.358,39.554,28.172
total,2010_2024,7,17,41.735,43.911,22.114,18.62,19.621,25.291
total,2010_2024,7,18,47.194,43.679,21.31,22.547,25.884,21.132
total,2010_2024,7,19,46.302,41.353,32.978,22.828,13.324,18.525
total,2010_2024,7,20,45.123,33.747,28.954,15.122,16.169,18.625
total,2010_2024,7,21,23.341,22.384,7.266,1.445,16.075,20.939
total,2010_2024,7,22,-0.366,12.429,-24.416,-14.932,24.05,27.362
total,2010_2024,7,23,-8.154,6.127,-44.744,-28.347,36.59,34.474
total,2010_2024,7,24,9.867,3.774,-39.341,-32.499,49.208,36.273
total,2010_2024,7,25,6.193,5.032,-42.823,-26.985,49.016,32.017
total,2010_2024,7,26,4.084,9.6,-12.782,-13.767,16.866,23.367
total,2010_2024,7,27,-8.224,18.033,1.974,3.321,-10.198,14.712
total,2010_2024,7,28,31.227,28.355,33.251,16.605,-2.024,11.75
total,2010_2024,7,29,64.994,35.883,37.63,24.365,27.364,11.519
total,2010_2024,7,30,64.418,40.561,21.435,28.685,42.983,11.876
total,2010_2024,7,31,35.25,40.722,25.337,28.999,9.913,11.723
total,2010_2024,7,32,31.567,38.91,37.19,26.928,-5.623,11.983
total,2010_2024,7,33,35.511,40.651,30.413,23.496,5.098,17.155
total,2010_2024,7,34,53.276,42.268,13.318,18.091,39.958,24.177
total,2010_2024,7,35,48.5,39.621,8.16,11.717,40.34,27.904
total,2010_2024,7,36,34.848,32.734,7.752,7.435,27.096,25.3
total,2010_2024,7,37,14.283,24.547,2.159,4.758,12.124,19.789
total,2010_2024,7,38,13.463,18.177,6.786,1.968,6.677,16.209
total,2010_2024,7,39,19.61,14.656,-0.776,0.21,20.386,14.446
total,2010_2024,7,40,11.692,12.191,-10.006,-0.39,21.698,12.582
total,2010_2024,7,41,10.831,9.083,1.732,-1.111,9.099,10.194
total,2010_2024,7,42,1.863,5.778,5.069,-1.284,-3.206,7.062
total,2010_2024,7,43,4.23,2.671,-7.594,-1.712,11.824,4.383
total,2010_2024,7,44,0.977,-0.403,-1.61,-4.219,2.587,3.817
total,2010_2024,7,45,-1.529,-2.32,-3.009,-7.239,1.48,4.92
total,2010_2024,7,46,-13.922,-3.14,-13.226,-8.153,-0.696,5.013
total,2010_2024,7,47,-0.513,-4.326,-17.317,-6.873,16.804,2.547
total,2010_2024,7,48,1.265,-6.513,1.244,-3.964,0.021,-2.549
total,2010_2024,7,49,-10.507,-9.78,4.213,-0.402,-14.72,-9.377
total,2010_2024,7,50,-18.973,-14.507,2.478,0.127,-21.451,-14.634
total,2010_2024,7,51,-18.345,-18.338,3.229,-3.811,-21.574,-14.527
total,2010_2024,7,52,-25.31,-19.548,-13.293,-9.312,-12.017,-10.235
total,2010_2024,7,53,-17.387,-18.792,-16.81,-14.278,-0.577,-4.514
total,2010_2024,7,54,-18.397,-16.189,-21.004,-15.521,2.607,-0.668
total,2010_2024,7,55,-14.523,-11.527,-22.596,-11.942,8.073,0.416
total,2010_2024,7,56,-7.098,-5.739,-3.384,-6.688,-3.714,0.949
total,2010_2024,7,57,4.052,-0.329,7.735,-1.479,-3.683,1.15
total,2010_2024,7,58,8.635,2.357,0.729,1.007,7.906,1.35
total,2010_2024,7,59,6.091,1.096,4.421,-1.267,1.67,2.362
total,2010_2024,7,60,-3.518,-2.016,-3.571,-6.32,0.053,4.304
total,2010_2024,7,61,-15.626,0.047,-15.65,-11.129,0.024,11.176
total,2010_2024,7,62,-17.464,6.496,-21.765,-13.308,4.301,19.804
total,2010_2024,7,63,20.173,16.237,-16.37,-10.733,36.543,26.97
total,2010_2024,7,64,31.806,29.902,-5.223,-3.315,37.029,33.217
total,2010_2024,7,65,40.667,39.573,6.68,6.765,33.987,32.809
total,2010_2024,7,66,67.192,40.435,21.382,15.335,45.81,25.1
total,2010_2024,7,67,54.971,38.142,30.379,19.915,24.592,18.228
total,2010_2024,7,68,23.188,33.533,24.403,20.622,-1.215,12.911
total,2010_2024,7,69,21.135,27.019,13.63,17.909,7.505,9.11
total,2010_2024,7,70,26.924,23.56,16.41,15.409,10.514,8.151
total,2010_2024,7,71,20.005,20.562,6.378,15.549,13.627,5.012
total,2010_2024,7,72,24.532,14.346,20.983,14.991,3.549,-0.645
total,2010_2024,7,73,5.641,7.242,29.56,10.707,-23.919,-3.465
total,2010_2024,7,74,-12.345,0.09,10.116,3.196,-22.461,-3.106
total,2010_2024,7,75,0.865,-7.704,-16.704,-6.978,17.569,-0.726
total,2010_2024,7,76,-8.66,-13.42,-21.164,-16.692,12.504,3.272
total,2010_2024,7,77,-29.765,-15.102,-22.295,-21.177,-7.47,6.075
total,2010_2024,7,78,-49.381,-14.689,-31.684,-21.251,-17.697,6.561
total,2010_2024,7,79,-12.035,-12.746,-15.731,-18.422,3.696,5.677
total,2010_2024,7,80,-1.967,-10.208,-16.581,-13.43,14.614,3.222
total,2010_2024,7,81,-2.238,-10.703,2.138,-10.286,-4.376,-0.417
total,2010_2024,7,82,-24.116,-11.769,-1.134,-9.379,-22.982,-2.39
