domain_number,coastsat_loess_m_yr,endpoint_raw_m_yr,endpoint_loess_m_yr,model_endpoint_coastsat_m_yr,model_lrr_coastsat_m_yr,resid_lrr_coastsat_vs_coastsat_loess_m_yr,resid_endpoint_coastsat_vs_endpoint_raw_m_yr,resid_endpoint_coastsat_vs_endpoint_loess_m_yr,model_endpoint_dunemean3_m_yr,model_lrr_dunemean3_m_yr,resid_lrr_dunemean3_vs_coastsat_loess_m_yr,resid_endpoint_dunemean3_vs_endpoint_raw_m_yr,resid_endpoint_dunemean3_vs_endpoint_loess_m_yr,model_endpoint_duneraw_m_yr,model_lrr_duneraw_m_yr,resid_lrr_duneraw_vs_coastsat_loess_m_yr,resid_endpoint_duneraw_vs_endpoint_raw_m_yr,resid_endpoint_duneraw_vs_endpoint_loess_m_yr
41,0.9142700493296108,-1.162,-0.9747752884378983,-1.035392138046518,-1.0765400989933878,-1.9908101483229985,0.12660786195348184,-0.060616849608619794,-1.0353928412870508,-1.0765404801363716,-1.9908105294659824,0.12660715871294914,-0.06061755284915249,-1.0353926006251382,-1.0765403498072603,-1.990810399136871,0.12660739937486176,-0.06061731218723987
42,0.9725215837058266,-0.866,-0.6960946705323983,-0.7970916479090582,-0.8565992433330798,-1.8291208270389063,0.06890835209094182,-0.10099697737665991,-0.7970920303171495,-0.8565994480665046,-1.8291210317723312,0.06890796968285051,-0.10099735978475122,-0.7970918994580123,-0.8565993780613468,-1.8291209617671735,0.0689081005419877,-0.10099722892561402
43,0.8207036638848099,0.343,-0.47129680164214405,-0.5769114932401342,-0.6476302194707174,-1.4683338833555273,-0.9199114932401342,-0.1056146915979902,-0.576911701237285,-0.6476303295148746,-1.4683339933996846,-0.919911701237285,-0.10561489959514092,-0.5769116299888992,-0.6476302918486608,-1.4683339557334707,-0.9199116299888992,-0.10561482834675517
44,0.5145663372175932,-0.137,-0.33278681118499154,-0.448324242378216,-0.4721813867317919,-0.986747723949385,-0.311324242378216,-0.11553743119322446,-0.4483243576228882,-0.4721814470107939,-0.986747784228387,-0.3113243576228882,-0.11553754643789665,-0.448324317965671,-0.4721814262839535,-0.9867477635015467,-0.311324317965671,-0.11553750678067948
45,0.2178043451197771,-0.129,-0.33102193397276086,-0.2229301215733617,-0.2882015647502595,-0.5060059098700366,-0.0939301215733617,0.10809181239939916,-0.2229301904606992,-0.2882016004205658,-0.506005945540343,-0.0939301904606992,0.10809174351206166,-0.222930166401576,-0.2882015879708903,-0.5060059330906674,-0.093930166401576,0.10809176757118485
46,0.06257081006858421,0.219,-0.46808981102274305,-0.0794468910658646,-0.1385247059992099,-0.20109551606779413,-0.2984468910658646,0.38864291995687844,-0.0794469419268872,-0.1385247322360953,-0.20109554230467952,-0.2984469419268872,0.3886428690958559,-0.0794469235575629,-0.1385247227593281,-0.20109553282791232,-0.2984469235575629,0.38864288746518016
47,-0.04544389241724664,-0.657,-0.732343663066117,-0.0728929020380227,-0.0358283686203253,0.009615523796921342,0.5841070979619774,0.6594507610280943,-0.0728929559428641,-0.0358283966576088,0.00961549575963784,0.5841070440571359,0.6594507071232529,-0.072892935654376,-0.0358283860972798,0.00961550631996684,0.584107064345624,0.6594507274117409
48,-0.15558815953499258,-1.637,-1.0771450784642735,0.0530082022079503,0.0871562820931834,0.242744441628176,1.6900082022079503,1.1301532806722239,0.0530081233027885,0.0871562404369403,0.24274439997193287,1.6900081233027886,1.1301532017670621,0.0530081537613763,0.0871562565264583,0.24274441606145086,1.6900081537613763,1.1301532322256498
49,-0.16337940941863857,-0.947,-1.4297319354173632,0.2740736029878202,0.2242121351019902,0.3875915445206288,1.2210736029878202,1.7038055384051833,0.2740734679745011,0.2242120627680451,0.38759147218668366,1.221073467974501,1.7038054033918644,0.274073520595266,0.2242120909676402,0.38759150038627876,1.221073520595266,1.7038054560126292
50,-0.0610806224317871,-1.923,-1.6707810059807748,0.3228557536162303,0.3052666362194148,0.3663472586512019,2.2458557536162305,1.9936367595970053,0.3228555108772915,0.3052665043850843,0.36634712681687137,2.2458555108772913,1.9936365168580663,0.3228556057655233,0.3052665559255654,0.3663471783573525,2.2458556057655232,1.993636611746298
51,0.02284751529378066,-2.887,-1.7309964035072518,0.3752851135973937,0.3761765053179933,0.35332899002421264,3.2622851135973936,2.1062815171046454,0.3752846729995716,0.3761762628022631,0.3533287475084824,3.262284672999572,2.106281076506823,0.3752848453806499,0.3761763576888337,0.353328842395053,3.26228484538065,2.1062812488879015
52,0.019639772572367705,-2.185,-1.6622471149519207,0.4224089432123686,0.4355766712690292,0.4159368986966615,2.6074089432123686,2.0846560581642892,0.4224081457827456,0.4355762263090433,0.4159364537366756,2.607408145782746,2.0846552607346664,0.4224084578506465,0.4355764004422225,0.4159366278698548,2.6074084578506467,2.0846555728025673
53,0.01649158013095344,-1.842,-1.502479597809971,0.5353665658985847,0.5031053290785505,0.4866137489475971,2.3773665658985847,2.0378461637085556,0.535365131886335,0.5031045174784055,0.48661293734745203,2.377365131886335,2.037844729696306,0.5353656931230424,0.5031048351152718,0.4866132549843184,2.3773656931230427,2.0378452909330136
54,0.05786700883052055,-0.327,-1.2542732806451853,0.5881515056685852,0.5438189006592925,0.48595189182877196,0.9151515056685853,1.8424247863137704,0.5881489470560025,0.5438174309357644,0.48595042210524386,0.9151489470560026,1.8424222277011877,0.5881499484776214,0.5438180061596117,0.4859509973290912,0.9151499484776213,1.8424232291228066
55,0.1081764642377558,-0.985,-0.9930824399251941,0.5732838416594989,0.5546998256327282,0.44652336139497245,1.5582838416594988,1.5663662815846928,0.5732793140814465,0.5546971841790048,0.44652071994124903,1.5582793140814464,1.5663617540066406,0.5732810862169312,0.5546982180213619,0.4465217537836061,1.5582810862169312,1.5663635261421254
56,0.1440089227314033,-0.484,-0.8061511867130846,0.5901970270252994,0.5539861505624476,0.4099772278310443,1.0741970270252994,1.396348213738384,0.5901890848287751,0.5539814409259665,0.40997251819456315,1.0741890848287752,1.3963402715418596,0.5901921936465442,0.5539832842934636,0.40997436156206024,1.0741921936465442,1.3963433803596288
