gis,dune_start_m,dune_end_m,dune_change_m,dune_rate_m_yr,cs_endpoint_change_m,cs_endpoint_m_yr,n_obs_start,n_obs_end,n_transects,beach_width_change_m,dune_minus_endpoint_m_yr
59,3450.220,3460.109,-9.890,-0.850,1.113,0.096,5.000,12.000,10,11.003,-0.946
60,3359.332,3361.047,-1.714,-0.147,5.283,0.454,5.000,10.000,10,6.997,-0.601
61,3263.926,3252.779,11.147,0.958,-2.132,-0.183,5.000,11.500,10,-13.279,1.141
62,3143.658,3135.004,8.654,0.744,-12.889,-1.108,5.000,10.500,10,-21.543,1.852
63,3027.173,3040.029,-12.856,-1.105,-16.246,-1.397,4.000,11.500,10,-3.390,0.292
64,2948.639,2954.104,-5.465,-0.470,-14.171,-1.218,4.000,11.000,10,-8.706,0.748
65,2858.642,2862.742,-4.100,-0.353,-21.311,-1.832,4.000,11.000,10,-17.211,1.479
66,2761.602,2766.550,-4.947,-0.425,-18.416,-1.583,4.000,11.000,11,-13.469,1.158
67,2644.386,2650.314,-5.928,-0.510,22.422,1.928,4.000,10.500,10,28.350,-2.438
68,2533.521,2530.759,2.762,0.238,53.508,4.601,4.000,10.000,10,50.746,-4.363
69,2432.027,2421.342,10.685,0.919,23.639,2.032,5.000,10.500,10,12.954,-1.113
70,2334.212,2338.431,-4.220,-0.363,-2.643,-0.227,5.000,11.000,10,1.577,-0.136
71,2243.963,2247.762,-3.799,-0.327,5.605,0.482,7.000,10.000,10,9.404,-0.809
72,2176.084,2179.284,-3.200,-0.275,17.577,1.511,5.000,10.000,10,20.777,-1.786
73,2131.579,2124.179,7.400,0.636,21.412,1.841,6.000,9.000,10,14.012,-1.205
74,2080.657,2064.774,15.883,1.366,22.342,1.921,7.000,11.000,10,6.459,-0.555
75,2037.660,2023.605,14.054,1.208,16.702,1.436,7.000,10.000,10,2.648,-0.228
76,1981.269,2004.070,-22.800,-1.960,-30.651,-2.635,7.000,10.000,10,-7.851,0.675
77,1953.198,2010.515,-57.317,-4.928,-32.467,-2.792,7.000,9.000,10,24.850,-2.136
78,1957.124,2015.870,-58.746,-5.051,-31.320,-2.693,7.000,11.000,10,27.426,-2.358
79,2018.071,2041.807,-23.736,-2.041,-32.312,-2.778,7.000,9.000,10,-8.576,0.737
80,2073.111,2101.908,-28.796,-2.476,-60.190,-5.175,5.000,9.000,10,-31.394,2.699
81,2108.581,2169.865,-61.284,-5.269,-42.138,-3.623,5.000,9.000,10,19.146,-1.646
82,2197.441,2244.899,-47.457,-4.080,-6.469,-0.556,6.000,9.000,10,40.988,-3.524
83,2264.148,2298.994,-34.846,-2.996,-27.702,-2.382,6.000,9.500,10,7.144,-0.614
84,2336.937,2394.128,-57.191,-4.917,-41.945,-3.606,6.000,10.000,11,15.246,-1.311
85,2428.149,2481.426,-53.277,-4.581,-33.310,-2.864,6.000,10.000,12,19.967,-1.717
86,2500.267,2553.891,-53.624,-4.611,-29.114,-2.503,6.000,10.000,12,24.510,-2.108
87,2573.998,2620.642,-46.644,-4.011,-17.051,-1.466,6.000,10.000,11,29.593,-2.545
88,2644.098,2678.640,-34.541,-2.970,-12.268,-1.055,6.000,10.000,10,22.273,-1.915
89,2714.449,2737.964,-23.515,-2.022,-5.078,-0.437,6.000,9.000,9,18.437,-1.585
90,2797.485,2810.560,-13.074,-1.124,2.180,0.187,6.000,10.000,10,15.254,-1.311
