domain,number_of_samples,road_1984_length_m,mean_relocation_m,median_relocation_m,minimum_relocation_m,maximum_relocation_m,std_relocation_m,mean_signed_landward_m,median_signed_landward_m,landward_fraction,sign_agreement,coincident_fraction,oblique_fraction,classification,flags
31,106,520.8879632411335,3.075121708636014e-11,5.820766091346741e-11,0.0,5.820766091346741e-11,2.9057168901096136e-11,,,,,1.0,0.0,no_edit,NO_EDIT
32,105,515.5739221995447,2.3283064365386964e-11,0.0,0.0,5.820766091346741e-11,2.851581367178795e-11,,,,,1.0,0.0,no_edit,NO_EDIT
33,103,508.1045801041047,2.2604916859598993e-11,0.0,0.0,5.820766091346741e-11,2.836894550932899e-11,,,,,1.0,0.0,no_edit,NO_EDIT
34,104,510.4130430802942,2.2947250937040035e-11,0.0,0.0,5.820766091346741e-11,2.8445201280215774e-11,,,,,1.0,0.0,no_edit,NO_EDIT
35,104,513.1025119940749,2.630538522050931e-11,0.0,0.0,1.1641532182693481e-10,3.007254615213312e-11,,,,,1.0,0.0,no_edit,NO_EDIT
36,104,513.0473311825331,2.2947250937040035e-11,0.0,0.0,5.820766091346741e-11,2.8445201280215774e-11,,,,,1.0,0.0,no_edit,NO_EDIT
37,104,513.1871474667182,2.5186007126019552e-11,0.0,0.0,5.820766091346741e-11,2.8838925215819197e-11,,,,,1.0,0.0,no_edit,NO_EDIT
38,104,513.0516141554117,2.7424763314999066e-11,0.0,0.0,5.820766091346741e-11,2.905535545795039e-11,,,,,1.0,0.0,no_edit,NO_EDIT
39,103,507.102823607637,2.0344425173639094e-11,0.0,0.0,5.820766091346741e-11,2.7754382831199725e-11,,,,,1.0,0.0,no_edit,NO_EDIT
40,102,501.56682580601847,1.3695920214933507e-11,0.0,0.0,5.820766091346741e-11,2.469067129980327e-11,,,,,1.0,0.0,no_edit,NO_EDIT
41,102,501.59796069561423,5.7066334228889614e-12,0.0,0.0,5.820766091346741e-11,1.7309076180251418e-11,,,,,1.0,0.0,no_edit,NO_EDIT
42,102,501.52549389993726,9.130613476622338e-12,0.0,0.0,5.820766091346741e-11,2.116845650300681e-11,,,,,1.0,0.0,no_edit,NO_EDIT
43,102,501.079126859736,0.5934825393123291,0.749631325794329,0.0,1.2146168422043955,0.4112576268280237,-0.8874266769878323,-0.8558534555146528,0.0,1.0,0.38235294117647056,0.0,redigitized,REDIGITIZED
44,102,501.1268281572251,0.7843151828700259,0.7671892906746622,0.6514092298645558,0.954184462979942,0.09171146956261207,-0.7843151828700259,-0.7671892906746622,0.0,1.0,0.0,0.0,redigitized,REDIGITIZED
45,102,501.13694204357597,1.061297881662781,1.0615648398361157,0.9419257946552512,1.1751435729557198,0.06674178554761157,-1.061297881662781,-1.0615648398361157,0.0,1.0,0.0,0.0,redigitized,REDIGITIZED
