window,domain_number,lrr_interval_yr,dune_interval_yr,mean_lrr_m_yr,shoreline_change_m,shoreline_change_dune_interval_m,dune_change_m,dune_rate_m_yr,beach_width_change_m,beach_width_change_dune_interval_m,n_coastsat_transects,n_dune_transects
1996_2024,43,28.0,25.717,0.19,5.321,4.887,-3.602,-0.14,8.923,8.489,10,5
1996_2024,44,28.0,25.717,0.061,1.707,1.568,-3.203,-0.125,4.91,4.771,10,5
1996_2024,45,28.0,25.717,-0.504,-14.106,-12.956,-4.505,-0.175,-9.601,-8.451,10,5
1996_2024,46,28.0,25.717,-1.094,-30.62,-28.123,-10.683,-0.415,-19.937,-17.44,10,5
1996_2024,47,28.0,25.717,-1.028,-28.789,-26.442,-24.957,-0.97,-3.832,-1.485,10,5
1996_2024,48,28.0,25.717,-0.401,-11.224,-10.308,-17.797,-0.692,6.573,7.489,10,5
1996_2024,49,28.0,25.717,-0.293,-8.194,-7.526,-6.797,-0.264,-1.397,-0.729,10,5
1996_2024,50,28.0,25.717,-0.591,-16.558,-15.208,-19.884,-0.773,3.326,4.676,10,5
1996_2024,51,28.0,25.717,-0.663,-18.564,-17.05,-30.351,-1.18,11.787,13.301,10,5
1996_2024,52,28.0,25.717,-0.896,-25.088,-23.042,-38.706,-1.505,13.618,15.664,10,5
1996_2024,53,28.0,25.717,-0.987,-27.628,-25.375,-38.237,-1.487,10.609,12.862,10,5
1996_2024,54,28.0,25.717,-0.853,-23.88,-21.932,-24.811,-0.965,0.931,2.879,10,5
1996_2024,55,28.0,25.717,-0.449,-12.569,-11.544,-34.057,-1.324,21.488,22.513,10,5
1996_2024,56,28.0,25.717,-0.205,-5.75,-5.281,-9.01,-0.35,3.26,3.729,11,5
1996_2024,57,28.0,25.717,-0.004,-0.12,-0.11,1.546,0.06,-1.666,-1.656,10,5
1996_2024,58,28.0,25.717,0.314,8.791,8.074,-9.718,-0.378,18.509,17.792,10,5
1996_2024,59,28.0,25.717,0.247,6.917,6.353,-5.469,-0.213,12.386,11.822,10,5
1996_2024,60,28.0,25.717,-0.562,-15.723,-14.441,-5.285,-0.206,-10.438,-9.156,10,5
1996_2024,61,28.0,25.717,-1.299,-36.364,-33.398,-4.503,-0.175,-31.861,-28.895,10,5
1996_2024,62,28.0,25.717,-1.546,-43.275,-39.746,-13.112,-0.51,-30.163,-26.634,10,5
1996_2024,63,28.0,25.717,-0.816,-22.856,-20.992,-29.226,-1.136,6.37,8.234,10,5
1996_2024,64,28.0,25.717,-0.161,-4.498,-4.131,-10.688,-0.416,6.19,6.557,10,5
1996_2024,65,28.0,25.717,0.478,13.376,12.285,2.58,0.1,10.796,9.705,10,5
1996_2024,66,28.0,25.717,2.142,59.972,55.081,16.435,0.639,43.537,38.646,11,5
1996_2024,67,28.0,25.717,2.771,77.59,71.262,24.45,0.951,53.14,46.812,10,5
1996_2024,68,28.0,25.717,2.263,63.363,58.196,27.165,1.056,36.198,31.031,10,5
1996_2024,69,28.0,25.717,1.529,42.816,39.325,24.315,0.945,18.501,15.01,10,5
1996_2024,70,28.0,25.717,0.842,23.581,21.658,12.19,0.474,11.391,9.468,10,5
1996_2024,71,28.0,25.717,0.687,19.247,17.678,2.578,0.1,16.669,15.1,10,5
1996_2024,72,28.0,25.717,1.018,28.512,26.186,17.783,0.691,10.729,8.403,10,5
1996_2024,73,28.0,25.717,1.056,29.577,27.165,36.96,1.437,-7.383,-9.795,10,5
1996_2024,74,28.0,25.717,0.39,10.914,10.024,25.999,1.011,-15.085,-15.975,10,5
1996_2024,75,28.0,25.717,-0.937,-26.24,-24.101,-2.65,-0.103,-23.59,-21.451,10,5
1996_2024,76,28.0,25.717,-1.954,-54.725,-50.262,-43.965,-1.71,-10.76,-6.297,10,5
1996_2024,77,28.0,25.717,-1.734,-48.54,-44.582,-79.613,-3.096,31.073,35.031,10,5
1996_2024,78,28.0,25.717,-1.936,-54.204,-49.783,-90.43,-3.516,36.226,40.647,10,5
1996_2024,79,28.0,25.717,-1.62,-45.363,-41.663,-39.467,-1.535,-5.896,-2.196,10,5
1996_2024,80,28.0,25.717,-2.516,-70.451,-64.706,-45.377,-1.765,-25.074,-19.329,10,5
1996_2024,81,28.0,25.717,-1.883,-52.717,-48.418,-59.145,-2.3,6.428,10.727,10,5
1996_2024,82,28.0,25.717,-1.489,-41.697,-38.297,-48.591,-1.889,6.894,10.294,10,5
1996_2024,83,28.0,25.717,-2.126,-59.525,-54.671,-70.302,-2.734,10.777,15.631,10,5
1996_2024,84,28.0,25.717,-1.587,-44.436,-40.812,-79.329,-3.085,34.893,38.517,11,5
1996_2024,85,28.0,25.717,-1.038,-29.078,-26.706,-48.922,-1.902,19.844,22.216,12,5
1996_2024,86,28.0,25.717,-0.544,-15.222,-13.981,-44.43,-1.728,29.208,30.449,12,5
1996_2024,87,28.0,25.717,0.032,0.889,0.817,-42.403,-1.649,43.292,43.22,11,5
1996_2024,88,28.0,25.717,1.004,28.114,25.822,-19.536,-0.76,47.65,45.358,10,5
1996_2024,89,28.0,25.717,1.182,33.103,30.404,-4.577,-0.178,37.68,34.981,9,5
1996_2024,90,28.0,25.717,1.194,33.439,30.712,2.857,0.111,30.582,27.855,10,5
1996_2010,1,14.0,11.63,3.23,45.22,37.567,-0.156,-0.013,45.376,37.723,9,5
1996_2010,2,14.0,11.63,2.787,39.025,32.42,-55.325,-4.757,94.35,87.745,11,5
1996_2010,3,14.0,11.63,2.07,28.975,24.071,-35.694,-3.069,64.669,59.765,10,5
1996_2010,4,14.0,11.63,1.839,25.753,21.394,-12.282,-1.056,38.035,33.676,13,5
1996_2010,5,14.0,11.63,0.1,1.395,1.159,4.854,0.417,-3.459,-3.695,13,5
1996_2010,6,14.0,11.63,-1.345,-18.837,-15.649,-6.277,-0.54,-12.56,-9.372,6,5
1996_2010,7,14.0,11.63,-2.054,-28.751,-23.885,-27.05,-2.326,-1.701,3.165,4,5
1996_2010,8,14.0,11.63,-1.096,-15.339,-12.743,-12.009,-1.033,-3.33,-0.734,8,5
1996_2010,9,14.0,11.63,-1.274,-17.83,-14.812,-25.64,-2.205,7.81,10.828,9,5
