domain_number,n_transects,mean_change_m,std_change_m,min_change_m,max_change_m,mean_rate_m_yr,std_rate_m_yr,pct_landward,median_n_start,median_n_end,n_transects_empty_window
70,10,11.343,7.518,1.149,22.964,0.594,0.394,0.0,17.5,39.0,0
71,10,18.271,10.092,5.571,35.597,0.957,0.528,0.0,22.0,44.0,0
72,10,27.699,4.475,21.359,34.681,1.45,0.234,0.0,20.5,45.0,0
73,10,13.54,3.972,8.166,18.604,0.709,0.208,0.0,21.0,46.0,0
74,10,1.878,13.084,-22.568,13.884,0.098,0.685,40.0,21.0,46.0,0
75,10,-33.216,4.372,-37.98,-25.114,-1.739,0.229,100.0,21.5,46.0,0
76,10,-44.322,2.265,-46.601,-40.387,-2.321,0.119,100.0,22.0,46.5,0
77,10,-39.668,4.845,-47.419,-35.071,-2.077,0.254,100.0,23.0,45.0,0
78,10,-42.8,15.909,-58.172,-14.775,-2.241,0.833,100.0,21.5,44.0,0
79,10,-21.67,6.987,-29.957,-9.799,-1.135,0.366,100.0,23.0,43.5,0
80,10,-44.905,4.911,-52.545,-37.959,-2.351,0.257,100.0,22.0,41.0,0
81,10,-15.506,9.624,-32.716,-4.735,-0.812,0.504,100.0,22.5,42.5,0
82,10,-18.649,8.025,-32.914,-9.357,-0.976,0.42,100.0,22.0,44.0,0
83,10,-48.766,6.455,-56.35,-38.457,-2.553,0.338,100.0,23.5,45.0,0
84,11,-29.981,9.111,-41.66,-17.325,-1.57,0.477,100.0,22.0,44.0,0
85,12,-10.515,3.94,-15.657,-2.677,-0.551,0.206,100.0,24.0,43.0,0
86,12,8.141,8.741,-0.657,23.495,0.426,0.458,8.333,21.0,41.0,0
87,11,27.746,6.325,22.09,39.264,1.453,0.331,0.0,22.0,42.0,0
88,10,52.826,8.005,41.2,64.029,2.766,0.419,0.0,23.0,42.0,0
89,9,41.326,2.747,37.824,45.87,2.164,0.144,0.0,24.0,42.0,0
90,10,40.805,2.288,36.266,43.008,2.136,0.12,0.0,24.0,39.0,0
