domain_number,window_domains,window_km,projected_change_m,observed_m,observed_minus_projected_m
30,3,1.5,42.096,53.063,10.967
31,3,1.5,35.25,46.623,11.374
32,3,1.5,24.687,31.693,7.006
33,3,1.5,20.337,22.469,2.132
34,3,1.5,20.664,29.72,9.056
35,3,1.5,12.074,35.532,23.458
36,3,1.5,2.29,28.671,26.381
37,3,1.5,0.087,14.029,13.942
38,3,1.5,1.662,3.282,1.62
39,3,1.5,2.965,2.247,-0.719
40,3,1.5,5.222,1.562,-3.66
41,3,1.5,6.821,-0.105,-6.926
42,3,1.5,5.369,2.457,-2.912
43,3,1.5,2.849,7.358,4.508
44,3,1.5,-0.483,5.993,6.476
45,3,1.5,-7.217,-1.988,5.229
46,3,1.5,-13.433,-9.079,4.355
47,3,1.5,-12.609,-6.854,5.755
48,3,1.5,-7.361,-3.532,3.829
49,3,1.5,-5.496,-8.072,-2.576
50,3,1.5,-7.599,-15.017,-7.418
51,3,1.5,-9.844,-23.904,-14.06
52,3,1.5,-12.041,-31.109,-19.067
53,3,1.5,-13.033,-23.771,-10.737
54,3,1.5,-10.815,-15.262,-4.447
55,3,1.5,-6.557,-11.595,-5.038
56,3,1.5,-3.126,-6.804,-3.678
57,3,1.5,0.316,0.137,-0.179
58,3,1.5,3.172,2.564,-0.608
59,3,1.5,1.483,0.029,-1.454
60,3,1.5,-7.059,-3.079,3.98
61,3,1.5,-16.132,-4.714,11.418
62,3,1.5,-17.55,6.209,23.758
63,3,1.5,-10.998,21.001,31.999
64,3,1.5,-2.179,30.34,32.52
65,3,1.5,10.338,44.941,34.603
66,3,1.5,26.854,61.459,34.605
67,3,1.5,35.301,51.058,15.757
68,3,1.5,30.63,25.744,-4.887
69,3,1.5,21.214,17.578,-3.637
70,3,1.5,13.468,17.845,4.377
71,3,1.5,11.247,11.957,0.71
72,3,1.5,13.353,14.815,1.462
73,3,1.5,12.518,11.399,-1.118
74,3,1.5,1.942,-4.484,-6.426
75,3,1.5,-12.181,-11.871,0.309
76,3,1.5,-22.127,-16.21,5.917
77,3,1.5,-25.418,-20.384,5.034
78,3,1.5,-25.145,-23.372,1.773
79,3,1.5,-25.063,-16.307,8.757
80,3,1.5,-27.837,-9.751,18.086
81,3,1.5,-25.723,-17.291,8.432
82,3,1.5,-23.967,-25.156,-1.189
83,3,1.5,-27.009,-16.544,10.465
84,3,1.5,-22.414,-2.51,19.904
85,3,1.5,-14.625,3.451,18.076
86,3,1.5,-7.539,8.379,15.918
87,3,1.5,0.752,14.875,14.124
88,3,1.5,10.242,19.002,8.76
89,3,1.5,15.417,23.178,7.761
90,3,1.5,16.946,29.149,12.203
1,5,2.5,39.807,124.745,84.938
2,5,2.5,35.379,69.444,34.066
3,5,2.5,34.492,53.065,18.574
4,5,2.5,26.871,40.245,13.374
5,5,2.5,11.488,21.084,9.596
6,5,2.5,-19.434,-22.725,-3.291
7,5,2.5,-18.394,-17.734,0.659
8,5,2.5,-4.53,-7.939,-3.409
9,5,2.5,1.92,8.16,6.24
10,5,2.5,10.0,28.552,18.552
11,5,2.5,9.289,29.752,20.463
12,5,2.5,9.448,30.128,20.68
13,5,2.5,10.626,32.359,21.733
14,5,2.5,13.333,39.351,26.017
15,5,2.5,15.469,43.807,28.338
16,5,2.5,16.846,42.97,26.124
17,5,2.5,19.029,40.817,21.788
18,5,2.5,21.593,41.684,20.091
19,5,2.5,20.045,40.289,20.244
20,5,2.5,12.097,30.731,18.634
21,5,2.5,0.761,13.838,13.078
22,5,2.5,-11.435,-1.547,9.888
23,5,2.5,-22.185,-5.049,17.136
24,5,2.5,-28.648,0.027,28.675
25,5,2.5,-25.47,4.733,30.203
26,5,2.5,-14.939,3.067,18.005
27,5,2.5,0.794,6.318,5.524
28,5,2.5,18.536,17.365,-1.171
29,5,2.5,33.136,35.231,2.095
30,5,2.5,38.807,46.862,8.055
31,5,2.5,34.236,44.375,10.139
32,5,2.5,26.263,33.282,7.019
33,5,2.5,20.215,27.82,7.604
34,5,2.5,15.163,29.407,14.244
35,5,2.5,9.322,32.196,22.874
36,5,2.5,3.394,26.147,22.753
37,5,2.5,1.024,14.758,13.734
38,5,2.5,1.502,6.058,4.556
39,5,2.5,3.243,2.323,-0.92
40,5,2.5,5.032,1.293,-3.739
41,5,2.5,5.861,1.088,-4.773
42,5,2.5,5.076,3.139,-1.937
43,5,2.5,2.586,5.279,2.693
44,5,2.5,-1.568,3.943,5.511
45,5,2.5,-6.99,-1.925,5.066
46,5,2.5,-11.134,-5.969,5.165
47,5,2.5,-11.151,-6.497,4.654
48,5,2.5,-8.387,-5.902,2.485
49,5,2.5,-6.681,-8.774,-2.093
50,5,2.5,-7.609,-15.349,-7.741
51,5,2.5,-9.862,-22.706,-12.845
52,5,2.5,-11.7,-24.844,-13.143
53,5,2.5,-12.127,-22.475,-10.347
54,5,2.5,-10.296,-16.151,-5.855
55,5,2.5,-6.878,-11.316,-4.438
56,5,2.5,-3.13,-6.162,-3.032
57,5,2.5,0.193,-1.14,-1.332
58,5,2.5,1.863,1.228,-0.635
59,5,2.5,-0.876,-0.09,0.786
60,5,2.5,-7.493,-2.791,4.702
61,5,2.5,-13.911,-1.245,12.666
62,5,2.5,-14.887,7.648,22.535
63,5,2.5,-10.297,18.911,29.208
64,5,2.5,-1.461,31.222,32.684
65,5,2.5,11.182,44.485,33.303
66,5,2.5,23.672,51.06,27.388
67,5,2.5,30.801,44.081,13.28
68,5,2.5,29.393,29.653,0.26
69,5,2.5,21.818,19.738,-2.08
70,5,2.5,15.226,15.758,0.532
71,5,2.5,12.551,14.782,2.231
72,5,2.5,12.485,12.711,0.226
73,5,2.5,9.659,7.067,-2.591
74,5,2.5,1.034,-1.537,-2.571
75,5,2.5,-10.373,-10.8,-0.428
76,5,2.5,-19.559,-15.432,4.126
77,5,2.5,-24.345,-19.663,4.681
78,5,2.5,-25.282,-19.419,5.863
79,5,2.5,-26.198,-16.195,10.003
80,5,2.5,-26.114,-13.463,12.651
81,5,2.5,-25.665,-16.71,8.956
82,5,2.5,-25.013,-19.159,5.855
83,5,2.5,-24.138,-15.133,9.004
84,5,2.5,-21.305,-4.739,16.565
85,5,2.5,-14.624,3.266,17.89
86,5,2.5,-7.186,8.769,15.955
87,5,2.5,1.367,14.257,12.89
88,5,2.5,8.891,19.164,10.273
89,5,2.5,13.943,23.881,9.937
90,5,2.5,18.212,28.68,10.469
1,10,5.0,39.807,124.745,84.938
2,10,5.0,35.379,69.444,34.066
3,10,5.0,34.492,53.065,18.574
4,10,5.0,26.871,40.245,13.374
5,10,5.0,11.488,21.084,9.596
6,10,5.0,-19.434,-22.725,-3.291
7,10,5.0,-18.394,-17.734,0.659
8,10,5.0,-4.53,-7.939,-3.409
9,10,5.0,1.92,8.16,6.24
10,10,5.0,10.0,28.552,18.552
11,10,5.0,7.937,25.226,17.289
12,10,5.0,10.001,30.647,20.645
13,10,5.0,11.72,34.724,23.003
14,10,5.0,13.168,36.935,23.767
15,10,5.0,15.001,38.755,23.754
16,10,5.0,17.047,40.759,23.712
17,10,5.0,17.746,41.229,23.484
18,10,5.0,15.883,38.405,22.522
19,10,5.0,11.989,32.65,20.661
20,10,5.0,6.482,25.327,18.845
21,10,5.0,-1.199,18.622,19.821
22,10,5.0,-10.014,12.743,22.757
23,10,5.0,-14.632,7.354,21.986
24,10,5.0,-14.266,3.917,18.183
25,10,5.0,-11.877,4.545,16.422
26,10,5.0,-6.969,9.604,16.573
27,10,5.0,1.4,16.883,15.483
28,10,5.0,10.157,23.542,13.385
29,10,5.0,16.556,28.565,12.009
30,10,5.0,21.689,33.125,11.436
31,10,5.0,25.94,35.513,9.573
32,10,5.0,25.748,35.638,9.89
33,10,5.0,20.899,33.556,12.657
34,10,5.0,15.233,29.696,14.463
35,10,5.0,10.565,25.282,14.718
36,10,5.0,7.088,20.982,13.894
37,10,5.0,4.533,16.176,11.643
38,10,5.0,3.298,10.71,7.412
39,10,5.0,3.398,5.906,2.508
40,10,5.0,3.918,3.348,-0.571
41,10,5.0,3.983,2.821,-1.162
42,10,5.0,2.932,2.632,-0.3
43,10,5.0,0.636,1.547,0.912
44,10,5.0,-2.308,0.18,2.488
45,10,5.0,-4.882,-1.041,3.841
46,10,5.0,-6.688,-2.879,3.809
47,10,5.0,-7.968,-5.692,2.276
48,10,5.0,-8.765,-8.861,-0.096
49,10,5.0,-9.007,-12.033,-3.026
50,10,5.0,-9.127,-14.87,-5.743
51,10,5.0,-9.533,-17.006,-7.473
52,10,5.0,-9.94,-18.211,-8.27
53,10,5.0,-9.652,-17.845,-8.193
54,10,5.0,-8.422,-15.498,-7.076
55,10,5.0,-6.304,-11.365,-5.061
56,10,5.0,-3.902,-7.097,-3.195
57,10,5.0,-2.444,-4.116,-1.672
58,10,5.0,-2.795,-2.339,0.456
59,10,5.0,-4.629,-0.828,3.802
60,10,5.0,-6.61,2.102,8.712
61,10,5.0,-7.658,6.806,14.464
62,10,5.0,-7.546,12.565,20.111
63,10,5.0,-5.197,20.091,25.287
64,10,5.0,0.494,27.448,26.954
65,10,5.0,7.69,30.517,22.827
66,10,5.0,12.813,30.041,17.228
67,10,5.0,16.231,28.509,12.278
68,10,5.0,18.647,25.875,7.229
69,10,5.0,19.649,21.459,1.81
70,10,5.0,17.524,17.055,-0.47
71,10,5.0,13.907,13.014,-0.893
72,10,5.0,9.272,8.323,-0.95
73,10,5.0,3.684,3.221,-0.463
74,10,5.0,-2.321,-2.223,0.097
75,10,5.0,-8.421,-7.856,0.565
76,10,5.0,-14.733,-12.73,2.003
77,10,5.0,-20.499,-15.377,5.121
78,10,5.0,-24.235,-16.24,7.995
79,10,5.0,-25.787,-16.908,8.879
80,10,5.0,-26.062,-16.797,9.265
81,10,5.0,-25.702,-14.865,10.837
82,10,5.0,-24.46,-11.815,12.645
83,10,5.0,-21.835,-8.732,13.103
84,10,5.0,-17.909,-4.68,13.229
85,10,5.0,-12.758,1.488,14.246
86,10,5.0,-6.28,7.944,14.224
87,10,5.0,0.504,13.49,12.986
88,10,5.0,7.225,18.937,11.712
89,10,5.0,13.994,24.304,10.31
90,10,5.0,20.732,29.588,8.856
