year,domain,section,setback_2009_m,setback_2009_floored_m,setback_model_m,drowns_at_init,relocated_seaward_m,n_road_profiles,setback_p10_m,setback_p90_m,setback_min_m,setback_max_m,setback_center_m,measured_road_width_m,road_elev_mhw_median,road_elev_mhw_mean,road_elev_std_m,road_elev_navd_median,n_road_cells,water_frac,obliquity_deg,shear_max_cells,lead_trim_rows,window,flags,setback_legacy_m,delta_vs_legacy_m
1984,21,Avon,120.0,120.0,120.0,no,0.0,50,100.0,150.0,90.0,160.0,130.0,20.0,0.813,0.817,0.199,1.173,118,0.0,14.19,12,0,"[6,9]",SCATTER_SETBACK(50m),163.0,43.0
1984,22,Avon,185.0,185.0,185.0,no,0.0,50,169.0,210.0,160.0,220.0,192.5,20.0,0.582,0.575,0.151,0.942,116,0.0,10.68,9,0,"[6,11]",SCATTER_SETBACK(41m),225.0,40.0
1984,23,Avon,220.0,220.0,220.0,no,0.0,50,210.0,220.0,180.0,220.0,225.0,20.0,0.651,0.633,0.128,1.011,123,0.0,9.82,8,0,"[3,7]",,244.0,24.0
1984,24,Avon,170.0,170.0,170.0,no,0.0,50,160.0,180.0,160.0,180.0,180.0,20.0,0.615,0.595,0.124,0.975,123,0.0,11.99,10,0,"[2,10]",,225.0,55.0
1984,25,Avon,160.0,160.0,160.0,no,0.0,50,159.0,170.0,150.0,180.0,165.0,20.0,0.64,0.616,0.133,1.0,121,0.0,9.82,8,0,"[1,9]",,234.0,74.0
1984,26,Avon,205.0,205.0,205.0,no,0.0,50,170.0,220.0,170.0,230.0,212.5,20.0,0.563,0.543,0.118,0.923,116,0.0,13.04,11,0,"[1,9]",SCATTER_SETBACK(50m),271.0,66.0
1984,27,Avon,260.0,260.0,260.0,no,0.0,50,240.0,290.0,210.0,290.0,270.0,20.0,0.652,0.621,0.12,1.012,113,0.0,14.92,13,0,"[6,11]",SCATTER_SETBACK(50m),298.0,38.0
1984,28,Avon,270.0,270.0,270.0,no,0.0,50,260.0,280.0,250.0,290.0,280.0,25.0,0.51,0.507,0.135,0.87,125,0.0,13.56,12,0,"[8,15]",,284.0,14.0
1984,29,Avon,260.0,260.0,260.0,no,0.0,50,260.0,270.0,260.0,270.0,270.0,20.0,0.361,0.378,0.144,0.721,124,0.0,11.53,10,0,"[7,13]",,281.0,21.0
1984,30,Avon,250.0,250.0,250.0,no,0.0,50,250.0,270.0,250.0,280.0,260.0,20.0,0.368,0.359,0.121,0.728,122,0.0,13.68,12,0,"[9,14]",,259.0,9.0
1984,31,Avon,230.0,230.0,230.0,no,0.0,50,220.0,250.0,210.0,270.0,240.0,30.0,0.41,0.385,0.16,0.77,126,0.0,14.16,12,0,"[10,16]",,239.0,9.0
1984,32,Avon-Tri-Village / Wimble Shoals,220.0,220.0,220.0,no,0.0,50,210.0,230.0,200.0,240.0,225.0,20.0,0.396,0.357,0.124,0.756,124,0.0,14.15,12,0,"[12,16]",,251.0,31.0
1984,33,Avon-Tri-Village / Wimble Shoals,250.0,250.0,250.0,no,0.0,50,240.0,290.0,240.0,320.0,260.0,20.0,0.383,0.378,0.124,0.743,119,0.0,13.72,12,0,"[10,16]",SCATTER_SETBACK(50m),307.0,57.0
1984,34,Avon-Tri-Village / Wimble Shoals,320.0,320.0,320.0,no,0.0,50,310.0,331.0,310.0,350.0,325.0,20.0,0.333,0.308,0.125,0.693,121,0.0,13.33,12,0,"[8,12]",,339.0,19.0
1984,35,Avon-Tri-Village / Wimble Shoals,320.0,320.0,320.0,no,0.0,50,310.0,340.0,300.0,350.0,330.0,20.0,0.331,0.304,0.133,0.691,123,0.0,10.9,9,0,"[6,12]",,354.0,34.0
1984,36,Avon-Tri-Village / Wimble Shoals,330.0,330.0,330.0,no,0.0,50,320.0,340.0,310.0,340.0,340.0,20.0,0.339,0.332,0.117,0.699,123,0.0,11.62,10,0,"[1,9]",,344.0,14.0
1984,37,Avon-Tri-Village / Wimble Shoals,320.0,320.0,320.0,no,0.0,50,300.0,331.0,290.0,340.0,330.0,20.0,0.481,0.526,0.167,0.841,124,0.0,11.07,10,0,"[0,8]",,342.0,22.0
1984,38,Avon-Tri-Village / Wimble Shoals,280.0,280.0,280.0,no,0.0,50,260.0,300.0,250.0,310.0,287.5,20.0,0.589,0.619,0.167,0.949,124,0.0,10.84,9,0,"[5,11]",,290.0,10.0
1984,39,Avon-Tri-Village / Wimble Shoals,230.0,230.0,230.0,no,0.0,50,220.0,250.0,220.0,260.0,235.0,20.0,0.716,0.74,0.144,1.076,118,0.0,3.14,3,0,"[1,9]",,242.0,12.0
1984,40,Avon-Tri-Village / Wimble Shoals,210.0,210.0,210.0,no,0.0,50,200.0,220.0,200.0,230.0,215.0,20.0,0.849,0.862,0.141,1.209,114,0.0,3.19,3,0,"[1,9]",,234.0,24.0
1984,41,Avon-Tri-Village / Wimble Shoals,190.0,190.0,190.0,no,0.0,50,190.0,200.0,190.0,200.0,200.0,20.0,0.785,0.809,0.173,1.145,115,0.0,2.7,2,0,"[1,9]",,217.0,27.0
1984,42,Avon-Tri-Village / Wimble Shoals,190.0,190.0,190.0,no,0.0,50,179.0,200.0,170.0,200.0,195.0,20.0,0.708,0.721,0.221,1.068,115,0.0,0.81,1,0,"[1,9]",,189.0,-1.0
1984,43,Avon-Tri-Village / Wimble Shoals,170.0,170.0,170.0,no,0.0,50,160.0,170.0,160.0,180.0,175.0,20.0,0.55,0.624,0.282,0.91,112,0.0,1.65,1,0,"[1,9]",,186.0,16.0
1984,44,Avon-Tri-Village / Wimble Shoals,160.0,160.0,160.0,no,0.0,50,150.0,160.0,150.0,170.0,165.0,20.0,0.538,0.574,0.211,0.898,116,0.0,5.01,4,0,"[1,9]",,191.0,31.0
1984,45,Avon-Tri-Village / Wimble Shoals,150.0,150.0,150.0,no,0.0,50,140.0,160.0,140.0,160.0,155.0,20.0,0.706,0.728,0.181,1.066,112,0.0,3.5,3,0,"[1,9]",,192.0,42.0
1984,46,Avon-Tri-Village / Wimble Shoals,140.0,140.0,140.0,no,0.0,50,110.0,150.0,100.0,150.0,145.0,20.0,0.864,0.891,0.137,1.224,114,0.0,3.77,3,0,"[6,12]",,184.0,44.0
1984,47,Avon-Tri-Village / Wimble Shoals,140.0,140.0,140.0,no,0.0,50,140.0,150.0,140.0,150.0,150.0,20.0,0.85,0.884,0.173,1.21,115,0.0,1.64,1,0,"[5,9]",,184.0,44.0
1984,48,Avon-Tri-Village / Wimble Shoals,120.0,120.0,120.0,no,0.0,50,99.0,140.0,90.0,150.0,125.0,20.0,0.885,0.892,0.122,1.245,112,0.0,5.81,5,0,"[6,13]",SCATTER_SETBACK(41m),191.0,71.0
1984,49,Avon-Tri-Village / Wimble Shoals,130.0,130.0,130.0,no,0.0,50,109.0,130.0,100.0,140.0,135.0,20.0,0.877,0.886,0.115,1.237,116,0.0,4.97,4,0,"[8,13]",,188.0,58.0
1984,50,Avon-Tri-Village / Wimble Shoals,110.0,110.0,110.0,no,0.0,50,110.0,130.0,90.0,130.0,120.0,20.0,0.806,0.85,0.221,1.166,112,0.0,0.39,0,0,"[7,14]",,197.0,87.0
1984,51,Avon-Tri-Village / Wimble Shoals,120.0,120.0,120.0,no,0.0,50,110.0,140.0,110.0,150.0,130.0,20.0,0.802,0.818,0.165,1.162,113,0.0,5.75,5,0,"[7,10]",,212.0,92.0
1984,52,Avon-Tri-Village / Wimble Shoals,95.0,95.0,95.0,no,0.0,50,80.0,110.0,80.0,150.0,102.5,20.0,0.557,0.587,0.199,0.917,116,0.0,6.98,6,0,"[5,14]",,200.0,105.0
1984,53,Avon-Tri-Village / Wimble Shoals,140.0,140.0,140.0,no,0.0,50,130.0,140.0,120.0,150.0,145.0,20.0,0.622,0.677,0.271,0.982,117,0.0,5.31,5,0,"[2,10]",,194.0,54.0
1984,54,Avon-Tri-Village / Wimble Shoals,150.0,150.0,150.0,no,0.0,50,140.0,160.0,130.0,160.0,155.0,20.0,0.789,0.789,0.141,1.149,115,0.0,7.87,7,0,"[1,9]",,204.0,54.0
1984,55,Avon-Tri-Village / Wimble Shoals,160.0,160.0,160.0,no,0.0,50,150.0,170.0,130.0,170.0,165.0,20.0,0.773,0.778,0.148,1.133,118,0.0,8.29,7,0,"[2,10]",,203.0,43.0
1984,56,Avon-Tri-Village / Wimble Shoals,180.0,180.0,180.0,no,0.0,50,170.0,190.0,170.0,190.0,185.0,20.0,0.569,0.566,0.14,0.929,114,0.0,9.57,8,0,"[1,9]",,194.0,14.0
1984,57,Avon-Tri-Village / Wimble Shoals,200.0,200.0,200.0,no,0.0,50,190.0,210.0,180.0,220.0,210.0,20.0,0.551,0.577,0.14,0.911,116,0.0,9.53,8,0,"[2,10]",,240.0,40.0
1984,58,Avon-Tri-Village / Wimble Shoals,240.0,240.0,240.0,no,0.0,50,220.0,250.0,220.0,250.0,245.0,20.0,0.54,0.54,0.115,0.9,115,0.0,7.89,7,0,"[2,10]",,282.0,42.0
1984,59,Avon-Tri-Village / Wimble Shoals,270.0,270.0,270.0,no,0.0,50,259.0,280.0,250.0,290.0,277.5,20.0,0.532,0.556,0.147,0.892,117,0.0,12.37,11,0,"[2,10]",,295.0,25.0
1984,60,Avon-Tri-Village / Wimble Shoals,310.0,310.0,310.0,no,0.0,50,299.0,330.0,290.0,330.0,320.0,20.0,0.435,0.453,0.144,0.795,118,0.0,8.93,8,0,"[2,10]",,349.0,39.0
1984,61,Avon-Tri-Village / Wimble Shoals,330.0,330.0,330.0,no,0.0,50,320.0,340.0,300.0,340.0,335.0,20.0,0.6,0.631,0.208,0.96,122,0.0,14.5,13,0,"[6,12]",,352.0,22.0
1984,62,Avon-Tri-Village / Wimble Shoals,340.0,340.0,340.0,no,0.0,50,320.0,360.0,320.0,360.0,350.0,20.0,0.544,0.565,0.168,0.904,118,0.0,12.63,11,0,"[3,11]",,347.0,7.0
1984,63,Avon-Tri-Village / Wimble Shoals,350.0,350.0,350.0,no,0.0,50,330.0,370.0,330.0,370.0,357.5,20.0,0.597,0.637,0.196,0.957,119,0.0,9.06,8,0,"[3,11]",,344.0,-6.0
1984,64,Avon-Tri-Village / Wimble Shoals,370.0,370.0,370.0,no,0.0,50,348.0,370.0,330.0,380.0,375.0,20.0,0.653,0.682,0.197,1.013,119,0.0,9.08,8,0,"[2,10]",,345.0,-25.0
1984,65,Avon-Tri-Village / Wimble Shoals,370.0,370.0,370.0,no,0.0,50,359.0,370.0,350.0,380.0,375.0,20.0,0.582,0.596,0.184,0.942,122,0.0,11.47,10,0,"[1,9]",,361.0,-9.0
1984,66,Avon-Tri-Village / Wimble Shoals,340.0,340.0,340.0,no,0.0,50,318.0,380.0,290.0,400.0,345.0,20.0,0.47,0.459,0.153,0.83,121,0.0,14.55,13,0,"[5,16]",SCATTER_SETBACK(62m),364.0,24.0
1984,67,Avon-Tri-Village / Wimble Shoals,420.0,420.0,420.0,no,0.0,50,370.0,440.0,350.0,460.0,427.5,20.0,0.519,0.518,0.181,0.879,116,0.0,15.35,13,0,"[8,15]",SCATTER_SETBACK(70m),454.0,34.0
1984,68,Tri-Village,555.0,555.0,555.0,no,0.0,50,489.0,590.0,460.0,590.0,560.0,20.0,0.586,0.581,0.224,0.946,114,0.0,12.96,11,0,"[11,16]",SCATTER_SETBACK(101m),607.0,52.0
1984,69,Tri-Village,560.0,560.0,560.0,no,0.0,50,540.0,580.0,520.0,580.0,570.0,30.0,0.854,0.852,0.128,1.214,131,0.0,7.45,6,0,"[6,14]",,569.0,9.0
1984,70,Tri-Village,480.0,480.0,480.0,no,0.0,50,430.0,521.0,410.0,540.0,487.5,30.0,0.549,0.561,0.207,0.909,136,0.0,8.71,8,0,"[5,8]",SCATTER_SETBACK(91m),448.0,-32.0
1984,71,Tri-Village,410.0,410.0,410.0,no,0.0,50,400.0,451.0,400.0,460.0,420.0,20.0,0.258,0.252,0.126,0.618,123,0.0,9.82,8,0,"[1,9]",SCATTER_SETBACK(51m),483.0,73.0
1984,72,Tri-Village,490.0,490.0,490.0,no,0.0,50,470.0,520.0,460.0,520.0,495.0,20.0,0.377,0.402,0.135,0.737,106,0.0,7.06,6,0,"[1,9]",SCATTER_SETBACK(50m),582.0,92.0
1984,73,Tri-Village,550.0,550.0,550.0,no,0.0,50,530.0,571.0,520.0,580.0,555.0,20.0,0.514,0.503,0.137,0.874,114,0.0,6.98,6,0,"[1,9]",SCATTER_SETBACK(41m),643.0,93.0
1984,74,Tri-Village,600.0,600.0,600.0,no,0.0,50,580.0,610.0,580.0,610.0,605.0,20.0,0.476,0.477,0.199,0.836,111,0.0,7.49,6,0,"[6,10]",,616.0,16.0
1984,75,Tri-Village,540.0,540.0,540.0,no,0.0,50,520.0,580.0,520.0,590.0,545.0,20.0,0.625,0.623,0.148,0.985,122,0.0,4.07,3,0,"[1,9]",SCATTER_SETBACK(60m),540.0,0.0
1984,76,Tri-Village,505.0,505.0,505.0,no,0.0,50,499.0,510.0,490.0,520.0,512.5,20.0,0.542,0.562,0.206,0.902,110,0.0,1.81,2,0,"[3,11]",,533.0,28.0
1984,77,Tri-Village,500.0,500.0,500.0,no,0.0,50,500.0,501.0,500.0,510.0,505.0,20.0,0.393,0.372,0.131,0.753,100,0.0,4.08,3,0,"[1,9]",,575.0,75.0
1984,78,Tri-Village,490.0,490.0,470.0,yes,20.0,50,480.0,500.0,470.0,500.0,495.0,30.0,0.497,0.487,0.177,0.857,130,0.115,1.64,1,0,"[4,8]","MOVED_SEAWARD(20m,sea0%,bay52%)",588.0,98.0
1984,79,Tri-Village,510.0,510.0,400.0,yes,110.0,50,500.0,530.0,490.0,540.0,515.0,20.0,0.584,0.602,0.274,0.944,121,0.364,9.36,8,0,"[4,7]","IN_WATER(36%),MOVED_SEAWARD(110m,sea36%,bay36%),BEYOND_MEASURED(min 490m)",580.0,70.0
1984,80,Tri-Village,490.0,490.0,450.0,yes,40.0,50,449.0,520.0,440.0,540.0,495.0,20.0,0.59,0.602,0.092,0.95,115,0.0,6.15,5,0,"[4,7]","SCATTER_SETBACK(71m),MOVED_SEAWARD(40m,sea2%,bay34%)",617.0,127.0
1984,81,Tri-Village,350.0,350.0,350.0,no,0.0,50,250.0,431.0,210.0,440.0,357.5,30.0,0.652,0.651,0.152,1.012,126,0.0,4.17,4,0,"[4,12]",SCATTER_SETBACK(181m),409.0,59.0
1984,82,Tri-Village,115.0,115.0,115.0,no,0.0,50,90.0,201.0,80.0,230.0,120.0,20.0,0.747,0.697,0.176,1.107,114,0.0,10.42,9,0,"[5,11]",SCATTER_SETBACK(111m),241.0,126.0
1984,83,Tri-Village,60.0,60.0,60.0,no,0.0,50,10.0,90.0,0.0,90.0,65.0,20.0,0.594,0.513,0.208,0.954,100,0.0,11.25,10,0,"[3,9]",SCATTER_SETBACK(80m),176.0,116.0
1984,84,Pea Island / N. Rodanthe,-30.0,0.0,0.0,no,0.0,50,-70.0,0.0,-70.0,10.0,-25.0,20.0,0.85,1.213,0.846,1.21,95,0.053,8.39,7,0,"[3,7]","NEGATIVE(-30->floored 0),SCATTER_SETBACK(70m),SCATTER_ELEV(0.85)",95.0,125.0
1984,85,Pea Island / N. Rodanthe,-70.0,0.0,0.0,no,0.0,43,-90.0,-30.0,-100.0,-20.0,-70.0,20.0,1.937,1.709,0.972,2.297,92,0.054,7.44,6,0,"[5,10]","NEGATIVE(-70->floored 0),SCATTER_SETBACK(60m),SCATTER_ELEV(0.97)",40.0,110.0
1984,86,Pea Island / N. Rodanthe,-70.0,0.0,0.0,no,0.0,50,-90.0,-40.0,-90.0,-30.0,-65.0,20.0,1.394,1.352,0.692,1.754,119,0.0,7.11,6,0,"[6,10]","NEGATIVE(-70->floored 0),SCATTER_SETBACK(50m),SCATTER_ELEV(0.69)",60.0,130.0
1984,87,Pea Island / N. Rodanthe,20.0,20.0,20.0,no,0.0,50,-20.0,70.0,-30.0,80.0,30.0,30.0,0.922,1.594,1.214,1.282,131,0.0,7.63,7,0,"[1,9]","SCATTER_SETBACK(90m),SCATTER_ELEV(1.21)",55.0,35.0
1984,88,Pea Island / N. Rodanthe,110.0,110.0,110.0,no,0.0,50,90.0,121.0,80.0,160.0,120.0,30.0,0.962,1.028,0.308,1.322,126,0.0,9.78,8,0,"[2,10]",,158.0,48.0
1984,89,Pea Island / N. Rodanthe,160.0,160.0,160.0,no,0.0,50,160.0,160.0,150.0,170.0,165.0,20.0,0.735,0.743,0.126,1.095,117,0.0,4.87,4,0,"[2,7]",,207.0,47.0
1984,90,Pea Island / N. Rodanthe,150.0,150.0,150.0,no,0.0,50,150.0,160.0,140.0,160.0,157.5,20.0,0.498,0.506,0.149,0.858,117,0.0,7.73,7,0,"[4,7]",,190.0,40.0
