year,domain,section,setback_dunestart_m,setback_dunestart_floored_m,setback_model_m,drowns_at_init,relocated_seaward_m,n_road_profiles,setback_p10_m,setback_p90_m,setback_min_m,setback_max_m,setback_center_m,measured_road_width_m,road_elev_mhw_median,road_elev_mhw_mean,road_elev_std_m,road_elev_navd_median,n_road_cells,water_frac,obliquity_deg,shear_max_cells,lead_trim_rows,window,flags,setback_legacy_m,delta_vs_legacy_m
1984,20,Buxton-Avon,70.0,70.0,70.0,no,0.0,50,50.0,80.0,40.0,90.0,75.0,20.0,1.24,1.248,0.183,1.6,121,0.0,10.97,9,0,"[19,25]",,96.0,26.0
1984,21,Avon,120.0,120.0,120.0,no,0.0,50,99.0,150.0,60.0,160.0,130.0,20.0,1.14,1.124,0.171,1.5,118,0.0,15.2,13,0,"[21,27]",SCATTER_SETBACK(51m),163.0,43.0
1984,22,Avon,190.0,190.0,190.0,no,0.0,50,170.0,220.0,160.0,230.0,195.0,20.0,0.901,0.91,0.119,1.261,116,0.0,10.11,9,0,"[13,21]",SCATTER_SETBACK(50m),225.0,35.0
1984,23,Avon,230.0,230.0,230.0,no,0.0,50,220.0,230.0,220.0,240.0,235.0,20.0,0.953,0.979,0.234,1.313,123,0.0,10.93,9,0,"[14,20]",,244.0,14.0
1984,24,Avon,210.0,210.0,210.0,no,0.0,50,200.0,220.0,200.0,230.0,220.0,20.0,0.95,0.973,0.221,1.31,123,0.0,13.04,11,0,"[14,21]",,225.0,15.0
1984,25,Avon,200.0,200.0,200.0,no,0.0,50,190.0,210.0,190.0,220.0,210.0,20.0,1.002,1.011,0.155,1.362,121,0.0,12.65,11,0,"[15,22]",,234.0,34.0
1984,26,Avon,230.0,230.0,230.0,no,0.0,50,180.0,240.0,170.0,240.0,235.0,20.0,0.866,0.888,0.112,1.226,116,0.0,10.36,9,0,"[18,24]",SCATTER_SETBACK(60m),271.0,41.0
1984,27,Avon,260.0,260.0,260.0,no,0.0,50,210.0,290.0,200.0,300.0,267.5,20.0,0.899,0.903,0.138,1.259,113,0.0,14.92,13,0,"[19,26]",SCATTER_SETBACK(80m),298.0,38.0
1984,28,Avon,270.0,270.0,270.0,no,0.0,50,260.0,280.0,250.0,310.0,280.0,25.0,0.526,0.559,0.193,0.886,125,0.0,13.56,12,0,"[8,15]",,284.0,14.0
1984,29,Avon,260.0,260.0,260.0,no,0.0,50,250.0,270.0,240.0,270.0,265.0,20.0,0.361,0.378,0.144,0.721,124,0.0,11.96,10,0,"[23,31]",,281.0,21.0
1984,30,Avon,250.0,250.0,250.0,no,0.0,50,240.0,250.0,230.0,250.0,255.0,20.0,0.368,0.359,0.121,0.728,122,0.0,13.96,12,0,"[23,29]",,259.0,9.0
1984,31,Avon,230.0,230.0,230.0,no,0.0,50,220.0,241.0,200.0,250.0,240.0,30.0,0.41,0.385,0.16,0.77,126,0.0,16.76,15,0,"[19,29]",,239.0,9.0
1984,32,Avon-Tri-Village / Wimble Shoals,210.0,210.0,210.0,no,0.0,50,180.0,220.0,170.0,230.0,215.0,20.0,0.396,0.357,0.124,0.756,124,0.0,14.14,12,0,"[24,32]",,251.0,41.0
1984,33,Avon-Tri-Village / Wimble Shoals,250.0,250.0,250.0,no,0.0,50,230.0,290.0,200.0,300.0,255.0,20.0,0.383,0.378,0.124,0.743,119,0.0,13.44,12,0,"[22,31]",SCATTER_SETBACK(60m),307.0,57.0
1984,34,Avon-Tri-Village / Wimble Shoals,310.0,310.0,310.0,no,0.0,50,300.0,323.0,290.0,360.0,320.0,20.0,0.333,0.308,0.125,0.693,121,0.0,15.58,14,0,"[19,28]",,339.0,29.0
1984,35,Avon-Tri-Village / Wimble Shoals,400.0,400.0,400.0,no,0.0,50,370.0,411.0,370.0,420.0,405.0,20.0,0.331,0.304,0.133,0.691,123,0.0,12.06,10,0,"[21,29]",SCATTER_SETBACK(41m),354.0,-46.0
1984,36,Avon-Tri-Village / Wimble Shoals,370.0,370.0,370.0,no,0.0,50,360.0,380.0,360.0,400.0,375.0,20.0,0.339,0.332,0.117,0.699,123,0.0,11.74,10,0,"[18,26]",,344.0,-26.0
1984,37,Avon-Tri-Village / Wimble Shoals,335.0,335.0,335.0,no,0.0,50,330.0,341.0,310.0,350.0,342.5,20.0,0.481,0.526,0.167,0.841,124,0.0,8.22,7,0,"[18,26]",,342.0,7.0
1984,38,Avon-Tri-Village / Wimble Shoals,300.0,300.0,300.0,no,0.0,50,270.0,320.0,270.0,320.0,305.0,20.0,0.589,0.619,0.167,0.949,124,0.0,8.92,8,0,"[9,17]",SCATTER_SETBACK(50m),290.0,-10.0
1984,39,Avon-Tri-Village / Wimble Shoals,230.0,230.0,230.0,no,0.0,50,220.0,260.0,220.0,270.0,235.0,20.0,1.041,0.992,0.192,1.401,118,0.0,3.14,3,0,"[14,22]",,242.0,12.0
1984,40,Avon-Tri-Village / Wimble Shoals,210.0,210.0,210.0,no,0.0,50,210.0,230.0,200.0,230.0,220.0,20.0,1.137,1.142,0.167,1.497,114,0.0,3.31,3,0,"[11,19]",,234.0,24.0
1984,41,Avon-Tri-Village / Wimble Shoals,200.0,200.0,200.0,no,0.0,50,190.0,210.0,190.0,210.0,205.0,20.0,1.084,1.083,0.167,1.444,115,0.0,2.15,2,0,"[11,19]",,217.0,17.0
1984,42,Avon-Tri-Village / Wimble Shoals,180.0,180.0,180.0,no,0.0,50,169.0,190.0,160.0,200.0,185.0,20.0,0.956,0.962,0.353,1.316,115,0.0,0.74,1,0,"[13,20]",,189.0,9.0
1984,43,Avon-Tri-Village / Wimble Shoals,170.0,170.0,170.0,no,0.0,50,160.0,170.0,160.0,180.0,175.0,20.0,0.79,0.842,0.213,1.15,112,0.0,2.49,2,0,"[11,19]",,186.0,16.0
1984,44,Avon-Tri-Village / Wimble Shoals,160.0,160.0,160.0,no,0.0,50,160.0,170.0,160.0,170.0,170.0,20.0,0.868,0.881,0.149,1.228,116,0.0,6.44,6,0,"[12,20]",,191.0,31.0
1984,45,Avon-Tri-Village / Wimble Shoals,155.0,155.0,155.0,no,0.0,50,149.0,181.0,140.0,210.0,162.5,20.0,1.054,1.051,0.175,1.414,112,0.0,4.71,4,0,"[15,23]",,192.0,37.0
1984,46,Avon-Tri-Village / Wimble Shoals,150.0,150.0,150.0,no,0.0,50,140.0,190.0,140.0,210.0,155.0,20.0,1.181,1.231,0.157,1.541,114,0.0,3.76,3,0,"[15,23]",SCATTER_SETBACK(50m),184.0,34.0
1984,47,Avon-Tri-Village / Wimble Shoals,150.0,150.0,150.0,no,0.0,50,150.0,150.0,140.0,160.0,155.0,20.0,1.14,1.202,0.177,1.5,115,0.0,0.83,1,0,"[13,20]",,184.0,34.0
1984,48,Avon-Tri-Village / Wimble Shoals,150.0,150.0,150.0,no,0.0,50,140.0,160.0,140.0,160.0,155.0,20.0,1.166,1.181,0.137,1.526,112,0.0,4.08,3,0,"[15,21]",,191.0,41.0
1984,49,Avon-Tri-Village / Wimble Shoals,130.0,130.0,130.0,no,0.0,50,109.0,140.0,100.0,150.0,140.0,20.0,1.157,1.169,0.128,1.517,116,0.0,4.97,4,0,"[16,23]",,188.0,58.0
1984,50,Avon-Tri-Village / Wimble Shoals,150.0,150.0,150.0,no,0.0,50,130.0,170.0,120.0,170.0,155.0,20.0,1.066,1.11,0.236,1.426,112,0.0,1.75,1,0,"[6,14]",,197.0,47.0
1984,51,Avon-Tri-Village / Wimble Shoals,160.0,160.0,160.0,no,0.0,50,150.0,180.0,130.0,190.0,165.0,20.0,1.084,1.12,0.215,1.444,113,0.0,4.67,4,0,"[15,21]",,212.0,52.0
1984,52,Avon-Tri-Village / Wimble Shoals,170.0,170.0,170.0,no,0.0,50,170.0,180.0,160.0,180.0,180.0,20.0,0.803,0.831,0.142,1.163,116,0.0,3.8,3,0,"[13,18]",,200.0,30.0
1984,53,Avon-Tri-Village / Wimble Shoals,170.0,170.0,170.0,no,0.0,50,160.0,180.0,160.0,180.0,175.0,20.0,0.988,0.981,0.184,1.348,117,0.0,6.2,5,0,"[7,15]",,194.0,24.0
1984,54,Avon-Tri-Village / Wimble Shoals,160.0,160.0,160.0,no,0.0,50,150.0,180.0,150.0,180.0,165.0,20.0,1.135,1.152,0.107,1.495,115,0.0,7.15,6,0,"[8,14]",,204.0,44.0
1984,55,Avon-Tri-Village / Wimble Shoals,170.0,170.0,170.0,no,0.0,50,170.0,180.0,160.0,180.0,180.0,20.0,1.099,1.119,0.115,1.459,118,0.0,6.68,6,0,"[9,14]",,203.0,33.0
1984,56,Avon-Tri-Village / Wimble Shoals,180.0,180.0,180.0,no,0.0,50,179.0,211.0,170.0,240.0,187.5,20.0,0.959,0.96,0.121,1.319,114,0.0,9.96,9,0,"[11,17]",,194.0,14.0
1984,57,Avon-Tri-Village / Wimble Shoals,210.0,210.0,210.0,no,0.0,50,190.0,220.0,180.0,220.0,215.0,20.0,0.925,0.95,0.131,1.285,116,0.0,9.86,9,0,"[16,24]",,240.0,30.0
1984,58,Avon-Tri-Village / Wimble Shoals,240.0,240.0,240.0,no,0.0,50,229.0,250.0,210.0,260.0,245.0,20.0,0.883,0.899,0.106,1.243,115,0.0,8.3,7,0,"[17,23]",,282.0,42.0
1984,59,Avon-Tri-Village / Wimble Shoals,270.0,270.0,270.0,no,0.0,50,259.0,280.0,250.0,290.0,280.0,20.0,0.897,0.944,0.16,1.257,117,0.0,11.28,10,0,"[7,13]",,295.0,25.0
1984,60,Avon-Tri-Village / Wimble Shoals,320.0,320.0,320.0,no,0.0,50,300.0,330.0,300.0,330.0,325.0,20.0,0.774,0.79,0.149,1.134,118,0.0,10.6,9,0,"[17,21]",,349.0,29.0
1984,61,Avon-Tri-Village / Wimble Shoals,330.0,330.0,330.0,no,0.0,50,318.0,330.0,290.0,340.0,335.0,20.0,0.865,0.906,0.195,1.225,122,0.0,12.77,11,0,"[16,23]",,352.0,22.0
1984,62,Avon-Tri-Village / Wimble Shoals,330.0,330.0,330.0,no,0.0,50,320.0,350.0,320.0,360.0,335.0,20.0,0.887,0.881,0.192,1.247,118,0.0,13.37,12,0,"[16,21]",,347.0,17.0
1984,63,Avon-Tri-Village / Wimble Shoals,330.0,330.0,330.0,no,0.0,50,320.0,330.0,310.0,360.0,335.0,20.0,0.885,0.913,0.196,1.245,119,0.0,10.24,9,0,"[15,23]",,344.0,14.0
1984,64,Avon-Tri-Village / Wimble Shoals,320.0,320.0,320.0,no,0.0,50,319.0,370.0,310.0,370.0,330.0,20.0,0.887,0.859,0.24,1.247,119,0.0,11.32,10,0,"[16,26]",SCATTER_SETBACK(51m),345.0,25.0
1984,65,Avon-Tri-Village / Wimble Shoals,330.0,330.0,330.0,no,0.0,50,320.0,370.0,320.0,370.0,340.0,20.0,0.582,0.596,0.184,0.942,122,0.0,11.62,10,0,"[26,31]",SCATTER_SETBACK(50m),361.0,31.0
1984,66,Avon-Tri-Village / Wimble Shoals,340.0,340.0,340.0,no,0.0,50,330.0,400.0,320.0,440.0,345.0,20.0,0.47,0.459,0.153,0.83,121,0.0,10.57,9,0,"[22,33]",SCATTER_SETBACK(70m),364.0,24.0
1984,67,Avon-Tri-Village / Wimble Shoals,425.0,425.0,425.0,no,0.0,50,370.0,440.0,340.0,460.0,432.5,20.0,0.519,0.518,0.181,0.879,116,0.0,15.35,13,0,"[20,29]",SCATTER_SETBACK(70m),454.0,29.0
1984,68,Tri-Village,565.0,565.0,565.0,no,0.0,50,488.0,590.0,450.0,620.0,570.0,20.0,0.586,0.581,0.224,0.946,114,0.0,13.07,11,0,"[21,28]",SCATTER_SETBACK(102m),607.0,42.0
1984,69,Tri-Village,570.0,570.0,570.0,no,0.0,50,550.0,580.0,540.0,620.0,575.0,30.0,0.854,0.858,0.137,1.214,131,0.0,8.12,7,0,"[17,23]",,569.0,-1.0
1984,70,Tri-Village,480.0,480.0,480.0,no,0.0,50,430.0,530.0,410.0,530.0,490.0,30.0,0.789,0.756,0.28,1.149,136,0.0,9.5,8,0,"[8,12]",SCATTER_SETBACK(100m),448.0,-32.0
1984,71,Tri-Village,420.0,420.0,420.0,no,0.0,50,409.0,460.0,400.0,470.0,425.0,20.0,0.258,0.252,0.126,0.618,123,0.0,9.56,8,0,"[8,13]",SCATTER_SETBACK(51m),483.0,63.0
1984,72,Tri-Village,470.0,470.0,470.0,no,0.0,50,440.0,491.0,430.0,510.0,475.0,20.0,0.377,0.402,0.135,0.737,106,0.0,7.79,7,0,"[10,15]",SCATTER_SETBACK(51m),582.0,112.0
1984,73,Tri-Village,550.0,550.0,550.0,no,0.0,50,510.0,561.0,500.0,570.0,555.0,20.0,0.514,0.503,0.137,0.874,114,0.0,7.83,7,0,"[12,17]",SCATTER_SETBACK(51m),643.0,93.0
1984,74,Tri-Village,590.0,590.0,590.0,no,0.0,50,580.0,600.0,570.0,610.0,595.0,20.0,0.476,0.477,0.199,0.836,111,0.0,3.46,3,0,"[22,27]",,616.0,26.0
1984,75,Tri-Village,530.0,530.0,530.0,no,0.0,50,510.0,570.0,510.0,580.0,537.5,20.0,0.625,0.623,0.148,0.985,122,0.0,4.33,4,0,"[20,25]",SCATTER_SETBACK(60m),540.0,10.0
1984,76,Tri-Village,500.0,500.0,500.0,no,0.0,50,490.0,510.0,490.0,520.0,510.0,20.0,0.542,0.562,0.206,0.902,110,0.0,5.61,5,0,"[16,21]",,533.0,33.0
1984,77,Tri-Village,530.0,530.0,530.0,no,0.0,50,510.0,560.0,510.0,560.0,535.0,20.0,0.393,0.372,0.131,0.753,100,0.0,1.68,1,0,"[11,20]",SCATTER_SETBACK(50m),575.0,45.0
1984,78,Tri-Village,550.0,550.0,550.0,no,0.0,50,540.0,570.0,530.0,570.0,560.0,30.0,0.497,0.492,0.172,0.857,130,0.0,3.16,3,0,"[9,15]",,588.0,38.0
1984,79,Tri-Village,560.0,560.0,560.0,no,0.0,50,519.0,590.0,510.0,600.0,567.5,20.0,0.667,0.65,0.255,1.027,121,0.0,7.72,7,0,"[5,13]",SCATTER_SETBACK(71m),580.0,20.0
1984,80,Tri-Village,565.0,565.0,565.0,no,0.0,50,539.0,580.0,530.0,600.0,572.5,20.0,0.59,0.602,0.092,0.95,115,0.0,2.62,2,0,"[8,12]",SCATTER_SETBACK(41m),617.0,52.0
1984,81,Tri-Village,410.0,410.0,410.0,no,0.0,50,308.0,471.0,260.0,530.0,420.0,30.0,0.652,0.651,0.152,1.012,126,0.0,8.78,8,0,"[7,15]",SCATTER_SETBACK(163m),409.0,-1.0
1984,82,Tri-Village,155.0,155.0,155.0,no,0.0,50,120.0,231.0,90.0,250.0,162.5,20.0,1.047,0.973,0.236,1.407,114,0.0,11.79,10,0,"[5,13]",SCATTER_SETBACK(111m),241.0,86.0
1984,83,Tri-Village,90.0,90.0,90.0,no,0.0,50,70.0,120.0,60.0,120.0,95.0,20.0,0.931,0.905,0.175,1.291,100,0.0,4.95,4,0,"[16,20]",SCATTER_SETBACK(50m),176.0,86.0
1984,84,Pea Island / N. Rodanthe,30.0,30.0,30.0,no,0.0,50,0.0,60.0,-10.0,70.0,35.0,20.0,1.666,1.927,1.002,2.026,100,0.0,9.23,8,0,"[16,22]","SCATTER_SETBACK(60m),SCATTER_ELEV(1.00)",95.0,65.0
1984,85,Pea Island / N. Rodanthe,-10.0,0.0,0.0,no,0.0,50,-30.0,20.0,-40.0,30.0,0.0,30.0,1.833,2.167,0.979,2.193,126,0.0,9.71,8,0,"[5,14]","NEGATIVE(-10->floored 0),SCATTER_SETBACK(50m),SCATTER_ELEV(0.98)",40.0,50.0
1984,86,Pea Island / N. Rodanthe,0.0,0.0,0.0,no,0.0,50,-20.0,20.0,-20.0,30.0,5.0,20.0,2.303,2.537,0.943,2.663,119,0.0,6.57,6,0,"[7,10]",SCATTER_ELEV(0.94),60.0,60.0
1984,87,Pea Island / N. Rodanthe,60.0,60.0,60.0,no,0.0,50,20.0,100.0,10.0,110.0,70.0,30.0,1.096,1.133,0.202,1.456,131,0.0,8.27,7,0,"[5,15]",SCATTER_SETBACK(80m),55.0,-5.0
1984,88,Pea Island / N. Rodanthe,160.0,160.0,160.0,no,0.0,50,129.0,180.0,110.0,190.0,170.0,30.0,1.273,1.374,0.436,1.633,126,0.0,8.24,7,0,"[16,21]",SCATTER_SETBACK(51m),158.0,-2.0
1984,89,Pea Island / N. Rodanthe,170.0,170.0,170.0,no,0.0,50,169.0,180.0,160.0,180.0,175.0,20.0,1.12,1.122,0.173,1.48,117,0.0,8.87,8,0,"[14,20]",,207.0,37.0
1984,90,Pea Island / N. Rodanthe,160.0,160.0,160.0,no,0.0,50,150.0,160.0,150.0,170.0,165.0,20.0,0.927,0.876,0.272,1.287,117,0.0,5.92,5,0,"[13,20]",,190.0,30.0
