gis,dune_start_m,dune_end_m,dune_change_m,dune_rate_m_yr,cs_endpoint_change_m,cs_endpoint_m_yr,n_obs_start,n_obs_end,n_transects,beach_width_change_m,dune_minus_endpoint_m_yr
21,6289.406,6281.971,7.434,0.389,13.020,0.682,19.000,39.000,11,5.586,-0.293
22,6160.443,6186.058,-25.615,-1.341,-11.972,-0.627,19.000,39.000,10,13.643,-0.714
23,6046.676,6094.132,-47.457,-2.485,-30.081,-1.575,18.000,39.000,10,17.376,-0.910
24,5920.501,5983.428,-62.927,-3.295,-38.481,-2.015,20.000,39.000,10,24.446,-1.280
25,5823.410,5881.842,-58.432,-3.059,-41.899,-2.194,20.000,39.000,10,16.533,-0.865
26,5730.926,5767.866,-36.940,-1.934,-31.846,-1.667,20.000,38.000,10,5.094,-0.267
27,5638.443,5648.350,-9.908,-0.519,-2.444,-0.128,20.000,38.000,10,7.464,-0.391
28,5525.810,5517.105,8.705,0.456,43.777,2.292,21.000,39.000,10,35.072,-1.836
29,5394.224,5395.268,-1.044,-0.055,63.824,3.342,20.000,39.000,10,64.868,-3.397
30,5275.579,5284.277,-8.698,-0.455,48.770,2.554,21.000,39.000,10,57.468,-3.009
31,5159.796,5164.473,-4.677,-0.245,45.999,2.408,21.000,39.000,11,50.676,-2.653
32,5037.691,5041.916,-4.225,-0.221,40.217,2.106,21.500,40.000,10,44.442,-2.327
33,4903.467,4907.576,-4.109,-0.215,41.778,2.187,20.000,39.000,11,45.887,-2.402
34,4762.876,4777.553,-14.677,-0.768,40.705,2.131,21.000,40.000,10,55.382,-2.899
35,4632.839,4660.156,-27.316,-1.430,12.596,0.659,21.000,40.000,11,39.912,-2.089
36,4525.648,4553.325,-27.678,-1.449,6.634,0.347,22.000,40.000,10,34.312,-1.796
37,4435.580,4461.677,-26.097,-1.366,11.287,0.591,21.000,40.000,11,37.384,-1.957
38,4392.709,4385.155,7.554,0.396,8.560,0.448,21.000,40.000,10,1.006,-0.052
39,4347.488,4336.431,11.057,0.579,11.418,0.598,21.000,40.000,10,0.361,-0.019
40,4320.598,4318.921,1.677,0.088,21.603,1.131,21.500,38.000,10,19.926,-1.043
41,4295.011,4285.856,9.156,0.479,31.685,1.659,19.500,36.500,10,22.529,-1.180
42,4271.299,4254.559,16.740,0.876,22.343,1.170,21.000,36.000,10,5.603,-0.294
43,4248.022,4233.469,14.553,0.762,3.468,0.182,21.000,35.000,10,-11.085,0.580
44,4224.684,4209.005,15.679,0.821,-4.735,-0.248,21.000,36.000,10,-20.414,1.069
45,4199.911,4185.471,14.440,0.756,-12.787,-0.669,21.000,36.000,10,-27.227,1.425
46,4171.726,4166.582,5.145,0.269,-20.883,-1.093,21.000,39.000,10,-26.028,1.362
47,4138.047,4141.809,-3.762,-0.197,-23.825,-1.247,20.500,41.000,10,-20.063,1.050
48,4105.088,4104.275,0.814,0.043,-15.103,-0.791,20.500,40.000,10,-15.917,0.834
49,4086.450,4073.214,13.236,0.693,-10.885,-0.570,20.000,40.000,10,-24.121,1.263
50,4072.676,4045.020,27.656,1.448,-5.205,-0.273,20.000,40.000,10,-32.861,1.721
51,4048.599,4007.259,41.340,2.164,-2.956,-0.155,18.500,40.000,10,-44.296,2.319
52,4019.161,3970.604,48.558,2.542,-6.216,-0.325,20.000,39.500,10,-54.774,2.867
53,3977.235,3927.275,49.959,2.616,-20.339,-1.065,19.000,41.000,10,-70.298,3.681
54,3918.125,3867.072,51.054,2.673,-19.937,-1.044,21.000,41.000,10,-70.991,3.717
55,3827.877,3800.807,27.069,1.417,-16.337,-0.855,18.000,40.000,10,-43.406,2.272
56,3717.036,3713.638,3.398,0.178,-11.776,-0.617,21.000,40.000,11,-15.174,0.795
57,3647.278,3632.348,14.930,0.782,-1.590,-0.083,20.000,39.000,10,-16.520,0.865
58,3556.726,3549.050,7.676,0.402,6.738,0.353,21.000,39.500,10,-0.938,0.049
59,3465.987,3455.689,10.299,0.539,2.090,0.109,20.000,39.000,10,-8.209,0.430
60,3376.042,3364.617,11.425,0.598,-19.215,-1.006,20.000,39.000,10,-30.640,1.604
61,3286.098,3268.429,17.669,0.925,-30.885,-1.617,19.000,39.000,10,-48.554,2.542
62,3178.164,3156.769,21.395,1.120,-32.645,-1.709,20.000,39.000,10,-54.040,2.829
63,3088.219,3056.399,31.821,1.666,-8.627,-0.452,19.000,38.000,10,-40.448,2.118
64,2998.075,2959.327,38.748,2.029,-2.980,-0.156,20.500,38.500,10,-41.728,2.185
65,2907.649,2856.061,51.588,2.701,19.556,1.024,19.000,38.000,10,-32.032,1.677
66,2806.172,2745.168,61.004,3.194,59.663,3.124,20.000,37.000,11,-1.341,0.070
67,2680.544,2619.936,60.608,3.173,63.751,3.338,19.500,37.000,10,3.143,-0.165
68,2554.074,2506.355,47.719,2.498,50.679,2.653,19.000,37.000,10,2.960,-0.155
69,2440.325,2407.712,32.613,1.708,42.240,2.212,19.000,38.500,10,9.627,-0.504
70,2341.754,2322.021,19.733,1.033,11.343,0.594,17.500,39.000,10,-8.390,0.439
71,2252.334,2241.385,10.950,0.573,18.271,0.957,22.000,44.000,10,7.321,-0.384
72,2182.169,2158.301,23.868,1.250,27.699,1.450,20.500,45.000,10,3.831,-0.200
73,2142.064,2094.619,47.445,2.484,13.540,0.709,21.000,46.000,10,-33.905,1.775
74,2095.565,2054.659,40.906,2.142,1.878,0.098,21.000,46.000,10,-39.028,2.044
75,2046.665,2040.309,6.355,0.333,-33.216,-1.739,21.500,46.000,10,-39.571,2.072
76,2009.712,2025.234,-15.522,-0.813,-44.322,-2.321,22.000,46.500,10,-28.800,1.508
77,1997.014,2032.810,-35.796,-1.874,-39.668,-2.077,23.000,45.000,10,-3.872,0.203
78,1990.853,2047.554,-56.701,-2.969,-42.800,-2.241,21.500,44.000,10,13.901,-0.728
79,2017.474,2057.538,-40.064,-2.098,-21.670,-1.135,23.000,43.500,10,18.394,-0.963
80,2061.515,2118.489,-56.973,-2.983,-44.905,-2.351,22.000,41.000,10,12.068,-0.632
81,2136.394,2167.727,-31.333,-1.641,-15.506,-0.812,22.500,42.500,10,15.827,-0.829
82,2205.511,2246.032,-40.521,-2.122,-18.649,-0.976,22.000,44.000,10,21.872,-1.146
83,2277.637,2334.450,-56.813,-2.975,-48.766,-2.553,23.500,45.000,10,8.047,-0.422
84,2355.549,2416.266,-60.717,-3.179,-29.981,-1.570,22.000,44.000,11,30.736,-1.609
85,2450.948,2477.071,-26.123,-1.368,-10.515,-0.551,24.000,43.000,12,15.608,-0.817
86,2540.121,2544.698,-4.577,-0.240,8.141,0.426,21.000,41.000,12,12.718,-0.666
87,2607.630,2616.401,-8.771,-0.459,27.746,1.453,22.000,42.000,11,36.517,-1.912
88,2669.309,2663.635,5.674,0.297,52.826,2.766,23.000,42.000,10,47.152,-2.469
89,2735.666,2719.026,16.640,0.871,41.326,2.164,24.000,42.000,9,24.686,-1.293
90,2808.117,2794.628,13.489,0.706,40.805,2.136,24.000,39.000,10,27.316,-1.430
